energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,9.57570659,0.01289582,2.03797167,0.22486147,0.00000000,4.07265511,5.61805941,0.08775259,1.39456330
-5.99399700,9.68100653,0.01272187,2.08625768,0.21481294,0.00000000,4.19887177,5.71460499,0.08767770,1.37604724
-5.98799400,9.79052386,0.01253735,2.13274934,0.20631923,0.00000000,4.33398131,5.80838761,0.08753909,1.36245112
-5.98199100,9.90250711,0.01234688,2.17708086,0.19931287,0.00000000,4.47661880,5.89849783,0.08733190,1.35343650
-5.97598799,10.01505847,0.01215510,2.21889738,0.19371130,0.00000000,4.62518468,5.98402152,0.08704970,1.34857678
-5.96998499,10.12615110,0.01196654,2.25785352,0.18942159,0.00000000,4.77787170,6.06403854,0.08668438,1.34736914
-5.96398199,10.23365212,0.01178557,2.29361218,0.18634523,0.00000000,4.93270123,6.13762234,0.08622611,1.34924911
-5.95797899,10.33535295,0.01161636,2.32584414,0.18438264,0.00000000,5.08756869,6.20384210,0.08566355,1.35360714
-5.95197599,10.42900813,0.01146285,2.35422904,0.18343749,0.00000000,5.24029734,6.26176883,0.08498412,1.35980713
-5.94597299,10.51238285,0.01132873,2.37845817,0.18342048,0.00000000,5.38869909,6.31048620,0.08417455,1.36720621
-5.93996998,10.58330862,0.01121746,2.39823906,0.18425264,0.00000000,5.53064010,6.34910665,0.08322150,1.37517521
-5.93396698,10.63974537,0.01113225,2.41330225,0.18586791,0.00000000,5.66410882,6.37679255,0.08211230,1.38311905
-5.92796398,10.67984751,0.01107613,2.42340949,0.18821501,0.00000000,5.78728321,6.39278169,0.08083573,1.39049619
-5.92196098,10.70203055,0.01105196,2.42836330,0.19125843,0.00000000,5.89859392,6.39641566,0.07938288,1.39683626
-5.91595798,10.70503432,0.01106239,2.42801704,0.19497863,0.00000000,5.99677998,6.38716942,0.07774785,1.40175505
-5.90995498,10.68797865,0.01110993,2.42228472,0.19937132,0.00000000,6.08093367,6.36467987,0.07592847,1.40496593
-5.90395198,10.65040738,0.01119686,2.41114976,0.20444596,0.00000000,6.15053174,6.32877112,0.07392680,1.40628725
-5.89794897,10.59231695,0.01132520,2.39467179,0.21022339,0.00000000,6.20545067,6.27947435,0.07174950,1.40564508
-5.89194597,10.51416668,0.01149662,2.37299081,0.21673287,0.00000000,6.24596450,6.21704008,0.06940793,1.40307116
-5.88594297,10.41686891,0.01171237,2.34632815,0.22400859,0.00000000,6.27272487,6.14194154,0.06691811,1.39869606
-5.87993997,10.30175839,0.01197310,2.31498369,0.23208570,0.00000000,6.28672376,6.05486806,0.06430040,1.39273786
-5.87393697,10.17054183,0.01227879,2.27932953,0.24099630,0.00000000,6.28924068,5.95670835,0.06157900,1.38548694
-5.86793397,10.02522969,0.01262854,2.23979998,0.25076543,0.00000000,6.28177716,5.84852409,0.05878130,1.37728767
-5.86193097,9.86805399,0.01302049,2.19687861,0.26140725,0.00000000,6.26598196,5.73151526,0.05593704,1.36851809
-5.85592796,9.70137663,0.01345170,2.15108286,0.27292179,0.00000000,6.24357144,5.60697890,0.05307742,1.35956863
-5.84992496,9.52759355,0.01391805,2.10294723,0.28529236,0.00000000,6.21624967,5.47626397,0.05023417,1.35082108
-5.84392196,9.34904069,0.01441423,2.05300606,0.29848375,0.00000000,6.18563309,5.34072497,0.04743858,1.34262912
-5.83791896,9.16790734,0.01493374,2.00177706,0.31244144,0.00000000,6.15318412,5.20167727,0.04472069,1.33530131
-5.83191596,8.98616214,0.01546898,1.94974646,0.32709184,0.00000000,6.12015764,5.06035687,0.04210844,1.32908754
-5.82591296,8.80549616,0.01601136,1.89735699,0.34234353,0.00000000,6.08756340,4.91788727,0.03962708,1.32416958
-5.81990995,8.62728617,0.01655151,1.84499915,0.35808954,0.00000000,6.05614620,4.77525525,0.03729868,1.32065622
-5.81390695,8.45257999,0.01707953,1.79300650,0.37421048,0.00000000,6.02638471,4.63329689,0.03514175,1.31858287
-5.80790395,8.28210379,0.01758524,1.74165497,0.39057834,0.00000000,5.99850818,4.49269453,0.03317116,1.31791569
-5.80190095,8.11629027,0.01805854,1.69116613,0.40706078,0.00000000,5.97252927,4.35398414,0.03139810,1.31855952
-5.79589795,7.95532459,0.01848971,1.64171407,0.42352562,0.00000000,5.94829018,4.21757233,0.02983022,1.32036902
-5.78989495,7.79920411,0.01886974,1.59343507,0.43984530,0.00000000,5.92551800,4.08376103,0.02847189,1.32316197
-5.78389195,7.64780678,0.01919064,1.54643924,0.45590088,0.00000000,5.90388518,3.95277783,0.02732453,1.32673388
-5.77788894,7.50096287,0.01944571,1.50082312,0.47158559,0.00000000,5.88307013,3.82480904,0.02638702,1.33087263
-5.77188594,7.35852418,0.01962975,1.45668202,0.48680745,0.00000000,5.86281351,3.70003297,0.02565605,1.33537224
-5.76588294,7.22042560,0.01973921,1.41412117,0.50149093,0.00000000,5.84296591,3.57865057,0.02512657,1.34004479
-5.75987994,7.08673441,0.01977230,1.37326465,0.51557753,0.00000000,5.82352340,3.46091092,0.02479213,1.34472979
-5.75387694,6.95768361,0.01972895,1.33426133,0.52902523,0.00000000,5.80464854,3.34712974,0.02464517,1.34930040
-5.74787394,6.83368727,0.01961081,1.29728734,0.54180688,0.00000000,5.78667527,3.23769932,0.02467732,1.35366632
-5.74187094,6.71533679,0.01942105,1.26254470,0.55390769,0.00000000,5.77009756,3.13308927,0.02487953,1.35777328
-5.73586793,6.60337877,0.01916424,1.23025632,0.56532196,0.00000000,5.75554280,3.03383797,0.02524221,1.36159937
-5.72986493,6.49867638,0.01884608,1.20065743,0.57604930,0.00000000,5.74373216,2.94053547,0.02575531,1.36514879
-5.72386193,6.40215737,0.01847312,1.17398430,0.58609075,0.00000000,5.73543071,2.85379910,0.02640834,1.36844357
-5.71785893,6.31475274,0.01805254,1.15046080,0.59544492,0.00000000,5.73139138,2.77424367,0.02719038,1.37151405
-5.71185593,6.23733076,0.01759179,1.13028381,0.60410462,0.00000000,5.73229664,2.70244831,0.02809007,1.37438916
-5.70585293,6.17063122,0.01709841,1.11360862,0.61205413,0.00000000,5.73870242,2.63892262,0.02909566,1.37708707
-5.69984992,6.11520483,0.01657973,1.10053505,0.61926748,0.00000000,5.75098830,2.58407431,0.03019500,1.37960739
-5.69384692,6.07136222,0.01604272,1.09109563,0.62570777,0.00000000,5.76931754,2.53818078,0.03137572,1.38192522
-5.68784392,6.03913620,0.01549380,1.08524638,0.63132775,0.00000000,5.79361019,2.50136659,0.03262531,1.38398792
