energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.78214426,-3.78214412,1.33053078,-1.33053069,0.99362904,-0.99362900,0.81269988,-0.81269994,0.00000000,-0.00000000,0.02136973,-0.02136973,1.55929693,-1.55929680
-5.99399700,3.80985952,-3.80985943,1.35972281,-1.35972274,0.99580294,-0.99580290,0.80899600,-0.80899607,0.00000000,-0.00000000,0.02161035,-0.02161035,1.58388901,-1.58388890
-5.98799400,3.82745516,-3.82745513,1.38454065,-1.38454061,0.99589030,-0.99589027,0.80315151,-0.80315159,0.00000000,-0.00000000,0.02177616,-0.02177616,1.60424299,-1.60424289
-5.98199100,3.83505059,-3.83505060,1.40470755,-1.40470752,0.99406104,-0.99406102,0.79530493,-0.79530502,0.00000000,-0.00000000,0.02186408,-0.02186408,1.62024945,-1.62024937
-5.97598799,3.83290522,-3.83290528,1.42002480,-1.42002480,0.99050914,-0.99050913,0.78561698,-0.78561708,0.00000000,-0.00000000,0.02187202,-0.02187202,1.63186691,-1.63186684
-5.96998499,3.82141084,-3.82141094,1.43037852,-1.43037855,0.98544649,-0.98544648,0.77426573,-0.77426584,0.00000000,-0.00000000,0.02179898,-0.02179898,1.63912282,-1.63912278
-5.96398199,3.80108060,-3.80108074,1.43574379,-1.43574384,0.97909630,-0.97909630,0.76144148,-0.76144160,0.00000000,-0.00000000,0.02164514,-0.02164515,1.64211272,-1.64211270
-5.95797899,3.77253485,-3.77253502,1.43618603,-1.43618610,0.97168633,-0.97168633,0.74734162,-0.74734174,0.00000000,-0.00000000,0.02141195,-0.02141195,1.64099718,-1.64099717
-5.95197599,3.73648404,-3.73648425,1.43185939,-1.43185948,0.96344206,-0.96344206,0.73216552,-0.73216565,0.00000000,-0.00000000,0.02110210,-0.02110211,1.63599672,-1.63599672
-5.94597299,3.69370903,-3.69370926,1.42300198,-1.42300209,0.95458007,-0.95458006,0.71610968,-0.71610981,0.00000000,-0.00000000,0.02071960,-0.02071960,1.62738470,-1.62738472
-5.93996998,3.64503934,-3.64503959,1.40992822,-1.40992835,0.94530171,-0.94530170,0.69936314,-0.69936327,0.00000000,-0.00000000,0.02026963,-0.02026964,1.61547841,-1.61547844
-5.93396698,3.59133012,-3.59133039,1.39301850,-1.39301865,0.93578744,-0.93578743,0.68210341,-0.68210355,0.00000000,-0.00000000,0.01975851,-0.01975852,1.60062867,-1.60062871
-5.92796398,3.53343855,-3.53343883,1.37270648,-1.37270664,0.92619177,-0.92619176,0.66449298,-0.66449312,0.00000000,-0.00000000,0.01919351,-0.01919351,1.58320837,-1.58320841
-5.92196098,3.47220068,-3.47220097,1.34946478,-1.34946494,0.91663931,-0.91663930,0.64667644,-0.64667658,0.00000000,-0.00000000,0.01858269,-0.01858269,1.56360044,-1.56360049
-5.91595798,3.40840974,-3.40841004,1.32378953,-1.32378971,0.90722176,-0.90722174,0.62877843,-0.62877856,0.00000000,-0.00000000,0.01793469,-0.01793470,1.54218583,-1.54218588
-5.90995498,3.34279677,-3.34279707,1.29618465,-1.29618483,0.89799626,-0.89799624,0.61090234,-0.61090248,0.00000000,-0.00000000,0.01725853,-0.01725853,1.51933208,-1.51933214
-5.90395198,3.27601465,-3.27601495,1.26714643,-1.26714661,0.88898508,-0.88898506,0.59312998,-0.59313011,0.00000000,-0.00000000,0.01656333,-0.01656333,1.49538301,-1.49538307
-5.89794897,3.20862624,-3.20862654,1.23714927,-1.23714946,0.88017663,-0.88017661,0.57552197,-0.57552210,0.00000000,-0.00000000,0.01585813,-0.01585813,1.47065008,-1.47065015
-5.89194597,3.14109727,-3.14109756,1.20663318,-1.20663336,0.87152800,-0.87152798,0.55811911,-0.55811924,0.00000000,-0.00000000,0.01515165,-0.01515166,1.44540589,-1.44540595
-5.88594297,3.07379427,-3.07379456,1.17599349,-1.17599367,0.86296872,-0.86296870,0.54094442,-0.54094455,0.00000000,-0.00000000,0.01445212,-0.01445212,1.41987998,-1.41988004
-5.87993997,3.00698774,-3.00698803,1.14557334,-1.14557351,0.85440587,-0.85440585,0.52400592,-0.52400605,0.00000000,-0.00000000,0.01376711,-0.01376711,1.39425732,-1.39425739
-5.87393697,2.94086025,-2.94086053,1.11565897,-1.11565914,0.84573008,-0.84573006,0.50729993,-0.50730005,0.00000000,-0.00000000,0.01310342,-0.01310342,1.36867935,-1.36867942
-5.86793397,2.87551898,-2.87551926,1.08647809,-1.08647824,0.83682248,-0.83682246,0.49081475,-0.49081487,0.00000000,-0.00000000,0.01246702,-0.01246702,1.34324743,-1.34324750
-5.86193097,2.81101211,-2.81101237,1.05820103,-1.05820118,0.82756207,-0.82756206,0.47453456,-0.47453468,0.00000000,-0.00000000,0.01186299,-0.01186300,1.31802859,-1.31802866
-5.85592796,2.74734779,-2.74734805,1.03094464,-1.03094479,0.81783331,-0.81783330,0.45844335,-0.45844346,0.00000000,-0.00000000,0.01129557,-0.01129557,1.29306294,-1.29306301
-5.84992496,2.68451486,-2.68451511,1.00477828,-1.00477841,0.80753357,-0.80753357,0.44252862,-0.44252873,0.00000000,-0.00000000,0.01076816,-0.01076817,1.26837246,-1.26837253
