energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,4.51492871,0.88353637,0.50980113,0.01642542,0.60840496,3.19207953,1.61716982,0.02873817,1.59654395
-5.99399700,4.61194742,0.90681083,0.51264588,0.01662679,0.62893555,3.29940632,1.65659985,0.02841595,1.62207154
-5.98799400,4.68859822,0.92569865,0.51282756,0.01673051,0.64733913,3.39394320,1.68919745,0.02796578,1.63932687
-5.98199100,4.74427602,0.94000123,0.51040505,0.01673489,0.66342539,3.47492569,1.71462880,0.02740107,1.64820617
-5.97598799,4.77881616,0.94961380,0.50548745,0.01664003,0.67705593,3.54188263,1.73271687,0.02673693,1.64877527
-5.96998499,4.79248975,0.95452799,0.49823040,0.01644791,0.68814614,3.59464431,1.74344166,0.02598971,1.64126601
-5.96398199,4.78598536,0.95483134,0.48883090,0.01616233,0.69666532,3.63334036,1.74693558,0.02517649,1.62606754
-5.95797899,4.76037779,0.95070352,0.47752109,0.01578876,0.70263517,3.65838743,1.74347412,0.02431457,1.60371269
-5.95197599,4.71708518,0.94240959,0.46456112,0.01533423,0.70612650,3.67046753,1.73346235,0.02342099,1.57486002
-5.94597299,4.65781623,0.93029044,0.45023130,0.01480711,0.70725456,3.67049786,1.71741763,0.02251211,1.54027210
-5.93996998,4.58450986,0.91475092,0.43482400,0.01421686,0.70617299,3.65959402,1.69594957,0.02160319,1.50079117
-5.93396698,4.49926975,0.89624615,0.41863544,0.01357377,0.70306693,3.63902801,1.66973785,0.02070807,1.45731291
-5.92796398,4.40429663,0.87526661,0.40195767,0.01288867,0.69814534,3.61018338,1.63950902,0.01983890,1.41075947
-5.92196098,4.30182097,0.85232257,0.38507116,0.01217264,0.69163316,3.57450930,1.60601327,0.01900597,1.36205287
-5.91595798,4.19403896,0.82792868,0.36823812,0.01143669,0.68376354,3.53347571,1.57000206,0.01821760,1.31208970
-5.90995498,4.08305393,0.80258916,0.35169676,0.01069152,0.67477042,3.48853122,1.53220749,0.01748008,1.26171804
-5.90395198,3.97082554,0.77678432,0.33565676,0.00994723,0.66488187,3.44106528,1.49332426,0.01679770,1.21171748
-5.89794897,3.85912814,0.75095869,0.32029601,0.00921311,0.65431442,3.39237585,1.45399454,0.01617290,1.16278280
-5.89194597,3.74951938,0.72551138,0.30575863,0.00849750,0.64326841,3.34364304,1.41479647,0.01560635,1.11551169
-5.88594297,3.64331960,0.70078867,0.29215442,0.00780757,0.63192459,3.29590935,1.37623611,0.01509719,1.07039681
-5.87993997,3.54160188,0.67707917,0.27955954,0.00714931,0.62044197,3.25006623,1.33874308,0.01464324,1.02782216
-5.87393697,3.44519208,0.65461133,0.26801843,0.00652746,0.60895680,3.20684654,1.30266949,0.01424126,0.98806358
-5.86793397,3.35467797,0.63355342,0.25754674,0.00594551,0.59758251,3.16682242,1.26829196,0.01388719,0.95129304
-5.86193097,3.27042591,0.61401554,0.24813518,0.00540576,0.58641071,3.13040761,1.23581601,0.01357641,0.91758621
-5.85592796,3.19260361,0.59605351,0.23975399,0.00490938,0.57551267,3.09786341,1.20538247,0.01330402,0.88693273
-5.84992496,3.12120707,0.57967427,0.23235786,0.00445657,0.56494148,3.06930738,1.17707518,0.01306502,0.85924844
-5.84392196,3.05609012,0.56484232,0.22589102,0.00404666,0.55473436,3.04472415,1.15092946,0.01285453,0.83438902
-5.83791896,2.99699493,0.55148700,0.22029226,0.00367829,0.54491519,3.02397757,1.12694073,0.01266796,0.81216423
-5.83191596,2.94358203,0.53951006,0.21549973,0.00334953,0.53549701,3.00682412,1.10507294,0.01250114,0.79235214
-5.82591296,2.89545870,0.52879331,0.21145518,0.00305810,0.52648438,2.99292713,1.08526647,0.01235041,0.77471288
-5.81990995,2.85220499,0.51920606,0.20810763,0.00280146,0.51787568,2.98187200,1.06744505,0.01221268,0.75900131
-5.81390695,2.81339663,0.51061212,0.20541623,0.00257700,0.50966519,2.97318247,1.05152201,0.01208542,0.74497834
-5.80790395,2.77862479,0.50287610,0.20335223,0.00238213,0.50184497,2.96633828,1.03740537,0.01196672,0.73242066
-5.80190095,2.74751243,0.49586907,0.20190001,0.00221439,0.49440675,2.96079418,1.02500222,0.01185520,0.72112856
-5.79589795,2.71972765,0.48947340,0.20105731,0.00207154,0.48734369,2.95600059,1.01422235,0.01174995,0.71093204
-5.78989495,2.69499402,0.48358670,0.20083440,0.00195158,0.48065210,2.95142578,1.00498128,0.01165051,0.70169499
-5.78389195,2.67309847,0.47812506,0.20125257,0.00185280,0.47433323,2.94657923,0.99720292,0.01155677,0.69331768
-5.77788894,2.65389687,0.47302534,0.20234186,0.00177380,0.46839504,2.94103558,0.99082192,0.01146886,0.68573762
-5.77188594,2.63731762,0.46824674,0.20413831,0.00171343,0.46285390,2.93445851,0.98578583,0.01138716,0.67892894
-5.76588294,2.62336329,0.46377160,0.20668068,0.00167083,0.45773624,2.92662329,0.98205708,0.01131216,0.67290046
-5.75987994,2.61211045,0.45960537,0.21000708,0.00164529,0.45307999,2.91743684,0.97961470,0.01124445,0.66769269
-5.75387694,2.60370745,0.45577589,0.21415146,0.00163629,0.44893561,2.90695394,0.97845568,0.01118468,0.66337385
-5.74787394,2.59837003,0.45233194,0.21914026,0.00164337,0.44536672,2.89538819,0.97859584,0.01113355,0.66003502
-5.74187094,2.59637457,0.44934097,0.22498933,0.00166610,0.44245001,2.88311635,0.98006998,0.01109178,0.65778478
-5.73586793,2.59804861,0.44688623,0.23170129,0.00170401,0.44027445,2.87067512,0.98293110,0.01106015,0.65674318
-5.72986493,2.60375854,0.44506306,0.23926337,0.00175652,0.43893947,2.85874946,0.98724846,0.01103949,0.65703543
-5.72386193,2.61389440,0.44397468,0.24764602,0.00182292,0.43855229,2.84815220,0.99310453,0.01103072,0.65878533
-5.71785893,2.62885178,0.44372732,0.25680206,0.00190228,0.43922423,2.83979497,1.00059046,0.01103488,0.66210861
-5.71185593,2.64901112,0.44442494,0.26666669,0.00199347,0.44106607,2.83465107,1.00980033,0.01105317,0.66710630
-5.70585293,2.67471503,0.44616364,0.27715815,0.00209513,0.44418261,2.83371154,1.02082422,0.01108694,0.67385839
-5.69984992,2.70624410,0.44902595,0.28817908,0.00220564,0.44866661,2.83793601,1.03374021,0.01113775,0.68241784
-5.69384692,2.74379230,0.45307522,0.29961849,0.00232317,0.45459237,2.84820037,1.04860586,0.01120732,0.69280527
-5.68784392,2.78744300,0.45835035,0.31135429,0.00244568,0.46200926,2.86524380,1.06544926,0.01129758,0.70500440
-5.68184092,2.83714681,0.46486109,0.32325617,0.00257095,0.47093551,2.88961768,1.08426046,0.01141062,0.71895846
