energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.23991460,0.00897365,0.24496641,0.99820798,0.32617331,1.00325503,0.56247767,1.20885685,0.00000000
-5.99399700,2.30073608,0.00899298,0.25879511,1.03045405,0.32755413,1.04559033,0.57888044,1.23468643,0.00000000
-5.98799400,2.36525431,0.00902398,0.27323104,1.06335097,0.33021849,1.09064122,0.59643653,1.26128012,0.00000000
-5.98199100,2.43321251,0.00906138,0.28818421,1.09675345,0.33417907,1.13794849,0.61514631,1.28858723,0.00000000
-5.97598799,2.50425361,0.00910038,0.30354850,1.13047199,0.33943350,1.18697655,0.63498163,1.31651501,0.00000000
-5.96998499,2.57791768,0.00913671,0.31920265,1.16427063,0.34596325,1.23712253,0.65588368,1.34492332,0.00000000
-5.96398199,2.65364274,0.00916663,0.33501179,1.19786676,0.35373262,1.28772766,0.67776190,1.37362114,0.00000000
-5.95797899,2.73076961,0.00918691,0.35082946,1.23093318,0.36268804,1.33809061,0.70049424,1.40236536,0.00000000
-5.95197599,2.80855100,0.00919491,0.36650019,1.26310269,0.37275753,1.38748275,0.72392879,1.43086219,0.00000000
-5.94597299,2.88616495,0.00918847,0.38186254,1.29397521,0.38385079,1.43516486,0.74788685,1.45877145,0.00000000
-5.93996998,2.96273253,0.00916600,0.39675250,1.32312716,0.39585959,1.48040496,0.77216742,1.48571363,0.00000000
-5.93396698,3.03733905,0.00912639,0.41100721,1.35012309,0.40865883,1.52249657,0.79655296,1.51127959,0.00000000
-5.92796398,3.10905829,0.00906907,0.42446875,1.37452870,0.42210805,1.56077708,0.82081607,1.53504242,0.00000000
-5.92196098,3.17697841,0.00899394,0.43698800,1.39592501,0.43605348,1.59464524,0.84472696,1.55657112,0.00000000
-5.91595798,3.24022856,0.00890138,0.44842826,1.41392277,0.45033049,1.62357740,0.86806110,1.57544516,0.00000000
-5.90995498,3.29800469,0.00879219,0.45866857,1.42817638,0.46476647,1.64714160,0.89060677,1.59126934,0.00000000
-5.90395198,3.34959345,0.00866759,0.46760651,1.43839669,0.47918388,1.66500909,0.91217206,1.60368817,0.00000000
-5.89794897,3.39439264,0.00852913,0.47516042,1.44436179,0.49340352,1.67696258,0.93259076,1.61239886,0.00000000
-5.89194597,3.43192745,0.00837864,0.48127087,1.44592536,0.50724784,1.68290091,0.95172710,1.61716232,0.00000000
