energy_ev,total_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.41927499,0.76534736,0.34711542,0.13730144,0.31600611,0.20206541,0.00000000
-5.99399700,1.39025076,0.71645656,0.34278378,0.14391341,0.30385684,0.19381846,0.00000000
-5.98799400,1.36488051,0.66966248,0.33914153,0.15068949,0.29184244,0.18685985,0.00000000
-5.98199100,1.34304321,0.62524078,0.33614515,0.15755011,0.28008330,0.18111950,0.00000000
-5.97598799,1.32449018,0.58338869,0.33372289,0.16440688,0.26867969,0.17650036,0.00000000
-5.96998499,1.30885993,0.54422877,0.33177798,0.17116459,0.25771143,0.17288294,0.00000000
-5.96398199,1.29569699,0.50781460,0.33019290,0.17772370,0.24723829,0.17013048,0.00000000
-5.95797899,1.28447408,0.47413815,0.32883449,0.18398327,0.23730114,0.16809433,0.00000000
-5.95197599,1.27461655,0.44313829,0.32755967,0.18984413,0.22792368,0.16661955,0.00000000
-5.94597299,1.26552822,0.41471011,0.32622157,0.19521226,0.21911471,0.16555040,0.00000000
-5.93996998,1.25661727,0.38871453,0.32467579,0.20000219,0.21087063,0.16473551,0.00000000
-5.93396698,1.24732122,0.36498792,0.32278641,0.20414011,0.20317825,0.16403275,0.00000000
-5.92796398,1.23712965,0.34335122,0.32043169,0.20756673,0.19601745,0.16331332,0.00000000
-5.92196098,1.22560381,0.32361837,0.31750888,0.21023957,0.18936384,0.16246518,0.00000000
-5.91595798,1.21239208,0.30560368,0.31393824,0.21213449,0.18319100,0.16139562,0.00000000
-5.90995498,1.19724062,0.28912809,0.30966576,0.21324652,0.17747240,0.16003284,0.00000000
-5.90395198,1.17999880,0.27402394,0.30466469,0.21358975,0.17218277,0.15832667,0.00000000
-5.89794897,1.16061929,0.26013849,0.29893570,0.21319635,0.16729893,0.15624822,0.00000000
-5.89194597,1.13915280,0.24733598,0.29250572,0.21211470,0.16280013,0.15378878,0.00000000
-5.88594297,1.11573814,0.23549837,0.28542554,0.21040680,0.15866771,0.15095784,0.00000000
-5.87993997,1.09058810,0.22452499,0.27776636,0.20814501,0.15488452,0.14778050,0.00000000
-5.87393697,1.06397222,0.21433114,0.26961543,0.20540829,0.15143378,0.14429438,0.00000000
-5.86793397,1.03619746,0.20484595,0.26107119,0.20227833,0.14829783,0.14054625,0.00000000
-5.86193097,1.00758810,0.19600981,0.25223798,0.19883553,0.14545677,0.13658850,0.00000000
-5.85592796,0.97846589,0.18777141,0.24322091,0.19515527,0.14288712,0.13247571,0.00000000
-5.84992496,0.94913179,0.18008491,0.23412093,0.19130459,0.14056073,0.12826149,0.00000000
-5.84392196,0.91985025,0.17290721,0.22503047,0.18733949,0.13844392,0.12399566,0.00000000
-5.83791896,0.89083688,0.16619571,0.21602988,0.18330297,0.13649719,0.11972203,0.00000000
-5.83191596,0.86225002,0.15990656,0.20718482,0.17922396,0.13467520,0.11547671,0.00000000
-5.82591296,0.83418671,0.15399354,0.19854472,0.17511714,0.13292743,0.11128716,0.00000000
-5.81990995,0.80668284,0.14840760,0.19014218,0.17098361,0.13119925,0.10717182,0.00000000
-5.81390695,0.77971751,0.14309715,0.18199356,0.16681238,0.12943339,0.10314044,0.00000000
-5.80790395,0.75322086,0.13800879,0.17410041,0.16258258,0.12757186,0.09919493,0.00000000
-5.80190095,0.72708490,0.13308865,0.16645163,0.15826614,0.12555807,0.09533066,0.00000000
-5.79589795,0.70117630,0.12828404,0.15902634,0.15383084,0.12333897,0.09153814,0.00000000
-5.78989495,0.67535037,0.12354533,0.15179699,0.14924351,0.12086734,0.08780491,0.00000000
-5.78389195,0.64946529,0.11882786,0.14473270,0.14447312,0.11810376,0.08411749,0.00000000
