energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.30872763,0.07161073,0.03540256,0.99911403,0.12957011,2.02520101,1.46441358,0.94163284
-5.99399700,4.31917745,0.07124658,0.03539806,0.97741263,0.12859057,2.05674058,1.48200764,0.94719482
-5.98799400,4.33196514,0.07099442,0.03548121,0.95550797,0.12768292,2.09018555,1.50254707,0.95351081
-5.98199100,4.34738086,0.07086808,0.03564445,0.93363866,0.12685172,2.12538270,1.52625907,0.96066720
-5.97598799,4.36555645,0.07087842,0.03587812,0.91202326,0.12609596,2.16208794,1.55329050,0.96870241
-5.96998499,4.38645414,0.07103278,0.03617052,0.89085652,0.12540923,2.19996689,1.58370040,0.97760187
-5.96398199,4.40986209,0.07133452,0.03650816,0.87030699,0.12478020,2.23859864,1.61745555,0.98729541
-5.95797899,4.43539711,0.07178269,0.03687600,0.85051592,0.12419329,2.27748296,1.65442915,0.99765712
-5.95197599,4.46251447,0.07237173,0.03725782,0.83159730,0.12362948,2.31605057,1.69440255,1.00850775
-5.94597299,4.49052447,0.07309139,0.03763653,0.81363899,0.12306730,2.35367652,1.73706997,1.01961955
-5.93996998,4.51861542,0.07392680,0.03799459,0.79670475,0.12248388,2.38969620,1.78204591,1.03072345
-5.93396698,4.54588201,0.07485867,0.03831449,0.78083698,0.12185605,2.42342370,1.82887510,1.04151821
-5.92796398,4.57135847,0.07586370,0.03857921,0.76605992,0.12116152,2.45417201,1.87704441,1.05168124
-5.92196098,4.59405517,0.07691525,0.03877272,0.75238336,0.12037995,2.48127454,1.92599668,1.06088059
-5.91595798,4.61299758,0.07798405,0.03888043,0.73980633,0.11949406,2.50410717,1.97514575,1.06878760
-5.90995498,4.62726605,0.07903925,0.03888975,0.72832099,0.11849054,2.52211032,2.02389245,1.07508976
-5.90395198,4.63603518,0.08004954,0.03879045,0.71791629,0.11736095,2.53481002,2.07164101,1.07950312
-5.89794897,4.63861109,0.08098437,0.03857511,0.70858148,0.11610236,2.54183749,2.11781554,1.08178378
-5.89194597,4.63446534,0.08181532,0.03823944,0.70030920,0.11471787,2.54294609,2.16187596,1.08173797
-5.88594297,4.62326398,0.08251740,0.03778253,0.69309819,0.11321689,2.53802534,2.20333314,1.07923030
-5.87993997,4.60489072,0.08307042,0.03720700,0.68695553,0.11161524,2.52711095,2.24176266,1.07418984
-5.87393697,4.57946292,0.08346019,0.03651906,0.68189821,0.10993492,2.51039071,2.27681696,1.06661380
-5.86793397,4.54733993,0.08367956,0.03572845,0.67795422,0.10820379,2.48820554,2.30823524,1.05656864
-5.86193097,4.50912308,0.08372927,0.03484827,0.67516289,0.10645487,2.46104582,2.33585111,1.04418873
