energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.43368502,0.10031665,0.09765397,0.01748087,0.02231079,0.18530929,0.00000000
-5.99399700,0.47092031,0.10832437,0.10792041,0.01904693,0.02520607,0.19855264,0.00000000
-5.98799400,0.51949382,0.11963516,0.12025075,0.02088397,0.02890493,0.21695043,0.00000000
-5.98199100,0.57927214,0.13428293,0.13460349,0.02296827,0.03344984,0.24041149,0.00000000
-5.97598799,0.65009198,0.15230020,0.15092346,0.02527312,0.03888253,0.26883851,0.00000000
-5.96998499,0.73173651,0.17371012,0.16913798,0.02776865,0.04524157,0.30211721,0.00000000
-5.96398199,0.82390986,0.19851731,0.18915309,0.03042184,0.05255970,0.34010456,0.00000000
-5.95797899,0.92621095,0.22669788,0.21084996,0.03319653,0.06086072,0.38261654,0.00000000
-5.95197599,1.03810809,0.25818935,0.23408189,0.03605370,0.07015640,0.42941612,0.00000000
-5.94597299,1.15891578,0.29288068,0.25867186,0.03895182,0.08044319,0.48020223,0.00000000
-5.93996998,1.28777515,0.33060316,0.28441110,0.04184741,0.09169923,0.53460029,0.00000000
-5.93396698,1.42363942,0.37112269,0.31105852,0.04469566,0.10388152,0.59215495,0.00000000
-5.92796398,1.56526566,0.41413401,0.33834146,0.04745130,0.11692364,0.65232579,0.00000000
-5.92196098,1.71121389,0.45925729,0.36595756,0.05006944,0.13073411,0.71448628,0.00000000
-5.91595798,1.85985451,0.50603771,0.39357803,0.05250659,0.14519554,0.77792659,0.00000000
-5.90995498,2.00938440,0.55394822,0.42085219,0.05472164,0.16016476,0.84186031,0.00000000
-5.90395198,2.15785208,0.60239576,0.44741324,0.05667684,0.17547398,0.90543541,0.00000000
-5.89794897,2.30319161,0.65073103,0.47288518,0.05833874,0.19093309,0.96774904,0.00000000
-5.89194597,2.44326468,0.69826164,0.49689076,0.05967900,0.20633311,1.02786615,0.00000000
-5.88594297,2.57590982,0.74426852,0.51906012,0.06067516,0.22145075,1.08484128,0.00000000
-5.87993997,2.69899731,0.78802494,0.53904000,0.06131113,0.23605399,1.13774288,0.00000000
-5.87393697,2.81048798,0.82881768,0.55650311,0.06157761,0.24990848,1.18567934,0.00000000
-5.86793397,2.90849378,0.86596957,0.57115744,0.06147221,0.26278462,1.22782579,0.00000000
-5.86193097,2.99133786,0.89886245,0.58275513,0.06099950,0.27446505,1.26345049,0.00000000
-5.85592796,3.05761163,0.92695970,0.59110048,0.06017076,0.28475216,1.29193990,0.00000000
-5.84992496,3.10622649,0.94982726,0.59605698,0.05900360,0.29347545,1.31282116,0.00000000
-5.84392196,3.13645790,0.96715230,0.59755279,0.05752142,0.30049829,1.32578110,0.00000000
-5.83791896,3.14797960,0.97875853,0.59558476,0.05575276,0.30572383,1.33068077,0.00000000
