energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,6.03912031,0.00744534,0.00000000,0.03848381,0.18311958,0.02304279,3.83147448,2.30717557,2.03468125
-5.99399700,6.16336381,0.00740364,0.00000000,0.03917921,0.19418990,0.02348964,3.89841030,2.33005376,2.10239647
-5.98799400,6.29651796,0.00738958,0.00000000,0.04010308,0.20684061,0.02411306,3.97181710,2.36306760,2.16759990
-5.98199100,6.43890929,0.00740828,0.00000000,0.04128126,0.22112752,0.02492770,4.05212700,2.40711920,2.22966780
-5.97598799,6.59058301,0.00746395,0.00000000,0.04273398,0.23707303,0.02594399,4.13957219,2.46285695,2.28800714
-5.96998499,6.75127304,0.00755968,0.00000000,0.04447457,0.25466164,0.02716755,4.23416006,2.53064077,2.34206998
-5.96398199,6.92038000,0.00769736,0.00000000,0.04650838,0.27383665,0.02859859,4.33565406,2.61051500,2.39136621
-5.95797899,7.09695847,0.00787751,0.00000000,0.04883194,0.29449802,0.03023145,4.44356134,2.70219037,2.43547409
-5.95197599,7.27971460,0.00809927,0.00000000,0.05143235,0.31650188,0.03205434,4.55712799,2.80503622,2.47404813
-5.94597299,7.46701497,0.00836032,0.00000000,0.05428714,0.33966169,0.03404930,4.67534256,2.91808366,2.50682401
-5.93996998,7.65690740,0.00865697,0.00000000,0.05736433,0.36375114,0.03619226,4.79694827,3.04004018,2.53362051
-5.93396698,7.84715411,0.00898418,0.00000000,0.06062305,0.38850903,0.03845339,4.92046426,3.16931586,2.55433855
-5.92796398,8.03527705,0.00933569,0.00000000,0.06401445,0.41364570,0.04079767,5.04421566,3.30406047,2.56895771
-5.92196098,8.21861507,0.00970421,0.00000000,0.06748303,0.43885120,0.04318560,5.16637230,3.44221098,2.57753065
-5.91595798,8.39439176,0.01008159,0.00000000,0.07096827,0.46380466,0.04557418,5.28499517,3.58154771,2.58017603
-5.90995498,8.55979243,0.01045906,0.00000000,0.07440665,0.48818467,0.04791799,5.39808945,3.71975771,2.57707063
-5.90395198,8.71204784,0.01082751,0.00000000,0.07773378,0.51168010,0.05017047,5.50366280,3.85450283,2.56844126
-5.89794897,8.84852207,0.01117774,0.00000000,0.08088670,0.53400096,0.05228518,5.59978670,3.98349020,2.55455700
-5.89194597,8.96680100,0.01150076,0.00000000,0.08380628,0.55488876,0.05421728,5.68465887,4.10454219,2.53572232
-5.88594297,9.06477785,0.01178808,0.00000000,0.08643943,0.57412573,0.05592479,5.75666411,4.21566303,2.51227136
-5.87993997,9.14073165,0.01203194,0.00000000,0.08874125,0.59154248,0.05736997,5.81443094,4.31509924,2.48456339
-5.87393697,9.19339490,0.01222560,0.00000000,0.09067683,0.60702362,0.05852043,5.85688148,4.40139121,2.45297964
-5.86793397,9.22200638,0.01236352,0.00000000,0.09222268,0.62051095,0.05935021,5.88327193,4.47341346,2.41792098
-5.86193097,9.22634608,0.01244150,0.00000000,0.09336777,0.63200397,0.05984057,5.89322147,4.53040184,2.37980634
-5.85592796,9.20674943,0.01245686,0.00000000,0.09411397,0.64155766,0.05998050,5.88672772,4.57196621,2.33907131
-5.84992496,9.16409921,0.01240844,0.00000000,0.09447598,0.64927744,0.05976707,5.86416757,4.59808809,2.29616637
-5.84392196,9.09979461,0.01229663,0.00000000,0.09448072,0.65531171,0.05920540,5.82628265,4.60910329,2.25155436
-5.83791896,9.01569792,0.01212334,0.00000000,0.09416612,0.65984211,0.05830836,5.77414990,4.60567047,2.20570678
-5.83191596,8.91406069,0.01189186,0.00000000,0.09357950,0.66307224,0.05709607,5.70913792,4.58872719,2.15909848
-5.82591296,8.79743256,0.01160676,0.00000000,0.09277542,0.66521520,0.05559507,5.63285102,4.55943574,2.11220082
-5.81990995,8.66855669,0.01127367,0.00000000,0.09181331,0.66648090,0.05383733,5.54706339,4.51912158,2.06547327
-5.81390695,8.53025702,0.01089907,0.00000000,0.09075480,0.66706364,0.05185911,5.45364649,4.46920756,2.01935368
-5.80790395,8.38532283,0.01049005,0.00000000,0.08966105,0.66713098,0.04969965,5.35449302,4.41114744,1.97424772
-5.80190095,8.23639667,0.01005411,0.00000000,0.08859006,0.66681419,0.04739992,5.25144148,4.34636214,1.93051814
-5.79589795,8.08587162,0.00959886,0.00000000,0.08759422,0.66620130,0.04500125,5.14620489,4.27618197,1.88847437
-5.78989495,7.93580321,0.00913181,0.00000000,0.08671814,0.66533284,0.04254413,5.04030747,4.20179786,1.84836359
-5.78389195,7.78784103,0.00866019,0.00000000,0.08599692,0.66420079,0.04006705,4.93503248,4.12422385,1.81036357
-5.77788894,7.64318349,0.00819074,0.00000000,0.08545491,0.66275070,0.03760553,4.83138393,4.04427267,1.77457840
-5.77188594,7.50255835,0.00772959,0.00000000,0.08510510,0.66088696,0.03519135,4.73006397,3.96254526,1.74103733
-5.76588294,7.36622988,0.00728217,0.00000000,0.08494902,0.65848089,0.03285195,4.63146717,3.87943430,1.70969728
-5.75987994,7.23403210,0.00685311,0.00000000,0.08497737,0.65538121,0.03061006,4.53569169,3.79514119,1.68044895
-5.75387694,7.10542594,0.00644629,0.00000000,0.08517114,0.65142621,0.02848356,4.44256651,3.70970471,1.65312652
-5.74787394,6.97957683,0.00606479,0.00000000,0.08550324,0.64645698,0.02648558,4.35169298,3.62303950,1.62752046
-5.74187094,6.85544807,0.00571101,0.00000000,0.08594068,0.64033085,0.02462471,4.26249814,3.53498148,1.60339279
-5.73586793,6.73190412,0.00538670,0.00000000,0.08644687,0.63293424,0.02290542,4.17429655,3.44533711,1.58049388
-5.72986493,6.60781785,0.00509310,0.00000000,0.08698427,0.62419417,0.02132862,4.08635693,3.35393357,1.55857985
-5.72386193,6.48217503,0.00483103,0.00000000,0.08751700,0.61408770,0.01989224,3.99796971,3.26066623,1.53742937
-5.71785893,6.35417006,0.00460101,0.00000000,0.08801333,0.60264869,0.01859190,3.90851152,3.16554088,1.51685883
-5.71185593,6.22328700,0.00440336,0.00000000,0.08844796,0.58997161,0.01742161,3.81750284,3.06870779,1.49673471
-5.70585293,6.08936134,0.00423834,0.00000000,0.08880394,0.57621195,0.01637439,3.72465555,2.97048581,1.47698239
-5.69984992,5.95261862,0.00410616,0.00000000,0.08907402,0.56158333,0.01544285,3.62990769,2.87137489,1.45759071
