energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,1.12893160,0.01335846,0.03413649,0.13199971,0.11722310,0.41265475,0.40770567,0.00698677,0.62887191
-5.99399700,1.22002486,0.01505030,0.03585648,0.14360447,0.12608239,0.45089095,0.43815815,0.00793640,0.68330133
-5.98799400,1.32242384,0.01683733,0.03783411,0.15641242,0.13584822,0.49357933,0.47300237,0.00895641,0.74456461
-5.98199100,1.43636101,0.01870422,0.04008808,0.17043456,0.14652286,0.54084567,0.51233549,0.01004194,0.81281162
-5.97598799,1.56179824,0.02063218,0.04263051,0.18565219,0.15808319,0.59272046,0.55614853,0.01118629,0.88803688
-5.96998499,1.69840116,0.02259920,0.04546593,0.20201417,0.17047873,0.64912701,0.60431748,0.01238088,0.97006406
-5.96398199,1.84552148,0.02458036,0.04859050,0.21943504,0.18363057,0.70987213,0.65659750,0.01361533,1.05853488
-5.95797899,2.00218841,0.02654828,0.05199139,0.23779419,0.19743128,0.77463988,0.71262060,0.01487751,1.15290295
-5.95197599,2.16711017,0.02847378,0.05564650,0.25693624,0.21174582,0.84298886,0.77189709,0.01615377,1.25243331
-5.94597299,2.33868617,0.03032650,0.05952450,0.27667266,0.22641350,0.91435347,0.83382110,0.01742911,1.35620798
-5.93996998,2.51503019,0.03207582,0.06358512,0.29678462,0.24125097,0.98804924,0.89768017,0.01868752,1.46313788
-5.93396698,2.69400433,0.03369163,0.06777988,0.31702708,0.25605618,1.06328256,0.96266878,0.01991229,1.57198097
-5.92796398,2.87326312,0.03514532,0.07205303,0.33713401,0.27061316,1.13916452,1.02790570,0.02108640,1.68136648
-5.92196098,3.05030674,0.03641061,0.07634284,0.35682462,0.28469753,1.21472879,1.09245449,0.02219295,1.78982457
-5.91595798,3.22254172,0.03746442,0.08058323,0.37581040,0.29808247,1.28895302,1.15534682,0.02321557,1.89582076
-5.90995498,3.38734744,0.03828766,0.08470544,0.39380272,0.31054505,1.36078320,1.21560758,0.02413885,1.99779398
-5.90395198,3.54214594,0.03886580,0.08864006,0.41052077,0.32187258,1.42916031,1.27228121,0.02494876,2.09419718
-5.89794897,3.68447281,0.03918942,0.09231900,0.42569954,0.33186884,1.49304827,1.32445800,0.02563303,2.18353882
-5.89194597,3.81204640,0.03925450,0.09567758,0.43909744,0.34035979,1.55146226,1.37129965,0.02618149,2.26442413
-5.88594297,3.92283286,0.03906252,0.09865645,0.45050346,0.34719881,1.60349647,1.41206296,0.02658635,2.33559426
-5.87993997,4.01510442,0.03862042,0.10120349,0.45974334,0.35227098,1.64835006,1.44612074,0.02684243,2.39596204
