energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,7.08875726,0.22219833,0.00712791,0.02608933,4.74395299,3.66813980,2.86694377
-5.99399700,6.89324032,0.21191729,0.00678628,0.02426463,4.64002499,3.59208344,2.79617891
-5.98799400,6.67117431,0.20133602,0.00643114,0.02246705,4.51547923,3.50046134,2.71369216
-5.98199100,6.42605257,0.19056945,0.00606779,0.02071646,4.37249740,3.39478769,2.62088462
-5.97598799,6.16190161,0.17973842,0.00570155,0.01903125,4.21369785,3.27693887,2.51939196
-5.96998499,5.88319939,0.16896808,0.00533767,0.01742834,4.04207727,3.14911055,2.41104936
-5.96398199,5.59477784,0.15838598,0.00498128,0.01592310,3.86093931,3.01376298,2.29784975
-5.95797899,5.30171371,0.14811993,0.00463727,0.01452944,3.67381306,2.87355656,2.18189679
-5.95197599,5.00921182,0.13829589,0.00431028,0.01325987,3.48436473,2.73128071,2.06535451
-5.94597299,4.72248534,0.12903564,0.00400464,0.01212562,3.29630604,2.58977905,1.95039558
-5.93996998,4.44663745,0.12045474,0.00372427,0.01113675,3.11330288,2.45187381,1.83915009
-5.93396698,4.18654883,0.11266041,0.00347273,0.01030232,2.93888770,2.32029278,1.73365673
-5.92796398,3.94677439,0.10574980,0.00325312,0.00963051,2.77637863,2.19760119,1.63581797
-5.92196098,3.73145265,0.09980841,0.00306807,0.00912873,2.62880788,2.08614115,1.54736075
-5.91595798,3.54422981,0.09490879,0.00291976,0.00880371,2.49886146,1.98798040,1.46980352
-5.90995498,3.38820004,0.09110961,0.00280987,0.00866153,2.38883142,1.90487162,1.40443051
-5.90395198,3.26586261,0.08845496,0.00273959,0.00870766,2.30058145,1.83822317,1.35227343
-5.89794897,3.17909567,0.08697397,0.00270963,0.00894684,2.23552564,1.78908149,1.31410064
-5.89194597,3.12914561,0.08668066,0.00272020,0.00938299,2.19462000,1.75812459,1.29041343
-5.88594297,3.11663081,0.08757401,0.00277102,0.01001902,2.17836563,1.74566615,1.28144879
-5.87993997,3.14155753,0.08963819,0.00286133,0.01085658,2.18682210,1.75166887,1.28718787
-5.87393697,3.20334608,0.09284297,0.00298990,0.01189577,2.21962938,1.77576565,1.30736918
-5.86793397,3.30086474,0.09714412,0.00315502,0.01313478,2.27603636,1.81728706,1.34150543
-5.86193097,3.43246943,0.10248404,0.00335454,0.01456955,2.35493434,1.87529330,1.38890316
-5.85592796,3.59604692,0.10879226,0.00358587,0.01619339,2.45489343,1.94860890,1.44868390
-5.84992496,3.78906004,0.11598612,0.00384596,0.01799660,2.57420050,2.03585870,1.51980626
-5.84392196,4.00859339,0.12397142,0.00413141,0.01996618,2.71089714,2.13550349,1.60108802
-5.83791896,4.25139864,0.13264314,0.00443839,0.02208555,2.86281674,2.24587415,1.69122769
-5.83191596,4.51393907,0.14188630,0.00476275,0.02433437,3.02761986,2.36520336,1.78882524
-5.82591296,4.79243307,0.15157681,0.00510005,0.02668852,3.20282760,2.49165424,1.89240162
-5.81990995,5.08289704,0.16158265,0.00544555,0.02912015,3.38585277,2.62334547,2.00041726
-5.81390695,5.38118827,0.17176505,0.00579435,0.03159790,3.57402931,2.75837305,2.11128951
-5.80790395,5.68304848,0.18198003,0.00614138,0.03408733,3.76464013,2.89482879,2.22340930
-5.80190095,5.98414910,0.19208010,0.00648154,0.03655138,3.95494434,3.03081621,2.33515749
-5.79589795,6.28013894,0.20191625,0.00680972,0.03895114,4.14220423,3.16446434,2.44492110
-5.78989495,6.56669513,0.21134014,0.00712093,0.04124665,4.32371307,3.29394054,2.55111003
-5.78389195,6.83957772,0.22020654,0.00741036,0.04339785,4.49682407,3.41746287,2.65217437
-5.77788894,7.09468795,0.22837595,0.00767349,0.04536564,4.65898119,3.53331318,2.74662271
-5.77188594,7.32813009,0.23571729,0.00790619,0.04711288,4.80775192,3.63985147,2.83304146
-5.76588294,7.53627579,0.24211067,0.00810477,0.04860556,4.94086202,3.73553206,2.91011521
-5.75987994,7.71582980,0.24745011,0.00826612,0.04981375,5.05623186,3.81892199,2.97664772
-5.75387694,7.86389533,0.25164604,0.00838773,0.05071258,5.15201367,3.88872145,3.03158328
-5.74787394,7.97803683,0.25462757,0.00846779,0.05128306,5.22662859,3.94378619,3.07402780
