energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,4.67649887,-4.30743280,0.12029532,-0.10986729,0.52517601,-0.66620691,0.63929711,-0.60885867,0.67602245,-0.63527240,0.05027048,-0.04537493,1.82152472,-1.44757585,0.44915903,-0.39378113,0.20365469,-0.18314080
-5.99399700,4.90814734,-4.37999297,0.12507851,-0.11111039,0.53182090,-0.64623465,0.67619112,-0.61577271,0.69388437,-0.62734844,0.05319184,-0.04717771,1.94280092,-1.51917213,0.47503710,-0.39895546,0.21582881,-0.19094308
-5.98799400,5.15106390,-4.47393960,0.12998426,-0.11271134,0.54072826,-0.62899981,0.71648594,-0.62782263,0.71338161,-0.62138129,0.05613976,-0.04914292,2.06717385,-1.59905800,0.50266173,-0.40749667,0.22829996,-0.19944697
-5.98199100,5.40188204,-4.58890235,0.13493707,-0.11470219,0.55170000,-0.61475344,0.75979987,-0.64506117,0.73417044,-0.61762012,0.05906672,-0.05124788,2.19307143,-1.68663365,0.53171647,-0.41940147,0.24089389,-0.20858316
-5.97598799,5.65706214,-4.72418356,0.13985596,-0.11710390,0.56451816,-0.60371364,0.80572419,-0.66749739,0.75588043,-0.61626912,0.06192384,-0.05346609,2.31885430,-1.78116402,0.56185831,-0.43461772,0.25342769,-0.21826878
-5.96998499,5.91295822,-4.87873903,0.14465610,-0.11992479,0.57894643,-0.59605560,0.85382758,-0.69509017,0.77812056,-0.61747791,0.06466215,-0.05576760,2.44285055,-1.88178323,0.59272142,-0.45304233,0.26571413,-0.22840778
-5.96398199,6.16589160,-5.05116836,0.14925064,-0.12315921,0.59473212,-0.59190247,0.90366108,-0.72774208,0.80048596,-0.62133353,0.06723395,-0.05811945,2.56339359,-1.98750304,0.62392178,-0.47452012,0.27756630,-0.23889177
-5.95797899,6.41222899,-5.23971622,0.15355267,-0.12678681,0.61160874,-0.59131766,0.95476369,-0.76529403,0.82256525,-0.62785442,0.06959416,-0.06048627,2.67886162,-2.09722538,0.65506258,-0.49884365,0.28880268,-0.24960147
-5.95197599,6.64846220,-5.44228514,0.15747729,-0.13077217,0.62929910,-0.59429880,1.00666812,-0.80752093,0.84394819,-0.63698660,0.07170176,-0.06283112,2.78771734,-2.20975866,0.68574038,-0.52575438,0.29925207,-0.26040865
-5.94597299,6.87128622,-5.65646003,0.16094360,-0.13506507,0.64751876,-0.60077381,1.05890673,-0.85412885,0.86423350,-0.64860234,0.07352104,-0.06511628,2.88854602,-2.32383751,0.71555171,-0.55494485,0.30875854,-0.27117851
-5.93996998,7.07767275,-5.87954380,0.16387671,-0.13960119,0.66597993,-0.61059920,1.11101726,-0.90475369,0.88303662,-0.66250131,0.07502279,-0.06730421,2.98009048,-2.43814538,0.74410004,-0.58606214,0.31718588,-0.28177248
-5.93396698,7.26493603,-6.10860312,0.16620963,-0.14430343,0.68439555,-0.62356075,1.16254815,-0.95896160,0.89999721,-0.67841428,0.07618525,-0.06935859,3.06128146,-2.55133917,0.77100278,-0.61871247,0.32442157,-0.29205128
-5.92796398,7.43078850,-6.34052267,0.16788489,-0.14908368,0.70248347,-0.63937642,1.21306340,-1.01625128,0.91478616,-0.69600917,0.07699483,-0.07124521,3.13126204,-2.66207507,0.79589818,-0.65246676,0.33037987,-0.30187814
-5.92196098,7.57338399,-6.57206605,0.16885606,-0.15384501,0.71997065,-0.65770160,1.26214660,-1.07605802,0.92711196,-0.71489928,0.07744655,-0.07293300,3.18940507,-2.76903483,0.81845185,-0.68686724,0.33500415,-0.31112211
-5.91595798,7.69134716,-6.79994122,0.16908879,-0.15848429,0.73659725,-0.67813627,1.30940424,-1.13775961,0.93672629,-0.73465335,0.07754421,-0.07439487,3.23532304,-2.87095133,0.83836273,-0.72143470,0.33826810,-0.31966117
