energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,2.54174452,0.01695942,0.08866817,0.64096160,0.37392172,1.71787807,0.00000000
-5.99399700,2.56047398,0.01609480,0.08658393,0.64860410,0.37538292,1.73517226,0.00000000
-5.98799400,2.57214763,0.01532167,0.08461466,0.65431102,0.37589634,1.74706550,0.00000000
-5.98199100,2.57579949,0.01462370,0.08273855,0.65784010,0.37531216,1.75288981,0.00000000
-5.97598799,2.57064111,0.01398570,0.08093277,0.65899424,0.37350511,1.75210985,0.00000000
-5.96998499,2.55609567,0.01339409,0.07917449,0.65763056,0.37037964,1.74434660,0.00000000
-5.96398199,2.53182315,0.01283738,0.07744173,0.65366727,0.36587382,1.72939452,0.00000000
-5.95797899,2.49773530,0.01230637,0.07571416,0.64708797,0.35996167,1.70723142,0.00000000
-5.95197599,2.45399975,0.01179434,0.07397371,0.63794313,0.35265410,1.67802039,0.00000000
-5.94597299,2.40103302,0.01129703,0.07220497,0.62634870,0.34399815,1.64210378,0.00000000
-5.93996998,2.33948299,0.01081258,0.07039551,0.61248190,0.33407479,1.59998958,0.00000000
-5.93396698,2.27020182,0.01034136,0.06853601,0.59657434,0.32299539,1.55233090,0.00000000
-5.92796398,2.19421090,0.00988563,0.06662022,0.57890305,0.31089707,1.49989978,0.00000000
-5.92196098,2.11265970,0.00944930,0.06464482,0.55977962,0.29793717,1.44355666,0.00000000
-5.91595798,2.02678089,0.00903755,0.06260921,0.53953826,0.28428720,1.38421714,0.00000000
-5.90995498,1.93784391,0.00865639,0.06051515,0.51852328,0.27012657,1.32281783,0.00000000
-5.90395198,1.84710944,0.00831234,0.05836650,0.49707662,0.25563636,1.26028291,0.00000000
-5.89794897,1.75578691,0.00801202,0.05616877,0.47552616,0.24099345,1.19749306,0.00000000
-5.89194597,1.66499701,0.00776180,0.05392882,0.45417516,0.22636536,1.13525816,0.00000000
-5.88594297,1.57574074,0.00756743,0.05165451,0.43329349,0.21190575,1.07429490,0.00000000
-5.87993997,1.48887602,0.00743384,0.04935440,0.41311085,0.19775104,1.01521005,0.00000000
-5.87393697,1.40510262,0.00736480,0.04703751,0.39381229,0.18401796,0.95848999,0.00000000
-5.86793397,1.32495543,0.00736283,0.04471311,0.37553600,0.17080218,0.90449641,0.00000000
-5.86193097,1.24880583,0.00742897,0.04239058,0.35837353,0.15817800,0.85346802,0.00000000
-5.85592796,1.17687026,0.00756276,0.04007928,0.34237198,0.14619890,0.80552777,0.00000000
-5.84992496,1.10922519,0.00776218,0.03778851,0.32753820,0.13489895,0.76069460,0.00000000
-5.84392196,1.04582686,0.00802367,0.03552746,0.31384439,0.12429484,0.71889889,0.00000000
-5.83791896,0.98653451,0.00834224,0.03330519,0.30123491,0.11438836,0.68000042,0.00000000
-5.83191596,0.93113563,0.00871153,0.03113067,0.28963377,0.10516923,0.64380765,0.00000000
-5.82591296,0.87937154,0.00912402,0.02901277,0.27895234,0.09661798,0.61009735,0.00000000
-5.81990995,0.83096213,0.00957124,0.02696028,0.26909701,0.08870883,0.57863339,0.00000000
-5.81390695,0.78562854,0.01004397,0.02498197,0.25997634,0.08141240,0.54918388,0.00000000
-5.80790395,0.74311285,0.01053256,0.02308660,0.25150745,0.07469811,0.52153602,0.00000000
-5.80190095,0.70319400,0.01102717,0.02128293,0.24362134,0.06853623,0.49550796,0.00000000
-5.79589795,0.66569968,0.01151812,0.01957974,0.23626704,0.06289953,0.47095754,0.00000000
-5.78989495,0.63051389,0.01199615,0.01798588,0.22941453,0.05776446,0.44778773,0.00000000
-5.78389195,0.59758027,0.01245274,0.01651024,0.22305621,0.05311191,0.42594877,0.00000000
-5.77788894,0.56690148,0.01288035,0.01516177,0.21720716,0.04892754,0.40543725,0.00000000
-5.77188594,0.53853496,0.01327266,0.01394945,0.21190408,0.04520173,0.38629255,0.00000000
-5.76588294,0.51258565,0.01362475,0.01288232,0.20720314,0.04192925,0.36859087,0.00000000
-5.75987994,0.48919628,0.01393324,0.01196937,0.20317678,0.03910856,0.35243754,0.00000000
-5.75387694,0.46853571,0.01419632,0.01121956,0.19990968,0.03674099,0.33795790,0.00000000
-5.74787394,0.45078614,0.01441377,0.01064166,0.19749401,0.03482972,0.32528737,0.00000000
-5.74187094,0.43612963,0.01458687,0.01024417,0.19602425,0.03337866,0.31456120,0.00000000
-5.73586793,0.42473460,0.01471823,0.01003515,0.19559167,0.03239128,0.30590427,0.00000000
-5.72986493,0.41674271,0.01481163,0.01002201,0.19627865,0.03186946,0.29942136,0.00000000
-5.72386193,0.41225672,0.01487167,0.01021125,0.19815317,0.03181239,0.29518832,0.00000000
-5.71785893,0.41132963,0.01490355,0.01060818,0.20126358,0.03221548,0.29324433,0.00000000
-5.71185593,0.41395545,0.01491268,0.01121655,0.20563378,0.03306945,0.29358559,0.00000000
-5.70585293,0.42006200,0.01490435,0.01203822,0.21125914,0.03435956,0.29616061,0.00000000
-5.69984992,0.42950582,0.01488343,0.01307268,0.21810329,0.03606490,0.30086725,0.00000000
-5.69384692,0.44206956,0.01485404,0.01431670,0.22609585,0.03815800,0.30755160,0.00000000
-5.68784392,0.45746179,0.01481928,0.01576392,0.23513140,0.04060458,0.31600878,0.00000000
-5.68184092,0.47531950,0.01478112,0.01740444,0.24506960,0.04336348,0.32598567,0.00000000
-5.67583792,0.49521310,0.01474019,0.01922454,0.25573676,0.04638690,0.33718545,0.00000000
-5.66983492,0.51665400,0.01469579,0.02120643,0.26692858,0.04962083,0.34927385,0.00000000
-5.66383192,0.53910441,0.01464591,0.02332816,0.27841432,0.05300573,0.36188700,0.00000000
-5.65782891,0.56198939,0.01458736,0.02556360,0.28994209,0.05647746,0.37464056,0.00000000
-5.65182591,0.58471048,0.01451596,0.02788262,0.30124519,0.05996840,0.38713980,0.00000000
-5.64582291,0.60666074,0.01442678,0.03025141,0.31204927,0.06340875,0.39899044,0.00000000
-5.63981991,0.62724059,0.01431444,0.03263300,0.32208013,0.06672808,0.40980964,0.00000000
-5.63381691,0.64587394,0.01417342,0.03498789,0.33107172,0.06985686,0.41923701,0.00000000
-5.62781391,0.66202393,0.01399840,0.03727495,0.33877416,0.07272813,0.42694485,0.00000000
-5.62181091,0.67520783,0.01378458,0.03945231,0.34496143,0.07527923,0.43264765,0.00000000
-5.61580790,0.68501041,0.01352796,0.04147846,0.34943832,0.07745331,0.43611008,0.00000000
-5.60980490,0.69109529,0.01322559,0.04331340,0.35204650,0.07920093,0.43715342,0.00000000
-5.60380190,0.69321382,0.01287576,0.04491975,0.35266930,0.08048130,0.43566001,0.00000000
-5.59779890,0.69121112,0.01247813,0.04626393,0.35123514,0.08126341,0.43157566,0.00000000
-5.59179590,0.68502905,0.01203379,0.04731720,0.34771934,0.08152680,0.42490993,0.00000000
-5.58579290,0.67470608,0.01154523,0.04805656,0.34214442,0.08126212,0.41573415,0.00000000
-5.57978989,0.66037398,0.01101626,0.04846554,0.33457869,0.08047120,0.40417757,0.00000000
-5.57378689,0.64225163,0.01045190,0.04853474,0.32513341,0.07916692,0.39042162,0.00000000
-5.56778389,0.62063619,0.00985815,0.04826214,0.31395856,0.07737269,0.37469263,0.00000000
-5.56178089,0.59589209,0.00924177,0.04765321,0.30123747,0.07512155,0.35725341,0.00000000
-5.55577789,0.56843834,0.00861005,0.04672069,0.28718059,0.07245515,0.33839403,0.00000000
-5.54977489,0.53873470,0.00797053,0.04548422,0.27201863,0.06942231,0.31842216,0.00000000
-5.54377189,0.50726732,0.00733076,0.04396968,0.25599544,0.06607762,0.29765352,0.00000000
-5.53776888,0.47453451,0.00669803,0.04220842,0.23936093,0.06247976,0.27640263,0.00000000
-5.53176588,0.44103309,0.00607916,0.04023626,0.22236423,0.05868988,0.25497438,0.00000000
-5.52576288,0.40724594,0.00548035,0.03809255,0.20524754,0.05477006,0.23365651,0.00000000
-5.51975988,0.37363107,0.00490701,0.03581904,0.18824066,0.05078177,0.21271346,0.00000000
-5.51375688,0.34061267,0.00436365,0.03345888,0.17155658,0.04678457,0.19238154,0.00000000
-5.50775388,0.30857428,0.00385387,0.03105570,0.15538812,0.04283501,0.17286551,0.00000000
-5.50175088,0.27785424,0.00338029,0.02865275,0.13990573,0.03898577,0.15433676,0.00000000
-5.49574787,0.24874344,0.00294462,0.02629229,0.12525644,0.03528513,0.13693272,0.00000000
-5.48974487,0.22148537,0.00254767,0.02401512,0.11156404,0.03177665,0.12075771,0.00000000
-5.48374187,0.19627811,0.00218949,0.02186039,0.09893016,0.02849923,0.10588479,0.00000000
-5.47773887,0.17327828,0.00186940,0.01986558,0.08743639,0.02548741,0.09235866,0.00000000
-5.47173587,0.15260650,0.00158617,0.01806675,0.07714716,0.02277191,0.08019917,0.00000000
-5.46573287,0.13435399,0.00133811,0.01649903,0.06811316,0.02038047,0.06940540,0.00000000
-5.45972986,0.11859016,0.00112316,0.01519716,0.06037525,0.01833876,0.05996002,0.00000000
-5.45372686,0.10537050,0.00093907,0.01419634,0.05396853,0.01667149,0.05183372,0.00000000
-5.44772386,0.09474472,0.00078346,0.01353306,0.04892645,0.01540359,0.04498953,0.00000000
-5.44172086,0.08676442,0.00065393,0.01324598,0.04528467,0.01456130,0.03938686,0.00000000
-5.43571786,0.08149030,0.00054813,0.01337677,0.04308465,0.01417332,0.03498513,0.00000000
-5.42971486,0.07899817,0.00046387,0.01397089,0.04237650,0.01427170,0.03174689,0.00000000
-5.42371186,0.07938372,0.00039909,0.01507814,0.04322125,0.01489266,0.02964020,0.00000000
-5.41770885,0.08276573,0.00035197,0.01675295,0.04569210,0.01607701,0.02864047,0.00000000
-5.41170585,0.08928728,0.00032092,0.01905439,0.04987470,0.01787031,0.02873142,0.00000000
-5.40570285,0.09911495,0.00030457,0.02204573,0.05586627,0.02032264,0.02990531,0.00000000
-5.39969985,0.11243586,0.00030181,0.02579361,0.06377349,0.02348794,0.03216244,0.00000000
-5.39369685,0.12945225,0.00031173,0.03036673,0.07370922,0.02742282,0.03550987,0.00000000
-5.38769385,0.15037391,0.00033360,0.03583396,0.08578785,0.03218501,0.03995946,0.00000000
-5.38169085,0.17540829,0.00036687,0.04226204,0.10011965,0.03783122,0.04552523,0.00000000
-5.37568784,0.20474861,0.00041111,0.04971277,0.11680396,0.04441462,0.05222025,0.00000000
-5.36968484,0.23856031,0.00046596,0.05823974,0.13592158,0.05198192,0.06005307,0.00000000
-5.36368184,0.27696609,0.00053110,0.06788484,0.15752655,0.06057012,0.06902389,0.00000000
-5.35767884,0.32003031,0.00060619,0.07867448,0.18163773,0.07020305,0.07912056,0.00000000
-5.35167584,0.36774321,0.00069085,0.09061575,0.20823030,0.08088787,0.09031472,0.00000000
-5.34567284,0.42000580,0.00078459,0.10369278,0.23722801,0.09261164,0.10255818,0.00000000
-5.33966983,0.47661616,0.00088681,0.11786334,0.26849620,0.10533820,0.11577970,0.00000000
-5.33366683,0.53725804,0.00099672,0.13305601,0.30183635,0.11900541,0.12988249,0.00000000
-5.32766383,0.60149253,0.00111335,0.14916803,0.33698247,0.13352313,0.14474260,0.00000000
