energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.48124062,3.00885828,1.00891264,0.49108907,0.05698936,0.08041223,0.72981118,1.81883314,0.47525111,0.00000000
-4.47523762,3.00344324,0.96790154,0.48841787,0.06073307,0.08067772,0.72954217,1.81778234,0.47652842,0.00000000
-4.46923462,2.99455525,0.92459441,0.48444012,0.06452444,0.08089995,0.72931947,1.81512454,0.47747367,0.00000000
-4.46323162,2.98239042,0.87962268,0.47920219,0.06831086,0.08105843,0.72920652,1.81099180,0.47807769,0.00000000
-4.45722861,2.96711845,0.83361135,0.47276093,0.07203459,0.08113327,0.72924422,1.80549713,0.47832036,0.00000000
-4.45122561,2.94887347,0.78716476,0.46518236,0.07563419,0.08110558,0.72944795,1.79872617,0.47817119,0.00000000
-4.44522261,2.92774814,0.74085424,0.45654049,0.07904616,0.08095791,0.72980583,1.79073068,0.47759061,0.00000000
-4.43921961,2.90379140,0.69520804,0.44691619,0.08220675,0.08067467,0.73027803,1.78152448,0.47653202,0.00000000
-4.43321661,2.87701000,0.65070362,0.43639622,0.08505388,0.08024256,0.73079754,1.77108208,0.47494429,0.00000000
-4.42721361,2.84737386,0.60776242,0.42507234,0.08752905,0.07965091,0.73127242,1.75934016,0.47277486,0.00000000
-4.42121061,2.81482488,0.56674711,0.41304050,0.08957926,0.07889204,0.73158950,1.74620194,0.46997310,0.00000000
-4.41520760,2.77928897,0.52796096,0.40040011,0.09115869,0.07796157,0.73161956,1.73154439,0.46649399,0.00000000
-4.40920460,2.74069042,0.49164915,0.38725340,0.09223025,0.07685864,0.73122371,1.71522781,0.46230170,0.00000000
-4.40320160,2.69896781,0.45800165,0.37370466,0.09276679,0.07558610,0.73026088,1.69710737,0.45737308,0.00000000
-4.39719860,2.65409064,0.42715725,0.35985957,0.09275198,0.07415059,0.72859595,1.67704600,0.45170074,0.00000000
-4.39119560,2.60607540,0.39920830,0.34582443,0.09218087,0.07256256,0.72610818,1.65492777,0.44529555,0.00000000
