energy_ev,total_up,Au_p_up,Au_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,12.00660542,1.36418897,6.40909653,1.20362246,0.68581319,0.02089228,1.14267889,0.06350498,3.06692797
-5.99399700,12.22656162,1.39104492,6.55542680,1.21437522,0.69708628,0.02041591,1.16458024,0.06332864,3.11027942
-5.98799400,12.44967692,1.42016109,6.70210205,1.22643561,0.70868490,0.02003169,1.18646938,0.06325792,3.15482925
-5.98199100,12.67602215,1.45164205,6.84875168,1.23999739,0.72069354,0.01974837,1.20815167,0.06329408,3.20105195
-5.97598799,12.90545595,1.48553798,6.99492729,1.25520859,0.73318336,0.01957198,1.22941701,0.06343512,3.24937144
-5.96998499,13.13763160,1.52184503,7.14011325,1.27216757,0.74621051,0.01950577,1.25004954,0.06367622,3.30014675
-5.96398199,13.37200579,1.56050668,7.28373749,1.29091988,0.75981444,0.01955017,1.26983760,0.06401028,3.35365755
-5.95797899,13.60784849,1.60141574,7.42518192,1.31145609,0.77401643,0.01970291,1.28858339,0.06442839,3.41009003
-5.95197599,13.84425351,1.64441694,7.56379218,1.33371055,0.78881806,0.01995909,1.30611201,0.06492040,3.46952352
-5.94597299,14.08014941,1.68930984,7.69888657,1.35756125,0.80420000,0.02031141,1.32227932,0.06547538,3.53191859
-5.93996998,14.31431107,1.73585203,7.82976420,1.38283073,0.82012089,0.02075031,1.33697849,0.06608207,3.59710731
-5.93396698,14.54537214,1.78376249,7.95571253,1.40928822,0.83651665,0.02126430,1.35014475,0.06672929,3.66478625
-5.92796398,14.77183915,1.83272511,8.07601456,1.43665285,0.85330012,0.02184024,1.36175832,0.06740629,3.73451307
-5.92196098,14.99210796,1.88239233,8.18995625,1.46459816,0.87036133,0.02246366,1.37184540,0.06810302,3.80570723
-5.91595798,15.20448350,1.93238904,8.29683445,1.49275769,0.88756837,0.02311913,1.38047715,0.06881037,3.87765528
-5.90995498,15.40720356,1.98231672,8.39596592,1.52073168,0.90476895,0.02379067,1.38776688,0.06952039,3.94952112
-5.90395198,15.59846726,2.03175798,8.48669784,1.54809485,0.92179287,0.02446212,1.39386554,0.07022643,4.02036133
-5.89794897,15.77646873,2.08028165,8.56842004,1.57440497,0.93845521,0.02511754,1.39895588,0.07092327,4.08914540
