energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.82793199,0.02304780,0.07773552,1.03885700,0.80160184,1.83635637,0.00000000,0.80889224,0.34160641
-5.99399700,2.80721860,0.02254080,0.07681069,1.02568614,0.80718768,1.82328100,0.00000000,0.79071700,0.34149776
-5.98799400,2.78254481,0.02204984,0.07580838,1.01211848,0.81061733,1.80794641,0.00000000,0.77225508,0.34077998
-5.98199100,2.75370884,0.02157197,0.07472448,0.99804000,0.81177776,1.79020797,0.00000000,0.75351627,0.33941690
-5.97598799,2.72061139,0.02110397,0.07355696,0.98335143,0.81060214,1.76997964,0.00000000,0.73451695,0.33738785
-5.96998499,2.68325263,0.02064251,0.07230579,0.96796985,0.80706869,1.74723270,0.00000000,0.71528152,0.33468679
-5.96398199,2.64172464,0.02018419,0.07097259,0.95182917,0.80119794,1.72199171,0.00000000,0.69584290,0.33132094
-5.95797899,2.59620006,0.01972569,0.06956040,0.93487963,0.79304871,1.69432825,0.00000000,0.67624191,0.32730893
-5.95197599,2.54691792,0.01926384,0.06807330,0.91708669,0.78271303,1.66435294,0.00000000,0.65652601,0.32267872
-5.94597299,2.49416785,0.01879572,0.06651610,0.89842942,0.77031045,1.63220655,0.00000000,0.63674729,0.31746540
-5.93996998,2.43827371,0.01831869,0.06489399,0.87889880,0.75598211,1.59805076,0.00000000,0.61696033,0.31170889
-5.93396698,2.37957777,0.01783056,0.06321230,0.85849617,0.73988484,1.56205942,0.00000000,0.59721977,0.30545193
-5.92796398,2.31842647,0.01732959,0.06147626,0.83723196,0.72218566,1.52441067,0.00000000,0.57757824,0.29873825
-5.92196098,2.25515835,0.01681459,0.05969083,0.81512495,0.70305688,1.48528051,0.00000000,0.55808450,0.29161106
-5.91595798,2.19009493,0.01628503,0.05786064,0.79220199,0.68267209,1.44483812,0.00000000,0.53878219,0.28411198
-5.90995498,2.12353469,0.01574108,0.05598994,0.76849839,0.66120296,1.40324304,0.00000000,0.51970921,0.27628038
-5.90395198,2.05575026,0.01518368,0.05408266,0.74405865,0.63881707,1.36064422,0.00000000,0.50089773,0.26815305
-5.89794897,1.98698867,0.01461461,0.05214246,0.71893768,0.61567663,1.31718089,0.00000000,0.48237490,0.25976436
-5.89194597,1.91747427,0.01403652,0.05017289,0.69320217,0.59193798,1.27298489,0.00000000,0.46416422,0.25114661
-5.88594297,1.84741390,0.01345298,0.04817753,0.66693196,0.56775181,1.22818415,0.00000000,0.44628728,0.24233064
-5.87993997,1.77700351,0.01286848,0.04616009,0.64022129,0.54326385,1.18290700,0.00000000,0.42876601,0.23334667
-5.87393697,1.70643583,0.01228840,0.04412460,0.61317972,0.51861589,1.13728678,0.00000000,0.41162499,0.22422508
-5.86793397,1.63590811,0.01171901,0.04207549,0.58593251,0.49394691,1.09146640,0.00000000,0.39489390,0.21499727
-5.86193097,1.56562955,0.01116734,0.04001770,0.55862047,0.46939422,1.04560241,0.00000000,0.37860975,0.20569635
-5.85592796,1.49582767,0.01064119,0.03795672,0.53139908,0.44509435,0.99986835,0.00000000,0.36281877,0.19635779
-5.84992496,1.42675324,0.01014890,0.03589859,0.50443691,0.42118368,0.95445686,0.00000000,0.34757789,0.18701971
-5.84392196,1.35868332,0.00969931,0.03384990,0.47791339,0.39779870,0.90958070,0.00000000,0.33295557,0.17772311
-5.83791896,1.29192216,0.00930152,0.03181767,0.45201586,0.37507576,0.86547218,0.00000000,0.31903199,0.16851172
-5.83191596,1.22679998,0.00896476,0.02980931,0.42693610,0.35315038,0.82238128,0.00000000,0.30589840,0.15943170
-5.82591296,1.16366934,0.00869815,0.02783246,0.40286637,0.33215619,0.78057218,0.00000000,0.29365576,0.15053102
-5.81990995,1.10289943,0.00851049,0.02589484,0.37999510,0.31222326,0.74031859,0.00000000,0.28241254,0.14185872
-5.81390695,1.04486841,0.00841005,0.02400412,0.35850237,0.29347627,0.70189775,0.00000000,0.27228177,0.13346391
-5.80790395,0.98995399,0.00840428,0.02216774,0.33855533,0.27603220,0.66558356,0.00000000,0.26337744,0.12539470
-5.80190095,0.93852280,0.00849963,0.02039278,0.32030367,0.25999794,0.63163884,0.00000000,0.25581036,0.11769697
-5.79589795,0.89091878,0.00870126,0.01868581,0.30387528,0.24546764,0.60030726,0.00000000,0.24968350,0.11041323
-5.78989495,0.84745117,0.00901282,0.01705276,0.28937230,0.23252015,0.57180506,0.00000000,0.24508715,0.10358132
-5.78389195,0.80838268,0.00943623,0.01549880,0.27686763,0.22121644,0.54631302,0.00000000,0.24209405,0.09723333
-5.77788894,0.77391818,0.00997148,0.01402831,0.26640208,0.21159728,0.52396898,0.00000000,0.24075451,0.09139454
-5.77188594,0.74419461,0.01061646,0.01264478,0.25798221,0.20368113,0.50486120,0.00000000,0.24109209,0.08608261
-5.76588294,0.71927251,0.01136682,0.01135080,0.25157907,0.19746247,0.48902307,0.00000000,0.24309968,0.08130689
-5.75987994,0.69912967,0.01221588,0.01014809,0.24712790,0.19291058,0.47642921,0.00000000,0.24673645,0.07706806
-5.75387694,0.68365733,0.01315461,0.00903746,0.24452876,0.18996896,0.46699344,0.00000000,0.25192582,0.07335800
-5.74787394,0.67265911,0.01417166,0.00801895,0.24364833,0.18855532,0.46056868,0.00000000,0.25855442,0.07015996
-5.74187094,0.66585305,0.01525345,0.00709183,0.24432277,0.18856234,0.45694900,0.00000000,0.26647248,0.06744907
-5.73586793,0.66287675,0.01638431,0.00625475,0.24636159,0.18985918,0.45587370,0.00000000,0.27549543,0.06519309
-5.72986493,0.66329551,0.01754678,0.00550584,0.24955257,0.19229368,0.45703365,0.00000000,0.28540690,0.06335349
-5.72386193,0.66661344,0.01872187,0.00484282,0.25366758,0.19569544,0.46007937,0.00000000,0.29596301,0.06188678
-5.71785893,0.67228715,0.01988948,0.00426317,0.25846913,0.19987944,0.46463104,0.00000000,0.30689790,0.06074596
-5.71185593,0.67974151,0.02102876,0.00376422,0.26371741,0.20465041,0.47028974,0.00000000,0.31793031,0.05988226
-5.70585293,0.68838712,0.02211869,0.00334336,0.26917770,0.20980767,0.47664979,0.00000000,0.32877095,0.05924686
-5.69984992,0.69763866,0.02313850,0.00299810,0.27462782,0.21515035,0.48331161,0.00000000,0.33913054,0.05879267
-5.69384692,0.70693361,0.02406824,0.00272624,0.27986534,0.22048286,0.48989467,0.00000000,0.34872811,0.05847603
-5.68784392,0.71575042,0.02488931,0.00252594,0.28471422,0.22562039,0.49604994,0.00000000,0.35729925,0.05825835
-5.68184092,0.72362570,0.02558491,0.00239586,0.28903075,0.23039435,0.50147146,0.00000000,0.36460407,0.05810746
-5.67583792,0.73016941,0.02614056,0.00233516,0.29270831,0.23465739,0.50590645,0.00000000,0.37043453,0.05799877
-5.66983492,0.73507771,0.02654443,0.00234357,0.29568098,0.23828808,0.50916363,0.00000000,0.37462077,0.05791613
-5.66383192,0.73814291,0.02678770,0.00242139,0.29792563,0.24119477,0.51111938,0.00000000,0.37703631,0.05785228
-5.65782891,0.73926000,0.02686480,0.00256947,0.29946241,0.24331876,0.51172139,0.00000000,0.37760182,0.05780898
-5.65182591,0.73842972,0.02677351,0.00278914,0.30035373,0.24463652,0.51098993,0.00000000,0.37628745,0.05779681
-5.64582291,0.73575788,0.02651499,0.00308215,0.30070161,0.24516084,0.50901635,0.00000000,0.37311342,0.05783447
-5.63981991,0.73145120,0.02609377,0.00345057,0.30064347,0.24494097,0.50595919,0.00000000,0.36814908,0.05794787
-5.63381691,0.72580963,0.02551748,0.00389663,0.30034673,0.24406163,0.50203790,0.00000000,0.36151041,0.05816891
-5.62781391,0.71921568,0.02479667,0.00442260,0.30000219,0.24264098,0.49752449,0.00000000,0.35335600,0.05853390
-5.62181091,0.71212116,0.02394444,0.00503063,0.29981662,0.24082752,0.49273355,0.00000000,0.34388182,0.05908194
-5.61580790,0.70503176,0.02297599,0.00572261,0.30000478,0.23879615,0.48801088,0.00000000,0.33331493,0.05985312
-5.60980490,0.69849024,0.02190823,0.00649998,0.30078134,0.23674330,0.48372139,0.00000000,0.32190635,0.06088670
-5.60380190,0.69305871,0.02075926,0.00736364,0.30235280,0.23488147,0.48023658,0.00000000,0.30992342,0.06221932
-5.59779890,0.68930074,0.01954786,0.00831378,0.30490995,0.23343320,0.47792217,0.00000000,0.29764195,0.06388331
-5.59179590,0.68776380,0.01829301,0.00934982,0.30862112,0.23262473,0.47712624,0.00000000,0.28533832,0.06590526
-5.58579290,0.68896274,0.01701345,0.01047032,0.31362632,0.23267942,0.47816837,0.00000000,0.27328198,0.06830470
-5.57978989,0.69336453,0.01572721,0.01167296,0.32003274,0.23381117,0.48133006,0.00000000,0.26172840,0.07109313
-5.57378689,0.70137502,0.01445127,0.01295454,0.32791154,0.23621808,0.48684666,0.00000000,0.25091277,0.07427339
-5.56778389,0.71332767,0.01320123,0.01431100,0.33729606,0.24007627,0.49490104,0.00000000,0.24104462,0.07783923
-5.56178089,0.72947467,0.01199106,0.01573748,0.34818149,0.24553438,0.50561916,0.00000000,0.23230347,0.08177533
-5.55577789,0.74998041,0.01083295,0.01722842,0.36052595,0.25270846,0.51906733,0.00000000,0.22483547,0.08605757
-5.54977489,0.77491745,0.00973716,0.01877768,0.37425275,0.26167778,0.53525141,0.00000000,0.21875126,0.09065359
-5.54377189,0.80426479,0.00871202,0.02037858,0.38925374,0.27248140,0.55411755,0.00000000,0.21412490,0.09552357
-5.53776888,0.83790831,0.00776392,0.02202411,0.40539349,0.28511566,0.57555446,0.00000000,0.21099383,0.10062129
-5.53176588,0.87564322,0.00689742,0.02370695,0.42251405,0.29953271,0.59939689,0.00000000,0.20935978,0.10589522
-5.52576288,0.91717831,0.00611531,0.02541956,0.44043997,0.31564017,0.62543012,0.00000000,0.20919066,0.11128979
-5.51975988,0.96214169,0.00541881,0.02715427,0.45898339,0.33330173,0.65339524,0.00000000,0.21042307,0.11674664
-5.51375688,1.01008775,0.00480776,0.02890322,0.47794888,0.35233903,0.68299488,0.00000000,0.21296546,0.12220589
-5.50775388,1.06050526,0.00428074,0.03065843,0.49713785,0.37253454,0.71389923,0.00000000,0.21670182,0.12760731
-5.50175088,1.11282616,0.00383536,0.03241163,0.51635236,0.39363556,0.74575223,0.00000000,0.22149563,0.13289139
-5.49574787,1.16643512,0.00346842,0.03415428,0.53539818,0.41535916,0.77817759,0.00000000,0.22719410,0.13800030
-5.48974487,1.22067953,0.00317612,0.03587734,0.55408706,0.43739807,0.81078474,0.00000000,0.23363242,0.14287867
-5.48374187,1.27487991,0.00295425,0.03757123,0.57223835,0.45942737,0.84317457,0.00000000,0.24063808,0.14747424
-5.47773887,1.32834068,0.00279839,0.03922566,0.58967978,0.48111178,0.87494500,0.00000000,0.24803507,0.15173831
-5.47173587,1.38036122,0.00270405,0.04082949,0.60624780,0.50211346,0.90569627,0.00000000,0.25564791,0.15562617
-5.46573287,1.43024721,0.00266685,0.04237070,0.62178753,0.52210005,0.93503631,0.00000000,0.26330549,0.15909726
-5.45972986,1.47732218,0.00268266,0.04383634,0.63615257,0.54075286,0.96258591,0.00000000,0.27084465,0.16211544
-5.45372686,1.52093939,0.00274773,0.04521255,0.64920478,0.55777487,0.98798414,0.00000000,0.27811349,0.16464904
-5.44772386,1.56049375,0.00285880,0.04648468,0.66081444,0.57289838,1.01089378,0.00000000,0.28497438,0.16667106
-5.44172086,1.59543390,0.00301322,0.04763751,0.67086084,0.58589209,1.03100704,0.00000000,0.29130666,0.16815933
-5.43571786,1.62527418,0.00320904,0.04865553,0.67923340,0.59656745,1.04805140,0.00000000,0.29700906,0.16909669
-5.42971486,1.64960628,0.00344507,0.04952332,0.68583357,0.60478399,1.06179569,0.00000000,0.30200171,0.16947135
-5.42371186,1.66811047,0.00372096,0.05022598,0.69057738,0.61045350,1.07205613,0.00000000,0.30622783,0.16927728
-5.41770885,1.68056578,0.00403723,0.05074973,0.69339861,0.61354298,1.07870232,0.00000000,0.30965504,0.16851464
-5.41170585,1.68685908,0.00439528,0.05108242,0.69425252,0.61407614,1.08166286,0.00000000,0.31227617,0.16719042
-5.40570285,1.68699245,0.00479737,0.05121416,0.69311985,0.61213345,1.08093038,0.00000000,0.31410965,0.16531898
-5.39969985,1.68108840,0.00524654,0.05113793,0.69001083,0.60785069,1.07656560,0.00000000,0.31519931,0.16292273
-5.39369685,1.66939273,0.00574655,0.05085012,0.68496906,0.60141588,1.06870027,0.00000000,0.31561357,0.16003272
-5.38769385,1.65227439,0.00630172,0.05035106,0.67807467,0.59306489,1.05753849,0.00000000,0.31544408,0.15668920
-5.38169085,1.63022224,0.00691670,0.04964544,0.66944677,0.58307551,1.04335626,0.00000000,0.31480358,0.15294202
-5.37568784,1.60383842,0.00759630,0.04874262,0.65924467,0.57176033,1.02649904,0.00000000,0.31382315,0.14885094
-5.36968484,1.57382828,0.00834514,0.04765682,0.64766782,0.55945849,1.00737715,0.00000000,0.31264879,0.14448562
-5.36368184,1.54098696,0.00916739,0.04640715,0.63495417,0.54652662,0.98645901,0.00000000,0.31143739,0.13992552
-5.35767884,1.50618287,0.01006638,0.04501746,0.62137710,0.53332905,0.96426230,0.00000000,0.31035216,0.13525937
-5.35167584,1.47033843,0.01104426,0.04351610,0.60724077,0.52022780,0.94134323,0.00000000,0.30955774,0.13058447
-5.34567284,1.43440868,0.01210165,0.04193549,0.59287409,0.50757246,0.91828422,0.00000000,0.30921502,0.12600561
-5.33966983,1.39935845,0.01323730,0.04031148,0.57862361,0.49569047,0.89568044,0.00000000,0.30947601,0.12163376
-5.33366683,1.36613882,0.01444779,0.03868273,0.56484547,0.48487799,0.87412561,0.00000000,0.31047884,0.11758439
-5.32766383,1.33566374,0.01572731,0.03708983,0.55189690,0.47539178,0.85419772,0.00000000,0.31234323,0.11397563
-5.32166083,1.30878777,0.01706752,0.03557439,0.54012759,0.46744245,0.83644504,0.00000000,0.31516656,0.11092609
-5.31565783,1.28628551,0.01845749,0.03417815,0.52987130,0.46118911,0.82137316,0.00000000,0.31902078,0.10855255
-5.30965483,1.26883376,0.01988374,0.03294188,0.52143802,0.45673599,0.80943342,0.00000000,0.32395037,0.10696744
-5.30365183,1.25699670,0.02133049,0.03190441,0.51510713,0.45413086,0.80101307,0.00000000,0.32997134,0.10627623
-5.29764882,1.25121477,0.02277989,0.03110162,0.51112162,0.45336544,0.79642762,0.00000000,0.33707142,0.10657475
-5.29164582,1.25179726,0.02421251,0.03056548,0.50968359,0.45437786,0.79591547,0.00000000,0.34521143,0.10794646
-5.28564282,1.25891884,0.02560785,0.03032311,0.51095118,0.45705687,0.79963474,0.00000000,0.35432767,0.11045976
-5.27963982,1.27261977,0.02694493,0.03039598,0.51503666,0.46124776,0.80766244,0.00000000,0.36433525,0.11416547
