energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.73929643,0.67704780,0.75318997,0.02366724,0.45650582,0.34012525,0.00000000
-5.99399700,1.69711869,0.65938774,0.73985791,0.02333160,0.43717740,0.33949880,0.00000000
-5.98799400,1.65205936,0.63962418,0.72520042,0.02299315,0.41803491,0.33762125,0.00000000
-5.98199100,1.60437138,0.61812889,0.70922953,0.02263676,0.39919312,0.33447424,0.00000000
-5.97598799,1.55446133,0.59533600,0.69202982,0.02224866,0.38079728,0.33008038,0.00000000
-5.96998499,1.50289332,0.57173527,0.67376302,0.02181699,0.36302412,0.32450511,0.00000000
-5.96398199,1.45038666,0.54786384,0.65466981,0.02133229,0.34608119,0.31785724,0.00000000
-5.95797899,1.39780776,0.52429664,0.63506862,0.02078785,0.33020487,0.31028801,0.00000000
-5.95197599,1.34615634,0.50163589,0.61535164,0.02017986,0.31565693,0.30198885,0.00000000
-5.94597299,1.29654681,0.48049980,0.59597818,0.01950755,0.30271989,0.29318786,0.00000000
-5.93996998,1.25018528,0.46151095,0.57746565,0.01877303,0.29169129,0.28414520,0.00000000
-5.93396698,1.20834331,0.44528446,0.56037859,0.01798118,0.28287715,0.27514760,0.00000000
-5.92796398,1.17232901,0.43241635,0.54531600,0.01713925,0.27658467,0.26650212,0.00000000
-5.92196098,1.14345654,0.42347212,0.53289763,0.01625660,0.27311451,0.25852948,0.00000000
-5.91595798,1.12301490,0.41897598,0.52374941,0.01534414,0.27275268,0.25155714,0.00000000
-5.90995498,1.11223685,0.41940067,0.51848868,0.01441394,0.27576242,0.24591229,0.00000000
-5.90395198,1.11226877,0.42515819,0.51770956,0.01347873,0.28237605,0.24191511,0.00000000
-5.89794897,1.12414231,0.43659152,0.52196889,0.01255141,0.29278712,0.23987231,0.00000000
-5.89194597,1.14874852,0.45396752,0.53177310,0.01164462,0.30714301,0.24007128,0.00000000
-5.88594297,1.18681522,0.47747118,0.54756646,0.01077037,0.32553814,0.24277483,0.00000000
-5.87993997,1.23888806,0.50720133,0.56972093,0.00993971,0.34800807,0.24821681,0.00000000
-5.87393697,1.30531620,0.54316819,0.59852800,0.00916245,0.37452469,0.25659850,0.00000000
-5.86793397,1.38624269,0.58529270,0.63419270,0.00844702,0.40499265,0.26808602,0.00000000
-5.86193097,1.48160041,0.63340798,0.67683000,0.00780032,0.43924734,0.28280866,0.00000000
-5.85592796,1.59111349,0.68726299,0.72646373,0.00722771,0.47705455,0.30085815,0.00000000
-5.84992496,1.71430468,0.74652857,0.78302813,0.00673301,0.51811200,0.32228893,0.00000000
-5.84392196,1.85050847,0.81080566,0.84637201,0.00631860,0.56205286,0.34711924,0.00000000
-5.83791896,1.99888987,0.87963585,0.91626532,0.00598551,0.60845120,0.37533308,0.00000000
-5.83191596,2.15846826,0.95251387,0.99240813,0.00573357,0.65682952,0.40688275,0.00000000
-5.82591296,2.32814577,1.02890179,1.07444152,0.00556159,0.70666807,0.44169205,0.00000000
-5.81990995,2.50673915,1.10824438,1.16196005,0.00546750,0.75741584,0.47965982,0.00000000
-5.81390695,2.69301385,1.18998505,1.25452536,0.00544854,0.80850282,0.52066356,0.00000000
-5.80790395,2.88571911,1.27358176,1.35168011,0.00550141,0.85935325,0.56456324,0.00000000
-5.80190095,3.08362228,1.35852192,1.45296179,0.00562235,0.90939927,0.61120465,0.00000000
-5.79589795,3.28554083,1.44433572,1.55791552,0.00580733,0.95809444,0.66042244,0.00000000
-5.78989495,3.49037040,1.53060691,1.66610521,0.00605205,1.00492673,0.71204247,0.00000000
-5.78389195,3.69710718,1.61698044,1.77712233,0.00635204,1.04943019,0.76588333,0.00000000
-5.77788894,3.90486350,1.70316623,1.89059177,0.00670265,1.09119500,0.82175687,0.00000000
-5.77188594,4.11287531,1.78893879,2.00617416,0.00709908,1.12987533,0.87946777,0.00000000
-5.76588294,4.32050110,1.87413244,2.12356453,0.00753635,1.16519467,0.93881198,0.00000000
-5.75987994,4.52721190,1.95863213,2.24248703,0.00800927,1.19694853,0.99957425,0.00000000
-5.75387694,4.73257275,2.04236029,2.36268599,0.00851240,1.22500426,1.06152475,0.00000000
-5.74787394,4.93621659,2.12526026,2.48391357,0.00904002,1.24929814,1.12441511,0.00000000
-5.74187094,5.13781180,2.20727715,2.60591476,0.00958609,1.26983008,1.18797414,0.00000000
-5.73586793,5.33702539,2.28833725,2.72841044,0.01014425,1.28665605,1.25190355,0.00000000
-5.72986493,5.53348408,2.36832719,2.85107973,0.01070783,1.29987893,1.31587415,0.00000000
-5.72386193,5.72673582,2.44707423,2.97354265,0.01126984,1.30963825,1.37952286,0.00000000
-5.71785893,5.91621442,2.52432898,3.09534454,0.01182302,1.31609948,1.44245110,0.00000000
-5.71185593,6.10120999,2.59975197,3.21594341,0.01235997,1.31944349,1.50422475,0.00000000
-5.70585293,6.28084759,2.67290505,3.33470145,0.01287317,1.31985682,1.56437627,0.00000000
-5.69984992,6.45407632,2.74324872,3.45088187,0.01335515,1.31752326,1.62240901,0.00000000
-5.69384692,6.61967030,2.81014585,3.56365174,0.01379861,1.31261728,1.67780398,0.00000000
-5.68784392,6.77624261,2.87287227,3.67209138,0.01419659,1.30529951,1.73002904,0.00000000
-5.68184092,6.92227245,2.93063396,3.77521057,0.01454261,1.29571459,1.77855039,0.00000000
-5.67583792,7.05614490,2.98259049,3.87197115,0.01483086,1.28399129,1.82284610,0.00000000
-5.66983492,7.17620192,3.02788378,3.96131556,0.01505633,1.27024486,1.86242110,0.00000000
-5.66383192,7.28080277,3.06567109,4.04220010,0.01521502,1.25458129,1.89682336,0.00000000
-5.65782891,7.36839075,3.09516056,4.11363165,0.01530397,1.23710306,1.92566024,0.00000000
-5.65182591,7.43756341,3.11564788,4.17470618,0.01532147,1.21791597,1.94861454,0.00000000
-5.64582291,7.48714241,3.12655204,4.22464699,0.01526707,1.19713642,1.96545924,0.00000000
-5.63981991,7.51623939,3.12744836,4.26284101,0.01514166,1.17489857,1.97607027,0.00000000
-5.63381691,7.52431414,3.11809718,4.28887084,0.01494744,1.15136085,1.98043651,0.00000000
-5.62781391,7.51122181,3.09846636,4.30254098,0.01468794,1.12671123,1.97866632,0.00000000
-5.62181091,7.47724602,3.06874642,4.30389648,0.01436790,1.10117088,1.97099011,0.00000000
-5.61580790,7.42311578,3.02935717,4.29323278,0.01399318,1.07499577,1.95775864,0.00000000
-5.60980490,7.35000465,2.98094537,4.27109594,0.01357066,1.04847614,1.93943666,0.00000000
