energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.46369398,0.01302761,1.45269251,2.46586122,2.66566914,0.04893541,1.83383366,0.85940881,0.13593173
-5.99399700,6.33967510,0.01357217,1.43640039,2.39502291,2.64047030,0.04923266,1.79586325,0.84132027,0.12592126
-5.98799400,6.20331728,0.01408392,1.41242545,2.32239380,2.60261989,0.04952871,1.75937843,0.82431470,0.11670779
-5.98199100,6.05538364,0.01455787,1.38106059,2.24849683,2.55250712,0.04982075,1.72441182,0.80840662,0.10829633
-5.97598799,5.89685600,0.01499015,1.34275997,2.17385265,2.49079012,0.05010440,1.69094101,0.79357738,0.10067687
-5.96998499,5.72894781,0.01537826,1.29812889,2.09899074,2.41838201,0.05037408,1.65890673,0.77978441,0.09382717
-5.96398199,5.55310830,0.01572131,1.24790888,2.02445906,2.33642844,0.05062372,1.62823165,0.76697092,0.08771578
-5.95797899,5.37101727,0.01602018,1.19295836,1.95083149,2.24627787,0.05084738,1.59883899,0.75507564,0.08230495
-5.95197599,5.18457039,0.01627760,1.13422982,1.87871226,2.14944576,0.05104014,1.57066965,0.74404190,0.07755351
-5.94597299,4.99585522,0.01649823,1.07274447,1.80873676,2.04757414,0.05119885,1.54369728,0.73382572,0.07341948
-5.93996998,4.80711884,0.01668855,1.00956543,1.74156860,1.94238839,0.05132308,1.51794015,0.72440225,0.06986238
-5.93396698,4.62072795,0.01685679,0.94577053,1.67789274,1.83565285,0.05141586,1.49346941,0.71577039,0.06684513
-5.92796398,4.43912287,0.01701269,0.88242590,1.61840497,1.72912698,0.05148444,1.47041310,0.70795511,0.06433551
-5.92196098,4.26476694,0.01716719,0.82056112,1.56379808,1.62452355,0.05154091,1.44895580,0.70100752,0.06230721
-5.91595798,4.10009291,0.01733206,0.76114696,1.51474533,1.52347034,0.05160261,1.42933379,0.69500245,0.06074030
-5.90995498,3.94744810,0.01751946,0.70507622,1.47188208,1.42747629,0.05169247,1.41182595,0.69003383,0.05962130
-5.90395198,3.80904000,0.01774143,0.65314827,1.43578627,1.33790301,0.05183898,1.39674095,0.68620797,0.05894279
-5.89794897,3.68688418,0.01800937,0.60605744,1.40695889,1.25594217,0.05207612,1.38440131,0.68363517,0.05870257
-5.89194597,3.58275591,0.01833348,0.56438540,1.38580541,1.18259899,0.05244296,1.37512514,0.68242009,0.05890253
