energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.07552721,0.74027135,0.60464915,0.00136331,0.66097026,1.40729024,1.45683550,0.00751941,1.28671290
-5.99399700,4.02600009,0.73752074,0.60867337,0.00132184,0.64142376,1.38360418,1.43075306,0.00744529,1.29021059
-5.98799400,3.98137154,0.73524978,0.61216847,0.00129951,0.62366596,1.36412584,1.40682144,0.00737466,1.29373292
-5.98199100,3.94272115,0.73374123,0.61511288,0.00129628,0.60797220,1.34950343,1.38549797,0.00730934,1.29747333
-5.97598799,3.91101278,0.73328763,0.61749526,0.00131186,0.59456849,1.34028749,1.36718069,0.00725116,1.30164294
-5.96998499,3.88706716,0.73418026,0.61931489,0.00134580,0.58362695,1.33691079,1.35219988,0.00720197,1.30646001
-5.96398199,3.87153680,0.73669746,0.62058158,0.00139739,0.57526249,1.33967054,1.34081079,0.00716360,1.31213870
-5.95797899,3.86488370,0.74109258,0.62131536,0.00146572,0.56953071,1.34871345,1.33318761,0.00713784,1.31887752
-5.95197599,3.86736037,0.74758201,0.62154551,0.00154967,0.56642705,1.36402461,1.32941883,0.00712638,1.32684775
-5.94597299,3.87899493,0.75633375,0.62130928,0.00164792,0.56588727,1.38542045,1.32950399,0.00713082,1.33618235
-5.93996998,3.89958079,0.76745694,0.62064997,0.00175894,0.56778917,1.41254668,1.33335200,0.00715265,1.34696569
-5.93396698,3.92867168,0.78099284,0.61961473,0.00188104,0.57195573,1.44488120,1.34078122,0.00719324,1.35922457
-5.92796398,3.96558272,0.79690766,0.61825190,0.00201233,0.57815953,1.48174253,1.35152151,0.00725382,1.37292089
-5.92196098,4.00939816,0.81508778,0.61660828,0.00215077,0.58612846,1.52230364,1.36521839,0.00733548,1.38794654
-5.91595798,4.05898608,0.83533750,0.61472627,0.00229421,0.59555272,1.56561098,1.38143953,0.00743919,1.40412067
-5.90995498,4.11302052,0.85737978,0.61264120,0.00244036,0.60609290,1.61060844,1.39968362,0.00756580,1.42118971
-5.90395198,4.17001084,0.88086001,0.61037898,0.00258688,0.61738916,1.65616546,1.41939168,0.00771603,1.43883038
-5.89794897,4.22833800,0.90535294,0.60795420,0.00273135,0.62907109,1.70110859,1.43996068,0.00789052,1.45665571
-5.89194597,4.28629705,0.93037254,0.60536904,0.00287139,0.64076823,1.74425533,1.46075929,0.00808977,1.47422404
-5.88594297,4.34214479,0.95538471,0.60261272,0.00300463,0.65212075,1.78444921,1.48114529,0.00831417,1.49105082
-5.87993997,4.39415098,0.97982233,0.59966202,0.00312878,0.66279010,1.82059475,1.50048425,0.00856399,1.50662284
-5.87393697,4.44065159,1.00310214,0.59648252,0.00324171,0.67246920,1.85169091,1.51816887,0.00883932,1.52041452
-5.86793397,4.48010185,1.02464299,0.59303066,0.00334145,0.68089176,1.87686184,1.53363815,0.00914005,1.53190547
-5.86193097,4.51112712,1.04388448,0.58925657,0.00342623,0.68784044,1.89538361,1.54639573,0.00946582,1.54059877
-5.85592796,4.53256933,1.06030541,0.58510736,0.00349457,0.69315352,1.90670585,1.55602655,0.00981593,1.54603913
-5.84992496,4.54352684,1.07344121,0.58053078,0.00354529,0.69672962,1.91046747,1.56221111,0.01018928,1.54783007
-5.84392196,4.54338593,1.08289953,0.57547902,0.00357753,0.69853057,1.90650572,1.56473660,0.01058429,1.54564936
-5.83791896,4.53184226,1.08837336,0.56991230,0.00359078,0.69858200,1.89485847,1.56350433,0.01099880,1.53926193
-5.83191596,4.50891120,1.08965106,0.56380212,0.00358489,0.69697170,1.87575945,1.55853308,0.01143001,1.52852961
-5.82591296,4.47492640,1.08662283,0.55713386,0.00356008,0.69384592,1.84962687,1.54995811,0.01187441,1.51341718
-5.81990995,4.43052649,1.07928342,0.54990860,0.00351693,0.68940359,1.81704602,1.53802582,0.01232775,1.49399443
-5.81390695,4.37663051,1.06773086,0.54214405,0.00345635,0.68388878,1.77874658,1.52308426,0.01278505,1.47043403
-5.80790395,4.31440295,1.05216152,0.53387441,0.00337958,0.67758167,1.73557585,1.50556978,0.01324056,1.44300534
-5.80190095,4.24521013,1.03286148,0.52514928,0.00328810,0.67078851,1.68846894,1.48599058,0.01368790,1.41206451
-5.79589795,4.17056977,1.01019509,0.51603168,0.00318365,0.66383077,1.63841730,1.46490768,0.01412014,1.37804125
-5.78989495,4.09209610,0.98459087,0.50659518,0.00306814,0.65703411,1.58643699,1.44291426,0.01452990,1.34142302
-5.78389195,4.01144291,0.95652590,0.49692051,0.00294361,0.65071747,1.53353775,1.42061425,0.01490962,1.30273743
-5.77788894,3.93024705,0.92650913,0.48709175,0.00281215,0.64518271,1.48069421,1.39860101,0.01525170,1.26253375
-5.77188594,3.85007482,0.89506465,0.47719242,0.00267588,0.64070514,1.42882010,1.37743713,0.01554877,1.22136440
-5.76588294,3.77237342,0.86271552,0.46730165,0.00253691,0.63752529,1.37874640,1.35763595,0.01579395,1.17976732
-5.75987994,3.69842928,0.82996898,0.45749075,0.00239723,0.63584210,1.33120380,1.33964573,0.01598108,1.13825009
-5.75387694,3.62933476,0.79730356,0.44782040,0.00225872,0.63580768,1.28680990,1.32383678,0.01610495,1.09727642
-5.74787394,3.56596418,0.76515851,0.43833847,0.00212312,0.63752379,1.24606129,1.31049209,0.01616154,1.05725556
-5.74187094,3.50895965,0.73392590,0.42907884,0.00199197,0.64104006,1.20933020,1.29980163,0.01614817,1.01853500
-5.73586793,3.45872660,0.70394548,0.42006104,0.00186662,0.64635384,1.17686550,1.29186027,0.01606364,0.98139647
-5.72986493,3.41543859,0.67550219,0.41129082,0.00174820,0.65341158,1.14879762,1.28666929,0.01590827,0.94605538
-5.72386193,3.37905047,0.64882621,0.40276155,0.00163763,0.66211175,1.12514655,1.28414109,0.01568394,0.91266320
-5.71785893,3.34931851,0.62409510,0.39445630,0.00153563,0.67230886,1.10583247,1.28410677,0.01539402,0.88131259
-5.71185593,3.32582604,0.60143779,0.38635043,0.00144272,0.68381855,1.09068814,1.28632594,0.01504326,0.85204444
-5.70585293,3.30801302,0.58093960,0.37841455,0.00135922,0.69642348,1.07947239,1.29049836,0.01463761,0.82485653
-5.69984992,3.29520753,0.56264813,0.37061754,0.00128531,0.70987968,1.07188392,1.29627660,0.01418403,0.79971279
-5.69384692,3.28665780,0.54657922,0.36292947,0.00122099,0.72392327,1.06757502,1.30327923,0.01369022,0.77655271
-5.68784392,3.28156294,0.53272262,0.35532426,0.00116616,0.73827717,1.06616434,1.31110389,0.01316435,0.75530016
-5.68184092,3.27910118,0.52104697,0.34778179,0.00112059,0.75265767,1.06724867,1.31933974,0.01261481,0.73587113
-5.67583792,3.27845447,0.51150380,0.34028945,0.00108394,0.76678068,1.07041314,1.32757888,0.01204990,0.71817992
-5.66983492,3.27882861,0.50403028,0.33284301,0.00105583,0.78036737,1.07523977,1.33542625,0.01147759,0.70214353
-5.66383192,3.27946862,0.49855075,0.32544672,0.00103575,0.79314927,1.08131436,1.34250791,0.01090530,0.68768416
-5.65782891,3.27966909,0.49497704,0.31811277,0.00102319,0.80487253,1.08823164,1.34847750,0.01033973,0.67472977
-5.65182591,3.27877989,0.49320775,0.31086006,0.00101753,0.81530153,1.09559898,1.35302087,0.00978665,0.66321284
-5.64582291,3.27620769,0.49312674,0.30371249,0.00101813,0.82422160,1.10303871,1.35585896,0.00925087,0.65306784
-5.63981991,3.27141403,0.49460117,0.29669683,0.00102429,0.83144105,1.11018952,1.35674916,0.00873617,0.64422748
-5.63381691,3.26391104,0.49747951,0.28984037,0.00103525,0.83679253,1.11670718,1.35548534,0.00824531,0.63661844
-5.62781391,3.25325570,0.50158979,0.28316855,0.00105023,0.84013385,1.12226488,1.35189689,0.00778005,0.63015701
-5.62181091,3.23904383,0.50673860,0.27670271,0.00106838,0.84134833,1.12655364,1.34584716,0.00734127,0.62474501
-5.61580790,3.22090481,0.51271101,0.27045806,0.00108884,0.84034488,1.12928300,1.33723150,0.00692904,0.62026663
-5.60980490,3.19849785,0.51927188,0.26444219,0.00111070,0.83705792,1.13018229,1.32597544,0.00654278,0.61658636
-5.60380190,3.17151071,0.52616843,0.25865395,0.00113304,0.83144716,1.12900262,1.31203303,0.00618140,0.61354847
-5.59779890,3.13966101,0.53313436,0.25308307,0.00115492,0.82349754,1.12551967,1.29538575,0.00584347,0.61097801
-5.59179590,3.10270063,0.53989535,0.24771030,0.00117543,0.81321917,1.11953725,1.27604194,0.00552733,0.60868359
-5.58579290,3.06042279,0.54617576,0.24250817,0.00119366,0.80064742,1.11089162,1.25403696,0.00523127,0.60646165
-5.57978989,3.01267157,0.55170624,0.23744235,0.00120877,0.78584303,1.09945613,1.22943381,0.00495362,0.60410212
-5.57378689,2.95935307,0.55623198,0.23247341,0.00121998,0.76889233,1.08514611,1.20232422,0.00469291,0.60139521
-5.56778389,2.90044748,0.55952101,0.22755895,0.00122658,0.74990727,1.06792358,1.17282998,0.00444788,0.59813882
-5.56178089,2.83602080,0.56137218,0.22265600,0.00122798,0.72902530,1.04780135,1.14110410,0.00421763,0.59414622
-5.55577789,2.76623542,0.56162243,0.21772339,0.00122372,0.70640886,1.02484612,1.10733172,0.00400159,0.58925352
-5.54977489,2.69135820,0.56015274,0.21272413,0.00121348,0.68224441,0.99918035,1.07173031,0.00379959,0.58332650
-5.54377189,2.61176541,0.55689253,0.20762752,0.00119706,0.65674077,0.97098236,1.03454891,0.00361183,0.57626629
-5.53776888,2.52794348,0.55182212,0.20241098,0.00117443,0.63012689,0.94048466,0.99606634,0.00343886,0.56801368
-5.53176588,2.44048528,0.54497319,0.19706137,0.00114574,0.60264871,0.90797029,0.95658809,0.00328161,0.55855172
-5.52576288,2.35008148,0.53642707,0.19157588,0.00111124,0.57456540,0.87376708,0.91644188,0.00314124,0.54790644
-5.51975988,2.25750736,0.52631096,0.18596233,0.00107136,0.54614482,0.83824019,0.87597201,0.00301920,0.53614572
-5.51375688,2.16360523,0.51479230,0.18023893,0.00102664,0.51765844,0.80178291,0.83553257,0.00291709,0.52337624
-5.50775388,2.06926323,0.50207154,0.17443350,0.00097772,0.48937584,0.76480628,0.79547983,0.00283664,0.50973886
-5.50175088,1.97539160,0.48837371,0.16858230,0.00092532,0.46155895,0.72772784,0.75616407,0.00277962,0.49540251
-5.49574787,1.88289724,0.47393925,0.16272833,0.00087025,0.43445634,0.69096006,0.71792120,0.00274779,0.48055704
-5.48974487,1.79265813,0.45901455,0.15691947,0.00081332,0.40829775,0.65489895,0.68106468,0.00274281,0.46540542
-5.48374187,1.70549852,0.44384274,0.15120638,0.00075536,0.38328912,0.61991341,0.64587798,0.00276622,0.45015559
-5.47773887,1.62216635,0.42865506,0.14564030,0.00069719,0.35960825,0.58633566,0.61260814,0.00281930,0.43501248
-5.47173587,1.54331374,0.41366341,0.14027095,0.00063958,0.33740147,0.55445338,0.58146053,0.00290308,0.42017053
-5.46573287,1.46948149,0.39905418,0.13514453,0.00058326,0.31678125,0.52450361,0.55259524,0.00301823,0.40580703
-5.45972986,1.40108823,0.38498373,0.13030197,0.00052886,0.29782492,0.49666881,0.52612512,0.00316499,0.39207657
-5.45372686,1.33842437,0.37157562,0.12577745,0.00047694,0.28057459,0.47107508,0.50211560,0.00334317,0.37910680
-5.44772386,1.28165111,0.35891953,0.12159731,0.00042796,0.26503809,0.44779246,0.48058620,0.00355205,0.36699554
-5.44172086,1.23080412,0.34707189,0.11777931,0.00038228,0.25119098,0.42683730,0.46151358,0.00379034,0.35580934
-5.43571786,1.18580148,0.33605792,0.11433227,0.00034015,0.23897943,0.40817631,0.44483594,0.00405616,0.34558346
-5.42971486,1.14645525,0.32587502,0.11125611,0.00030174,0.22832382,0.39173210,0.43045844,0.00434700,0.33632301
-5.42371186,1.11248583,0.31649693,0.10854220,0.00026711,0.21912288,0.37738972,0.41825935,0.00465972,0.32800526
-5.41770885,1.08353823,0.30787868,0.10617407,0.00023624,0.21125812,0.36500399,0.40809653,0.00499055,0.32058282
-5.41170585,1.05919944,0.29996165,0.10412834,0.00020903,0.20459845,0.35440705,0.39981391,0.00533511,0.31398746
-5.40570285,1.03901589,0.29267869,0.10237586,0.00018532,0.19900472,0.34541590,0.39324763,0.00568844,0.30813443
-5.39969985,1.02251039,0.28595893,0.10088303,0.00016490,0.19433404,0.33783948,0.38823167,0.00604513,0.30292689
-5.39369685,1.00919778,0.27973194,0.09961318,0.00014752,0.19044380,0.33148524,0.38460249,0.00639930,0.29826046
