energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.78973178,0.17174461,0.00460994,0.23628387,0.97443431,0.68788619,0.01402305,0.57458827
-5.99399700,1.88737913,0.18109926,0.00483754,0.25070255,1.03180101,0.72661010,0.01441568,0.60313024
-5.98799400,1.99775364,0.19150654,0.00508999,0.26686205,1.09210277,0.77213365,0.01493201,0.63511957
-5.98199100,2.11997958,0.20282867,0.00536656,0.28459435,1.15475862,0.82416589,0.01556603,0.67030236
-5.97598799,2.25305749,0.21490807,0.00566584,0.30372075,1.21915263,0.88235017,0.01631109,0.70838685
-5.96998499,2.39586840,0.22756966,0.00598572,0.32405346,1.28464417,0.94626120,0.01716004,0.74904593
-5.96398199,2.54718085,0.24062392,0.00632336,0.34539721,1.35057876,1.01540361,0.01810530,0.79192036
-5.95797899,2.70566070,0.25387063,0.00667516,0.36755111,1.41629917,1.08921227,0.01913898,0.83662314
-5.95197599,2.86988399,0.26710300,0.00703684,0.39031056,1.48115665,1.16705461,0.02025297,0.88274456
-5.94597299,3.03835265,0.28011231,0.00740348,0.41346939,1.54452182,1.24823506,0.02143903,0.92985809
-5.93996998,3.20951290,0.29269274,0.00776958,0.43682199,1.60579503,1.33200167,0.02268887,0.97752681
-5.93396698,3.38177570,0.30464623,0.00812923,0.46016561,1.66441571,1.41755481,0.02399423,1.02531027
-5.92796398,3.55353887,0.31578731,0.00847620,0.48330258,1.71987056,1.50405775,0.02534689,1.07277137
-5.92196098,3.72320999,0.32594740,0.00880412,0.50604246,1.77170017,1.59064886,0.02673872,1.11948320
-5.91595798,3.88922936,0.33497880,0.00910667,0.52820410,1.81950396,1.67645488,0.02816165,1.16503549
-5.90995498,4.05009223,0.34275782,0.00937775,0.54961731,1.86294321,1.76060508,0.02960768,1.20904041
-5.90395198,4.20436951,0.34918723,0.00961169,0.57012436,1.90174222,1.84224553,0.03106874,1.25113770
-5.89794897,4.35072637,0.35419769,0.00980339,0.58958103,1.93568766,1.92055317,0.03253665,1.29099876
-5.89194597,4.48793814,0.35774832,0.00994852,0.60785720,1.96462612,1.99474917,0.03400297,1.32832992
-5.88594297,4.61490329,0.35982625,0.01004368,0.62483709,1.98846037,2.06411115,0.03545890,1.36287463
-5.87993997,4.73065330,0.36044537,0.01008645,0.64041902,2.00714440,2.12798392,0.03689507,1.39441489
-5.87393697,4.83435963,0.35964415,0.01007555,0.65451487,2.02067790,2.18578858,0.03830149,1.42277180
-5.86793397,4.92533792,0.35748298,0.01001084,0.66704925,2.02910035,2.23702972,0.03966738,1.44780569
-5.86193097,5.00304999,0.35404087,0.00989333,0.67795851,2.03248540,2.28130086,0.04098114,1.46941574
-5.85592796,5.06710405,0.34941193,0.00972516,0.68718972,2.03093577,2.31828802,0.04223028,1.48753948
-5.84992496,5.11725380,0.34370171,0.00950951,0.69469982,2.02457907,2.34777172,0.04340153,1.50215225
-5.84392196,5.15339678,0.33702361,0.00925051,0.70045492,2.01356476,2.36962742,0.04448091,1.51326671
-5.83791896,5.17557257,0.32949553,0.00895313,0.70443007,1.99806247,2.38382479,0.04545394,1.52093262
-5.83191596,5.18396095,0.32123686,0.00862294,0.70660940,1.97826148,2.39042588,0.04630595,1.52523653
-5.82591296,5.17888009,0.31236596,0.00826604,0.70698677,1.95437148,2.38958241,0.04702239,1.52630173
-5.81990995,5.16078480,0.30299810,0.00788880,0.70556693,1.92662411,2.38153228,0.04758930,1.52428788
-5.81390695,5.13026418,0.29324402,0.00749773,0.70236705,1.89527513,2.36659539,0.04799372,1.51939033
-5.80790395,5.08803844,0.28320895,0.00709925,0.69741858,1.86060667,2.34516871,0.04822424,1.51183877
-5.80190095,5.03495400,0.27299204,0.00669959,0.69076936,1.82292913,2.31772053,0.04827147,1.50189498
-5.79589795,4.97197623,0.26268627,0.00630459,0.68248553,1.78258229,2.28478384,0.04812850,1.48984940
-5.78989495,4.90017921,0.25237853,0.00591960,0.67265334,1.73993523,2.24694857,0.04779133,1.47601634
-5.78389195,4.82073184,0.24214993,0.00554938,0.66138045,1.69538464,2.20485274,0.04725923,1.46072774
-5.77788894,4.73487997,0.23207612,0.00519801,0.64879652,1.64935147,2.15917219,0.04653495,1.44432546
-5.77188594,4.64392453,0.22222759,0.00486885,0.63505302,1.60227567,2.11060915,0.04562488,1.42715233
-5.76588294,4.54919586,0.21266989,0.00456452,0.62032203,1.55460931,2.05987948,0.04453903,1.40954210
