energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.82046516,0.55207899,1.50969735,5.07717179,1.62703042,0.03091931,1.36283830,0.06959238,1.95159307
-5.99399700,6.78810588,0.55118519,1.51302538,5.03436118,1.61175258,0.03132871,1.35430903,0.06853092,1.93656699
-5.98799400,6.75090526,0.55063995,1.51709786,4.98003604,1.59450490,0.03169103,1.34258391,0.06747373,1.92112950
-5.98199100,6.70941681,0.55042147,1.52223614,4.91478210,1.57533815,0.03200311,1.32775457,0.06641377,1.90536120
-5.97598799,6.66433543,0.55050335,1.52878666,4.83929230,1.55435251,0.03226365,1.30994393,0.06534580,1.88937960
-5.96998499,6.61650202,0.55085745,1.53711941,4.75436440,1.53169835,0.03247328,1.28930662,0.06426663,1.87334310
-5.96398199,6.56690263,0.55145665,1.54762489,4.66089820,1.50757549,0.03263455,1.26602924,0.06317536,1.85745305
-5.95797899,6.51666145,0.55227742,1.56070939,4.55989152,1.48223076,0.03275180,1.24033018,0.06207351,1.84195341
-5.95197599,6.46702710,0.55330194,1.57678855,4.45243423,1.45595389,0.03283101,1.21245891,0.06096504,1.82712810
-5.94597299,6.41935194,0.55451979,1.59627924,4.33969943,1.42907179,0.03287951,1.18269446,0.05985624,1.81329567
-5.93996998,6.37506454,0.55592897,1.61958986,4.22293126,1.40194136,0.03290569,1.15134301,0.05875562,1.80080166
-5.93396698,6.33563590,0.55753615,1.64710942,4.10342904,1.37494082,0.03291861,1.11873445,0.05767361,1.79000853
-5.92796398,6.30254036,0.55935638,1.67919570,3.98252751,1.34846015,0.03292762,1.08521796,0.05662222,1.78128372
-5.92196098,6.27721259,0.56141197,1.71616306,3.86157364,1.32289057,0.03294190,1.05115649,0.05561467,1.77498632
-5.91595798,6.26100247,0.56373087,1.75827044,3.74190048,1.29861373,0.03297010,1.01692046,0.05466492,1.77145272
-5.90995498,6.25512984,0.56634458,1.80571015,3.62479898,1.27599089,0.03301990,0.98288072,0.05378720,1.77098228
-5.90395198,6.26064145,0.56928577,1.85859818,3.51148906,1.25535253,0.03309768,0.94940110,0.05299553,1.77382338
-5.89794897,6.27837226,0.57258573,1.91696649,3.40309123,1.23698890,0.03320821,0.91683077,0.05230323,1.78016095
-5.89194597,6.30891332,0.57627202,1.98075800,3.30060005,1.22114188,0.03335443,0.88549689,0.05172252,1.79010600
-5.88594297,6.35258811,0.58036630,2.04982447,3.20486118,1.20799860,0.03353731,0.85569768,0.05126407,1.80368787
-5.87993997,6.40943895,0.58488264,2.12392775,3.11655297,1.19768697,0.03375580,0.82769643,0.05093671,1.82084975
-5.87393697,6.47922427,0.58982646,2.20274436,3.03617378,1.19027351,0.03400688,0.80171656,0.05074719,1.84144776
-5.86793397,6.56142746,0.59519406,2.28587335,2.96403588,1.18576349,0.03428565,0.77793805,0.05069999,1.86525384
-5.86193097,6.65527669,0.60097293,2.37284713,2.90026609,1.18410337,0.03458560,0.75649538,0.05079727,1.89196233
-5.85592796,6.75977517,0.60714268,2.46314480,2.84481333,1.18518530,0.03489887,0.73747696,0.05103887,1.92120006
-5.84992496,6.87374000,0.61367668,2.55620730,2.79746259,1.18885364,0.03521659,0.72092612,0.05142240,1.95253937
-5.84392196,6.99584771,0.62054400,2.65145367,2.75785453,1.19491286,0.03552930,0.70684357,0.05194344,1.98551343
-5.83791896,7.12468399,0.62771181,2.74829751,2.72550961,1.20313653,0.03582733,0.69519100,0.05259577,2.01963308
-5.83191596,7.25879472,0.63514773,2.84616281,2.69985547,1.21327688,0.03610123,0.68589575,0.05337159,2.05440419
-5.82591296,7.39673559,0.64282207,2.94449821,2.68025589,1.22507426,0.03634214,0.67885621,0.05426187,2.08934469
-5.81990995,7.53711742,0.65070970,3.04278905,2.66603991,1.23826615,0.03654218,0.67394754,0.05525661,2.12400011
-5.81390695,7.67864478,0.65879131,3.14056644,2.65652964,1.25259504,0.03669472,0.67102752,0.05634513,2.15795708
-5.80790395,7.82014572,0.66705399,3.23741299,2.65106512,1.26781497,0.03679462,0.66994220,0.05751632,2.19085368
-5.80190095,7.96059134,0.67549088,3.33296493,2.64902540,1.28369625,0.03683836,0.67053096,0.05875882,2.22238641
-5.79589795,8.09910415,0.68409999,3.42691056,2.64984474,1.30002827,0.03682413,0.67263095,0.06006117,2.25231332
-5.78989495,8.23495545,0.69288219,3.51898529,2.65302349,1.31662037,0.03675182,0.67608060,0.06141189,2.28045322
