energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.74463092,0.18317213,0.20509953,0.07922324,0.00114036,0.05314252,0.22142299
-5.99399700,0.76762446,0.18510484,0.21287321,0.08013818,0.00116274,0.05480281,0.23084506
-5.98799400,0.78782200,0.18605512,0.22005253,0.08061482,0.00118032,0.05641528,0.23935868
-5.98199100,0.80475291,0.18598673,0.22648051,0.08063213,0.00119247,0.05793853,0.24678655
-5.97598799,0.81801264,0.18488732,0.23201421,0.08017971,0.00119864,0.05933143,0.25297160
-5.96998499,0.82727504,0.18276876,0.23652912,0.07925810,0.00119847,0.06055448,0.25778144
-5.96398199,0.83230269,0.17966664,0.23992327,0.07787867,0.00119174,0.06157123,0.26111244
-5.95797899,0.83295481,0.17563908,0.24212072,0.07606323,0.00117838,0.06234966,0.26289288
-5.95197599,0.82919224,0.17076490,0.24307431,0.07384318,0.00115851,0.06286342,0.26308534
-5.94597299,0.82107941,0.16514119,0.24276759,0.07125858,0.00113237,0.06309297,0.26168802
-5.93996998,0.80878300,0.15888039,0.24121566,0.06835676,0.00110037,0.06302640,0.25873487
-5.93396698,0.79256743,0.15210705,0.23846505,0.06519097,0.00106303,0.06266007,0.25429468
-5.92796398,0.77278723,0.14495436,0.23459245,0.06181874,0.00102099,0.06199892,0.24846899
-5.92196098,0.74987660,0.13756053,0.22970241,0.05830034,0.00097497,0.06105647,0.24138896
-5.91595798,0.72433659,0.13006526,0.22392412,0.05469720,0.00092577,0.05985450,0.23321124
-5.90995498,0.69672032,0.12260635,0.21740728,0.05107037,0.00087421,0.05842241,0.22411321
-5.90395198,0.66761690,0.11531651,0.21031737,0.04747920,0.00082115,0.05679643,0.21428746
-5.89794897,0.63763460,0.10832055,0.20283029,0.04398015,0.00076741,0.05501841,0.20393605
-5.89194597,0.60738390,0.10173303,0.19512690,0.04062581,0.00071382,0.05313460,0.19326459
-5.88594297,0.57746112,0.09565626,0.18738735,0.03746409,0.00066116,0.05119423,0.18247638
-5.87993997,0.54843313,0.09017890,0.17978563,0.03453778,0.00061014,0.04924800,0.17176696
-5.87393697,0.52082370,0.08537503,0.17248450,0.03188418,0.00056140,0.04734668,0.16131910
-5.86793397,0.49510192,0.08130368,0.16563092,0.02953503,0.00051553,0.04553962,0.15129850
-5.86193097,0.47167302,0.07800893,0.15935228,0.02751661,0.00047301,0.04387347,0.14185029
-5.85592796,0.45087181,0.07552034,0.15375337,0.02584998,0.00043426,0.04239103,0.13309646
-5.84992496,0.43295887,0.07385381,0.14891437,0.02455133,0.00039960,0.04113021,0.12513422
-5.84392196,0.41811944,0.07301282,0.14488980,0.02363250,0.00036930,0.04012331,0.11803525
-5.83791896,0.40646495,0.07298987,0.14170840,0.02310143,0.00034356,0.03939638,0.11184601
-5.83191596,0.39803700,0.07376812,0.13937402,0.02296270,0.00032250,0.03896895,0.10658871
-5.82591296,0.39281337,0.07532321,0.13786742,0.02321805,0.00030621,0.03885384,0.10226317
-5.81990995,0.39071587,0.07762509,0.13714870,0.02386682,0.00029475,0.03905722,0.09884926
-5.81390695,0.39161954,0.08063993,0.13716059,0.02490640,0.00028814,0.03957889,0.09630983
-5.80790395,0.39536269,0.08433185,0.13783199,0.02633256,0.00028639,0.04041264,0.09459393
-5.80190095,0.40175751,0.08866463,0.13908205,0.02813969,0.00028948,0.04154679,0.09364037
-5.79589795,0.41060060,0.09360325,0.14082422,0.03032104,0.00029743,0.04296480,0.09338120
-5.78989495,0.42168313,0.09911516,0.14297035,0.03286883,0.00031022,0.04464601,0.09374520
