energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-5.73586793,1.20151470,0.70044893,0.62608266,0.48948853,0.00789179,0.00079936,0.10978759
-5.72986493,1.19673745,0.70821464,0.62129275,0.48528289,0.00789041,0.00080848,0.11340919
-5.72386193,1.19099643,0.71519957,0.61612756,0.48079072,0.00787213,0.00081562,0.11699174
-5.71785893,1.18500599,0.72159027,0.61105183,0.47634368,0.00784103,0.00082096,0.12050006
-5.71185593,1.17956927,0.72762677,0.60657910,0.47230477,0.00780182,0.00082482,0.12390798
-5.70585293,1.17554762,0.73359265,0.60325385,0.46905327,0.00775970,0.00082757,0.12719813
-5.69984992,1.17382803,0.73980376,0.60163256,0.46696913,0.00772027,0.00082971,0.13036132
-5.69384692,1.17528970,0.74659575,0.60226418,0.46641726,0.00768931,0.00083181,0.13339570
-5.68784392,1.18077047,0.75431074,0.60567070,0.46773215,0.00767269,0.00083454,0.13630569
-5.68184092,1.19103417,0.76328341,0.61232804,0.47120349,0.00767612,0.00083866,0.13910060
-5.67583792,1.20673978,0.77382687,0.62264820,0.47706306,0.00770505,0.00084500,0.14179305
-5.66983492,1.22841337,0.78621864,0.63696278,0.48547347,0.00776446,0.00085445,0.14439722
-5.66383192,1.25642353,0.80068731,0.65550863,0.49651905,0.00785870,0.00086798,0.14692699
-5.65782891,1.29096135,0.81740020,0.67841595,0.51019933,0.00799131,0.00088658,0.14939411
-5.65182591,1.33202551,0.83645264,0.70569937,0.52642523,0.00816492,0.00091127,0.15180640
-5.64582291,1.37941337,0.85785940,0.73725240,0.54501835,0.00838105,0.00094307,0.15416619
-5.63981991,1.43271845,0.88154867,0.77284546,0.56571340,0.00864006,0.00098299,0.15646898
-5.63381691,1.49133490,0.90735914,0.81212799,0.58816371,0.00894106,0.00103200,0.15870255
-5.62781391,1.55446898,0.93504048,0.85463451,0.61194997,0.00928187,0.00109097,0.16084652
-5.62181091,1.62115771,0.96425748,0.89979497,0.63659172,0.00965901,0.00116071,0.16287235
-5.61580790,1.69029426,0.99459789,0.94694893,0.66156153,0.01006778,0.00124188,0.16474401
-5.60980490,1.76065961,1.02558403,0.99536362,0.68630130,0.01050231,0.00133501,0.16641907
-5.60380190,1.83095950,1.05668762,1.04425521,0.71024016,0.01095574,0.00144043,0.16785038
-5.59779890,1.89986564,1.08734768,1.09281272,0.73281335,0.01142038,0.00155830,0.16898807
-5.59179590,1.96605958,1.11699061,1.14022392,0.75348145,0.01188795,0.00168854,0.16978200
-5.58579290,2.02827775,1.14505173,1.18570207,0.77174910,0.01234985,0.00183085,0.17018428
-5.57978989,2.08535590,1.17099748,1.22851277,0.78718251,0.01279742,0.00198470,0.17015196
-5.57378689,2.13627095,1.19434701,1.26799955,0.79942502,0.01322224,0.00214928,0.16964955
-5.56778389,2.18017869,1.21469249,1.30360743,0.80821015,0.01361648,0.00232359,0.16865131
-5.56178089,2.21644542,1.23171683,1.33490315,0.81337140,0.01397311,0.00250637,0.16714320
-5.55577789,2.24467228,1.24520815,1.36159133,0.81484854,0.01428622,0.00269614,0.16512432
-5.54977489,2.26471105,1.25507020,1.38352575,0.81268997,0.01455126,0.00289125,0.16260772
-5.54377189,2.27667061,1.26132808,1.40071515,0.80705129,0.01476514,0.00308990,0.15962069
-5.53776888,2.28091386,1.26412913,1.41332327,0.79818982,0.01492646,0.00329015,0.15620432
-5.53176588,2.27804515,1.26373872,1.42166314,0.78645572,0.01503549,0.00349001,0.15241248
-5.52576288,2.26888875,1.26053119,1.42618574,0.77227976,0.01509418,0.00368746,0.14831020
-5.51975988,2.25445942,1.25497638,1.42746357,0.75615865,0.01510613,0.00388048,0.14397162
-5.51375688,2.23592648,1.24762232,1.42616989,0.73863830,0.01507642,0.00406716,0.13947750
-5.50775388,2.21457289,1.23907485,1.42305449,0.72029596,0.01501143,0.00424566,0.13491257
-5.50175088,2.19175131,1.22997526,1.41891721,0.70172190,0.01491864,0.00441435,0.13036273
-5.49574787,2.16883911,1.22097680,1.41458019,0.68350141,0.01480631,0.00457176,0.12591226
-5.48974487,2.14719417,1.21272119,1.41086031,0.66619785,0.01468326,0.00471668,0.12164123
-5.48374187,2.12811346,1.20581627,1.40854281,0.65033736,0.01455856,0.00484811,0.11762316
-5.47773887,2.11279591,1.20081552,1.40835732,0.63639578,0.01444125,0.00496535,0.11392303
-5.47173587,2.10231112,1.19820046,1.41095722,0.62478801,0.01434006,0.00506793,0.11059572
-5.46573287,2.09757470,1.19836666,1.41690310,0.61586029,0.01426324,0.00515562,0.10768491
-5.45972986,2.09933113,1.20161358,1.42665080,0.60988530,0.01421832,0.00522843,0.10522251
-5.45372686,2.10814427,1.20813889,1.44054444,0.60706005,0.01421199,0.00528658,0.10322845
-5.44772386,2.12439533,1.21803702,1.45881434,0.60750643,0.01425004,0.00533042,0.10171098
-5.44172086,2.14828787,1.23130207,1.48157974,0.61127409,0.01433724,0.00536046,0.10066739
-5.43571786,2.17985893,1.24783458,1.50885570,0.61834519,0.01447742,0.00537729,0.10008488
-5.42971486,2.21899502,1.26745169,1.54056357,0.62864067,0.01467346,0.00538155,0.09994189
-5.42371186,2.26545194,1.28990007,1.57654428,0.64202751,0.01492737,0.00537393,0.10020939
-5.41770885,2.31887654,1.31487087,1.61657334,0.65832635,0.01524038,0.00535508,0.10085237
-5.41170585,2.37882929,1.34201569,1.66037650,0.67731931,0.01561300,0.00532569,0.10183131
-5.40570285,2.44480594,1.37096293,1.70764530,0.69875720,0.01604517,0.00528638,0.10310357
-5.39969985,2.51625715,1.40133346,1.75805114,0.72236610,0.01653628,0.00523781,0.10462473
-5.39369685,2.59260487,1.43275493,1.81125738,0.74785295,0.01708524,0.00518058,0.10634972
-5.38769385,2.67325469,1.46487398,1.86692860,0.77490983,0.01769052,0.00511533,0.10823382
-5.38169085,2.75760372,1.49736586,1.92473654,0.80321726,0.01835014,0.00504274,0.11023345
-5.37568784,2.84504391,1.52994100,1.98436269,0.83244621,0.01906160,0.00496355,0.11230679
-5.36968484,2.93496105,1.56234854,2.04549744,0.86225925,0.01982186,0.00487856,0.11441418
-5.36368184,3.02673007,1.59437663,2.10783616,0.89231097,0.02062720,0.00478870,0.11651845
-5.35767884,3.11970770,1.62585000,2.17107294,0.92224811,0.02147315,0.00469502,0.11858500
-5.35167584,3.21322367,1.65662503,2.23489263,0.95170954,0.02235435,0.00459868,0.12058190
-5.34567284,3.30657177,1.68658313,2.29896230,0.98032678,0.02326446,0.00450099,0.12247983
-5.33966983,3.39900244,1.71562302,2.36292316,1.00772511,0.02419607,0.00440336,0.12425209
-5.33366683,3.48971808,1.74365271,2.42638402,1.03352578,0.02514070,0.00430730,0.12587452
-5.32766383,3.57787254,1.77058210,2.48891725,1.05734944,0.02608873,0.00421440,0.12732553
-5.32166083,3.66257572,1.79631683,2.55005826,1.07882092,0.02702953,0.00412623,0.12858611
-5.31565783,3.74290387,1.82075404,2.60930888,1.09757547,0.02795158,0.00404439,0.12964003
-5.30965483,3.81791591,1.84378052,2.66614517,1.11326617,0.02884264,0.00397038,0.13047394
-5.30365183,3.88667534,1.86527351,2.72002941,1.12557246,0.02969002,0.00390559,0.13107769
-5.29764882,3.94827704,1.88510410,2.77042602,1.13420932,0.03048094,0.00385125,0.13144462
-5.29164582,4.00187777,1.90314305,2.81682053,1.13893672,0.03120282,0.00380838,0.13157188
-5.28564282,4.04672858,1.91926852,2.85874060,1.13956882,0.03184378,0.00377773,0.13146078
-5.27963982,4.08220737,1.93337514,2.89577765,1.13598233,0.03239293,0.00375980,0.13111703
-5.27363682,4.10784937,1.94538343,2.92760773,1.12812367,0.03284086,0.00375479,0.13055101
-5.26763382,4.12337347,1.95524885,2.95401004,1.11601423,0.03317999,0.00376256,0.12977783
-5.26163082,4.12870251,1.96296944,2.97488158,1.09975339,0.03340484,0.00378270,0.12881727
-5.25562781,4.12397571,1.96859134,2.99024678,1.07951909,0.03351233,0.00381447,0.12769357
-5.24962481,4.10955207,1.97221134,3.00026102,1.05556565,0.03350189,0.00385685,0.12643500
-5.24362181,4.08600407,1.97397617,3.00520749,1.02821879,0.03337555,0.00390857,0.12507328
-5.23761881,4.05410142,1.97407814,3.00548728,0.99786814,0.03313787,0.00396815,0.12364277
-5.23161581,4.01478558,1.97274731,3.00160293,0.96495730,0.03279581,0.00403389,0.12217955
-5.22561281,3.96913606,1.97024051,2.99413637,0.92997197,0.03235847,0.00410398,0.12072032
-5.21960980,3.91833027,1.96682790,2.98372232,0.89342666,0.03183674,0.00417650,0.11930131
-5.21360680,3.86359903,1.96277787,2.97101879,0.85585050,0.03124295,0.00424949,0.11795710
-5.20760380,3.80618016,1.95834138,2.95667640,0.81777284,0.03059036,0.00432100,0.11671951
-5.20160080,3.74727280,1.95373683,2.94130848,0.77970923,0.02989275,0.00438912,0.11561660
-5.19559780,3.68799482,1.94913670,2.92546364,0.74214842,0.02916389,0.00445205,0.11467187
-5.18959480,3.62934576,1.94465677,2.90960266,0.70554086,0.02841716,0.00450813,0.11390364
-5.18359180,3.57217710,1.94034907,2.89408091,0.67028915,0.02766508,0.00455588,0.11332468
-5.17758879,3.51717131,1.93619890,2.87913733,0.63674081,0.02691900,0.00459406,0.11294216
-5.17158579,3.46483045,1.93212642,2.86489059,0.60518344,0.02618884,0.00462164,0.11275791
-5.16558279,3.41547449,1.92799273,2.85134218,0.57584238,0.02548287,0.00463791,0.11276889
-5.15957979,3.36924889,1.92361001,2.83838626,0.54888072,0.02480768,0.00464241,0.11296793
-5.15357679,3.32614032,1.91875520,2.82582507,0.52440157,0.02416807,0.00463499,0.11334476
-5.14757379,3.28599906,1.91318614,2.81338882,0.50245204,0.02356719,0.00461579,0.11388702
-5.14157079,3.24856620,1.90665923,2.80075843,0.48302884,0.02300662,0.00458521,0.11458145
-5.13556778,3.21350343,1.89894716,2.78758941,0.46608475,0.02248657,0.00454394,0.11541506
-5.12956478,3.18042342,1.88985575,2.77353531,0.45153578,0.02200604,0.00449286,0.11637615
-5.12356178,3.14891881,1.87923849,2.75826916,0.43926843,0.02156311,0.00443305,0.11745523
-5.11755878,3.11858792,1.86700799,2.74150151,0.42914670,0.02115515,0.00436576,0.11864565
-5.11155578,3.08905596,1.85314342,2.72299433,0.42101861,0.02077900,0.00429230,0.11994406
-5.10555278,3.05999079,1.83769360,2.70256990,0.41472174,0.02043123,0.00421403,0.12135045
-5.09954977,3.03111280,1.82077558,2.68011483,0.41008799,0.02010827,0.00413232,0.12286793
-5.09354677,3.00219902,1.80256880,2.65557921,0.40694714,0.01980659,0.00404846,0.12450224
-5.08754377,2.97308202,1.78330542,2.62897171,0.40512947,0.01952274,0.00396364,0.12626091
-5.08154077,2.94364437,1.76325750,2.60035134,0.40446738,0.01925350,0.00387888,0.12815224
-5.07553777,2.91381009,1.74272203,2.56981716,0.40479623,0.01899586,0.00379505,0.13018406
-5.06953477,2.88353417,1.72200478,2.53749696,0.40595459,0.01874706,0.00371277,0.13236250
-5.06353177,2.85279172,1.70140431,2.50353625,0.40778407,0.01850460,0.00363247,0.13469059
-5.05752876,2.82156796,1.68119698,2.46808850,0.41012899,0.01826622,0.00355434,0.13716709
-5.05152576,2.78985018,1.66162417,2.43130765,0.41283609,0.01802990,0.00347833,0.13978530
-5.04552276,2.75762252,1.64288244,2.39334338,0.41575444,0.01779382,0.00340420,0.14253230
-5.03951976,2.72486410,1.62511720,2.35433949,0.41873579,0.01755642,0.00333153,0.14538825
-5.03351676,2.69155066,1.60842040,2.31443550,0.42163527,0.01731633,0.00325974,0.14832625
-5.02751376,2.65765954,1.59283209,2.27377091,0.42431274,0.01707245,0.00318817,0.15131244
