energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.61910996,1.21339036,3.33684478,0.00233729,1.06103186,0.04148621,0.38983688,1.03450186,0.62751466
-5.99399700,5.59637106,1.22124382,3.35696238,0.00231548,1.04090029,0.04133746,0.38400170,1.01778442,0.61510218
-5.98799400,5.55651882,1.22677998,3.36773817,0.00228190,1.01695017,0.04099824,0.37718411,0.99719565,0.60055047
-5.98199100,5.50053608,1.23017334,3.36948378,0.00223709,0.98953085,0.04047734,0.36944162,0.97309105,0.58404448
-5.97598799,5.42970293,1.23162602,3.36268775,0.00218176,0.95905013,0.03978740,0.36085769,0.94587866,0.56580681
-5.96998499,5.34556411,1.23136033,3.34800049,0.00211681,0.92596540,0.03894468,0.35153919,0.91601051,0.54609265
-5.96398199,5.24989058,1.22961161,3.32621509,0.00204331,0.89077373,0.03796858,0.34161331,0.88397341,0.52518402
-5.95797899,5.14463638,1.22662154,3.29824464,0.00196243,0.85400136,0.03688115,0.33122377,0.85027952,0.50338342
-5.95197599,5.03189239,1.22263241,3.26509707,0.00187543,0.81619284,0.03570655,0.32052681,0.81545668,0.48100708
-5.94597299,4.91383842,1.21788204,3.22784832,0.00178366,0.77790006,0.03447048,0.30968682,0.78003896,0.45837813
-5.93996998,4.79269488,1.21259993,3.18761485,0.00168846,0.73967158,0.03319950,0.29887195,0.74455736,0.43581971
-5.93396698,4.67067556,1.20700411,3.14552636,0.00159121,0.70204236,0.03192049,0.28824988,0.70953099,0.41364836
-5.92796398,4.54994251,1.20129907,3.10269947,0.00149321,0.66552421,0.03066000,0.27798366,0.67545879,0.39216780
-5.92196098,4.43256427,1.19567441,3.06021322,0.00139576,0.63059718,0.02944368,0.26822807,0.64281199,0.37166313
-5.91595798,4.32047813,1.19030415,3.01908674,0.00130002,0.59770193,0.02829578,0.25912627,0.61202727,0.35239585
-5.90995498,4.21545732,1.18534657,2.98025991,0.00120708,0.56723334,0.02723863,0.25080706,0.58350092,0.33459948
-5.90395198,4.11908352,1.18094437,2.94457698,0.00111792,0.53953532,0.02629228,0.24338268,0.55758397,0.31847603
-5.89794897,4.03272524,1.17722512,2.91277377,0.00103337,0.51489704,0.02547418,0.23694720,0.53457842,0.30419339
-5.89194597,3.95752205,1.17430175,2.88546829,0.00095415,0.49355038,0.02479891,0.23157550,0.51473451,0.29188355
-5.88594297,3.89437496,1.17227307,2.86315494,0.00088081,0.47566877,0.02427803,0.22732278,0.49824929,0.28164169
-5.87993997,3.84394267,1.17122433,2.84620228,0.00081381,0.46136723,0.02392003,0.22422467,0.48526624,0.27352614
-5.87393697,3.80664360,1.17122765,2.83485408,0.00075344,0.45070367,0.02373034,0.22229778,0.47587607,0.26755918
-5.86793397,3.78266326,1.17234254,2.82923370,0.00069991,0.44368113,0.02371138,0.22154056,0.47011861,0.26372846
-5.86193097,3.77196646,1.17461637,2.82935123,0.00065330,0.44025104,0.02386271,0.22193462,0.46798567,0.26198921
-5.85592796,3.77431391,1.17808503,2.83511337,0.00061360,0.44031718,0.02418128,0.22344615,0.46942466,0.26226684
-5.84992496,3.78928235,1.18277377,2.84633545,0.00058072,0.44374023,0.02466158,0.22602756,0.47434302,0.26446012
-5.84392196,3.81628750,1.18869820,2.86275523,0.00055453,0.45034273,0.02529597,0.22961915,0.48261297,0.26844456
-5.83791896,3.85460899,1.19586576,2.88404796,0.00053481,0.45991429,0.02607492,0.23415082,0.49407663,0.27407603
-5.83191596,3.90341634,1.20427733,2.90984211,0.00052134,0.47221680,0.02698728,0.23954360,0.50855118,0.28119450
-5.82591296,3.96179507,1.21392931,2.93973519,0.00051386,0.48698956,0.02802053,0.24571124,0.52583378,0.28962764
-5.81990995,4.02877200,1.22481574,2.97330904,0.00051210,0.50395420,0.02916104,0.25256146,0.54570623,0.29919442
-5.81390695,4.10333896,1.23693069,3.01014386,0.00051578,0.52281925,0.03039423,0.25999723,0.56793909,0.30970839
-5.80790395,4.18447401,1.25027052,3.04983048,0.00052460,0.54328427,0.03170478,0.26791777,0.59229513,0.32098074
-5.80190095,4.27115955,1.26483584,3.09198024,0.00053827,0.56504363,0.03307675,0.27621947,0.61853213,0.33282300
-5.79589795,4.36239699,1.28063316,3.13623206,0.00055650,0.58778976,0.03449369,0.28479674,0.64640489,0.34504946
-5.78989495,4.45721738,1.29767572,3.18225629,0.00057897,0.61121606,0.03593877,0.29354277,0.67566658,0.35747920
-5.78389195,4.55468816,1.31598357,3.22975533,0.00060536,0.63501942,0.03739480,0.30235030,0.70606947,0.36993779
