energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.76757216,0.00041979,0.00762538,0.18831897,0.60076013,0.00066467,0.22361157,0.01885596,0.03937040
-5.99399700,0.82502193,0.00048597,0.00817824,0.20084074,0.63957431,0.00075655,0.24540027,0.02143779,0.04299586
-5.98799400,0.88405403,0.00055896,0.00873083,0.21369059,0.67893816,0.00085682,0.26819845,0.02424280,0.04674118
-5.98199100,0.94448600,0.00063860,0.00927896,0.22686027,0.71880779,0.00096485,0.29186757,0.02725777,0.05057944
-5.97598799,1.00613563,0.00072456,0.00981875,0.24034620,0.75916536,0.00107986,0.31624661,0.03046471,0.05448123
-5.96998499,1.06881994,0.00081632,0.01034674,0.25414794,0.80001751,0.00120087,0.34115226,0.03384048,0.05841509
-5.96398199,1.13235413,0.00091320,0.01086007,0.26826644,0.84139266,0.00132671,0.36638020,0.03735665,0.06234801
-5.95797899,1.19655031,0.00101431,0.01135655,0.28270205,0.88333698,0.00145604,0.39170721,0.04097956,0.06624605
-5.95197599,1.26121620,0.00111857,0.01183487,0.29745249,0.92590923,0.00158731,0.41689426,0.04467066,0.07007502
-5.94597299,1.32615379,0.00122472,0.01229458,0.31251062,0.96917452,0.00171885,0.44169046,0.04838695,0.07380130
-5.93996998,1.39115798,0.00133133,0.01273623,0.32786228,1.01319726,0.00184886,0.46583782,0.05208183,0.07739256
-5.93396698,1.45601537,0.00143685,0.01316137,0.34348425,1.05803344,0.00197546,0.48907670,0.05570596,0.08081865
-5.92796398,1.52050317,0.00153961,0.01357249,0.35934227,1.10372267,0.00209672,0.51115160,0.05920848,0.08405227
-5.92196098,1.58438824,0.00163788,0.01397297,0.37538940,1.15028013,0.00221073,0.53181740,0.06253821,0.08706972
-5.91595798,1.64742650,0.00172993,0.01436694,0.39156466,1.19768893,0.00231567,0.55084549,0.06564506,0.08985148
-5.90995498,1.70936262,0.00181403,0.01475912,0.40779218,1.24589319,0.00240982,0.56802974,0.06848145,0.09238262
-5.90395198,1.76993007,0.00188859,0.01515461,0.42398077,1.29479218,0.00249164,0.58319191,0.07100366,0.09465314
-5.89794897,1.82885180,0.00195211,0.01555860,0.44002416,1.34423599,0.00255980,0.59618643,0.07317322,0.09665802
-5.89194597,1.88584133,0.00200331,0.01597612,0.45580185,1.39402293,0.00261325,0.60690416,0.07495808,0.09839717
-5.88594297,1.94060479,0.00204112,0.01641174,0.47118076,1.44389916,0.00265123,0.61527504,0.07633363,0.09987509
-5.87993997,1.99284359,0.00206478,0.01686926,0.48601764,1.49356056,0.00267327,0.62126950,0.07728351,0.10110042
-5.87393697,2.04225814,0.00207378,0.01735145,0.50016222,1.54265721,0.00267926,0.62489853,0.07780013,0.10208531
-5.86793397,2.08855262,0.00206796,0.01785975,0.51346133,1.59080043,0.00266938,0.62621244,0.07788494,0.10284460
-5.86193097,2.13144083,0.00204748,0.01839411,0.52576359,1.63757235,0.00264416,0.62529836,0.07754837,0.10339497
-5.85592796,2.17065315,0.00201283,0.01895280,0.53692496,1.68253793,0.00260440,0.62227658,0.07680953,0.10375400
-5.84992496,2.20594452,0.00196479,0.01953234,0.54681478,1.72525894,0.00255116,0.61729595,0.07569560,0.10393927
-5.84392196,2.23710343,0.00190443,0.02012750,0.55532217,1.76530970,0.00248573,0.61052853,0.07424093,0.10396745
-5.83791896,2.26396139,0.00183308,0.02073140,0.56236272,1.80229380,0.00240959,0.60216376,0.07248604,0.10385352
-5.83191596,2.28640286,0.00175227,0.02133564,0.56788496,1.83586129,0.00232433,0.59240236,0.07047638,0.10361018
-5.82591296,2.30437501,0.00166369,0.02193058,0.57187656,1.86572549,0.00223165,0.58145035,0.06826094,0.10324734
-5.81990995,2.31789680,0.00156913,0.02250566,0.57436973,1.89167862,0.00213330,0.56951327,0.06589093,0.10277192
-5.81390695,2.32706697,0.00147048,0.02304979,0.57544563,1.91360553,0.00203102,0.55679096,0.06341829,0.10218776
-5.80790395,2.33207018,0.00136962,0.02355176,0.57523739,1.93149463,0.00192650,0.54347301,0.06089440,0.10149583
-5.80190095,2.33318086,0.00126838,0.02400070,0.57393148,1.94544541,0.00182141,0.52973502,0.05836880,0.10069460
-5.79589795,2.33076420,0.00116857,0.02438657,0.57176711,1.95567185,0.00171729,0.51573574,0.05588803,0.09978057
-5.78989495,2.32527388,0.00107187,0.02470053,0.56903361,1.96250156,0.00161560,0.50161520,0.05349472,0.09874895
-5.78389195,2.31724628,0.00097982,0.02493539,0.56606554,1.96637014,0.00151769,0.48749365,0.05122679,0.09759445
-5.77788894,2.30729107,0.00089386,0.02508590,0.56323562,1.96781095,0.00142478,0.47347143,0.04911688,0.09631206
-5.77188594,2.29607823,0.00081523,0.02514902,0.56094556,1.96744058,0.00133799,0.45962957,0.04719207,0.09489786
-5.76588294,2.28432181,0.00074505,0.02512406,0.55961497,1.96594028,0.00125834,0.44603094,0.04547366,0.09334977
-5.75987994,2.27276091,0.00068427,0.02501274,0.55966875,1.96403422,0.00118672,0.43272201,0.04397732,0.09166815
-5.75387694,2.26213849,0.00063370,0.02481916,0.56152323,1.96246539,0.00112399,0.41973487,0.04271330,0.08985631
-5.74787394,2.25317892,0.00059401,0.02454961,0.56557175,1.96196998,0.00107088,0.40708953,0.04168687,0.08792090
-5.74187094,2.24656513,0.00056577,0.02421240,0.57217009,1.96325163,0.00102809,0.39479619,0.04089887,0.08587200
-5.73586793,2.24291641,0.00054943,0.02381748,0.58162241,1.96695635,0.00099626,0.38285765,0.04034638,0.08372316
-5.72986493,2.24276780,0.00054537,0.02337612,0.59416838,1.97364944,0.00097598,0.37127144,0.04002345,0.08149123
-5.72386193,2.24655221,0.00055389,0.02290050,0.60997201,1.98379532,0.00096778,0.36003189,0.03992190,0.07919609
-5.71785893,2.25458605,0.00057520,0.02240333,0.62911288,1.99774130,0.00097217,0.34913195,0.04003208,0.07686019
-5.71185593,2.26705921,0.00060948,0.02189741,0.65158005,2.01570586,0.00098958,0.33856470,0.04034367,0.07450812
-5.70585293,2.28402999,0.00065685,0.02139532,0.67726941,2.03777221,0.00102039,0.32832475,0.04084643,0.07216606
-5.69984992,2.30542540,0.00071733,0.02090910,0.70598436,2.06388736,0.00106491,0.31840927,0.04153084,0.06986135
-5.69384692,2.33104696,0.00079092,0.02045005,0.73744028,2.09386681,0.00112337,0.30881897,0.04238869,0.06762199
