energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.94538465,0.04852522,0.03647984,1.48672224,0.46798647,0.02012174,1.27301380,0.54964670,0.14992894
-5.99399700,2.00977293,0.04664096,0.03725366,1.54014269,0.48656902,0.02118094,1.31876273,0.56174397,0.15567780
-5.98799400,2.07822381,0.04476048,0.03796495,1.59526013,0.50662144,0.02239309,1.36734247,0.57488762,0.16189147
-5.98199100,2.15127012,0.04292299,0.03861978,1.65238293,0.52827969,0.02377198,1.41909098,0.58925091,0.16863073
-5.97598799,2.22939890,0.04116396,0.03922554,1.71180864,0.55165652,0.02532933,1.47431947,0.60498769,0.17595247
-5.96998499,2.31302843,0.03951429,0.03979060,1.77380744,0.57683621,0.02707414,1.53329714,0.62222593,0.18390724
-5.96398199,2.40248455,0.03799968,0.04032398,1.83860425,0.60386955,0.02901221,1.59623513,0.64106140,0.19253674
-5.95797899,2.49797699,0.03664015,0.04083492,1.90636052,0.63276940,0.03114561,1.66327024,0.66155161,0.20187123
-5.95197599,2.59957672,0.03544976,0.04133245,1.97715624,0.66350678,0.03347224,1.73444903,0.68371033,0.21192693
-5.94597299,2.70719522,0.03443657,0.04182499,2.05097312,0.69600782,0.03598544,1.80971305,0.70750290,0.22270370
-5.93996998,2.82056677,0.03360271,0.04231992,2.12767974,0.73015158,0.03867377,1.88888593,0.73284256,0.23418284
-5.93396698,2.93923479,0.03294467,0.04282324,2.20701953,0.76576896,0.04152081,1.97166306,0.75958811,0.24632531
-5.92796398,3.06254308,0.03245375,0.04333922,2.28860232,0.80264268,0.04450520,2.05760454,0.78754293,0.25907041
-5.92196098,3.18963293,0.03211658,0.04387017,2.37190012,0.84050855,0.04760075,2.14613203,0.81645572,0.27233507
-5.91595798,3.31944657,0.03191586,0.04441627,2.45624771,0.87905808,0.05077671,2.23653001,0.84602291,0.28601376
-5.90995498,3.45073742,0.03183109,0.04497553,2.54084817,0.91794230,0.05399823,2.32795170,0.87589287,0.29997909
