energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,5.74824050,0.01418586,0.58354552,0.02140162,0.00000000,2.42015863,3.10817719,0.05572021,1.50946938
-5.99399700,5.66943008,0.01358928,0.57986750,0.02131444,0.00000000,2.38487555,3.06236819,0.05508584,1.49562244
-5.98799400,5.60913721,0.01302929,0.57782567,0.02131909,0.00000000,2.35347735,3.02747576,0.05468251,1.48721613
-5.98199100,5.57076877,0.01251169,0.57766720,0.02142975,0.00000000,2.32688808,3.00556158,0.05454614,1.48511892
-5.97598799,5.55726369,0.01204182,0.57959303,0.02165887,0.00000000,2.30590879,2.99840801,0.05470952,1.49007667
-5.96998499,5.57099278,0.01162442,0.58375153,0.02201676,0.00000000,2.29119201,3.00745860,0.05520135,1.50268373
-5.96398199,5.61367551,0.01126346,0.59023375,0.02251127,0.00000000,2.28322160,3.03376840,0.05604546,1.52335835
-5.95797899,5.68631655,0.01096200,0.59907053,0.02314750,0.00000000,2.28229850,3.07796597,0.05726018,1.55232352
-5.95197599,5.78916438,0.01072212,0.61023141,0.02392762,0.00000000,2.28853277,3.14022818,0.05885775,1.58959380
-5.94597299,5.92169335,0.01054484,0.62362536,0.02485072,0.00000000,2.30184202,3.22026889,0.06084399,1.63496904
-5.93996998,6.08261006,0.01043014,0.63910325,0.02591281,0.00000000,2.32195608,3.31734177,0.06321809,1.68803512
-5.93396698,6.26988386,0.01037696,0.65646197,0.02710679,0.00000000,2.34842763,3.43025749,0.06597250,1.74817203
-5.92796398,6.48080065,0.01038329,0.67544988,0.02842265,0.00000000,2.38064826,3.55741466,0.06909314,1.81456905
-5.92196098,6.71203838,0.01044627,0.69577361,0.02984759,0.00000000,2.41786932,3.69684366,0.07255960,1.88624663
-5.91595798,6.95976188,0.01056234,0.71710583,0.03136634,0.00000000,2.45922663,3.84626213,0.07634562,1.96208440
-5.90995498,7.21973394,0.01072743,0.73909375,0.03296148,0.00000000,2.50376842,4.00314027,0.08041966,2.04085419
-5.90395198,7.48743905,0.01093714,0.76136819,0.03461388,0.00000000,2.55048525,4.16477393,0.08474558,2.12125718
-5.89794897,7.75821574,0.01118696,0.78355290,0.03630309,0.00000000,2.59834113,4.32836310,0.08928350,2.20196363
-5.89194597,8.02739296,0.01147251,0.80527380,0.03800788,0.00000000,2.64630477,4.49109324,0.09399065,2.28165395
-5.88594297,8.29042602,0.01178977,0.82616802,0.03970675,0.00000000,2.69337995,4.65021664,0.09882239,2.35905941
-5.87993997,8.54302727,0.01213525,0.84589250,0.04137848,0.00000000,2.73863412,4.80313116,0.10373319,2.43300106
-5.87393697,8.78128710,0.01250621,0.86413174,0.04300264,0.00000000,2.78122429,4.94745347,0.10867768,2.50242534
-5.86793397,9.00178105,0.01290086,0.88060478,0.04456010,0.00000000,2.82041958,5.08108445,0.11361165,2.56643509
-5.86193097,9.20165932,0.01331838,0.89507100,0.04603355,0.00000000,2.85561953,5.20226441,0.11849304,2.62431464
-5.85592796,9.37871575,0.01375913,0.90733474,0.04740791,0.00000000,2.88636791,5.30961623,0.12328285,2.67554827
-5.84992496,9.53143412,0.01422455,0.91724861,0.04867071,0.00000000,2.91236142,5.40217519,0.12794599,2.71983120
-5.84392196,9.65901043,0.01471724,0.92471541,0.04981242,0.00000000,2.93345321,5.47940445,0.13245198,2.75707296
-5.83791896,9.76135096,0.01524082,0.92968866,0.05082665,0.00000000,2.94965118,5.54119619,0.13677562,2.78739313
-5.83191596,9.83904690,0.01579979,0.93217178,0.05171028,0.00000000,2.96111117,5.58785840,0.14089739,2.81110973
-5.82591296,9.89332710,0.01639940,0.93221595,0.05246358,0.00000000,2.96812544,5.62008863,0.14480388,2.82872110
-5.81990995,9.92599158,0.01704536,0.92991683,0.05309010,0.00000000,2.97110695,5.63893578,0.14848792,2.84088210
-5.81390695,9.93932910,0.01774361,0.92541021,0.05359657,0.00000000,2.97057006,5.64575209,0.15194867,2.84837587
-5.80790395,9.93602248,0.01850001,0.91886687,0.05399271,0.00000000,2.96710853,5.64213736,0.15519147,2.85208240
-5.80190095,9.91904586,0.01932008,0.91048669,0.05429093,0.00000000,2.96137154,5.62987811,0.15822765,2.85294547
-5.79589795,9.89155824,0.02020860,0.90049239,0.05450596,0.00000000,2.95403890,5.61088385,0.16107410,2.85193910
-5.78989495,9.85679728,0.02116942,0.88912299,0.05465449,0.00000000,2.94579611,5.58712345,0.16375272,2.85003506
-5.78389195,9.81797727,0.02220511,0.87662722,0.05475464,0.00000000,2.93731031,5.56056349,0.16628974,2.84817249
-5.77788894,9.77819463,0.02331676,0.86325713,0.05482551,0.00000000,2.92920786,5.53311101,0.16871489,2.84723061
-5.77188594,9.74034352,0.02450378,0.84926189,0.05488661,0.00000000,2.92205429,5.50656221,0.17106042,2.84800536
-5.76588294,9.70704375,0.02576373,0.83488213,0.05495733,0.00000000,2.91633704,5.48255839,0.17336005,2.85119020
-5.75987994,9.68058198,0.02709228,0.82034474,0.05505636,0.00000000,2.91245145,5.46255011,0.17564768,2.85736165
-5.75387694,9.66286703,0.02848312,0.80585834,0.05520114,0.00000000,2.91069026,5.44776977,0.17795612,2.86696915
-5.74787394,9.65539879,0.02992807,0.79160932,0.05540731,0.00000000,2.91123645,5.43921277,0.18031572,2.88032938
-5.74187094,9.65925043,0.03141709,0.77775865,0.05568818,0.00000000,2.91415967,5.43762677,0.18275287,2.89762434
-5.73586793,9.67506241,0.03293848,0.76443930,0.05605426,0.00000000,2.91941577,5.44350839,0.18528859,2.91890284
-5.72986493,9.70304712,0.03447904,0.75175440,0.05651282,0.00000000,2.92684924,5.45710648,0.18793717,2.94408483
-5.72386193,9.74300252,0.03602430,0.73977602,0.05706752,0.00000000,2.93619835,5.47843094,0.19070483,2.97296785
-5.71785893,9.79433315,0.03755877,0.72854466,0.05771816,0.00000000,2.94710241,5.50726600,0.19358863,3.00523528
-5.71185593,9.85607735,0.03906624,0.71806935,0.05846048,0.00000000,2.95911106,5.54318701,0.19657561,3.04046578
-5.70585293,9.92693910,0.04053005,0.70832843,0.05928610,0.00000000,2.97169508,5.58557977,0.19964217,3.07814363
-5.69984992,10.00532382,0.04193340,0.69927094,0.06018261,0.00000000,2.98425861,5.63366165,0.20275390,3.11766970
-5.69384692,10.08937724,0.04325963,0.69081865,0.06113372,0.00000000,2.99615243,5.68650377,0.20586578,3.15837302
-5.68784392,10.17702697,0.04449253,0.68286873,0.06211962,0.00000000,3.00668830,5.74305398,0.20892277,3.19952288
-5.68184092,10.26602629,0.04561661,0.67529704,0.06311745,0.00000000,3.01515408,5.80216005,0.21186104,3.24034141
-5.67583792,10.35400028,0.04661735,0.66796193,0.06410191,0.00000000,3.02082954,5.86259323,0.21460945,3.28001696
-5.66983492,10.43849376,0.04748147,0.66070868,0.06504597,0.00000000,3.02300277,5.92307168,0.21709161,3.31771808
-5.66383192,10.51702113,0.04819711,0.65337424,0.06592166,0.00000000,3.02098697,5.98228412,0.21922828,3.35260839
-5.65782891,10.58711766,0.04875410,0.64579250,0.06670102,0.00000000,3.01413739,6.03891333,0.22094001,3.38386216
-5.65182591,10.64639157,0.04914408,0.63779964,0.06735695,0.00000000,3.00186816,6.09165970,0.22215006,3.41068054
-5.64582291,10.69257638,0.04936067,0.62923970,0.06786417,0.00000000,2.98366858,6.13926452,0.22278736,3.43230823
-5.63981991,10.72358236,0.04939963,0.61996996,0.06820015,0.00000000,2.95911854,6.18053287,0.22278937,3.44805024
-5.63381691,10.73754591,0.04925892,0.60986619,0.06834587,0.00000000,2.92790248,6.21435591,0.22210486,3.45728832
-5.62781391,10.73287564,0.04893880,0.59882742,0.06828657,0.00000000,2.88982143,6.23973208,0.22069627,3.45949655
-5.62181091,10.70829355,0.04844184,0.58678009,0.06801235,0.00000000,2.84480258,6.25578683,0.21854167,3.45425552
-5.61580790,10.66286993,0.04777295,0.57368147,0.06751854,0.00000000,2.79290592,6.26179046,0.21563623,3.44126460
-5.60980490,10.59605066,0.04693933,0.55952219,0.06680596,0.00000000,2.73432754,6.25717347,0.21199299,3.42035171
-5.60380190,10.50767564,0.04595037,0.54432771,0.06588097,0.00000000,2.66939914,6.24153898,0.20764303,3.39148006
-5.59779890,10.39798744,0.04481756,0.52815871,0.06475529,0.00000000,2.59858388,6.21467176,0.20263494,3.35475163
-5.59179590,10.26762966,0.04355434,0.51111037,0.06344566,0.00000000,2.52246812,6.17654347,0.19703360,3.31040698
-5.58579290,10.11763461,0.04217584,0.49331047,0.06197332,0.00000000,2.44174962,6.12731387,0.19091844,3.25882139
-5.57978989,9.94940069,0.04069869,0.47491649,0.06036334,0.00000000,2.35722219,6.06732771,0.18438102,3.20049734
-5.57378689,9.76465990,0.03914073,0.45611162,0.05864385,0.00000000,2.26975748,5.99710740,0.17752237,3.13605353
-5.56778389,9.56543656,0.03752067,0.43710004,0.05684516,0.00000000,2.18028441,5.91734145,0.17044987,3.06621085
-5.56178089,9.35399852,0.03585783,0.41810136,0.05499883,0.00000000,2.08976713,5.82886888,0.16327408,2.99177567
-5.55577789,9.13280246,0.03417173,0.39934465,0.05313676,0.00000000,1.99918207,5.73266012,0.15610545,2.91362123
-5.54977489,8.90443518,0.03248178,0.38106214,0.05129032,0.00000000,1.90949526,5.62979475,0.14905124,2.83266757
-5.54377189,8.67155270,0.03080693,0.36348277,0.04948944,0.00000000,1.82164041,5.52143677,0.14221260,2.74986088
-5.53776888,8.43681936,0.02916538,0.34682590,0.04776193,0.00000000,1.73649890,5.40880809,0.13568202,2.66615296
-5.53176588,8.20284869,0.02757422,0.33129529,0.04613284,0.00000000,1.65488198,5.29316104,0.12954126,2.58248132
-5.52576288,7.97214809,0.02604924,0.31707362,0.04462393,0.00000000,1.57751612,5.17575073,0.12385967,2.49975084
-5.51975988,7.74706889,0.02460470,0.30431768,0.04325332,0.00000000,1.50503162,5.05780819,0.11869314,2.41881723
-5.51375688,7.52976330,0.02325316,0.29315429,0.04203527,0.00000000,1.43795494,4.94051494,0.11408353,2.34047297
-5.50775388,7.32214929,0.02200542,0.28367724,0.04098011,0.00000000,1.37670469,4.82498009,0.11005858,2.26543600
-5.50175088,7.12588436,0.02087045,0.27594520,0.04009425,0.00000000,1.32159125,4.71222044,0.10663243,2.19434124
-5.49574787,6.94234844,0.01985544,0.26998062,0.03938034,0.00000000,1.27281976,4.60314434,0.10380637,2.12773524
-5.48974487,6.77263624,0.01896588,0.26576982,0.03883755,0.00000000,1.23049609,4.49853965,0.10157008,2.06607370
-5.48374187,6.61755854,0.01820571,0.26326395,0.03846188,0.00000000,1.19463526,4.39906618,0.09990308,2.00972181
-5.47773887,6.47765189,0.01757751,0.26238112,0.03824652,0.00000000,1.16517173,4.30525269,0.09877632,1.95895710
-5.47173587,6.35319573,0.01708268,0.26300928,0.03818229,0.00000000,1.14197109,4.21749825,0.09815395,1.91397438
-5.46573287,6.24423571,0.01672176,0.26500997,0.03825807,0.00000000,1.12484218,4.13607768,0.09799501,1.87489237
-5.45972986,6.15061164,0.01649461,0.26822271,0.03846119,0.00000000,1.11354943,4.06115054,0.09825513,1.84176160
-5.45372686,6.07198854,0.01640072,0.27246991,0.03877787,0.00000000,1.10782450,3.99277296,0.09888812,1.81457290
-5.44772386,6.00788914,0.01643941,0.27756203,0.03919358,0.00000000,1.10737690,3.93091152,0.09984733,1.79326614
-5.44172086,5.95772601,0.01661004,0.28330299,0.03969337,0.00000000,1.11190320,3.87545811,0.10108691,1.77773864
-5.43571786,5.92083183,0.01691216,0.28949549,0.04026218,0.00000000,1.12109446,3.82624505,0.10256281,1.76785296
-5.42971486,5.89648644,0.01734565,0.29594610,0.04088507,0.00000000,1.13464169,3.78305935,0.10423357,1.76344351
-5.42371186,5.88393938,0.01791071,0.30247004,0.04154741,0.00000000,1.15223938,3.74565542,0.10606091,1.76432197
-5.41770885,5.88242731,0.01860786,0.30889535,0.04223505,0.00000000,1.17358715,3.71376544,0.10801011,1.77028122
-5.41170585,5.89118564,0.01943787,0.31506646,0.04293445,0.00000000,1.19838952,3.68710706,0.11005022,1.78109776
-5.40570285,5.90945444,0.02040156,0.32084701,0.04363275,0.00000000,1.22635431,3.66538800,0.11215409,1.79653270
-5.39969985,5.93647887,0.02149962,0.32612181,0.04431784,0.00000000,1.25718976,3.64830763,0.11429830,1.81633152
-5.39369685,5.97150483,0.02273235,0.33079804,0.04497839,0.00000000,1.29060101,3.63555586,0.11646296,1.84022271
-5.38769385,6.01377081,0.02409933,0.33480549,0.04560394,0.00000000,1.32628603,3.62680955,0.11863140,1.86791573
-5.38169085,6.06249705,0.02559914,0.33809619,0.04618487,0.00000000,1.36393169,3.62172737,0.12078988,1.89909856
-5.37568784,6.11687351,0.02722901,0.34064313,0.04671247,0.00000000,1.40321025,3.61994364,0.12292715,1.93343518
-5.36968484,6.17604800,0.02898455,0.34243856,0.04717898,0.00000000,1.44377659,3.62106218,0.12503409,1.97056340
-5.36368184,6.23911583,0.03085941,0.34349162,0.04757761,0.00000000,1.48526648,3.62465097,0.12710321,2.01009331
-5.35767884,6.30511232,0.03284513,0.34382581,0.04790261,0.00000000,1.52729625,3.63023840,0.12912826,2.05160660
-5.35167584,6.37300910,0.03493094,0.34347606,0.04814935,0.00000000,1.56946373,3.63731189,0.13110379,2.09465705
-5.34567284,6.44171515,0.03710369,0.34248595,0.04831432,0.00000000,1.61135084,3.64531928,0.13302470,2.13877226
-5.33966983,6.51008294,0.03934786,0.34090483,0.04839523,0.00000000,1.65252757,3.65367345,0.13488586,2.18345679
-5.33366683,6.57691997,0.04164570,0.33878523,0.04839107,0.00000000,1.69255740,3.66176019,0.13668171,2.22819659
-5.32766383,6.64100534,0.04397738,0.33618058,0.04830213,0.00000000,1.73100387,3.66894918,0.13840594,2.27246484
-5.32166083,6.70111126,0.04632133,0.33314325,0.04813003,0.00000000,1.76743835,3.67460785,0.14005119,2.31572897
-5.31565783,6.75602843,0.04865463,0.32972310,0.04787777,0.00000000,1.80144842,3.67811744,0.14160880,2.35745881
-5.30965483,6.80459469,0.05095350,0.32596646,0.04754969,0.00000000,1.83264688,3.67889080,0.14306872,2.39713574
-5.30365183,6.84572576,0.05319378,0.32191554,0.04715144,0.00000000,1.86068099,3.67639096,0.14441943,2.43426248
-5.29764882,6.87844698,0.05535158,0.31760840,0.04668999,0.00000000,1.88524161,3.67014984,0.14564802,2.46837354
-5.29164582,6.90192491,0.05740387,0.31307919,0.04617350,0.00000000,1.90607202,3.65978619,0.14674036,2.49904602
-5.28564282,6.91549759,0.05932908,0.30835887,0.04561125,0.00000000,1.92297610,3.64502205,0.14768143,2.52591041
-5.27963982,6.91870248,0.06110772,0.30347609,0.04501356,0.00000000,1.93582563,3.62569697,0.14845577,2.54866136
-5.27363682,6.91130082,0.06272291,0.29845837,0.04439168,0.00000000,1.94456642,3.60177950,0.14904805,2.56706792
-5.26763382,6.89329774,0.06416089,0.29333335,0.04375762,0.00000000,1.94922301,3.57337539,0.14944374,2.58098306
-5.26163082,6.86495699,0.06541144,0.28813001,0.04312406,0.00000000,1.94990176,3.54073221,0.14962988,2.59035205
-5.25562781,6.82680968,0.06646811,0.28287991,0.04250419,0.00000000,1.94679205,3.50424007,0.14959593,2.59521936
-5.24962481,6.77965640,0.06732846,0.27761822,0.04191157,0.00000000,1.94016554,3.46442845,0.14933454,2.59573361
-5.24362181,6.72456195,0.06799406,0.27238454,0.04135997,0.00000000,1.93037308,3.42195889,0.14884239,2.59215022
-5.23761881,6.66284258,0.06847043,0.26722346,0.04086324,0.00000000,1.91783952,3.37761387,0.14812090,2.58483132
-5.23161581,6.59604518,0.06876677,0.26218472,0.04043508,0.00000000,1.90305595,3.33228177,0.14717676,2.57424249
-5.22561281,6.52591850,0.06889561,0.25732303,0.04008892,0.00000000,1.88656981,3.28693829,0.14602242,2.56094617
-5.21960980,6.45437659,0.06887230,0.25269752,0.03983767,0.00000000,1.86897261,3.24262445,0.14467615,2.54559136
-5.21360680,6.38345465,0.06871445,0.24837072,0.03969353,0.00000000,1.85088560,3.20042179,0.14316204,2.52889969
-5.20760380,6.31525822,0.06844120,0.24440722,0.03966776,0.00000000,1.83294375,3.16142490,0.14150958,2.51164787
-5.20160080,6.25190659,0.06807252,0.24087199,0.03977040,0.00000000,1.81577821,3.12671217,0.13975306,2.49464681
-5.19559780,6.19547184,0.06762840,0.23782836,0.04001000,0.00000000,1.79999793,3.09731516,0.13793064,2.47871788
-5.18959480,6.14791516,0.06712814,0.23533582,0.04039339,0.00000000,1.78617091,3.07418751,0.13608316,2.46466693
-5.18359180,6.11102245,0.06658955,0.23344768,0.04092531,0.00000000,1.77480568,3.05817423,0.13425282,2.45325699
-5.17758879,6.08634138,0.06602835,0.23220872,0.04160821,0.00000000,1.76633376,3.04998232,0.13248165,2.44518058
-5.17158579,6.07512238,0.06545761,0.23165289,0.04244196,0.00000000,1.76109379,3.05015379,0.13080990,2.44103263
-5.16558279,6.07826585,0.06488724,0.23180117,0.04342361,0.00000000,1.75931798,3.05904211,0.12927448,2.44128542
-5.15957979,6.09627815,0.06432378,0.23265975,0.04454726,0.00000000,1.76112143,3.07679318,0.12790738,2.44626640
-5.15357679,6.12923850,0.06377021,0.23421858,0.04580386,0.00000000,1.76649496,3.10333174,0.12673431,2.45614020
-5.14757379,6.17677858,0.06322597,0.23645041,0.04718126,0.00000000,1.77530192,3.13835414,0.12577349,2.47089565
