energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.65397659,1.01231963,0.01073744,0.02966430,2.41266514,1.87366387,1.79189015
-5.99399700,4.67143526,1.02398279,0.01078919,0.03056488,2.41885122,1.88949907,1.79181696
-5.98799400,4.69206598,1.03479136,0.01084557,0.03149216,2.42836759,1.90538427,1.79425056
-5.98199100,4.71467956,1.04432524,0.01090258,0.03242666,2.44080473,1.92080555,1.79895096
-5.97598799,4.73811921,1.05218038,0.01095626,0.03334944,2.45576114,1.93528828,1.80567612
-5.96998499,4.76129065,1.05797819,0.01100275,0.03424240,2.47285526,1.94840885,1.81419039
-5.96398199,4.78318953,1.06137461,0.01103847,0.03508839,2.49173575,1.95980509,1.82427162
-5.95797899,4.80292596,1.06206876,0.01106017,0.03587147,2.51208972,1.96918510,1.83571690
-5.95197599,4.81974547,1.05981090,0.01106506,0.03657709,2.53364885,1.97633455,1.84834671
-5.94597299,4.83304605,1.05440961,0.01105092,0.03719230,2.55619318,1.98112232,1.86200745
-5.93996998,4.84239088,1.04573802,0.01101617,0.03770589,2.57955259,1.98350443,1.87657227
-5.93396698,4.84751649,1.03373885,0.01095992,0.03810864,2.60360605,1.98352622,1.89194041
-5.92796398,4.84833632,1.01842805,0.01088208,0.03839344,2.62827878,1.98132274,1.90803509
-5.92196098,4.84493933,0.99989697,0.01078330,0.03855549,2.65353752,1.97711727,1.92480021
-5.91595798,4.83758402,0.97831277,0.01066508,0.03859244,2.67938429,1.97121792,1.94219610
-5.90995498,4.82668771,0.95391692,0.01052962,0.03850448,2.70584889,1.96401227,1.96019464
-5.90395198,4.81281170,0.92702189,0.01037988,0.03829444,2.73298064,1.95595998,1.97877408
-5.89794897,4.79664236,0.89800576,0.01021946,0.03796778,2.76083971,1.94758353,1.99791380
-5.89194597,4.77896907,0.86730496,0.01005251,0.03753260,2.78948852,1.93945697,2.01758950
-5.88594297,4.76065941,0.83540510,0.00988360,0.03699950,2.81898363,1.93219285,2.03776899
-5.87993997,4.74263246,0.80283029,0.00971761,0.03638142,2.84936849,1.92642759,2.05840887
-5.87393697,4.72583115,0.77013093,0.00955961,0.03569341,2.88066750,1.92280549,2.07945244
-5.86793397,4.71119436,0.73787054,0.00941467,0.03495236,2.91288147,1.92196162,2.10082882
-5.86193097,4.69962984,0.70661185,0.00928773,0.03417656,2.94598494,1.92450416,2.12245355
-5.85592796,4.69198870,0.67690262,0.00918346,0.03338537,2.97992533,1.93099647,2.14423053
-5.84992496,4.68904239,0.64926165,0.00910613,0.03259872,3.01462387,1.94193949,2.16605534
-5.84392196,4.69146267,0.62416532,0.00905950,0.03183662,3.04997855,1.95775506,2.18781978
-5.83791896,4.69980528,0.60203523,0.00904667,0.03111874,3.08586849,1.97877051,2.20941732
-5.83191596,4.71449766,0.58322715,0.00907004,0.03046387,3.12215978,2.00520532,2.23074928
-5.82591296,4.73583088,0.56802185,0.00913125,0.02988954,3.15871237,2.03716017,2.25173127
-5.81990995,4.76395582,0.55661786,0.00923110,0.02941155,3.19538743,2.07460897,2.27229965
-5.81390695,4.79888356,0.54912651,0.00936957,0.02904371,3.23205497,2.11739418,2.29241737
-5.80790395,4.84048954,0.54556938,0.00954583,0.02879753,3.26860104,2.16522582,2.31207899
-5.80190095,4.88852113,0.54587819,0.00975822,0.02868203,3.30493414,2.21768427,2.33131440
-5.79589795,4.94260815,0.54989716,0.01000436,0.02870370,3.34099032,2.27422695,2.35019082
-5.78989495,5.00227559,0.55738770,0.01028117,0.02886644,3.37673669,2.33419886,2.36881294
-5.78389195,5.06695803,0.56803529,0.01058499,0.02917169,3.41217295,2.39684670,2.38732097
-5.77788894,5.13601508,0.58145839,0.01091162,0.02961857,3.44733073,2.46133631,2.40588637
-5.77188594,5.20874725,0.59721907,0.01125648,0.03020417,3.48227083,2.52677280,2.42470561
-5.76588294,5.28441175,0.61483498,0.01161468,0.03092381,3.51707812,2.59222300,2.44399180
-5.75987994,5.36223774,0.63379245,0.01198114,0.03177147,3.55185459,2.65673919,2.46396469
-5.75387694,5.44144065,0.65356021,0.01235071,0.03274009,3.58671065,2.71938372,2.48483927
-5.74787394,5.52123541,0.67360342,0.01271829,0.03382209,3.62175512,2.77925338,2.50681366
-5.74187094,5.60084820,0.69339753,0.01307891,0.03500968,3.65708451,2.83550280,2.53005658
-5.73586793,5.67952690,0.71244171,0.01342785,0.03629532,3.69277197,2.88736610,2.55469525
-5.72986493,5.75654993,0.73027123,0.01376073,0.03767203,3.72885665,2.93417592,2.58080412
-5.72386193,5.83123367,0.74646874,0.01407357,0.03913370,3.76533393,2.97537925,2.60839511
-5.71785893,5.90293842,0.76067384,0.01436289,0.04067531,3.80214701,3.01054945,2.63740994
-5.71185593,5.97107295,0.77259086,0.01462572,0.04229310,3.83918052,3.03939403,2.66771473
-5.70585293,6.03509767,0.78199453,0.01485969,0.04398459,3.87625614,3.06175804,2.69909747
-5.69984992,6.09452648,0.78873341,0.01506299,0.04574862,3.91313082,3.07762288,2.73126837
-5.69384692,6.14892729,0.79273104,0.01523442,0.04758515,3.94949738,3.08710070,2.76386306
-5.68784392,6.19792121,0.79398472,0.01537337,0.04949511,3.98498768,3.09042464,2.79644878
-5.68184092,6.24118051,0.79256206,0.01547977,0.05148008,4.01917805,3.08793539,2.82853297
-5.67583792,6.27842525,0.78859539,0.01555407,0.05354195,4.05159678,3.08006459,2.85957421
-5.66983492,6.30941882,0.78227433,0.01559716,0.05568249,4.08173329,3.06731577,2.88899480
-5.66383192,6.33396242,0.77383675,0.01561034,0.05790290,4.10904859,3.05024366,2.91619469
-5.65782891,6.35188870,0.76355844,0.01559521,0.06020338,4.13298661,3.02943258,2.94056604
-5.65182591,6.36305494,0.75174200,0.01555359,0.06258259,4.15298601,3.00547484,2.96150790
-5.64582291,6.36733600,0.73870527,0.01548745,0.06503731,4.16849199,2.97894997,2.97844062
-5.63981991,6.36461771,0.72476980,0.01539884,0.06756199,4.17896793,2.95040546,2.99081942
-5.63381691,6.35479088,0.71024979,0.01528977,0.07014847,4.18390649,2.92033976,2.99814682
-5.62781391,6.33774682,0.69544188,0.01516219,0.07278574,4.18284007,2.88918818,2.99998361
-5.62181091,6.31337465,0.68061627,0.01501789,0.07545982,4.17535051,2.85731200,2.99595823
-5.61580790,6.28156094,0.66600932,0.01485849,0.07815379,4.16107794,2.82499130,2.98577452
-5.60980490,6.24219211,0.65181809,0.01468541,0.08084781,4.13972888,2.79242152,2.96921763
-5.60380190,6.19515980,0.63819683,0.01449984,0.08351948,4.11108358,2.75971393,2.94615843
-5.59779890,6.14036933,0.62525553,0.01430276,0.08614409,4.07500265,2.72689988,2.91655626
