energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,6.82610072,1.59850645,4.87622178,0.03010098,0.63617410,0.02249278,0.92057083
-5.99399700,6.83534427,1.58358752,4.89432247,0.03036610,0.64036192,0.02243353,0.91556303
-5.98799400,6.81529542,1.56276093,4.89122421,0.03050033,0.64207123,0.02225361,0.90630532
-5.98199100,6.76596454,1.53642790,4.86668682,0.03050971,0.64131457,0.02195306,0.89288168
-5.97598799,6.68813375,1.50515519,4.82102778,0.03040423,0.63816892,0.02153459,0.87548702
-5.96998499,6.58334408,1.46966295,4.75511947,0.03019757,0.63277318,0.02100365,0.85442358
-5.96398199,6.45385826,1.43080827,4.67036846,0.02990666,0.62532403,0.02036822,0.83009383
-5.95797899,6.30260037,1.38956490,4.56867757,0.02955118,0.61607015,0.01963865,0.80298994
-5.95197599,6.13307507,1.34699973,4.45239222,0.02915286,0.60530504,0.01882735,0.77368040
-5.94597299,5.94926916,1.30424682,4.32423329,0.02873472,0.59335872,0.01794845,0.74279427
-5.93996998,5.75553961,1.26247971,4.18721916,0.02832029,0.58058856,0.01701735,0.71100367
-5.93396698,5.55649212,1.22288279,4.04457992,0.02793274,0.56736956,0.01605034,0.67900524
-5.92796398,5.35685457,1.18662243,3.89966713,0.02759404,0.55408441,0.01506409,0.64750124
-5.92196098,5.16134992,1.15481870,3.75586224,0.02732417,0.54111345,0.01407523,0.61718086
-5.91595798,4.97457245,1.12851810,3.61648677,0.02714039,0.52882504,0.01309990,0.58870256
-5.90995498,4.80087116,1.10866815,3.48471716,0.02705661,0.51756632,0.01215337,0.56267778
-5.90395198,4.64424354,1.09609406,3.36350664,0.02708289,0.50765468,0.01124967,0.53965667
-5.89794897,4.50824220,1.09147803,3.25551612,0.02722505,0.49937008,0.01040132,0.52011606
-5.89194597,4.39589636,1.09534151,3.16305562,0.02748453,0.49294829,0.00961910,0.50444992
-5.88594297,4.30964958,1.10803072,3.08803736,0.02785831,0.48857517,0.00891187,0.49296257
-5.87993997,4.25131431,1.12970567,3.03194089,0.02833905,0.48638213,0.00828653,0.48586455
-5.87393697,4.22204376,1.16033304,2.99579071,0.02891540,0.48644270,0.00774792,0.48327111
