energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.92796398,3.45894704,-2.10466573,0.02245605,-0.02595678,0.29249017,-0.05372720,0.96520787,-0.51925823,0.48701364,-0.14100159,0.09177591,-0.04706264,1.46916659,-1.15745015,0.66907227,-0.58899450,0.14631654,-0.09464756
-5.92196098,3.46066126,-2.10509916,0.02149204,-0.02526964,0.30069733,-0.06123063,0.97279939,-0.52084609,0.48665056,-0.14501291,0.09360725,-0.04822700,1.45612019,-1.14534140,0.65328491,-0.57789144,0.14739048,-0.09481710
-5.91595798,3.46001952,-2.10501618,0.02052754,-0.02447238,0.30863394,-0.06975467,0.98016869,-0.52272843,0.48550302,-0.14952659,0.09539412,-0.04947698,1.44231228,-1.13125187,0.63703319,-0.56514988,0.14843470,-0.09498521
-5.90995498,3.45763730,-2.10621895,0.01957832,-0.02358463,0.31630516,-0.07936959,0.98747984,-0.52544069,0.48372676,-0.15467855,0.09712881,-0.05084274,1.42808652,-1.11616643,0.62059715,-0.55130325,0.14946019,-0.09521246
-5.90395198,3.45393082,-2.11051491,0.01865828,-0.02262698,0.32371140,-0.09013443,0.99483783,-0.52952243,0.48146797,-0.16059841,0.09879923,-0.05235163,1.41367669,-1.10109132,0.60420368,-0.53690360,0.15046917,-0.09555996
-5.89794897,3.44911117,-2.11964118,0.01777933,-0.02162027,0.33084803,-0.10209338,1.00228684,-0.53549669,0.47885964,-0.16740348,0.10038938,-0.05402673,1.39920384,-1.08701517,0.58802287,-0.52250202,0.15145524,-0.09608605
-5.89194597,3.44319260,-2.13519063,0.01695130,-0.02058490,0.33770620,-0.11527208,1.00981314,-0.54384928,0.47601930,-0.17519284,0.10188014,-0.05588548,1.38468019,-1.07487070,0.57216756,-0.50862939,0.15240412,-0.09684331
-5.88594297,3.43601411,-2.15854246,0.01618206,-0.01954017,0.34427430,-0.12967422,1.01735254,-0.55500868,0.47304831,-0.18404179,0.10325033,-0.05793849,1.37001926,-1.06549872,0.55669598,-0.49577777,0.15329492,-0.09787583
-5.87993997,3.42727309,-2.19080030,0.01547761,-0.01850374,0.35054047,-0.14527833,1.02480227,-0.56932734,0.47003252,-0.19399684,0.10447789,-0.06018863,1.35505166,-1.05961578,0.54161736,-0.48438359,0.15410191,-0.09921686
-5.87393697,3.41656885,-2.23274013,0.01484229,-0.01749119,0.35649573,-0.16203519,1.03203665,-0.58706512,0.46704438,-0.20507153,0.10554127,-0.06263047,1.33954537,-1.05778681,0.52689980,-0.47481289,0.15479656,-0.10088706
-5.86793397,3.40345343,-2.28477033,0.01427905,-0.01651567,0.36213777,-0.17986578,1.03892600,-0.60837572,0.46414616,-0.21724326,0.10642080,-0.06524994,1.32322933,-1.06040375,0.51248012,-0.46734949,0.15534987,-0.10289326
-5.86193097,3.38748676,-2.34690551,0.01378972,-0.01558769,0.36747504,-0.19866011,1.04535771,-0.63329635,0.46139403,-0.23045132,0.10710004,-0.06802448,1.30581899,-1.06767098,0.49827491,-0.46218621,0.15573473,-0.10522783
-5.85592796,3.36829270,-2.41875502,0.01337525,-0.01471505,0.37253101,-0.21827698,1.05125861,-0.66174156,0.45884273,-0.24459619,0.10756704,-0.07092344,1.28704223,-1.07959802,0.48419212,-0.45941973,0.15592828,-0.10786875
