energy_ev,total_up,Ga_p_up,Ga_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,0.02957038,0.00079646,0.00000000,0.02449194,0.00850758,0.00020121,0.00698139
-5.99399700,0.02356736,0.00063478,0.00000000,0.01951988,0.00678048,0.00016036,0.00556411
-5.98799400,0.01864812,0.00050228,0.00000000,0.01544548,0.00536518,0.00012689,0.00440271
-5.98199100,0.01464971,0.00039458,0.00000000,0.01213376,0.00421481,0.00009968,0.00345871
-5.97598799,0.01142597,0.00030775,0.00000000,0.00946367,0.00328732,0.00007775,0.00269760
-5.96998499,0.00884763,0.00023831,0.00000000,0.00732813,0.00254552,0.00006020,0.00208887
-5.96398199,0.00680191,0.00018321,0.00000000,0.00563375,0.00195695,0.00004628,0.00160589
-5.95797899,0.00519164,0.00013983,0.00000000,0.00430003,0.00149367,0.00003533,0.00122572
-5.95197599,0.00393413,0.00010596,0.00000000,0.00325848,0.00113187,0.00002677,0.00092882
-5.94597299,0.00295980,0.00007972,0.00000000,0.00245148,0.00085155,0.00002014,0.00069879
-5.93996998,0.00221078,0.00005955,0.00000000,0.00183110,0.00063606,0.00001504,0.00052195
-5.93396698,0.00163946,0.00004416,0.00000000,0.00135789,0.00047168,0.00001116,0.00038707
-5.92796398,0.00120705,0.00003251,0.00000000,0.00099975,0.00034727,0.00000821,0.00028498
-5.92196098,0.00088230,0.00002376,0.00000000,0.00073077,0.00025384,0.00000600,0.00020831
-5.91595798,0.00064030,0.00001725,0.00000000,0.00053033,0.00018422,0.00000436,0.00015117
-5.90995498,0.00046134,0.00001243,0.00000000,0.00038210,0.00013273,0.00000314,0.00010892
-5.90395198,0.00033001,0.00000889,0.00000000,0.00027333,0.00009495,0.00000225,0.00007791
-5.89794897,0.00023437,0.00000631,0.00000000,0.00019412,0.00006743,0.00000159,0.00005533
-5.89194597,0.00016526,0.00000445,0.00000000,0.00013687,0.00004755,0.00000112,0.00003901
-5.88594297,0.00011570,0.00000312,0.00000000,0.00009582,0.00003330,0.00000079,0.00002731
-5.87993997,0.00008043,0.00000218,0.00000000,0.00006660,0.00002316,0.00000055,0.00001898
-5.87393697,0.00005553,0.00000151,0.00000000,0.00004596,0.00001600,0.00000038,0.00001310
-5.86793397,0.00003809,0.00000105,0.00000000,0.00003150,0.00001100,0.00000026,0.00000897
-5.86193097,0.00002599,0.00000074,0.00000000,0.00002145,0.00000754,0.00000018,0.00000610
-5.85592796,0.00001768,0.00000053,0.00000000,0.00001452,0.00000519,0.00000012,0.00000412
-5.84992496,0.00001205,0.00000041,0.00000000,0.00000980,0.00000363,0.00000008,0.00000277
-5.84392196,0.00000833,0.00000036,0.00000000,0.00000662,0.00000265,0.00000005,0.00000184
-5.83791896,0.00000598,0.00000037,0.00000000,0.00000452,0.00000211,0.00000004,0.00000122
-5.83191596,0.00000465,0.00000045,0.00000000,0.00000318,0.00000193,0.00000002,0.00000081
-5.82591296,0.00000412,0.00000060,0.00000000,0.00000241,0.00000208,0.00000002,0.00000054
-5.81990995,0.00000431,0.00000085,0.00000000,0.00000206,0.00000259,0.00000001,0.00000036
-5.81390695,0.00000523,0.00000124,0.00000000,0.00000208,0.00000351,0.00000001,0.00000025
-5.80790395,0.00000699,0.00000181,0.00000000,0.00000244,0.00000499,0.00000001,0.00000019
-5.80190095,0.00000980,0.00000265,0.00000000,0.00000319,0.00000721,0.00000001,0.00000017
-5.79589795,0.00001403,0.00000387,0.00000000,0.00000441,0.00001045,0.00000001,0.00000017
-5.78989495,0.00002017,0.00000561,0.00000000,0.00000623,0.00001511,0.00000001,0.00000021
-5.78389195,0.00002896,0.00000808,0.00000000,0.00000888,0.00002175,0.00000001,0.00000027
-5.77788894,0.00004138,0.00001156,0.00000000,0.00001265,0.00003112,0.00000001,0.00000037
-5.77188594,0.00005877,0.00001642,0.00000000,0.00001793,0.00004422,0.00000002,0.00000052
-5.76588294,0.00008292,0.00002316,0.00000000,0.00002527,0.00006240,0.00000002,0.00000072
-5.75987994,0.00011620,0.00003243,0.00000000,0.00003538,0.00008746,0.00000003,0.00000101
-5.75387694,0.00016171,0.00004511,0.00000000,0.00004919,0.00012173,0.00000005,0.00000141
-5.74787394,0.00022349,0.00006230,0.00000000,0.00006792,0.00016826,0.00000007,0.00000195
-5.74187094,0.00030675,0.00008544,0.00000000,0.00009314,0.00023097,0.00000009,0.00000268
-5.73586793,0.00041812,0.00011636,0.00000000,0.00012682,0.00031487,0.00000012,0.00000367
-5.72986493,0.00056601,0.00015737,0.00000000,0.00017148,0.00042629,0.00000017,0.00000498
-5.72386193,0.00076097,0.00021135,0.00000000,0.00023026,0.00057321,0.00000022,0.00000671
-5.71785893,0.00101611,0.00028189,0.00000000,0.00030705,0.00076551,0.00000030,0.00000899
-5.71185593,0.00134761,0.00037338,0.00000000,0.00040662,0.00101542,0.00000039,0.00001197
-5.70585293,0.00177520,0.00049118,0.00000000,0.00053477,0.00133785,0.00000051,0.00001583
-5.69984992,0.00232281,0.00064173,0.00000000,0.00069850,0.00175089,0.00000067,0.00002081
-5.69384692,0.00301912,0.00083273,0.00000000,0.00090613,0.00227623,0.00000087,0.00002718
-5.68784392,0.00389821,0.00107328,0.00000000,0.00116752,0.00293970,0.00000111,0.00003527
-5.68184092,0.00500026,0.00137402,0.00000000,0.00149417,0.00377172,0.00000142,0.00004550
-5.67583792,0.00637214,0.00174730,0.00000000,0.00189937,0.00480785,0.00000180,0.00005833
-5.66983492,0.00806803,0.00220725,0.00000000,0.00239839,0.00608921,0.00000227,0.00007434
-5.66383192,0.01015000,0.00276992,0.00000000,0.00300846,0.00766299,0.00000284,0.00009417
-5.65782891,0.01268845,0.00345332,0.00000000,0.00374893,0.00958277,0.00000353,0.00011861
-5.65182591,0.01576250,0.00427746,0.00000000,0.00464122,0.01190882,0.00000435,0.00014853
-5.64582291,0.01946016,0.00526429,0.00000000,0.00570878,0.01470835,0.00000533,0.00018494
-5.63981991,0.02387841,0.00643763,0.00000000,0.00697696,0.01805549,0.00000649,0.00022901
-5.63381691,0.02912296,0.00782298,0.00000000,0.00847283,0.02203125,0.00000785,0.00028201
-5.62781391,0.03530793,0.00944734,0.00000000,0.01022493,0.02672324,0.00000942,0.00034541
-5.62181091,0.04255510,0.01133888,0.00000000,0.01226288,0.03222520,0.00001124,0.00042082
-5.61580790,0.05099301,0.01352656,0.00000000,0.01461695,0.03863636,0.00001332,0.00051000
-5.60980490,0.06075569,0.01603968,0.00000000,0.01731759,0.04606047,0.00001569,0.00061489
-5.60380190,0.07198109,0.01890735,0.00000000,0.02039480,0.05460470,0.00001835,0.00073758
-5.59779890,0.08480918,0.02215794,0.00000000,0.02387751,0.06437821,0.00002133,0.00088030
-5.59179590,0.09937970,0.02581838,0.00000000,0.02779284,0.07549048,0.00002464,0.00104541
-5.58579290,0.11582955,0.02991352,0.00000000,0.03216540,0.08804929,0.00002829,0.00123536
-5.57978989,0.13428987,0.03446535,0.00000000,0.03701649,0.10215855,0.00003227,0.00145267
-5.57378689,0.15488268,0.03949230,0.00000000,0.04236331,0.11791565,0.00003660,0.00169990
-5.56778389,0.17771726,0.04500842,0.00000000,0.04821818,0.13540869,0.00004125,0.00197955
-5.56178089,0.20288606,0.05102261,0.00000000,0.05458776,0.15471327,0.00004622,0.00229403
-5.55577789,0.23046045,0.05753786,0.00000000,0.06147226,0.17588911,0.00005148,0.00264557
-5.54977489,0.26048601,0.06455049,0.00000000,0.06886481,0.19897638,0.00005701,0.00303614
-5.54377189,0.29297777,0.07204940,0.00000000,0.07675072,0.22399184,0.00006278,0.00346731
-5.53776888,0.32791522,0.08001541,0.00000000,0.08510692,0.25092487,0.00006874,0.00394020
-5.53176588,0.36523738,0.08842063,0.00000000,0.09390149,0.27973346,0.00007486,0.00445534
-5.52576288,0.40483802,0.09722792,0.00000000,0.10309318,0.31034040,0.00008108,0.00501255
-5.51975988,0.44656130,0.10639046,0.00000000,0.11263122,0.34262966,0.00008735,0.00561081
-5.51375688,0.49019798,0.11585147,0.00000000,0.12245518,0.37644329,0.00009361,0.00624822
-5.50775388,0.53548260,0.12554410,0.00000000,0.13249503,0.41157910,0.00009980,0.00692184
-5.50175088,0.58209188,0.13539154,0.00000000,0.14267147,0.44778920,0.00010586,0.00762768
-5.49574787,0.62964454,0.14530739,0.00000000,0.15289654,0.48477980,0.00011171,0.00836065
-5.48974487,0.67770309,0.15519634,0.00000000,0.16307444,0.52221248,0.00011731,0.00911453
-5.48374187,0.72577763,0.16495518,0.00000000,0.17310283,0.55970705,0.00012257,0.00988208
-5.47773887,0.77333193,0.17447418,0.00000000,0.18287436,0.59684630,0.00012745,0.01065506
-5.47173587,0.81979197,0.18363887,0.00000000,0.19227869,0.63318267,0.00013187,0.01142441
-5.46573287,0.86455692,0.19233218,0.00000000,0.20120479,0.66824681,0.00013579,0.01218042
-5.45972986,0.90701237,0.20043700,0.00000000,0.20954368,0.70155803,0.00013916,0.01291300
-5.45372686,0.94654567,0.20783896,0.00000000,0.21719140,0.73263635,0.00014191,0.01361188
-5.44772386,0.98256285,0.21442954,0.00000000,0.22405219,0.76101583,0.00014403,0.01426702
-5.44172086,1.01450673,0.22010937,0.00000000,0.23004188,0.78625889,0.00014547,0.01486885
-5.43571786,1.04187529,0.22479139,0.00000000,0.23509112,0.80797080,0.00014622,0.01540865
-5.42971486,1.06423985,0.22840414,0.00000000,0.23914861,0.82581398,0.00014626,0.01587891
-5.42371186,1.08126189,0.23089465,0.00000000,0.24218388,0.83952141,0.00014558,0.01627360
-5.41770885,1.09270794,0.23223094,0.00000000,0.24418966,0.84890831,0.00014421,0.01658846
-5.41170585,1.09846160,0.23240406,0.00000000,0.24518360,0.85388168,0.00014215,0.01682123
-5.40570285,1.09853191,0.23142941,0.00000000,0.24520918,0.85444693,0.00013945,0.01697178
-5.39969985,1.09305767,0.22934726,0.00000000,0.24433576,0.85071133,0.00013616,0.01704222
-5.39369685,1.08230712,0.22622243,0.00000000,0.24265764,0.84288380,0.00013232,0.01703686
-5.38769385,1.06667302,0.22214318,0.00000000,0.24029218,0.83127105,0.00012803,0.01696210
-5.38169085,1.04666298,0.21721909,0.00000000,0.23737685,0.81627005,0.00012338,0.01682628
-5.37568784,1.02288563,0.21157829,0.00000000,0.23406550,0.79835710,0.00011845,0.01663938
-5.36968484,0.99603293,0.20536387,0.00000000,0.23052387,0.77807404,0.00011339,0.01641268
-5.36368184,0.96685968,0.19872986,0.00000000,0.22692444,0.75601210,0.00010832,0.01615840
-5.35767884,0.93616104,0.19183680,0.00000000,0.22344114,0.73279428,0.00010341,0.01588921
-5.35167584,0.90474923,0.18484715,0.00000000,0.22024381,0.70905712,0.00009881,0.01561783
-5.34567284,0.87343051,0.17792083,0.00000000,0.21749306,0.68543267,0.00009472,0.01535658
-5.33966983,0.84298380,0.17121104,0.00000000,0.21533551,0.66253177,0.00009136,0.01511698
-5.33366683,0.81414175,0.16486055,0.00000000,0.21389991,0.64092934,0.00008896,0.01490937
-5.32766383,0.78757542,0.15899874,0.00000000,0.21329424,0.62115252,0.00008779,0.01474266
-5.32166083,0.76388329,0.15373946,0.00000000,0.21360402,0.60367221,0.00008814,0.01462413
-5.31565783,0.74358498,0.14917976,0.00000000,0.21489201,0.58889844,0.00009034,0.01455931
-5.30965483,0.72712004,0.14539968,0.00000000,0.21719927,0.57717967,0.00009477,0.01455206
-5.30365183,0.71485165,0.14246296,0.00000000,0.22054757,0.56880602,0.00010183,0.01460462
-5.29764882,0.70707481,0.14041859,0.00000000,0.22494307,0.56401603,0.00011198,0.01471787
-5.29164582,0.70402838,0.13930322,0.00000000,0.23038109,0.56300645,0.00012573,0.01489162
-5.28564282,0.70591002,0.13914402,0.00000000,0.23685156,0.56594426,0.00014363,0.01512502
-5.27963982,0.71289286,0.13996197,0.00000000,0.24434504,0.57298003,0.00016628,0.01541695
-5.27363682,0.72514268,0.14177529,0.00000000,0.25285869,0.58426163,0.00019434,0.01576653
-5.26763382,0.74283417,0.14460265,0.00000000,0.26240200,0.59994701,0.00022852,0.01617352
-5.26163082,0.76616498,0.14846605,0.00000000,0.27300170,0.62021530,0.00026953,0.01663878
-5.25562781,0.79536635,0.15339304,0.00000000,0.28470560,0.64527492,0.00031816,0.01716462
-5.24962481,0.83070923,0.15941812,0.00000000,0.29758497,0.67536808,0.00037517,0.01775509
-5.24362181,0.87250505,0.16658313,0.00000000,0.31173520,0.71077090,0.00044136,0.01841616
-5.23761881,0.92110071,0.17493659,0.00000000,0.32727460,0.75178880,0.00051748,0.01915579
-5.23161581,0.97686767,0.18453185,0.00000000,0.34434137,0.79874718,0.00060427,0.01998383
-5.22561281,1.04018533,0.19542427,0.00000000,0.36308860,0.85197736,0.00070239,0.02091187
-5.21960980,1.11141931,0.20766731,0.00000000,0.38367773,0.91179861,0.00081243,0.02195285
-5.21360680,1.19089576,0.22130790,0.00000000,0.40627060,0.97849692,0.00093487,0.02312065
-5.20760380,1.27887294,0.23638125,0.00000000,0.43102062,1.05230159,0.00107006,0.02442950
-5.20160080,1.37551160,0.25290534,0.00000000,0.45806345,1.13336112,0.00121818,0.02589339
-5.19559780,1.48084604,0.27087557,0.00000000,0.48750771,1.22171963,0.00137925,0.02752532
-5.18959480,1.59475751,0.29025963,0.00000000,0.51942641,1.31729538,0.00155308,0.02933664
-5.18359180,1.71695182,0.31099326,0.00000000,0.55384945,1.41986287,0.00173929,0.03133630
-5.17758879,1.84694268,0.33297682,0.00000000,0.59075777,1.52903967,0.00193728,0.03353022
-5.17158579,1.98404215,0.35607332,0.00000000,0.63007951,1.64427919,0.00214620,0.03592068
-5.16558279,2.12735918,0.38010772,0.00000000,0.67168845,1.76487007,0.00236503,0.03850580
-5.15957979,2.27580673,0.40486794,0.00000000,0.71540485,1.88994261,0.00259249,0.04127918
