energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.60226918,0.00789548,1.09983817,0.73483991,0.33670178,2.75915468,2.44081694,0.13778300,1.85185162
-5.99399700,6.57164501,0.00801956,1.08245588,0.72591873,0.34570924,2.71365268,2.42214324,0.13822317,1.85364060
-5.98799400,6.55036020,0.00814489,1.06813142,0.71821755,0.35494570,2.67180353,2.40950097,0.13847736,1.85579356
-5.98199100,6.53986064,0.00827479,1.05706613,0.71188130,0.36445206,2.63424505,2.40328378,0.13859735,1.85882705
-5.97598799,6.54148949,0.00841256,1.04945258,0.70701498,0.37425911,2.60150868,2.40386902,0.13863591,1.86322419
-5.96998499,6.55641142,0.00856122,1.04546112,0.70368094,0.38438390,2.57400177,2.41158741,0.13864466,1.86941314
-5.96398199,6.58554390,0.00872331,1.04522754,0.70189741,0.39482661,2.55199462,2.42669545,0.13867194,1.87774725
-5.95797899,6.62949815,0.00890071,1.04884237,0.70163822,0.40556783,2.53561276,2.44935125,0.13876083,1.88848747
-5.95197599,6.68853206,0.00909446,1.05634212,0.70283381,0.41656669,2.52483451,2.47959508,0.13894740,1.90178778
-5.94597299,6.76251672,0.00930460,1.06770281,0.70537353,0.42775966,2.51949386,2.51733486,0.13925917,1.91768430
-5.93996998,6.85091766,0.00953011,1.08283595,0.70910906,0.43906019,2.51928834,2.56233725,0.13971398,1.93608859
-5.93396698,6.95279124,0.00976888,1.10158707,0.71385890,0.45035928,2.52379124,2.61422433,0.14031916,1.95678532
-5.92796398,7.06679592,0.01001768,1.12373665,0.71941382,0.46152694,2.53246762,2.67247566,0.14107115,1.97943461
-5.92196098,7.19121775,0.01027223,1.14900326,0.72554302,0.47241445,2.54469312,2.73643547,0.14195547,2.00357897
-5.91595798,7.32400876,0.01052737,1.17704881,0.73200088,0.48285749,2.55977478,2.80532440,0.14294721,2.02865460
-5.90995498,7.46283641,0.01077713,1.20748528,0.73853402,0.49268002,2.57697269,2.87825497,0.14401173,2.05400684
-5.90395198,7.60514220,0.01101500,1.23988287,0.74488847,0.50169871,2.59552181,2.95425026,0.14510595,2.07890896
-5.89794897,7.74820696,0.01123413,1.27377888,0.75081674,0.50972790,2.61465280,3.03226468,0.14617975,2.10258408
-5.89194597,7.88922059,0.01142758,1.30868717,0.75608448,0.51658492,2.63361140,3.11120629,0.14717781,2.12422901
-5.88594297,8.02535372,0.01158856,1.34410774,0.76047671,0.52209550,2.65167548,3.18995967,0.14804151,2.14303951
-5.87993997,8.15382899,0.01171072,1.37953608,0.76380318,0.52609918,2.66816971,3.26740888,0.14871106,2.15823588
-5.87393697,8.27198981,0.01178834,1.41447223,0.76590291,0.52845453,2.68247727,3.34245975,0.14912765,2.16908809
-5.86793397,8.37736473,0.01181661,1.44842922,0.76664772,0.52904393,2.69404883,3.41406119,0.14923558,2.17493945
-5.86193097,8.46772571,0.01179172,1.48094096,0.76594462,0.52777774,2.70240884,3.48122508,0.14898427,2.17522804
-5.85592796,8.54113919,0.01171109,1.51156943,0.76373715,0.52459780,2.70715944,3.54304464,0.14833014,2.16950508
-5.84992496,8.59600881,0.01157341,1.53991128,0.76000551,0.51947996,2.70798234,3.59871106,0.14723815,2.15744972
-5.84392196,8.63110943,0.01137866,1.56560395,0.75476565,0.51243563,2.70463922,3.64752846,0.14568312,2.13887960
-5.83791896,8.64561184,0.01112817,1.58833123,0.74806742,0.50351235,2.69697096,3.68892701,0.14365068,2.11375692
-5.83191596,8.63909838,0.01082450,1.60782844,0.73999176,0.49279320,2.68489636,3.72247428,0.14113775,2.08218996
-5.82591296,8.61156948,0.01047136,1.62388724,0.73064729,0.48039513,2.66841049,3.74788482,0.13815271,2.04442994
-5.81990995,8.56344144,0.01007350,1.63635994,0.72016629,0.46646641,2.64758310,3.76502771,0.13471514,2.00086358
-5.81390695,8.49553590,0.00963649,1.64516334,0.70870035,0.45118304,2.62255715,3.77393198,0.13085510,1.95200171
-5.80790395,8.40906139,0.00916655,1.65028177,0.69641584,0.43474453,2.59354741,3.77478956,0.12661220,1.89846440
-5.80190095,8.30558738,0.00867037,1.65176923,0.68348945,0.41736899,2.56083911,3.76795548,0.12203423,1.84096353
-5.79589795,8.18701145,0.00815485,1.64975028,0.67010380,0.39928790,2.52478612,3.75394470,0.11717566,1.78028313
