energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.37362918,0.00700861,0.20652893,0.58802388,0.26626738,2.23421187,0.87250325,0.00574712,0.86124378
-5.99399700,2.38996240,0.00687350,0.21053030,0.59065135,0.27237679,2.24134038,0.87972393,0.00599076,0.86283801
-5.98799400,2.41650581,0.00675815,0.21537405,0.59462473,0.27991485,2.25131742,0.89292927,0.00625428,0.86672671
-5.98199100,2.45346501,0.00666539,0.22107486,0.60005409,0.28884777,2.26406854,0.91221463,0.00653581,0.87304665
-5.97598799,2.50089407,0.00659738,0.22764556,0.60702236,0.29911574,2.27955617,0.93758770,0.00683370,0.88188461
-5.96998499,2.55868527,0.00655553,0.23509533,0.61558216,0.31063330,2.29777517,0.96896360,0.00714655,0.89327342
-5.96398199,2.62656142,0.00654050,0.24342751,0.62575339,0.32329053,2.31874414,1.00616114,0.00747335,0.90718960
-5.95797899,2.70407122,0.00655216,0.25263730,0.63752170,0.33695483,2.34249327,1.04890068,0.00781350,0.92355270
-5.95197599,2.79058810,0.00658960,0.26270937,0.65083802,0.35147345,2.36904955,1.09680371,0.00816684,0.94222624
-5.94597299,2.88531293,0.00665119,0.27361557,0.66561903,0.36667656,2.39842070,1.14939453,0.00853371,0.96302044
-5.93996998,2.98728113,0.00673466,0.28531286,0.68174874,0.38238084,2.43057899,1.20610421,0.00891491,0.98569649
-5.93396698,3.09537428,0.00683715,0.29774176,0.69908109,0.39839343,2.46544657,1.26627696,0.00931169,1.00997232
-5.92796398,3.20833653,0.00695535,0.31082522,0.71744358,0.41451612,2.50288327,1.32917919,0.00972568,1.03552971
-5.92196098,3.32479543,0.00708560,0.32446828,0.73664168,0.43054967,2.54267828,1.39401101,0.01015876,1.06202244
-5.91595798,3.44328719,0.00722402,0.33855847,0.75646407,0.44629807,2.58454613,1.45992030,0.01061301,1.08908521
-5.90995498,3.56228543,0.00736663,0.35296696,0.77668839,0.46157249,2.62812766,1.52601894,0.01109048,1.11634302
-5.90395198,3.68023281,0.00750948,0.36755056,0.79708721,0.47619500,2.67299572,1.59140078,0.01159305,1.14342060
-5.89794897,3.79557430,0.00764879,0.38215436,0.81743408,0.49000167,2.71866531,1.65516096,0.01212222,1.16995149
-5.89194597,3.90679101,0.00778101,0.39661509,0.83750926,0.50284512,2.76460734,1.71641583,0.01267891,1.19558641
-5.88594297,4.01243306,0.00790292,0.41076485,0.85710483,0.51459636,2.81026482,1.77432277,0.01326324,1.22000055
-5.87993997,4.11115023,0.00801174,0.42443514,0.87602899,0.52514590,2.85507026,1.82809920,0.01387436,1.24289947
-5.87393697,4.20171910,0.00810515,0.43746095,0.89410925,0.53440414,2.89846288,1.87703993,0.01451027,1.26402331
-5.86793397,4.28306548,0.00818128,0.44968479,0.91119437,0.54230106,2.93990428,1.92053224,0.01516769,1.28314934
-5.86193097,4.35428127,0.00823880,0.46096034,0.92715496,0.54878528,2.97889127,1.95806798,0.01584195,1.30009258
-5.85592796,4.41463521,0.00827681,0.47115559,0.94188279,0.55382267,3.01496515,1.98925226,0.01652698,1.31470479
-5.84992496,4.46357723,0.00829489,0.48015542,0.95528878,0.55739458,3.04771669,2.01380837,0.01721533,1.32687194
-5.84392196,4.50073666,0.00829298,0.48786344,0.96730010,0.55949583,3.07678673,2.03157889,0.01789827,1.33651041
-5.83791896,4.52591474,0.00827136,0.49420306,0.97785642,0.56013277,3.10186263,2.04252292,0.01856595,1.34356243
-5.83191596,4.53907241,0.00823056,0.49911783,0.98690582,0.55932134,3.12267128,2.04670990,0.01920762,1.34799111
-5.82591296,4.54031444,0.00817133,0.50257113,0.99440068,0.55708550,3.13896954,2.04431036,0.01981193,1.34977563
-5.81990995,4.52987126,0.00809453,0.50454519,1.00029399,0.55345599,3.15053339,2.03558422,0.02036727,1.34890693
-5.81390695,4.50807999,0.00800109,0.50503975,1.00453638,0.54846957,3.15714728,2.02086745,0.02086214,1.34538449
-5.80790395,4.47536592,0.00789198,0.50407036,1.00707429,0.54216875,3.15859472,2.00055781,0.02128557,1.33921432
-5.80190095,4.43222579,0.00776818,0.50166648,1.00784946,0.53460201,3.15465172,1.97510050,0.02162750,1.33040863
-5.79589795,4.37921391,0.00763061,0.49786970,1.00679991,0.52582453,3.14508378,1.94497449,0.02187918,1.31898710
-5.78989495,4.31693184,0.00748020,0.49273191,1.00386242,0.51589919,3.12964731,1.91068008,0.02203355,1.30497976
-5.78389195,4.24602192,0.00731786,0.48631382,0.99897636,0.50489786,3.10809559,1.87272846,0.02208553,1.28843138
-5.77788894,4.16716487,0.00714452,0.47868368,0.99208882,0.49290281,3.08018929,1.83163323,0.02203230,1.26940686
-5.77188594,4.08108076,0.00696116,0.46991630,0.98316045,0.48000801,3.04571078,1.78790450,0.02187344,1.24799744
-5.76588294,3.98853295,0.00676883,0.46009241,0.97217184,0.46632029,3.00448152,1.74204512,0.02161103,1.22432703
-5.75987994,3.89033381,0.00656873,0.44929816,0.95912988,0.45196005,2.95638113,1.69454912,0.02124966,1.19855824
-5.75387694,3.78735120,0.00636224,0.43762490,0.94407358,0.43706156,2.90136671,1.64590187,0.02079633,1.17089747
-5.74787394,3.68051430,0.00615092,0.42516892,0.92707900,0.42177269,2.83949108,1.59658145,0.02026027,1.14159863
