energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.25560054,0.00360198,0.15327570,0.42507141,0.42027125,0.00620020,0.61333032,0.22441859,0.14660917
-5.99399700,1.25308491,0.00369705,0.14676212,0.43268499,0.40644383,0.00680407,0.62112046,0.23024065,0.14995348
-5.98799400,1.26372212,0.00385177,0.14246661,0.44520542,0.39767476,0.00750357,0.63452155,0.23795626,0.15482788
-5.98199100,1.28754320,0.00407261,0.14035839,0.46267309,0.39387808,0.00830157,0.65360480,0.24757190,0.16126725
-5.97598799,1.32432154,0.00436555,0.14037321,0.48504082,0.39488163,0.00919901,0.67832049,0.25905709,0.16927399
-5.96998499,1.37358723,0.00473594,0.14241619,0.51217672,0.40043552,0.01019469,0.70850378,0.27234790,0.17881798
-5.96398199,1.43464714,0.00518839,0.14636478,0.54386929,0.41022177,0.01128505,0.74388395,0.28735173,0.18983728
-5.95797899,1.50661030,0.00572661,0.15207205,0.57983421,0.42386490,0.01246415,0.78409668,0.30395313,0.20223956
-5.95197599,1.58841746,0.00635327,0.15937005,0.61972292,0.44094329,0.01372353,0.82869891,0.32202031,0.21590443
-5.94597299,1.67887408,0.00706989,0.16807338,0.66313252,0.46100085,0.01505231,0.87718547,0.34141195,0.23068628
-5.93996998,1.77668546,0.00787665,0.17798292,0.70961677,0.48355905,0.01643724,0.92900687,0.36198405,0.24641776
-5.93396698,1.88049286,0.00877228,0.18888970,0.75869765,0.50812867,0.01786292,0.98358740,0.38359626,0.26291378
-5.92796398,1.98890925,0.00975394,0.20057883,0.80987718,0.53422133,0.01931207,1.04034261,0.40611740,0.27997577
-5.92196098,2.10055333,0.01081711,0.21283348,0.86264889,0.56136020,0.02076583,1.09869545,0.42942970,0.29739620
-5.91595798,2.21408065,0.01195552,0.22543886,0.91650856,0.58908967,0.02220423,1.15809035,0.45343154,0.31496314
-5.90995498,2.32821037,0.01316117,0.23818602,0.97096363,0.61698381,0.02360662,1.21800439,0.47803843,0.33246477
-5.90395198,2.44174690,0.01442427,0.25087544,1.02554104,0.64465312,0.02495219,1.27795528,0.50318208,0.34969365
-5.89794897,2.55359556,0.01573336,0.26332028,1.07979307,0.67174954,0.02622050,1.33750563,0.52880759,0.36645060
-5.89194597,2.66277171,0.01707546,0.27534913,1.13330093,0.69796946,0.02739203,1.39626359,0.55486884,0.38254824
-5.88594297,2.76840348,0.01843623,0.28680825,1.18567615,0.72305475,0.02844871,1.45387985,0.58132237,0.39781383
-5.87993997,2.86972809,0.01980024,0.29756309,1.23655982,0.74679178,0.02937438,1.51004143,0.60812011,0.41209168
-5.87393697,2.96608281,0.02115132,0.30749923,1.28561977,0.76900859,0.03015522,1.56446289,0.63520150,0.42524481
-5.86793397,3.05689126,0.02247290,0.31652250,1.33254632,0.78957053,0.03078014,1.61687569,0.66248536,0.43715610
-5.86193097,3.14164661,0.02374844,0.32455850,1.37704688,0.80837462,0.03124099,1.66701672,0.68986246,0.44772886
-5.85592796,3.21989324,0.02496189,0.33155149,1.41884018,0.82534304,0.03153279,1.71461693,0.71718905,0.45688683
-5.84992496,3.29120846,0.02609818,0.33746273,1.45765067,0.84041645,0.03165375,1.75939122,0.74428217,0.46457389
-5.84392196,3.35518606,0.02714361,0.34226853,1.49320387,0.85354725,0.03160528,1.80103051,0.77091712,0.47075336
-5.83791896,3.41142325,0.02808636,0.34595800,1.52522320,0.86469370,0.03139183,1.83919688,0.79682756,0.47540716
-5.83191596,3.45951230,0.02891686,0.34853086,1.55342886,0.87381504,0.03102069,1.87352245,0.82170837,0.47853483
-5.82591296,3.49903788,0.02962813,0.34999523,1.57753909,0.88086805,0.03050168,1.90361238,0.84522142,0.48015255
-5.81990995,3.52958051,0.03021600,0.35036583,1.59727406,0.88580542,0.02984685,1.92905208,0.86700407,0.48029213
-5.81390695,3.55072639,0.03067929,0.34966246,1.61236234,0.88857594,0.02907000,1.94941854,0.88668010,0.47900017
-5.80790395,3.56208280,0.03101987,0.34790903,1.62254964,0.88912643,0.02818636,1.96429507,0.90387254,0.47633722
