energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.12228880,0.29803549,0.23177659,0.04156694,0.03231644,0.01880121,0.65154725,0.18107180,1.76892146
-5.99399700,2.95337386,0.28592914,0.21870718,0.03942361,0.03226580,0.01693383,0.62037230,0.17670115,1.66507691
-5.98799400,2.78803960,0.27454115,0.20594742,0.03720599,0.03240888,0.01519086,0.58965990,0.17259446,1.56319758
-5.98199100,2.62781140,0.26401324,0.19362852,0.03494513,0.03277297,0.01357937,0.55975195,0.16888703,1.46407713
-5.97598799,2.47414329,0.25447801,0.18187146,0.03267128,0.03338240,0.01210357,0.53097721,0.16570883,1.36847761
-5.96998499,2.32837700,0.24605453,0.17078506,0.03041310,0.03425739,0.01076511,0.50364294,0.16317983,1.27710663
-5.96398199,2.19170414,0.23884408,0.16046413,0.02819720,0.03541289,0.00956331,0.47802684,0.16140533,1.19059668
-5.95797899,2.06513281,0.23292612,0.15098805,0.02604752,0.03685757,0.00849547,0.45436971,0.16047159,1.10948722
-5.95197599,1.94945993,0.22835468,0.14241971,0.02398499,0.03859285,0.00755724,0.43286902,0.16044190,1.03421024
-5.94597299,1.84525013,0.22515554,0.13480479,0.02202724,0.04061219,0.00674290,0.41367369,0.16135322,0.96507958
-5.93996998,1.75282211,0.22332405,0.12817157,0.02018838,0.04290056,0.00604571,0.39688039,0.16321361,0.90228428
-5.93396698,1.67224297,0.22282413,0.12253119,0.01847894,0.04543419,0.00545822,0.38253154,0.16600060,0.84588620
-5.92796398,1.60333087,0.22358823,0.11787849,0.01690594,0.04818063,0.00497257,0.37061517,0.16966056,0.79582176
-5.92196098,1.54566599,0.22551855,0.11419337,0.01547295,0.05109915,0.00458077,0.36106662,0.17410917,0.75190778
-5.91595798,1.49860954,0.22848953,0.11144269,0.01418037,0.05414141,0.00427493,0.35377233,0.17923306,0.71385103
-5.90995498,1.46133030,0.23235145,0.10958271,0.01302571,0.05725252,0.00404757,0.34857542,0.18489261,0.68126121
-5.90395198,1.43283782,0.23693526,0.10856202,0.01200394,0.06037240,0.00389171,0.34528305,0.19092576,0.65366676
-5.89794897,1.41202106,0.24205835,0.10832481,0.01110791,0.06343741,0.00380120,0.34367525,0.19715286,0.63053289
-5.89194597,1.39769127,0.24753111,0.10881450,0.01032878,0.06638218,0.00377077,0.34351492,0.20338233,0.61128128
-5.88594297,1.38862743,0.25316409,0.10997745,0.00965653,0.06914163,0.00379624,0.34455871,0.20941695,0.59531056
-5.87993997,1.38362257,0.25877538,0.11176676,0.00908035,0.07165310,0.00387464,0.34656818,0.21506054,0.58201697
-5.87393697,1.38152915,0.26419801,0.11414579,0.00858920,0.07385844,0.00400427,0.34932088,0.22012483,0.57081437
-5.86793397,1.38130184,0.26928692,0.11709143,0.00817219,0.07570609,0.00418481,0.35262088,0.22443618,0.56115290
-5.86193097,1.38203574,0.27392531,0.12059671,0.00781899,0.07715292,0.00441729,0.35630812,0.22784188,0.55253570
-5.85592796,1.38299872,0.27802991,0.12467276,0.00752026,0.07816593,0.00470414,0.36026627,0.23021589,0.54453300
-5.84992496,1.38365638,0.28155509,0.12934984,0.00726792,0.07872358,0.00504907,0.36442864,0.23146359,0.53679329
-5.84392196,1.38368853,0.28449549,0.13467724,0.00705545,0.07881677,0.00545700,0.36878181,0.23152551,0.52905106
-5.83791896,1.38299666,0.28688694,0.14072216,0.00687806,0.07844943,0.00593386,0.37336665,0.23037981,0.52113105
-5.83191596,1.38170190,0.28880585,0.14756730,0.00673290,0.07763862,0.00648640,0.37827683,0.22804339,0.51294886
-5.82591296,1.38013354,0.29036675,0.15530725,0.00661910,0.07641428,0.00712188,0.38365453,0.22457164,0.50450814
-5.81990995,1.37880875,0.29171834,0.16404377,0.00653780,0.07481845,0.00784775,0.38968371,0.22005684,0.49589444
-5.81390695,1.37840412,0.29303802,0.17388002,0.00649210,0.07290418,0.00867124,0.39658100,0.21462528,0.48726617
-5.80790395,1.37972047,0.29452524,0.18491402,0.00648699,0.07073398,0.00959897,0.40458467,0.20843316,0.47884321
-5.80190095,1.38364224,0.29639382,0.19723151,0.00652913,0.06837808,0.01063650,0.41394207,0.20166160,0.47089343
-5.79589795,1.39109329,0.29886369,0.21089854,0.00662670,0.06591235,0.01178784,0.42489616,0.19451083,0.46371809
-5.78989495,1.40299095,0.30215232,0.22595423,0.00678909,0.06341618,0.01305503,0.43767159,0.18719383,0.45763642
