energy_ev,total_up,Au_p_up,Au_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.36500429,1.09148174,1.91517091,0.09933346,0.01516777,0.17523002,0.04145848,0.80726441
-5.99399700,3.54440973,1.14789881,2.02287541,0.10843943,0.01485613,0.17884751,0.04463552,0.85177253
-5.98799400,3.75126107,1.21091247,2.14824413,0.11820247,0.01448619,0.18420204,0.04813926,0.90206796
-5.98199100,3.98385897,1.28025240,2.29011080,0.12855158,0.01406581,0.19112519,0.05194381,0.95787283
-5.97598799,4.24021684,1.35553374,2.44714701,0.13940787,0.01360442,0.19944573,0.05601804,1.01883095
-5.96998499,4.51805626,1.43626054,2.61785682,0.15068539,0.01311270,0.20899012,0.06032552,1.08450762
-5.96398199,4.81481478,1.52183448,2.80057820,0.16229246,0.01260239,0.21958346,0.06482478,1.15439272
-5.95797899,5.12766722,1.61156851,2.99349202,0.17413344,0.01208590,0.23105088,0.06946974,1.22790706
-5.95197599,5.45356053,1.70470471,3.19463930,0.18611093,0.01157609,0.24321926,0.07421037,1.30441213
-5.94597299,5.78926191,1.80043570,3.40194661,0.19812829,0.01108591,0.25591939,0.07899351,1.38322271
-5.93996998,6.13141846,1.89792840,3.61325929,0.21009240,0.01062814,0.26898836,0.08376394,1.46362214
-5.93396698,6.47662652,1.99634904,3.82638149,0.22191641,0.01021512,0.28227201,0.08846561,1.54487941
-5.92796398,6.82150782,2.09488821,4.03912154,0.23352245,0.00985849,0.29562741,0.09304288,1.62626756
-5.92196098,7.16278930,2.19278459,4.24934122,0.24484409,0.00956905,0.30892514,0.09744197,1.70708238
-5.91595798,7.49738312,2.28934634,4.45500656,0.25582828,0.00935649,0.32205126,0.10161229,1.78666077
-5.90995498,7.82246335,2.38396898,4.65423826,0.26643676,0.00922934,0.33490870,0.10550784,1.86439769
-5.90395198,8.13553578,2.47614893,4.84535954,0.27664677,0.00919479,0.34741825,0.10908845,1.93976122
