energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.77567223,0.53375291,0.01873779,4.04608923,3.96456186,0.11765408,5.42076707
-5.99399700,8.83932184,0.52909087,0.01876904,4.07596302,3.98823878,0.11562892,5.47881370
-5.98799400,8.89478513,0.52397022,0.01877150,4.09875200,4.00945731,0.11327991,5.53209288
-5.98199100,8.94347980,0.51865264,0.01874872,4.11503627,4.02885898,0.11068041,5.58117698
-5.97598799,8.98680964,0.51339240,0.01870455,4.12543016,4.04706536,0.10790636,5.62663457
-5.96998499,9.02613178,0.50842840,0.01864312,4.13056654,4.06466771,0.10503403,5.66901895
-5.96398199,9.06272443,0.50397682,0.01856868,4.13108179,4.08221657,0.10213791,5.70885615
-5.95797899,9.09775546,0.50022459,0.01848560,4.12760121,4.10021132,0.09928873,5.74663233
-5.95197599,9.13225183,0.49732380,0.01839814,4.12072515,4.11908935,0.09655174,5.78278054
-5.94597299,9.16707073,0.49538721,0.01831045,4.11101582,4.13921521,0.09398529,5.81766693
-5.93996998,9.20287276,0.49448496,0.01822639,4.09898506,4.16086972,0.09163974,5.85157698
-5.93396698,9.24009844,0.49464258,0.01814940,4.08508319,4.18423949,0.08955670,5.88470216
-5.92796398,9.27894890,0.49584029,0.01808246,4.06968937,4.20940735,0.08776858,5.91712782
-5.92196098,9.31937216,0.49801382,0.01802792,4.05310365,4.23634435,0.08629851,5.94882323
-5.91595798,9.36105600,0.50105644,0.01798744,4.03554144,4.26490382,0.08516056,5.97963455
-5.90995498,9.40342875,0.50482255,0.01796196,4.01713042,4.29481844,0.08436012,6.00928161
-5.90395198,9.44566883,0.50913232,0.01795166,3.99791054,4.32570068,0.08389455,6.03735940
-5.89794897,9.48672344,0.51377767,0.01795595,3.97783726,4.35704728,0.08375396,6.06334462
-5.89194597,9.52533682,0.51852915,0.01797352,3.95678810,4.38824797,0.08392208,6.08660771
-5.88594297,9.56008743,0.52314356,0.01800240,3.93457264,4.41859862,0.08437711,6.10643030
-5.87993997,9.58943333,0.52737220,0.01804007,3.91094546,4.44731866,0.08509265,6.12202771
-5.87393697,9.61176429,0.53096926,0.01808357,3.88562191,4.47357223,0.08603852,6.13257584
-5.86793397,9.62545880,0.53370024,0.01812966,3.85829583,4.49649255,0.08718156,6.13724147
-5.86193097,9.62894372,0.53534994,0.01817494,3.82865863,4.51520859,0.08848633,6.13521466
-5.85592796,9.62075415,0.53572978,0.01821608,3.79641879,4.52887288,0.08991574,6.12574189
-5.84992496,9.59959098,0.53468415,0.01824992,3.76132090,4.53668950,0.09143165,6.10815851
-5.84392196,9.56437372,0.53209553,0.01827365,3.72316332,4.53794084,0.09299538,6.08191885
-5.83791896,9.51428621,0.52788820,0.01828495,3.68181363,4.53201223,0.09456819,6.04662291
-5.83191596,9.44881359,0.52203032,0.01828207,3.63722113,4.51841318,0.09611186,6.00203815
-5.82591296,9.36776893,0.51453445,0.01826396,3.58942597,4.49679456,0.09758917,5.94811580
