energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.70491883,0.07080061,0.00863611,0.04259986,1.00449064,0.62861179,0.03127395,0.77665554
-5.99399700,1.74709456,0.07072390,0.00791752,0.04766814,1.07486544,0.63838952,0.03201546,0.79471183
-5.98799400,1.78934501,0.07053297,0.00721856,0.05394227,1.15289962,0.64676436,0.03271793,0.81247781
-5.98199100,1.83127537,0.07023317,0.00654609,0.06142349,1.23855889,0.65352916,0.03336837,0.82982775
-5.97598799,1.87274789,0.06983229,0.00590652,0.07011368,1.33184245,0.65861627,0.03395752,0.84674502
-5.96998499,1.91387678,0.06934036,0.00530575,0.08001175,1.43275397,0.66210059,0.03447997,0.86332168
-5.96398199,1.95501683,0.06876957,0.00474913,0.09111037,1.54127080,0.66419957,0.03493404,0.87975509
-5.95797899,1.99674613,0.06813396,0.00424141,0.10339303,1.65731320,0.66527012,0.03532151,0.89634165
-5.95197599,2.03984394,0.06744933,0.00378682,0.11683161,1.78071507,0.66580257,0.03564733,0.91346818
-5.94597299,2.08526482,0.06673291,0.00338917,0.13138459,1.91119832,0.66641171,0.03591915,0.93160145
-5.93996998,2.13411051,0.06600321,0.00305190,0.14699600,2.04835246,0.66782549,0.03614675,0.95127645
-5.93396698,2.18760103,0.06527979,0.00277827,0.16359525,2.19162134,0.67087159,0.03634159,0.97308429
-5.92796398,2.24704655,0.06458309,0.00257146,0.18109783,2.34029844,0.67646258,0.03651614,0.99766032
-5.92196098,2.31382155,0.06393429,0.00243477,0.19940684,2.49353170,0.68558007,0.03668344,1.02567312
-5.91595798,2.38934253,0.06335524,0.00237173,0.21841544,2.65033865,0.69925858,0.03685657,1.05781517
-5.90995498,2.47505008,0.06286845,0.00238624,0.23800997,2.80963170,0.71856966,0.03704829,1.09479543
-5.90395198,2.57239598,0.06249716,0.00248269,0.25807373,2.97025298,0.74460668,0.03727069,1.13733428
-5.89794897,2.68283531,0.06226537,0.00266601,0.27849106,3.13101744,0.77847068,0.03753501,1.18616071
-5.89194597,2.80782312,0.06219806,0.00294173,0.29915167,3.29076229,0.82125764,0.03785152,1.24201167
-5.88594297,2.94881471,0.06232131,0.00331596,0.31995473,3.44840029,0.87404702,0.03822949,1.30563317
-5.87993997,3.10726808,0.06266244,0.00379532,0.34081267,3.60297387,0.93789164,0.03867723,1.37778237
-5.87393697,3.28464669,0.06325009,0.00438686,0.36165421,3.75370707,1.01380847,0.03920220,1.45922981
-5.86793397,3.48242044,0.06411424,0.00509790,0.38242651,3.90005187,1.10276995,0.03981113,1.55076087
-5.86193097,3.70206257,0.06528612,0.00593583,0.40309608,4.04172564,1.20569503,0.04051015,1.65317514
-5.85592796,3.94504018,0.06679786,0.00690782,0.42364846,4.17873706,1.32343947,0.04130488,1.76728275
-5.84992496,4.21279631,0.06868209,0.00802063,0.44408642,4.31139786,1.45678429,0.04220050,1.89389636
-5.84392196,4.50672168,0.07097125,0.00928018,0.46442681,4.44031880,1.60642183,0.04320174,2.03381804
-5.83791896,4.82811493,0.07369671,0.01069130,0.48469607,4.56638889,1.77293855,0.04431276,2.18782011
-5.83191596,5.17813071,0.07688769,0.01225736,0.50492463,4.69073788,1.95679415,0.04553702,2.35661965
-5.82591296,5.55771573,0.08056995,0.01397989,0.52514046,4.81468276,2.15829663,0.04687703,2.54084646
-5.81990995,5.96753391,0.08476442,0.01585825,0.54536204,4.93966027,2.37757331,0.04833396,2.74100491
-5.81390695,6.40788241,0.08948559,0.01788937,0.56559131,5.06714784,2.61453835,0.04990737,2.95743044
-5.80790395,6.87860160,0.09473996,0.02006740,0.58580687,5.19857644,2.86885741,0.05159471,3.19024206
-5.80190095,7.37898257,0.10052443,0.02238352,0.60595792,5.33523930,3.13991085,0.05339094,3.43929245
-5.79589795,7.90767670,0.10682485,0.02482577,0.62595939,5.47820063,3.42675716,0.05528814,3.70411808
-5.78989495,8.46261239,0.11361466,0.02737893,0.64568864,5.62820901,3.72809865,0.05727513,3.98389168
-5.78389195,9.04092424,0.12085388,0.03002453,0.66498388,5.78561978,4.04225193,0.05933727,4.27738004
-5.77788894,9.63890047,0.12848834,0.03274091,0.68364480,5.95033055,4.36712563,0.06145621,4.58290993
-5.77188594,10.25195353,0.13644940,0.03550335,0.70143520,6.12173349,4.70020811,0.06360992,4.89834521
-5.76588294,10.87461908,0.14465400,0.03828435,0.71808784,6.29868747,5.03856764,0.06577277,5.22107779
-5.75987994,11.50058695,0.15300539,0.04105394,0.73331123,6.47951211,5.37886729,0.06791578,5.54803480
-5.75387694,12.12276700,0.16139425,0.04378016,0.74679820,6.66200504,5.71739616,0.07000705,5.87570391
-5.74787394,12.73339120,0.16970040,0.04642950,0.75823583,6.84348250,6.05011813,0.07201227,6.20017780
-5.74187094,13.32415145,0.17779502,0.04896756,0.76731635,7.02084245,6.37273823,0.07389549,6.51721811
-5.73586793,13.88637102,0.18554338,0.05135968,0.77374852,7.19064833,6.68078598,0.07561984,6.82233817
-5.72986493,14.41120555,0.19280791,0.05357165,0.77726889,7.34923046,6.96971398,0.07714852,7.11090288
-5.72386193,14.88986765,0.19945171,0.05557043,0.77765252,7.49280151,7.23500907,0.07844571,7.37824288
-5.71785893,15.31386766,0.20534212,0.05732494,0.77472255,7.61758137,7.47231229,0.07947761,7.61977952
-5.71185593,15.67526164,0.21035451,0.05880679,0.76835828,7.71992656,7.67754348,0.08021343,7.83115600
-5.70585293,15.96689663,0.21437596,0.05999104,0.75850123,7.79645874,7.84702522,0.08062630,8.00836959
-5.69984992,16.18264298,0.21730872,0.06085682,0.74515909,7.84418701,7.97760092,0.08069420,8.14789949
-5.69384692,16.31760320,0.21907338,0.06138794,0.72840721,7.86061871,8.06674161,0.08040070,8.24682447
-5.68784392,16.36828774,0.21961154,0.06157343,0.70838774,7.84385397,8.11263619,0.07973553,8.30292511
-5.68184092,16.33274893,0.21888782,0.06140786,0.68530633,7.79265981,8.11426066,0.07869507,8.31476536
-5.67583792,16.21066638,0.21689131,0.06089162,0.65942671,7.70652066,8.07142246,0.07728256,8.28174963
