energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.77546071,0.85481391,0.64936805,0.00298625,1.25672915,0.01415604,0.00000000
-5.99399700,1.76090318,0.84446371,0.66536322,0.00281256,1.25813451,0.01359685,0.00000000
-5.98799400,1.74582783,0.83555019,0.68039577,0.00265246,1.25920629,0.01306860,0.00000000
-5.98199100,1.73017567,0.82813925,0.69412527,0.00250762,1.25970744,0.01257510,0.00000000
-5.97598799,1.71384666,0.82224127,0.70621203,0.00237944,1.25937343,0.01211985,0.00000000
-5.96998499,1.69670933,0.81781496,0.71632811,0.00226904,1.25792420,0.01170595,0.00000000
-5.96398199,1.67861221,0.81477295,0.72416877,0.00217723,1.25507732,0.01133608,0.00000000
-5.95797899,1.65939663,0.81298858,0.72946382,0.00210453,1.25056179,0.01101236,0.00000000
-5.95197599,1.63891005,0.81230359,0.73198865,0.00205117,1.24413192,0.01073626,0.00000000
-5.94597299,1.61701957,0.81253650,0.73157411,0.00201707,1.23558062,0.01050855,0.00000000
-5.93996998,1.59362486,0.81349114,0.72811511,0.00200185,1.22475157,0.01032916,0.00000000
-5.93396698,1.56867002,0.81496524,0.72157738,0.00200485,1.21154982,0.01019719,0.00000000
-5.92796398,1.54215411,0.81675874,0.71200217,0.00202514,1.19595040,0.01011080,0.00000000
-5.92196098,1.51413979,0.81868182,0.69950862,0.00206157,1.17800477,0.01006725,0.00000000
-5.91595798,1.48476012,0.82056240,0.68429379,0.00211275,1.15784482,0.01006292,0.00000000
-5.90995498,1.45422324,0.82225316,0.66663039,0.00217716,1.13568455,0.01009339,0.00000000
-5.90395198,1.42281500,0.82363796,0.64686211,0.00225316,1.11181938,0.01015352,0.00000000
-5.89794897,1.39089957,0.82463776,0.62539707,0.00233906,1.08662340,0.01023761,0.00000000
-5.89194597,1.35891818,0.82521589,0.60269942,0.00243321,1.06054449,0.01033959,0.00000000
-5.88594297,1.32738589,0.82538263,0.57927948,0.00253405,1.03409786,0.01045321,0.00000000
-5.87993997,1.29688672,0.82519902,0.55568283,0.00264018,1.00785795,0.01057229,0.00000000
-5.87393697,1.26806682,0.82477963,0.53247854,0.00275046,0.98244903,0.01069094,0.00000000
-5.86793397,1.24162600,0.82429416,0.51024700,0.00286406,0.95853454,0.01080378,0.00000000
-5.86193097,1.21830715,0.82396743,0.48956751,0.00298051,0.93680531,0.01090616,0.00000000
-5.85592796,1.19888368,0.82407767,0.47100593,0.00309975,0.91796658,0.01099438,0.00000000
-5.84992496,1.18414462,0.82495257,0.45510251,0.00322215,0.90272392,0.01106577,0.00000000
-5.84392196,1.17487739,0.82696295,0.44236004,0.00334852,0.89176795,0.01111886,0.00000000
-5.83791896,1.17184806,0.83051385,0.43323242,0.00348009,0.88575777,0.01115336,0.00000000
-5.83191596,1.17577914,0.83603291,0.42811381,0.00361846,0.88530337,0.01117020,0.00000000
-5.82591296,1.18732523,0.84395605,0.42732824,0.00376552,0.89094692,0.01117139,0.00000000
-5.81990995,1.20704685,0.85471087,0.43112004,0.00392340,0.90314338,0.01115991,0.00000000
-5.81390695,1.23538308,0.86869791,0.43964499,0.00409433,0.92224073,0.01113953,0.00000000
-5.80790395,1.27262402,0.88627068,0.45296267,0.00428048,0.94846058,0.01111456,0.00000000
-5.80190095,1.31888413,0.90771495,0.47102994,0.00448389,0.98187968,0.01108957,0.00000000
-5.79589795,1.37407771,0.93322847,0.49369620,0.00470631,1.02241345,0.01106910,0.00000000
-5.78989495,1.43789809,0.96290198,0.52070053,0.00494899,1.06980231,0.01105741,0.00000000
-5.78389195,1.50980186,0.99670273,0.55167119,0.00521266,1.12360199,0.01105814,0.00000000
-5.77788894,1.58899977,1.03446141,0.58612790,0.00549731,1.18317869,0.01107411,0.00000000
-5.77188594,1.67445539,1.07586369,0.62348706,0.00580218,1.24771008,0.01110708,0.00000000
-5.76588294,1.76489274,1.12044697,0.66307033,0.00612563,1.31619280,0.01115763,0.00000000
-5.75987994,1.85881346,1.16760312,0.70411657,0.00646516,1.38745691,0.01122501,0.00000000
-5.75387694,1.95452376,1.21658741,0.74579716,0.00681738,1.46018747,0.01130717,0.00000000
-5.74787394,2.05017091,1.26653387,0.78723445,0.00717806,1.53295302,0.01140078,0.00000000
-5.74187094,2.14378843,1.31647647,0.82752303,0.00754224,1.60424031,0.01150134,0.00000000
-5.73586793,2.23334874,1.36537585,0.86575320,0.00790430,1.67249436,0.01160338,0.00000000
-5.72986493,2.31682133,1.41215039,0.90103588,0.00825817,1.73616250,0.01170065,0.00000000
-5.72386193,2.39223430,1.45571057,0.93252806,0.00859744,1.79374066,0.01178641,0.00000000
-5.71785893,2.45773689,1.49499509,0.95945791,0.00891561,1.84382021,0.01185373,0.00000000
-5.71185593,2.51165999,1.52900745,0.98114842,0.00920627,1.88513330,0.01189580,0.00000000
-5.70585293,2.55257239,1.55685102,0.99703852,0.00946335,1.91659464,0.01190619,0.00000000
-5.69984992,2.57932977,1.57776143,1.00670085,0.00968126,1.93733797,0.01187921,0.00000000
-5.69384692,2.59111452,1.59113452,1.00985525,0.00985515,1.94674553,0.01181011,0.00000000
-5.68784392,2.58746440,1.59654883,1.00637739,0.00998106,1.94446908,0.01169528,0.00000000
-5.68184092,2.56828868,1.59378150,0.99630212,0.01005605,1.93044163,0.01153247,0.00000000
-5.67583792,2.53387122,1.58281698,0.97982135,0.01007833,1.90487931,0.01132082,0.00000000
-5.66983492,2.48486029,1.56384819,0.95727658,0.01004733,1.86827340,0.01106097,0.00000000
-5.66383192,2.42224579,1.53727021,0.92914656,0.00996371,1.82137289,0.01075496,0.00000000
-5.65782891,2.34732499,1.50366682,0.89603037,0.00982939,1.76515854,0.01040625,0.00000000
-5.65182591,2.26165858,1.46379052,0.85862711,0.00964745,1.70080968,0.01001952,0.00000000
-5.64582291,2.16701897,1.41853722,0.81771288,0.00942207,1.62966531,0.00960055,0.00000000
-5.63981991,2.06533341,1.36891647,0.77411612,0.00915842,1.55318134,0.00915602,0.00000000
-5.63381691,1.95862434,1.31601881,0.72869256,0.00886249,1.47288574,0.00869330,0.00000000
-5.62781391,1.84894948,1.26098156,0.68230058,0.00854092,1.39033374,0.00822025,0.00000000
-5.62181091,1.73834424,1.20495439,0.63577818,0.00820081,1.30706454,0.00774496,0.00000000
-5.61580790,1.62876835,1.14906622,0.58992222,0.00784954,1.22456142,0.00727563,0.00000000
-5.60980490,1.52205874,1.09439450,0.54547065,0.00749455,1.14421646,0.00682031,0.00000000
-5.60380190,1.41988997,1.04193818,0.50308832,0.00714317,1.06730096,0.00638681,0.00000000
-5.59779890,1.32374321,0.99259504,0.46335644,0.00680241,0.99494225,0.00598259,0.00000000
-5.59179590,1.23488430,0.94714416,0.42676590,0.00647885,0.92810724,0.00561465,0.00000000
-5.58579290,1.15435089,0.90623398,0.39371434,0.00617842,0.86759286,0.00528950,0.00000000
-5.57978989,1.08294835,0.87037595,0.36450662,0.00590633,0.81402296,0.00501318,0.00000000
-5.57378689,1.02125383,0.83994392,0.33935835,0.00566698,0.76785129,0.00479125,0.00000000
-5.56778389,0.96962740,0.81517867,0.31840190,0.00546385,0.72936966,0.00462884,0.00000000
-5.56178089,0.92822911,0.79619735,0.30169442,0.00529951,0.69872065,0.00453075,0.00000000
-5.55577789,0.89704069,0.78300691,0.28922719,0.00517557,0.67591355,0.00450148,0.00000000
-5.54977489,0.87589046,0.77552076,0.28093573,0.00509272,0.66084276,0.00454532,0.00000000
-5.54377189,0.86448014,0.77357776,0.27671019,0.00505073,0.65330746,0.00466645,0.00000000
-5.53776888,0.86241209,0.77696243,0.27640537,0.00504855,0.65303167,0.00486891,0.00000000
-5.53176588,0.86921592,0.78542532,0.27985014,0.00508435,0.65968370,0.00515671,0.00000000
-5.52576288,0.88437339,0.79870269,0.28685580,0.00515561,0.67289429,0.00553376,0.00000000
