energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.20167119,0.03716757,0.00121584,0.12891561,0.55417131,0.00569439,0.69973371
-5.99399700,1.19068677,0.03468244,0.00118502,0.12652412,0.54794110,0.00525451,0.70650068
-5.98799400,1.17562411,0.03231488,0.00115368,0.12391642,0.53996546,0.00484052,0.70944294
-5.98199100,1.15665308,0.03011355,0.00112223,0.12112601,0.53033367,0.00446037,0.70846252
-5.97598799,1.13403408,0.02812500,0.00109112,0.11819577,0.51917482,0.00412173,0.70354038
-5.96998499,1.10812235,0.02639346,0.00106087,0.11517883,0.50666011,0.00383192,0.69473965
-5.96398199,1.07936962,0.02496074,0.00103205,0.11213939,0.49300404,0.00359792,0.68220608
-5.95797899,1.04832271,0.02386614,0.00100531,0.10915306,0.47846409,0.00342637,0.66616593
-5.95197599,1.01561886,0.02314636,0.00098134,0.10630696,0.46333896,0.00332358,0.64692107
-5.94597299,0.98197757,0.02283546,0.00096094,0.10369929,0.44796528,0.00329554,0.62484168
-5.93996998,0.94818910,0.02296467,0.00094496,0.10143851,0.43271263,0.00334794,0.60035672
-5.93396698,0.91509970,0.02356211,0.00093434,0.09964199,0.41797711,0.00348611,0.57394253
-5.92796398,0.88359395,0.02465241,0.00093003,0.09843408,0.40417343,0.00371501,0.54611013
-5.92196098,0.85457454,0.02625616,0.00093306,0.09794381,0.39172590,0.00403915,0.51739158
-5.91595798,0.82894017,0.02838919,0.00094443,0.09830197,0.38105826,0.00446248,0.48832593
-5.90995498,0.80756202,0.03106178,0.00096515,0.09963786,0.37258294,0.00498823,0.45944541
-5.90395198,0.79125968,0.03427770,0.00099615,0.10207557,0.36668981,0.00561878,0.43126208
-5.89794897,0.78077713,0.03803325,0.00103830,0.10573007,0.36373485,0.00635545,0.40425560
-5.89194597,0.77675956,0.04231625,0.00109229,0.11070301,0.36402919,0.00719829,0.37886237
-5.88594297,0.77973186,0.04710516,0.00115868,0.11707854,0.36782864,0.00814587,0.35546636
