energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.28588903,0.05596044,1.98721661,0.40557029,0.32989013,0.10966784,2.32467687,3.78151165,1.63831209
-5.99399700,7.18137574,0.05420111,1.95218673,0.40030872,0.33358274,0.10748579,2.30111497,3.71648545,1.59915942
-5.98799400,7.08460951,0.05239335,1.91930087,0.39590199,0.33775392,0.10525076,2.28026885,3.65768249,1.56244649
-5.98199100,6.99725069,0.05057259,1.88896797,0.39245628,0.34234256,0.10300789,2.26267700,3.60622789,1.52859647
-5.97598799,6.92068739,0.04877385,1.86150113,0.39006205,0.34728073,0.10080152,2.24880765,3.56300225,1.49798946
-5.96998499,6.85600598,0.04703092,1.83711151,0.38879253,0.35249526,0.09867427,2.23904845,3.52861878,1.47095620
-5.96398199,6.80397343,0.04537555,1.81590643,0.38870266,0.35790963,0.09666624,2.23369889,3.50341025,1.44777373
-5.95797899,6.76503149,0.04383673,1.79789170,0.38982839,0.36344586,0.09481427,2.23296569,3.48742617,1.42866300
-5.95197599,6.73930210,0.04244008,1.78297792,0.39218653,0.36902657,0.09315127,2.23696084,3.48044005,1.41378826
-5.94597299,6.72660285,0.04120734,1.77099014,0.39577491,0.37457691,0.09170572,2.24570232,3.48196635,1.40325794
-5.93996998,6.72647079,0.04015606,1.76168037,0.40057300,0.38002641,0.09050123,2.25911695,3.49128619,1.39712654
-5.93396698,6.73819257,0.03929938,1.75474204,0.40654277,0.38531047,0.08955620,2.27704505,3.50748025,1.39539715
-5.92796398,6.76083866,0.03864590,1.74982551,0.41362981,0.39037171,0.08888355,2.29924642,3.52946751,1.39802414
-5.92196098,6.79329947,0.03819977,1.74655390,0.42176461,0.39516078,0.08849053,2.32540709,3.55604771,1.40491544
-5.91595798,6.83432122,0.03796086,1.74453816,0.43086391,0.39963684,0.08837866,2.35514655,3.58594563,1.41593425
-5.90995498,6.88253976,0.03792493,1.74339079,0.44083209,0.40376762,0.08854361,2.38802490,3.61785512,1.43089971
-5.90395198,6.93651079,0.03808408,1.74273748,0.45156256,0.40752899,0.08897532,2.42354986,3.65048099,1.44958658
-5.89794897,6.99473569,0.03842702,1.74222629,0.46293901,0.41090425,0.08965807,2.46118328,3.68257701,1.47172385
-5.89194597,7.05568236,0.03893959,1.74153397,0.47483666,0.41388310,0.09057067,2.50034723,3.71297854,1.49699252
-5.88594297,7.11780115,0.03960515,1.74036959,0.48712337,0.41646040,0.09168681,2.54042968,3.74062880,1.52502301
