energy_ev,total_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.52924168,1.29050889,1.27000430,0.32251347,0.29721218,0.00022566,0.80242449,0.00546201,0.87602557
-5.99399700,3.60225375,1.32486461,1.30410379,0.32454304,0.29525188,0.00023894,0.83457321,0.00580070,0.86509033
-5.98799400,3.67277375,1.35866670,1.33709400,0.32692119,0.29301164,0.00025434,0.86570650,0.00612910,0.85459653
-5.98199100,3.74023888,1.39167560,1.36868635,0.32962557,0.29054150,0.00027159,0.89552593,0.00644395,0.84471845
-5.97598799,3.80410397,1.42363893,1.39860880,0.33262346,0.28789509,0.00029050,0.92374618,0.00674225,0.83560996
-5.96998499,3.86385593,1.45429753,1.42661340,0.33587240,0.28512801,0.00031090,0.95010298,0.00702132,0.82739998
-5.96398199,3.91902656,1.48339165,1.45248270,0.33932101,0.28229622,0.00033263,0.97436019,0.00727886,0.82018860
-5.95797899,3.96920318,1.51066708,1.47603492,0.34290996,0.27945438,0.00035557,0.99631592,0.00751300,0.81404385
-5.95197599,4.01403626,1.53588086,1.49712731,0.34657319,0.27665406,0.00037959,1.01580727,0.00772234,0.80899931
-5.94597299,4.05324381,1.55880631,1.51565769,0.35023912,0.27394214,0.00040454,1.03271359,0.00790596,0.80505239
-5.93996998,4.08661229,1.57923726,1.53156411,0.35383202,0.27135916,0.00043028,1.04695800,0.00806340,0.80216361
-5.93396698,4.11399412,1.59699130,1.54482261,0.35727336,0.26893784,0.00045665,1.05850733,0.00819463,0.80025671
-5.92796398,4.13530211,1.61191202,1.55544334,0.36048322,0.26670185,0.00048347,1.06737033,0.00830006,0.79921978
-5.92196098,4.15050139,1.62387018,1.56346531,0.36338173,0.26466482,0.00051052,1.07359444,0.00838046,0.79890733
-5.91595798,4.15959942,1.63276401,1.56895007,0.36589047,0.26282957,0.00053758,1.07726125,0.00843687,0.79914347
-5.90995498,4.16263510,1.63851860,1.57197488,0.36793384,0.26118786,0.00056441,1.07848088,0.00847061,0.79972594
-5.90395198,4.15966759,1.64108466,1.57262572,0.36944047,0.25972041,0.00059072,1.07738568,0.00848316,0.80043123
-5.89794897,4.15076593,1.64043678,1.57099065,0.37034454,0.25839736,0.00061625,1.07412354,0.00847609,0.80102045
-5.89194597,4.13600015,1.63657134,1.56715390,0.37058708,0.25717921,0.00064071,1.06885113,0.00845105,0.80124598
-5.88594297,4.11543451,1.62950440,1.56119112,0.37011718,0.25601806,0.00066382,1.06172739,0.00840969,0.80085868
-5.87993997,4.08912355,1.61926962,1.55316603,0.36889315,0.25485930,0.00068529,1.05290771,0.00835361,0.79961538
-5.87393697,4.05711103,1.60591645,1.54312866,0.36688354,0.25364358,0.00070488,1.04253887,0.00828435,0.79728654
-5.86793397,4.01943209,1.58950864,1.53111536,0.36406804,0.25230902,0.00072234,1.03075510,0.00820339,0.79366372
-5.86193097,3.97611844,1.57012330,1.51715033,0.36043826,0.25079362,0.00073750,1.01767544,0.00811211,0.78856655
-5.85592796,3.92720624,1.54785050,1.50124888,0.35599826,0.24903769,0.00075019,1.00340230,0.00801186,0.78184905
-5.84992496,3.87274636,1.52279337,1.48342183,0.35076495,0.24698629,0.00076032,0.98802153,0.00790393,0.77340491
-5.84392196,3.81281621,1.49506881,1.46368109,0.34476817,0.24459161,0.00076786,0.97160364,0.00778961,0.76317158
-5.83791896,3.74753256,1.46480869,1.44204580,0.33805065,0.24181502,0.00077284,0.95420635,0.00767023,0.75113300
-5.83191596,3.67706446,1.43216143,1.41854874,0.33066761,0.23862897,0.00077535,0.93587805,0.00754717,0.73732081
-5.82591296,3.60164551,1.39729384,1.39324262,0.32268614,0.23501846,0.00077558,0.91666207,0.00742196,0.72181393
-5.81990995,3.52158461,1.36039308,1.36620580,0.31418438,0.23098209,0.00077377,0.89660145,0.00729627,0.70473674
-5.81390695,3.43727444,1.32166854,1.33754697,0.30525031,0.22653272,0.00077026,0.87574392,0.00717194,0.68625558
-5.80790395,3.34919702,1.28135335,1.30740863,0.29598046,0.22169760,0.00076544,0.85414669,0.00705107,0.66657409
-5.80190095,3.25792577,1.23970548,1.27596894,0.28647827,0.21651805,0.00075979,0.83188084,0.00693593,0.64592724
-5.79589795,3.16412373,1.19700801,1.24344186,0.27685233,0.21104869,0.00075383,0.80903500,0.00682904,0.62457456
-5.78989495,3.06853763,1.15356857,1.21007539,0.26721439,0.20535620,0.00074817,0.78571791,0.00673312,0.60279259
-5.78389195,2.97198786,1.10971756,1.17614797,0.25767730,0.19951771,0.00074342,0.76205987,0.00665109,0.58086708
