energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,5.24381516,1.52552753,4.08887438,0.01273268,0.45823024,1.60301863,0.00000000
-5.99399700,5.15010222,1.47996627,4.02490471,0.01308799,0.44374675,1.57464148,0.00000000
-5.98799400,5.04645355,1.43390490,3.95100070,0.01341004,0.42980257,1.54163113,0.00000000
-5.98199100,4.93352031,1.38777974,3.86761319,0.01369617,0.41646389,1.50429146,0.00000000
-5.97598799,4.81226197,1.34206343,3.77546270,0.01394452,0.40381574,1.46302804,0.00000000
-5.96998499,4.68390417,1.29724899,3.67550650,0.01415399,0.39195887,1.41833238,0.00000000
-5.96398199,4.54988934,1.25383374,3.56889924,0.01432417,0.38100598,1.37076384,0.00000000
-5.95797899,4.41182260,1.21230342,3.45694925,0.01445531,0.37107765,1.32093003,0.00000000
-5.95197599,4.27141585,1.17311730,3.34107279,0.01454821,0.36229793,1.26946668,0.00000000
-5.94597299,4.13043224,1.13669459,3.22274839,0.01460418,0.35478995,1.21701813,0.00000000
-5.93996998,3.99063368,1.10340289,3.10347326,0.01462490,0.34867153,1.16421912,0.00000000
-5.93396698,3.85373298,1.07354878,2.98472331,0.01461239,0.34405104,1.11167868,0.00000000
-5.92796398,3.72135224,1.04737103,2.86791818,0.01456888,0.34102344,1.05996682,0.00000000
-5.92196098,3.59498843,1.02503636,2.75439192,0.01449680,0.33966674,1.00960411,0.00000000
-5.91595798,3.47598640,1.00663792,2.64536992,0.01439868,0.34003880,0.96105460,0.00000000
-5.90995498,3.36551963,0.99219616,2.54195195,0.01427713,0.34217459,0.91472177,0.00000000
-5.90395198,3.26457794,0.98166200,2.44510109,0.01413478,0.34608386,0.87094737,0.00000000
-5.89794897,3.17396173,0.97492195,2.35563785,0.01397424,0.35174932,0.83001279,0.00000000
-5.89194597,3.09428175,0.97180464,2.27423887,0.01379811,0.35912545,0.79214236,0.00000000
-5.88594297,3.02596340,0.97208861,2.20143921,0.01360893,0.36813780,0.75750803,0.00000000
-5.87993997,2.96925477,0.97551068,2.13763749,0.01340921,0.37868308,0.72623493,0.00000000
-5.87393697,2.92423746,0.98177478,2.08310309,0.01320134,0.39063007,0.69840709,0.00000000
-5.86793397,2.89083958,0.99056075,2.03798476,0.01298767,0.40382130,0.67407297,0.00000000
-5.86193097,2.86885052,1.00153298,2.00232022,0.01277047,0.41807586,0.65325040,0.00000000
-5.85592796,2.85793712,1.01434868,1.97604644,0.01255192,0.43319322,0.63593052,0.00000000
-5.84992496,2.85766127,1.02866583,1.95901043,0.01233412,0.44895811,0.62208084,0.00000000
-5.84392196,2.86749876,1.04415052,1.95098045,0.01211913,0.46514659,0.61164715,0.00000000
-5.83791896,2.88685945,1.06048411,1.95165786,0.01190894,0.48153301,0.60455457,0.00000000
-5.83191596,2.91510879,1.07736980,1.96068941,0.01170553,0.49789797,0.60070782,0.00000000
-5.82591296,2.95159027,1.09453905,1.97768009,0.01151087,0.51403678,0.59999106,0.00000000
-5.81990995,2.99564870,1.11175754,2.00220645,0.01132695,0.52976831,0.60226750,0.00000000
