energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.40590860,-0.59973261,0.00042245,-0.00062468,0.12204884,-0.18099794,0.13961709,-0.19141480,0.05376920,-0.07362442,0.00114678,-0.00238607,0.04607045,-0.07361022
-5.99399700,0.37769892,-0.56591391,0.00041770,-0.00058314,0.11337964,-0.17122475,0.13119386,-0.18317896,0.05002466,-0.06926760,0.00100899,-0.00218287,0.04309379,-0.06894088
-5.98799400,0.35153039,-0.53170377,0.00042429,-0.00054248,0.10513188,-0.16116263,0.12301628,-0.17438302,0.04661833,-0.06489220,0.00088217,-0.00198450,0.04057837,-0.06443349
-5.98199100,0.32781715,-0.49763534,0.00044453,-0.00050380,0.09742682,-0.15096696,0.11524294,-0.16519651,0.04361165,-0.06056582,0.00076657,-0.00179279,0.03857435,-0.06016005
-5.97598799,0.30695439,-0.46423962,0.00048100,-0.00046823,0.09038032,-0.14079332,0.10802932,-0.15579591,0.04106467,-0.05635539,0.00066223,-0.00160931,0.03712925,-0.05619130
-5.96998499,0.28931653,-0.43203651,0.00053667,-0.00043700,0.08410234,-0.13079459,0.10152625,-0.14636100,0.03903608,-0.05232624,0.00056907,-0.00143539,0.03628765,-0.05259583
-5.96398199,0.27525602,-0.40152679,0.00061493,-0.00041141,0.07869685,-0.12111842,0.09587872,-0.13707127,0.03758333,-0.04854133,0.00048687,-0.00127207,0.03609082,-0.04943923
-5.95797899,0.26510279,-0.37318517,0.00071957,-0.00039292,0.07426186,-0.11190507,0.09122514,-0.12810272,0.03676286,-0.04506055,0.00041535,-0.00112011,0.03657629,-0.04678332
-5.95197599,0.25916416,-0.34745459,0.00085491,-0.00038313,0.07088984,-0.10328568,0.08769700,-0.11962503,0.03663022,-0.04194035,0.00035420,-0.00098003,0.03777739,-0.04468544
-5.94597299,0.25772513,-0.32474188,0.00102573,-0.00038386,0.06866829,-0.09538109,0.08541879,-0.11179924,0.03724030,-0.03923346,0.00030314,-0.00085210,0.03972268,-0.04319775
-5.93996998,0.26104896,-0.30541471,0.00123735,-0.00039721,0.06768051,-0.08830106,0.08450843,-0.10477598,0.03864747,-0.03698880,0.00026194,-0.00073638,0.04243531,-0.04236661
-5.93396698,0.26937791,-0.28979982,0.00149554,-0.00042558,0.06800643,-0.08214412,0.08507784,-0.09869420,0.04090570,-0.03525161,0.00023052,-0.00063275,0.04593244,-0.04223195
