energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,3.58226631,0.74952408,2.40456929,0.00467119,0.17502617,0.27873110,0.02575152,0.79068365
-5.99399700,3.60915097,0.75962274,2.41126884,0.00454807,0.17817371,0.27597563,0.02622985,0.80573359
-5.98799400,3.63025964,0.76781471,2.41534573,0.00448485,0.18044812,0.27284042,0.02664331,0.81864541
-5.98199100,3.64598639,0.77406921,2.41726297,0.00448561,0.18180236,0.26940992,0.02699408,0.82938132
-5.97598799,3.65692601,0.77843280,2.41756805,0.00455440,0.18221040,0.26578820,0.02728634,0.83797919
-5.96998499,3.66387187,0.78103009,2.41688740,0.00469531,0.18166799,0.26209658,0.02752636,0.84455479
-5.96398199,3.66780461,0.78206106,2.41591678,0.00491250,0.18019261,0.25847036,0.02772237,0.84930098
-5.95797899,3.66987165,0.78179519,2.41540730,0.00521021,0.17782275,0.25505470,0.02788448,0.85248366
-5.95197599,3.67135759,0.78056250,2.41614733,0.00559278,0.17461634,0.25199986,0.02802440,0.85443447
-5.94597299,3.67364650,0.77874194,2.41894083,0.00606456,0.17064860,0.24945602,0.02815524,0.85554060
-5.93996998,3.67817719,0.77674743,2.42458256,0.00662991,0.16600933,0.24756788,0.02829107,0.85623189
-5.93396698,3.68639326,0.77501227,2.43383134,0.00729310,0.16079965,0.24646921,0.02844656,0.85696579
-5.92796398,3.69968987,0.77397242,2.44738232,0.00805815,0.15512862,0.24627773,0.02863647,0.85821082
-5.92196098,3.71935951,0.77404945,2.46583947,0.00892874,0.14910950,0.24709036,0.02887522,0.86042898
-5.91595798,3.74653905,0.77563364,2.48968963,0.00990800,0.14285618,0.24897923,0.02917633,0.86405809
-5.90995498,3.78216041,0.77906815,2.51927920,0.01099832,0.13647965,0.25198837,0.02955194,0.86949453
-5.90395198,3.82690706,0.78463464,2.55479477,0.01220114,0.13008483,0.25613142,0.03001236,0.87707730
