energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.61580790,0.66878942,0.02104260,0.00000000,0.02667709,0.25945715,0.15349301,0.11120680
-5.60980490,0.69306316,0.02149410,0.00000000,0.02763368,0.26828758,0.15757497,0.11548453
-5.60380190,0.71742549,0.02195115,0.00000000,0.02856687,0.27744803,0.16169467,0.11968395
-5.59779890,0.74141474,0.02239842,0.00000000,0.02945886,0.28681620,0.16573964,0.12372439
-5.59179590,0.76458665,0.02282120,0.00000000,0.03029184,0.29627730,0.16959905,0.12752811
-5.58579290,0.78652286,0.02320574,0.00000000,0.03104841,0.30572693,0.17316586,0.13102174
-5.57978989,0.80683889,0.02353931,0.00000000,0.03171202,0.31507342,0.17633895,0.13413774
-5.57378689,0.82519121,0.02381045,0.00000000,0.03226739,0.32423975,0.17902511,0.13681569
-5.56778389,0.84128315,0.02400909,0.00000000,0.03270084,0.33316492,0.18114080,0.13900338
-5.56178089,0.85486964,0.02412663,0.00000000,0.03300071,0.34180449,0.18261380,0.14065779
-5.55577789,0.86576048,0.02415605,0.00000000,0.03315755,0.35013057,0.18338451,0.14174573
-5.54977489,0.87382218,0.02409200,0.00000000,0.03316440,0.35813080,0.18340704,0.14224435
-5.54377189,0.87897816,0.02393079,0.00000000,0.03301691,0.36580678,0.18264989,0.14214135
-5.53776888,0.88120757,0.02367049,0.00000000,0.03271347,0.37317157,0.18109641,0.14143491
-5.53176588,0.88054244,0.02331086,0.00000000,0.03225517,0.38024661,0.17874488,0.14013347
-5.52576288,0.87706362,0.02285337,0.00000000,0.03164578,0.38705814,0.17560822,0.13825521
-5.51975988,0.87089536,0.02230113,0.00000000,0.03089163,0.39363308,0.17171351,0.13582733
-5.51375688,0.86219892,0.02165883,0.00000000,0.03000144,0.39999484,0.16710102,0.13288513
-5.50775388,0.85116539,0.02093265,0.00000000,0.02898608,0.40615902,0.16182314,0.12947101
-5.50175088,0.83800794,0.02013009,0.00000000,0.02785831,0.41212943,0.15594297,0.12563320
-5.49574787,0.82295392,0.01925984,0.00000000,0.02663246,0.41789441,0.14953268,0.12142453
-5.48974487,0.80623700,0.01833161,0.00000000,0.02532410,0.42342405,0.14267181,0.11690109
-5.48374187,0.78808978,0.01735590,0.00000000,0.02394968,0.42866812,0.13544535,0.11212088
-5.47773887,0.76873713,0.01634378,0.00000000,0.02252621,0.43355523,0.12794182,0.10714247
-5.47173587,0.74839055,0.01530667,0.00000000,0.02107082,0.43799309,0.12025137,0.10202382
-5.46573287,0.72724381,0.01425608,0.00000000,0.01960048,0.44187013,0.11246386,0.09682106
-5.45972986,0.70547000,0.01320340,0.00000000,0.01813166,0.44505842,0.10466720,0.09158757
-5.45372686,0.68322017,0.01215967,0.00000000,0.01668001,0.44741778,0.09694567,0.08637311
-5.44772386,0.66062353,0.01113536,0.00000000,0.01526012,0.44880103,0.08937864,0.08122321
-5.44172086,0.63778915,0.01014020,0.00000000,0.01388533,0.44906012,0.08203945,0.07617871
-5.43571786,0.61480904,0.00918306,0.00000000,0.01256750,0.44805282,0.07499457,0.07127557
-5.42971486,0.59176235,0.00827182,0.00000000,0.01131695,0.44564975,0.06830308,0.06654481
-5.42371186,0.56872038,0.00741332,0.00000000,0.01014238,0.44174130,0.06201643,0.06201266
-5.41770885,0.54575206,0.00661332,0.00000000,0.00905083,0.43624420,0.05617849,0.05770088
-5.41170585,0.52292959,0.00587654,0.00000000,0.00804773,0.42910718,0.05082580,0.05362716
-5.40570285,0.50033365,0.00520671,0.00000000,0.00713695,0.42031565,0.04598810,0.04980565
-5.39969985,0.47805805,0.00460666,0.00000000,0.00632092,0.40989492,0.04168894,0.04624748
-5.39369685,0.45621330,0.00407840,0.00000000,0.00560074,0.39791196,0.03794646,0.04296135
-5.38769385,0.43492890,0.00362331,0.00000000,0.00497630,0.38447535,0.03477419,0.03995403
-5.38169085,0.41435417,0.00324220,0.00000000,0.00444646,0.36973366,0.03218176,0.03723080
-5.37568784,0.39465745,0.00293554,0.00000000,0.00400919,0.35387209,0.03017568,0.03479582
-5.36968484,0.37602364,0.00270348,0.00000000,0.00366170,0.33710766,0.02875985,0.03265233
-5.36368184,0.35865023,0.00254606,0.00000000,0.00340055,0.31968316,0.02793601,0.03080280
-5.35767884,0.34274196,0.00246319,0.00000000,0.00322180,0.30185999,0.02770387,0.02924888
-5.35167584,0.32850421,0.00245480,0.00000000,0.00312104,0.28391044,0.02806118,0.02799122
-5.34567284,0.31613560,0.00252079,0.00000000,0.00309353,0.26610953,0.02900342,0.02702925
-5.33966983,0.30582004,0.00266103,0.00000000,0.00313417,0.24872688,0.03052341,0.02636081
-5.33366683,0.29771856,0.00287529,0.00000000,0.00323757,0.23201891,0.03261067,0.02598177
-5.32766383,0.29196147,0.00316315,0.00000000,0.00339807,0.21622159,0.03525064,0.02588554
-5.32166083,0.28864099,0.00352389,0.00000000,0.00360974,0.20154407,0.03842384,0.02606275
-5.31565783,0.28780489,0.00395633,0.00000000,0.00386637,0.18816337,0.04210502,0.02650077
-5.30965483,0.28945136,0.00445865,0.00000000,0.00416152,0.17622021,0.04626230,0.02718351
-5.30365183,0.29352539,0.00502823,0.00000000,0.00448851,0.16581614,0.05085643,0.02809119
-5.29764882,0.29991697,0.00566151,0.00000000,0.00484050,0.15701199,0.05584035,0.02920030
-5.29164582,0.30846104,0.00635381,0.00000000,0.00521051,0.14982756,0.06115881,0.03048375
-5.28564282,0.31893958,0.00709926,0.00000000,0.00559154,0.14424259,0.06674852,0.03191111
-5.27963982,0.33108552,0.00789068,0.00000000,0.00597666,0.14019883,0.07253847,0.03344906
-5.27363682,0.34458867,0.00871959,0.00000000,0.00635919,0.13760320,0.07845079,0.03506208
-5.26763382,0.35910341,0.00957626,0.00000000,0.00673278,0.13633180,0.08440193,0.03671313
-5.26163082,0.37425792,0.01044981,0.00000000,0.00709167,0.13623467,0.09030426,0.03836462
-5.25562781,0.38966474,0.01132836,0.00000000,0.00743082,0.13714120,0.09606802,0.03997938
-5.24962481,0.40493228,0.01219933,0.00000000,0.00774615,0.13886588,0.10160363,0.04152177
-5.24362181,0.41967689,0.01304966,0.00000000,0.00803468,0.14121437,0.10682414,0.04295873
-5.23761881,0.43353515,0.01386626,0.00000000,0.00829474,0.14398967,0.11164795,0.04426090
-5.23161581,0.44617576,0.01463632,0.00000000,0.00852609,0.14699812,0.11600141,0.04540361
-5.22561281,0.45731079,0.01534775,0.00000000,0.00873008,0.15005529,0.11982150,0.04636780
-5.21960980,0.46670574,0.01598961,0.00000000,0.00890968,0.15299131,0.12305818,0.04714076
-5.21360680,0.47418792,0.01655249,0.00000000,0.00906958,0.15565575,0.12567653,0.04771674
-5.20760380,0.47965305,0.01702888,0.00000000,0.00921611,0.15792176,0.12765837,0.04809727
-5.20160080,0.48306952,0.01741345,0.00000000,0.00935720,0.15968938,0.12900345,0.04829129
-5.19559780,0.48448030,0.01770332,0.00000000,0.00950226,0.16088797,0.12972999,0.04831505
-5.18959480,0.48400235,0.01789817,0.00000000,0.00966200,0.16147763,0.12987468,0.04819174
-5.18359180,0.48182350,0.01800032,0.00000000,0.00984821,0.16144968,0.12949191,0.04795086
-5.17758879,0.47819703,0.01801465,0.00000000,0.01007348,0.16082610,0.12865252,0.04762747
-5.17158579,0.47343401,0.01794846,0.00000000,0.01035095,0.15965804,0.12744185,0.04726114
-5.16558279,0.46789393,0.01781123,0.00000000,0.01069394,0.15802348,0.12595738,0.04689487
-5.15957979,0.46197380,0.01761430,0.00000000,0.01111565,0.15602416,0.12430591,0.04657382
-5.15357679,0.45609635,0.01737046,0.00000000,0.01162883,0.15378185,0.12260044,0.04634406
-5.14757379,0.45069773,0.01709356,0.00000000,0.01224547,0.15143426,0.12095700,0.04625133
-5.14157079,0.44621526,0.01679799,0.00000000,0.01297649,0.14913063,0.11949130,0.04633976
-5.13556778,0.44307570,0.01649829,0.00000000,0.01383154,0.14702728,0.11831566,0.04665082
-5.12956478,0.44168441,0.01620868,0.00000000,0.01481874,0.14528318,0.11753611,0.04722232
-5.12356178,0.44241593,0.01594266,0.00000000,0.01594455,0.14405584,0.11724979,0.04808764
-5.11755878,0.44560609,0.01571273,0.00000000,0.01721366,0.14349743,0.11754289,0.04927509
