energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.18916235,0.03950091,0.11944432,0.01637073,0.00012688,0.11421911,0.00000000
-5.99399700,0.19319206,0.03787705,0.12522334,0.01710253,0.00012373,0.11616906,0.00000000
-5.98799400,0.20115404,0.03732802,0.13323509,0.01811547,0.00012386,0.12054802,0.00000000
-5.98199100,0.21263739,0.03772182,0.14327168,0.01938495,0.00012687,0.12709984,0.00000000
-5.97598799,0.22723037,0.03893893,0.15511382,0.02088316,0.00013238,0.13557067,0.00000000
-5.96998499,0.24451983,0.04087176,0.16853065,0.02257916,0.00014005,0.14570857,0.00000000
-5.96398199,0.26409125,0.04342422,0.18328027,0.02443908,0.00014955,0.15726347,0.00000000
-5.95797899,0.28552981,0.04651122,0.19911109,0.02642637,0.00016058,0.16998779,0.00000000
-5.95197599,0.30842284,0.05005861,0.21576409,0.02850221,0.00017289,0.18363777,0.00000000
-5.94597299,0.33236364,0.05400319,0.23297630,0.03062597,0.00018622,0.19797572,0.00000000
-5.93996998,0.35695692,0.05829307,0.25048520,0.03275586,0.00020036,0.21277311,0.00000000
-5.93396698,0.38182553,0.06288819,0.26803417,0.03484969,0.00021512,0.22781453,0.00000000
-5.92796398,0.40661837,0.06776105,0.28537866,0.03686574,0.00023036,0.24290226,0.00000000
-5.92196098,0.43101905,0.07289748,0.30229288,0.03876368,0.00024594,0.25786122,0.00000000
-5.91595798,0.45475470,0.07829732,0.31857661,0.04050558,0.00026179,0.27254406,0.00000000
-5.90995498,0.47760452,0.08397501,0.33406177,0.04205685,0.00027787,0.28683596,0.00000000
-5.90395198,0.49940724,0.08995971,0.34861831,0.04338725,0.00029419,0.30065877,0.00000000
-5.89794897,0.52006702,0.09629510,0.36215896,0.04447170,0.00031080,0.31397410,0.00000000
-5.89194597,0.53955714,0.10303844,0.37464251,0.04529100,0.00032780,0.32678497,0.00000000
-5.88594297,0.55792086,0.11025901,0.38607520,0.04583236,0.00034532,0.33913586,0.00000000
-5.87993997,0.57526923,0.11803572,0.39650999,0.04608977,0.00036354,0.35111064,0.00000000
-5.87393697,0.59177559,0.12645392,0.40604366,0.04606402,0.00038267,0.36282857,0.00000000
-5.86793397,0.60766656,0.13560144,0.41481149,0.04576264,0.00040293,0.37443817,0.00000000
-5.86193097,0.62320998,0.14556386,0.42297993,0.04519943,0.00042456,0.38610914,0.00000000
-5.85592796,0.63869997,0.15641925,0.43073724,0.04439390,0.00044780,0.39802259,0.00000000
-5.84992496,0.65443969,0.16823250,0.43828269,0.04337047,0.00047286,0.41035995,0.00000000
-5.84392196,0.67072279,0.18104947,0.44581473,0.04215744,0.00049991,0.42329106,0.00000000
-5.83791896,0.68781420,0.19489135,0.45351867,0.04078600,0.00052908,0.43696210,0.00000000
-5.83191596,0.70593139,0.20974935,0.46155467,0.03928907,0.00056043,0.45148382,0.00000000
-5.82591296,0.72522720,0.22558027,0.47004655,0.03770018,0.00059395,0.46692097,0.00000000
-5.81990995,0.74577510,0.24230309,0.47907217,0.03605242,0.00062953,0.48328336,0.00000000
