energy_ev,total_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-5.59179590,3.65135280,1.25612797,1.90658338,0.03873399,1.04466318,0.73801097,0.00000000
-5.58579290,3.67738129,1.26052269,1.90833628,0.03978474,1.06599788,0.72918332,0.00000000
-5.57978989,3.69658484,1.26187473,1.90704661,0.04084690,1.08522200,0.71969622,0.00000000
-5.57378689,3.70918133,1.26035621,1.90292504,0.04191377,1.10228579,0.70981026,0.00000000
-5.56778389,3.71552338,1.25621579,1.89622825,0.04297849,1.11718752,0.69978803,0.00000000
-5.56178089,3.71609124,1.24977090,1.88725615,0.04403407,1.12997168,0.68988964,0.00000000
-5.55577789,3.71148122,1.24139784,1.87634740,0.04507354,1.14072559,0.68036846,0.00000000
-5.54977489,3.70238975,1.23151995,1.86387341,0.04609004,1.14957440,0.67146679,0.00000000
-5.54377189,3.68959350,1.22059441,1.85023059,0.04707685,1.15667477,0.66341164,0.00000000
-5.53776888,3.67392595,1.20909792,1.83583109,0.04802748,1.16220737,0.65641057,0.00000000
-5.53176588,3.65625151,1.19751193,1.82109231,0.04893570,1.16636878,0.65064765,0.00000000
-5.52576288,3.63743790,1.18630773,1.80642544,0.04979561,1.16936294,0.64627968,0.00000000
-5.51975988,3.61832807,1.17593211,1.79222352,0.05060165,1.17139266,0.64343268,0.00000000
-5.51375688,3.59971268,1.16679391,1.77884954,0.05134867,1.17265160,0.64219877,0.00000000
-5.50775388,3.58230442,1.15925193,1.76662504,0.05203201,1.17331699,0.64263361,0.00000000
-5.50175088,3.56671501,1.15360461,1.75581978,0.05264754,1.17354346,0.64475450,0.00000000
-5.49574787,3.55343591,1.15008162,1.74664285,0.05319174,1.17345816,0.64853923,0.00000000
-5.48974487,3.54282341,1.14883784,1.73923581,0.05366184,1.17315731,0.65392575,0.00000000
-5.48374187,3.53508855,1.14994954,1.73366786,0.05405583,1.17270420,0.66081283,0.00000000
-5.47773887,3.53029213,1.15341300,1.72993354,0.05437259,1.17212867,0.66906172,0.00000000
-5.47173587,3.52834477,1.15914550,1.72795287,0.05461191,1.17142785,0.67849865,0.00000000
-5.46573287,3.52901194,1.16698845,1.72757392,0.05477453,1.17056816,0.68891850,0.00000000
-5.45972986,3.53192341,1.17671267,1.72857771,0.05486217,1.16948807,0.70008917,0.00000000
-5.45372686,3.53658670,1.18802540,1.73068519,0.05487739,1.16810178,0.71175683,0.00000000
-5.44772386,3.54240391,1.20057893,1.73356611,0.05482357,1.16630315,0.72365187,0.00000000
-5.44172086,3.54869113,1.21398046,1.73684924,0.05470475,1.16397009,0.73549523,0.00000000
-5.43571786,3.55469992,1.22780299,1.74013379,0.05452543,1.16096889,0.74700516,0.00000000
-5.42971486,3.55963993,1.24159682,1.74300156,0.05429035,1.15715856,0.75790408,0.00000000
-5.42371186,3.56270225,1.25490140,1.74502933,0.05400429,1.15239499,0.76792533,0.00000000
-5.41770885,3.56308263,1.26725727,1.74580134,0.05367180,1.14653493,0.77681973,0.00000000
-5.41170585,3.56000425,1.27821775,1.74492134,0.05329699,1.13943969,0.78436163,0.00000000
-5.40570285,3.55273925,1.28736009,1.74202389,0.05288327,1.13097867,0.79035434,0.00000000
-5.39969985,3.54062884,1.29429591,1.73678473,0.05243326,1.12103264,0.79463476,0.00000000
-5.39369685,3.52310127,1.29868055,1.72892980,0.05194860,1.10949682,0.79707714,0.00000000
-5.38769385,3.49968746,1.30022128,1.71824280,0.05142994,1.09628384,0.79759572,0.00000000
-5.38169085,3.47003388,1.29868403,1.70457100,0.05087694,1.08132633,0.79614628,0.00000000
-5.37568784,3.43391226,1.29389856,1.68782918,0.05028832,1.06457947,0.79272664,0.00000000
-5.36968484,3.39122595,1.28576201,1.66800161,0.04966203,1.04602305,0.78737584,0.00000000
-5.36368184,3.34201278,1.27424053,1.64514199,0.04899542,1.02566320,0.78017235,0.00000000
-5.35767884,3.28644414,1.25936923,1.61937134,0.04828549,1.00353369,0.77123114,0.00000000
-5.35167584,3.22482040,1.24125028,1.59087395,0.04752912,0.97969647,0.76069985,0.00000000
-5.34567284,3.15756270,1.22004920,1.55989152,0.04672336,0.95424173,0.74875412,0.00000000
-5.33966983,3.08520142,1.19598965,1.52671569,0.04586570,0.92728707,0.73559230,0.00000000
-5.33366683,3.00836154,1.16934661,1.49167922,0.04495431,0.89897593,0.72142969,0.00000000
-5.32766383,2.92774555,1.14043841,1.45514617,0.04398824,0.86947527,0.70649244,0.00000000
-5.32166083,2.84411434,1.10961767,1.41750135,0.04296760,0.83897244,0.69101148,0.00000000
-5.31565783,2.75826685,1.07726155,1.37913966,0.04189369,0.80767146,0.67521647,0.00000000
-5.30965483,2.67101912,1.04376157,1.34045531,0.04076905,0.77578875,0.65933008,0.00000000
-5.30365183,2.58318362,1.00951332,1.30183179,0.03959745,0.74354850,0.64356274,0.00000000
-5.29764882,2.49554935,0.97490638,1.26363242,0.03838388,0.71117783,0.62810791,0.00000000
-5.29164582,2.40886369,0.94031481,1.22619225,0.03713443,0.67890198,0.61313819,0.00000000
-5.28564282,2.32381633,0.90608844,1.18981115,0.03585621,0.64693971,0.59880206,0.00000000
-5.27963982,2.24102590,0.87254521,1.15474854,0.03455710,0.61549904,0.58522155,0.00000000
-5.27363682,2.16102956,0.83996492,1.12121963,0.03324566,0.58477349,0.57249073,0.00000000
-5.26763382,2.08427585,0.80858434,1.08939332,0.03193088,0.55493910,0.56067505,0.00000000
-5.26163082,2.01112073,0.77859399,1.05939171,0.03062201,0.52615199,0.54981141,0.00000000
-5.25562781,1.94182681,0.75013654,1.03129097,0.02932835,0.49854685,0.53990911,0.00000000
-5.24962481,1.87656560,0.72330689,1.00512354,0.02805908,0.47223613,0.53095130,0.00000000
-5.24362181,1.81542233,0.69815378,0.98088149,0.02682308,0.44730996,0.52289715,0.00000000
-5.23761881,1.75840316,0.67468292,0.95852067,0.02562878,0.42383677,0.51568445,0.00000000
-5.23161581,1.70544416,0.65286140,0.93796561,0.02448403,0.40186449,0.50923261,0.00000000
-5.22561281,1.65642174,0.63262320,0.91911489,0.02339600,0.38142220,0.50344598,0.00000000
-5.21960980,1.61116398,0.61387555,0.90184675,0.02237105,0.36252214,0.49821737,0.00000000
-5.21360680,1.56946246,0.59650582,0.88602490,0.02141468,0.34516194,0.49343169,0.00000000
-5.20760380,1.53108417,0.58038880,0.87150415,0.02053145,0.32932702,0.48896965,0.00000000
-5.20160080,1.49578313,0.56539385,0.85813605,0.01972496,0.31499295,0.48471139,0.00000000
-5.19559780,1.46331129,0.55139195,0.84577411,0.01899782,0.30212779,0.48053998,0.00000000
-5.18959480,1.43342868,0.53826209,0.83427877,0.01835160,0.29069422,0.47634480,0.00000000
-5.18359180,1.40591227,0.52589695,0.82352182,0.01778688,0.28065154,0.47202457,0.00000000
-5.17758879,1.38056355,0.51420766,0.81339043,0.01730326,0.27195737,0.46749012,0.00000000
-5.17158579,1.35721471,0.50312746,0.80379042,0.01689935,0.26456907,0.46266671,0.00000000
-5.16558279,1.33573304,0.49261408,0.79464903,0.01657286,0.25844490,0.45749599,0.00000000
-5.15957979,1.31602382,0.48265097,0.78591676,0.01632066,0.25354480,0.45193733,0.00000000
-5.15357679,1.29803139,0.47324717,0.77756859,0.01613880,0.24983086,0.44596873,0.00000000
-5.14757379,1.28173844,0.46443595,0.76960408,0.01602264,0.24726755,0.43958704,0.00000000
-5.14157079,1.26716359,0.45627235,0.76204673,0.01596688,0.24582150,0.43280769,0.00000000
-5.13556778,1.25435729,0.44882962,0.75494222,0.01596573,0.24546106,0.42566366,0.00000000
-5.12956478,1.24339614,0.44219483,0.74835574,0.01601291,0.24615557,0.41820406,0.00000000
-5.12356178,1.23437573,0.43646379,0.74236837,0.01610181,0.24787437,0.41049196,0.00000000
-5.11755878,1.22740237,0.43173551,0.73707252,0.01622556,0.25058553,0.40260184,0.00000000
-5.11155578,1.22258388,0.42810640,0.73256678,0.01637710,0.25425453,0.39461668,0.00000000
-5.10555278,1.22001979,0.42566453,0.72895004,0.01654928,0.25884277,0.38662461,0.00000000
-5.09954977,1.21979138,0.42448414,0.72631543,0.01673494,0.26430603,0.37871553,0.00000000
-5.09354677,1.22195209,0.42462058,0.72474404,0.01692700,0.27059309,0.37097760,0.00000000
-5.08754377,1.22651852,0.42610607,0.72429903,0.01711847,0.27764442,0.36349396,0.00000000
-5.08154077,1.23346278,0.42894625,0.72502008,0.01730262,0.28539118,0.35633958,0.00000000
-5.07553777,1.24270647,0.43311789,0.72691887,0.01747297,0.29375449,0.34957865,0.00000000
-5.06953477,1.25411678,0.43856769,0.72997555,0.01762343,0.30264529,0.34326244,0.00000000
-5.06353177,1.26750491,0.44521242,0.73413661,0.01774832,0.31196450,0.33742779,0.00000000
-5.05752876,1.28262723,0.45294019,0.73931440,0.01784256,0.32160386,0.33209641,0.00000000
-5.05152576,1.29918920,0.46161304,0.74538817,0.01790167,0.33144733,0.32727482,0.00000000
-5.04552276,1.31685189,0.47107059,0.75220699,0.01792195,0.34137297,0.32295511,0.00000000
-5.03951976,1.33524121,0.48113468,0.75959420,0.01790055,0.35125540,0.31911646,0.00000000
-5.03351676,1.35395927,0.49161478,0.76735346,0.01783561,0.36096869,0.31572722,0.00000000
-5.02751376,1.37259760,0.50231391,0.77527594,0.01772636,0.37038949,0.31274756,0.00000000
-5.02151076,1.39075149,0.51303492,0.78314859,0.01757320,0.37940049,0.31013257,0.00000000
-5.01550775,1.40803507,0.52358679,0.79076284,0.01737783,0.38789384,0.30783550,0.00000000
-5.00950475,1.42409610,0.53379063,0.79792353,0.01714324,0.39577443,0.30581111,0.00000000
-5.00350175,1.43863002,0.54348532,0.80445746,0.01687382,0.40296295,0.30401894,0.00000000
-4.99749875,1.45139242,0.55253231,0.81022124,0.01657529,0.40939851,0.30242625,0.00000000
-4.99149575,1.46220938,0.56081969,0.81510787,0.01625469,0.41504064,0.30101048,0.00000000
-4.98549275,1.47098508,0.56826506,0.81905199,0.01592024,0.41987067,0.29976128,0.00000000
-4.97948974,1.47770632,0.57481741,0.82203313,0.01558128,0.42389230,0.29868168,0.00000000
-4.97348674,1.48244369,0.58045774,0.82407712,0.01524801,0.42713139,0.29778869,0.00000000
-4.96748374,1.48534927,0.58519851,0.82525537,0.01493129,0.42963501,0.29711301,0.00000000
-4.96148074,1.48665104,0.58908205,0.82568213,0.01464239,0.43146959,0.29669800,0.00000000
-4.95547774,1.48664411,0.59217786,0.82550984,0.01439267,0.43271855,0.29659794,0.00000000
-4.94947474,1.48567924,0.59457907,0.82492277,0.01419327,0.43347923,0.29687560,0.00000000
-4.94347174,1.48414918,0.59639815,0.82412930,0.01405476,0.43385943,0.29759928,0.00000000
-4.93746873,1.48247344,0.59776204,0.82335325,0.01398681,0.43397368,0.29883936,0.00000000
-4.93146573,1.48108210,0.59880702,0.82282453,0.01399787,0.43393936,0.30066470,0.00000000
-4.92546273,1.48039956,0.59967329,0.82276981,0.01409488,0.43387291,0.30313875,0.00000000
-4.91945973,1.48082871,0.60049972,0.82340337,0.01428295,0.43388619,0.30631583,0.00000000
-4.91345673,1.48273635,0.60141870,0.82491878,0.01456517,0.43408322,0.31023755,0.00000000
-4.90745373,1.48644038,0.60255153,0.82748165,0.01494245,0.43455745,0.31492961,0.00000000
-4.90145073,1.49219924,0.60400421,0.83122367,0.01541339,0.43538952,0.32039909,0.00000000
-4.89544772,1.50020400,0.60586408,0.83623845,0.01597422,0.43664567,0.32663236,0.00000000
-4.88944472,1.51057330,0.60819709,0.84257886,0.01661891,0.43837685,0.33359372,0.00000000
-4.88344172,1.52335112,0.61104599,0.85025629,0.01733920,0.44061845,0.34122484,0.00000000
-4.87743872,1.53850752,0.61442943,0.85924147,0.01812483,0.44339060,0.34944494,0.00000000
-4.87143572,1.55594193,0.61834184,0.86946686,0.01896377,0.44669906,0.35815190,0.00000000
-4.86543272,1.57548873,0.62275420,0.88083038,0.01984253,0.45053650,0.36722406,0.00000000
-4.85942971,1.59692475,0.62761558,0.89320004,0.02074654,0.45488412,0.37652281,0.00000000
-4.85342671,1.61997816,0.63285523,0.90641936,0.02166053,0.45971338,0.38589575,0.00000000
-4.84742371,1.64433815,0.63838534,0.92031310,0.02256895,0.46498784,0.39518040,0.00000000
-4.84142071,1.66966492,0.64410399,0.93469298,0.02345642,0.47066489,0.40420821,0.00000000
-4.83541771,1.69559951,0.64989849,0.94936318,0.02430814,0.47669722,0.41280887,0.00000000
-4.82941471,1.72177288,0.65564861,0.96412518,0.02511027,0.48303406,0.42081452,0.00000000
-4.82341171,1.74781393,0.66122985,0.97878192,0.02585033,0.48962197,0.42806401,0.00000000
-4.81740870,1.77335619,0.66651638,0.99314094,0.02651747,0.49640524,0.43440677,0.00000000
-4.81140570,1.79804295,0.67138373,1.00701663,0.02710272,0.50332589,0.43970635,0.00000000
-4.80540270,1.82153085,0.67571106,1.02023140,0.02759914,0.51032325,0.44384344,0.00000000
-4.79939970,1.84349184,0.67938290,1.03261601,0.02800197,0.51733324,0.44671824,0.00000000
-4.79339670,1.86361391,0.68229062,1.04400907,0.02830855,0.52428741,0.44825227,0.00000000
-4.78739370,1.88160066,0.68433330,1.05425599,0.02851833,0.53111190,0.44838943,0.00000000
-4.78139070,1.89717010,0.68541833,1.06320755,0.02863268,0.53772640,0.44709639,0.00000000
-4.77538769,1.91005310,0.68546176,1.07071842,0.02865476,0.54404334,0.44436241,0.00000000
-4.76938469,1.91999183,0.68438837,1.07664569,0.02858922,0.54996737,0.44019841,0.00000000
-4.76338169,1.92673864,0.68213172,1.08084801,0.02844194,0.55539530,0.43463569,0.00000000
-4.75737869,1.93005565,0.67863418,1.08318508,0.02821976,0.56021661,0.42772413,0.00000000
-4.75137569,1.92971541,0.67384706,1.08351812,0.02793020,0.56431457,0.41953004,0.00000000
-4.74537269,1.92550277,0.66773087,1.08171112,0.02758112,0.56756808,0.41013388,0.00000000
-4.73936968,1.91721809,0.66025581,1.07763297,0.02718055,0.56985411,0.39962771,0.00000000
-4.73336668,1.90468171,0.65140240,1.07116060,0.02673642,0.57105083,0.38811277,0.00000000
-4.72736368,1.88773970,0.64116234,1.06218285,0.02625641,0.57104119,0.37569699,0.00000000
-4.72136068,1.86627042,0.62953951,1.05060497,0.02574783,0.56971690,0.36249269,0.00000000
-4.71535768,1.84019177,0.61655101,1.03635362,0.02521754,0.56698268,0.34861445,0.00000000
-4.70935468,1.80946858,0.60222816,1.01938193,0.02467194,0.56276036,0.33417722,0.00000000
-4.70335168,1.77411974,0.58661751,0.99967448,0.02411692,0.55699297,0.31929469,0.00000000
-4.69734867,1.73422454,0.56978147,0.97725180,0.02355795,0.54964823,0.30407791,0.00000000
-4.69134567,1.68992776,0.55179879,0.95217414,0.02300010,0.54072151,0.28863420,0.00000000
-4.68534267,1.64144310,0.53276451,0.92454414,0.02244812,0.53023797,0.27306628,0.00000000
-4.67933967,1.58905454,0.51278962,0.89450833,0.02190644,0.51825369,0.25747165,0.00000000
-4.67333667,1.53311543,0.49200006,0.86225707,0.02137929,0.50485581,0.24194213,0.00000000
-4.66733367,1.47404510,0.47053537,0.82802305,0.02087061,0.49016157,0.22656360,0.00000000
-4.66133067,1.41232304,0.44854673,0.79207820,0.02038414,0.47431620,0.21141580,0.00000000
-4.65532766,1.34848084,0.42619469,0.75472912,0.01992332,0.45748996,0.19657226,0.00000000
-4.64932466,1.28309204,0.40364638,0.71631121,0.01949126,0.43987415,0.18210026,0.00000000
-4.64332166,1.21676045,0.38107263,0.67718168,0.01909067,0.42167659,0.16806082,0.00000000
-4.63731866,1.15010734,0.35864481,0.63771182,0.01872377,0.40311651,0.15450869,0.00000000
-4.63131566,1.08375809,0.33653171,0.59827878,0.01839220,0.38441938,0.14149241,0.00000000
-4.62531266,1.01832899,0.31489650,0.55925732,0.01809698,0.36581165,0.12905427,0.00000000
-4.61930965,0.95441471,0.29389397,0.52101180,0.01783846,0.34751585,0.11723037,0.00000000
-4.61330665,0.89257703,0.27366802,0.48388886,0.01761632,0.32974622,0.10605063,0.00000000
-4.60730365,0.83333530,0.25434976,0.44821097,0.01742961,0.31270505,0.09553891,0.00000000
-4.60130065,0.77715911,0.23605592,0.41427120,0.01727686,0.29657981,0.08571309,0.00000000
-4.59529765,0.72446323,0.21888799,0.38232936,0.01715621,0.28154125,0.07658534,0.00000000
-4.58929465,0.67560502,0.20293184,0.35260956,0.01706561,0.26774246,0.06816234,0.00000000
-4.58329165,0.63088433,0.18825785,0.32529917,0.01700307,0.25531878,0.06044572,0.00000000
-4.57728864,0.59054548,0.17492167,0.30054918,0.01696692,0.24438850,0.05343247,0.00000000
-4.57128564,0.55478122,0.16296520,0.27847578,0.01695612,0.23505420,0.04711558,0.00000000
-4.56528264,0.52373807,0.15241807,0.25916285,0.01697048,0.22740453,0.04148465,0.00000000
-4.55927964,0.49752268,0.14329915,0.24266527,0.01701103,0.22151623,0.03652669,0.00000000
