energy_ev,total_up,As_p_up,As_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,1.62915523,0.71793931,0.00000000,1.18247225,0.81834347,0.00323884,0.41472915
-5.99399700,1.68177941,0.75871867,0.00000000,1.25615487,0.85055929,0.00328211,0.41360573
-5.98799400,1.73671859,0.80096354,0.00000000,1.33270329,0.88385722,0.00335850,0.41284193
-5.98199100,1.79401042,0.84447864,0.00000000,1.41189485,0.91819275,0.00346512,0.41261322
-5.97598799,1.85372218,0.88906848,0.00000000,1.49354504,0.95352242,0.00359947,0.41310895
-5.96998499,1.91593973,0.93453954,0.00000000,1.57751067,0.98980095,0.00375937,0.41452351
-5.96398199,1.98075569,0.98070231,0.00000000,1.66369101,1.02697832,0.00394290,0.41704714
-5.95797899,2.04825708,1.02737287,0.00000000,1.75202668,1.06499702,0.00414824,0.42085711
-5.95197599,2.11851312,1.07437397,0.00000000,1.84249591,1.10378948,0.00437364,0.42610944
-5.94597299,2.19156319,1.12153544,0.00000000,1.93510795,1.14327577,0.00461732,0.43293159
-5.93996998,2.26740570,1.16869389,0.00000000,2.02989366,1.18336162,0.00487738,0.44141650
-5.93396698,2.34598780,1.21569153,0.00000000,2.12689334,1.22393665,0.00515177,0.45161809
-5.92796398,2.42719644,1.26237423,0.00000000,2.22614212,1.26487299,0.00543824,0.46354833
-5.92196098,2.51085079,1.30858881,0.00000000,2.32765342,1.30602408,0.00573431,0.47717611
-5.91595798,2.59669636,1.35417976,0.00000000,2.43140120,1.34722388,0.00603730,0.49242764
-5.90995498,2.68440089,1.39898550,0.00000000,2.53730184,1.38828629,0.00634431,0.50918841
-5.90395198,2.77355216,1.44283461,0.00000000,2.64519653,1.42900500,0.00665229,0.52730650
-5.89794897,2.86365788,1.48554219,0.00000000,2.75483530,1.46915371,0.00695808,0.54659695
-5.89194597,2.95414773,1.52690681,0.00000000,2.86586368,1.50848690,0.00725845,0.56684699
-5.88594297,3.04437769,1.56670832,0.00000000,2.97781294,1.54674121,0.00755019,0.58782169
-5.87993997,3.13363664,1.60470695,0.00000000,3.09009471,1.58363750,0.00783016,0.60927000
-5.87393697,3.22115531,1.64064383,0.00000000,3.20200086,1.61888376,0.00809538,0.63093065
-5.86793397,3.30611753,1.67424334,0.00000000,3.31270873,1.65217888,0.00834307,0.65253778
-5.86193097,3.38767364,1.70521719,0.00000000,3.42129222,1.68321724,0.00857073,0.67382614
-5.85592796,3.46495591,1.73327039,0.00000000,3.52673846,1.71169435,0.00877615,0.69453576
-5.84992496,3.53709567,1.75810881,0.00000000,3.62796964,1.73731311,0.00895749,0.71441585
-5.84392196,3.60324189,1.77944835,0.00000000,3.72386950,1.75979086,0.00911328,0.73322811
-5.83791896,3.66258069,1.79702508,0.00000000,3.81331347,1.77886688,0.00924246,0.75074943
-5.83191596,3.71435542,1.81060606,0.00000000,3.89520147,1.79431010,0.00934435,0.76677402
-5.82591296,3.75788671,1.82000041,0.00000000,3.96849211,1.80592680,0.00941870,0.78111519
-5.81990995,3.79259196,1.82506988,0.00000000,4.03223716,1.81356800,0.00946567,0.79360679
-5.81390695,3.81800381,1.82573860,0.00000000,4.08561502,1.81713617,0.00948583,0.80410466
-5.80790395,3.83378696,1.82200136,0.00000000,4.12796191,1.81659111,0.00948018,0.81248802
-5.80190095,3.83975293,1.81393012,0.00000000,4.15879990,1.81195459,0.00945014,0.81866103
-5.79589795,3.83587224,1.80167826,0.00000000,4.17786079,1.80331374,0.00939758,0.82255462
-5.78989495,3.82228379,1.78548248,0.00000000,4.18510512,1.79082289,0.00932482,0.82412843
-5.78389195,3.79930101,1.76566221,0.00000000,4.18073580,1.77470388,0.00923466,0.82337313
-5.77788894,3.76741461,1.74261642,0.00000000,4.16520608,1.75524483,0.00913041,0.82031270
-5.77188594,3.72729180,1.71681816,0.00000000,4.13922155,1.73279733,0.00901588,0.81500677
