energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.17173874,0.09625940,0.00000000,0.00573271,0.47879753,0.43884018,0.36989820
-5.99399700,1.23085484,0.10151399,0.00000000,0.00568779,0.50710531,0.47707848,0.38418384
-5.98799400,1.30002129,0.10799432,0.00000000,0.00569962,0.53949273,0.52029939,0.40162454
-5.98199100,1.37901204,0.11569910,0.00000000,0.00576535,0.57587974,0.56832022,0.42216754
-5.97598799,1.46742180,0.12461795,0.00000000,0.00588224,0.61610282,0.62087439,0.44570675
-5.96998499,1.56466111,0.13473057,0.00000000,0.00604774,0.65991174,0.67760764,0.47208238
-5.96398199,1.66995734,0.14600612,0.00000000,0.00625945,0.70696893,0.73807667,0.50108226
-5.95797899,1.78236129,0.15840279,0.00000000,0.00651521,0.75685153,0.80175039,0.53244466
-5.95197599,1.90075958,0.17186761,0.00000000,0.00681307,0.80905625,0.86801385,0.56586265
-5.94597299,2.02389228,0.18633639,0.00000000,0.00715134,0.86300690,0.93617506,0.60098965
-5.93996998,2.15037520,0.20173375,0.00000000,0.00752860,0.91806443,1.00547447,0.63744601
-5.93396698,2.27872612,0.21797335,0.00000000,0.00794371,0.97353916,1.07509709,0.67482646
-5.92796398,2.40739412,0.23495805,0.00000000,0.00839576,1.02870491,1.14418681,0.71270796
-5.92196098,2.53479094,0.25258026,0.00000000,0.00888405,1.08281461,1.21186284,0.75065790
-5.91595798,2.65932349,0.27072229,0.00000000,0.00940805,1.13511679,1.27723746,0.78824224
-5.90995498,2.77942644,0.28925678,0.00000000,0.00996733,1.18487257,1.33943491,0.82503341
-5.90395198,2.89359400,0.30804728,0.00000000,0.01056141,1.23137266,1.39761066,0.86061778
-5.89794897,3.00040998,0.32694895,0.00000000,0.01118975,1.27395363,1.45097061,0.89460260
-5.89194597,3.09857541,0.34580945,0.00000000,0.01185156,1.31201328,1.49878944,0.92662211
-5.88594297,3.18693315,0.36447012,0.00000000,0.01254569,1.34502442,1.54042781,0.95634305
-5.87993997,3.26448895,0.38276746,0.00000000,0.01327059,1.37254675,1.57534760,0.98346924
-5.87393697,3.33042855,0.40053486,0.00000000,0.01402413,1.39423664,1.60312491,1.00774540
-5.86793397,3.38413079,0.41760479,0.00000000,0.01480356,1.40985433,1.62346024,1.02896024
-5.86193097,3.42517645,0.43381130,0.00000000,0.01560547,1.41926867,1.63618567,1.04694876
-5.85592796,3.45335290,0.44899281,0.00000000,0.01642573,1.42245906,1.64126863,1.06159379
-5.84992496,3.46865454,0.46299516,0.00000000,0.01725953,1.41951482,1.63881233,1.07282694
-5.84392196,3.47127928,0.47567488,0.00000000,0.01810141,1.41063189,1.62905262,1.08062882
-5.83791896,3.46162111,0.48690243,0.00000000,0.01894536,1.39610712,1.61235152,1.08502855
-5.83191596,3.44025908,0.49656536,0.00000000,0.01978491,1.37633034,1.58918750,1.08610265
-5.82591296,3.40794283,0.50457130,0.00000000,0.02061325,1.35177439,1.56014292,1.08397311
-5.81990995,3.36557504,0.51085042,0.00000000,0.02142344,1.32298355,1.52588891,1.07880483
-5.81390695,3.31419099,0.51535741,0.00000000,0.02220854,1.29056054,1.48716819,1.07080210
-5.80790395,3.25493580,0.51807281,0.00000000,0.02296180,1.25515263,1.44477648,1.06020444
-5.80190095,3.18903955,0.51900346,0.00000000,0.02367687,1.21743700,1.39954284,1.04728156
-5.79589795,3.11779083,0.51818217,0.00000000,0.02434789,1.17810596,1.35230982,1.03232755
-5.78989495,3.04250935,0.51566656,0.00000000,0.02496973,1.13785215,1.30391386,1.01565449
-5.78389195,2.96451802,0.51153699,0.00000000,0.02553807,1.09735425,1.25516652,0.99758542
-5.77788894,2.88511532,0.50589384,0.00000000,0.02604953,1.05726343,1.20683721,0.97844704
-5.77188594,2.80554846,0.49885407,0.00000000,0.02650172,1.01819076,1.15963782,0.95856210
-5.76588294,2.72698817,0.49054740,0.00000000,0.02689330,0.98069605,1.11420956,0.93824201
-5.75987994,2.65050569,0.48111218,0.00000000,0.02722399,0.94527804,1.07111250,0.91777968
-5.75387694,2.57705261,0.47069124,0.00000000,0.02749452,0.91236643,1.03081783,0.89744289
-5.74787394,2.50744412,0.45942776,0.00000000,0.02770659,0.88231557,0.99370297,0.87746861
-5.74187094,2.44234619,0.44746157,0.00000000,0.02786280,0.85540010,0.96004951,0.85805819
-5.73586793,2.38226684,0.43492593,0.00000000,0.02796650,0.83181258,0.93004383,0.83937385
-5.72986493,2.32755194,0.42194483,0.00000000,0.02802166,0.81166292,0.90378009,0.82153645
-5.72386193,2.27838539,0.40863113,0.00000000,0.02803273,0.79497976,0.88126549,0.80462472
