energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.16720213,0.75845540,0.95860860,0.00544377,0.26395690,0.02886001,0.77706518
-5.99399700,2.16234539,0.75648522,0.95761211,0.00558577,0.26585470,0.02904009,0.77662177
-5.98799400,2.15560866,0.75290389,0.95604388,0.00574479,0.26681998,0.02910149,0.77561623
-5.98199100,2.14701107,0.74771725,0.95387574,0.00591994,0.26681964,0.02904425,0.77407968
-5.97598799,2.13664912,0.74097490,0.95111701,0.00611024,0.26584192,0.02887081,0.77206238
-5.96998499,2.12469835,0.73277001,0.94781636,0.00631465,0.26389631,0.02858593,0.76963368
-5.96398199,2.11141302,0.72323799,0.94406241,0.00653217,0.26101302,0.02819662,0.76688151
-5.95797899,2.09712411,0.71255427,0.93998333,0.00676190,0.25724187,0.02771190,0.76391173
-5.95197599,2.08223568,0.70093124,0.93574544,0.00700314,0.25265099,0.02714260,0.76084729
-5.94597299,2.06721996,0.68861445,0.93155082,0.00725539,0.24732504,0.02650108,0.75782726
-5.93996998,2.05261098,0.67587828,0.92763407,0.00751844,0.24136327,0.02580092,0.75500570
-5.93396698,2.03899696,0.66302107,0.92425825,0.00779239,0.23487731,0.02505662,0.75255043
-5.92796398,2.02701121,0.65035978,0.92170986,0.00807761,0.22798880,0.02428326,0.75064133
-5.92196098,2.01732148,0.63822427,0.92029306,0.00837476,0.22082686,0.02349617,0.74946844
-5.91595798,2.01061755,0.62695111,0.92032297,0.00868471,0.21352554,0.02271061,0.74922931
-5.90995498,2.00759694,0.61687697,0.92211802,0.00900848,0.20622112,0.02194146,0.75012585
-5.90395198,2.00894861,0.60833167,0.92599153,0.00934711,0.19904944,0.02120297,0.75236026
-5.89794897,2.01533479,0.60163084,0.93224238,0.00970155,0.19214319,0.02050842,0.75613026
-5.89194597,2.02737108,0.59706822,0.94114510,0.01007250,0.18562929,0.01986996,0.76162345
-5.88594297,2.04560519,0.59490797,0.95293946,0.01046027,0.17962628,0.01929838,0.76901104
-5.87993997,2.07049502,0.59537688,0.96781991,0.01086465,0.17424185,0.01880292,0.77844106
-5.87393697,2.10238685,0.59865686,0.98592528,0.01128471,0.16957064,0.01839113,0.79003139
-5.86793397,2.14149457,0.60487807,1.00732915,0.01171871,0.16569210,0.01806881,0.80386284
-5.86193097,2.18788114,0.61411282,1.03203134,0.01216400,0.16266882,0.01783991,0.81997287
-5.85592796,2.24144334,0.62637076,1.05995112,0.01261698,0.16054512,0.01770651,0.83835021
-5.84992496,2.30190113,0.64159561,1.09092266,0.01307303,0.15934613,0.01766892,0.85893086
-5.84392196,2.36879239,0.65966368,1.12469302,0.01352663,0.15907727,0.01772569,0.88159588
-5.83791896,2.44147411,0.68038457,1.16092318,0.01397136,0.15972438,0.01787379,0.90617118
-5.83191596,2.51913037,0.70350404,1.19919234,0.01440011,0.16125428,0.01810880,0.93242967
-5.82591296,2.60078755,0.72870925,1.23900540,0.01480525,0.16361601,0.01842513,0.96009562
-5.81990995,2.68533624,0.75563614,1.27980381,0.01517883,0.16674252,0.01881630,0.98885137
-5.81390695,2.77155963,0.78387895,1.32097918,0.01551289,0.17055292,0.01927529,1.01834601
-5.80790395,2.85816706,0.81300139,1.36188951,0.01579969,0.17495520,0.01979482,1.04820582
-5.80190095,2.94383156,0.84254914,1.40187720,0.01603202,0.17984921,0.02036772,1.07804577
-5.79589795,3.02722972,0.87206317,1.44028820,0.01620349,0.18512997,0.02098728,1.10748181
-5.78989495,3.10708200,0.90109319,1.47649145,0.01630874,0.19069105,0.02164752,1.13614296
-5.78389195,3.18219165,0.92921075,1.50989779,0.01634369,0.19642788,0.02234346,1.16368291
-5.77788894,3.25148030,0.95602139,1.53997735,0.01630568,0.20224093,0.02307134,1.18979018
-5.77188594,3.31401854,0.98117513,1.56627476,0.01619362,0.20803857,0.02382870,1.21419656
-5.76588294,3.36905008,1.00437508,1.58842140,0.01600801,0.21373946,0.02461447,1.23668326
-5.75987994,3.41600826,1.02538352,1.60614423,0.01575094,0.21927438,0.02542882,1.25708440
-5.75387694,3.45452441,1.04402550,1.61927081,0.01542602,0.22458749,0.02627309,1.27528793
-5.74787394,3.48442772,1.06018965,1.62773027,0.01503824,0.22963683,0.02714947,1.29123376
-5.74187094,3.50573691,1.07382638,1.63155059,0.01459382,0.23439418,0.02806068,1.30490950
-5.73586793,3.51864450,1.08494364,1.63085203,0.01409996,0.23884427,0.02900954,1.31634395
-5.72986493,3.52349465,1.09360053,1.62583759,0.01356461,0.24298328,0.02999854,1.32559908
-5.72386193,3.52075606,1.09989928,1.61678075,0.01299623,0.24681698,0.03102933,1.33276077
-5.71785893,3.51099161,1.10397597,1.60401144,0.01240349,0.25035831,0.03210222,1.33792920
-5.71185593,3.49482642,1.10599064,1.58790086,0.01179505,0.25362479,0.03321576,1.34120925
-5.70585293,3.47291605,1.10611724,1.56884601,0.01117933,0.25663581,0.03436631,1.34270176
-5.69984992,3.44591666,1.10453404,1.54725468,0.01056430,0.25940988,0.03554775,1.34249596
-5.69384692,3.41445832,1.10141477,1.52353156,0.00995731,0.26196220,0.03675128,1.34066361
-5.68784392,3.37912284,1.09692110,1.49806604,0.00936498,0.26430237,0.03796532,1.33725512
-5.68184092,3.34042687,1.09119654,1.47122216,0.00879311,0.26643270,0.03917559,1.33229768
-5.67583792,3.29881074,1.08436205,1.44333101,0.00824664,0.26834695,0.04036529,1.32579570
-5.66983492,3.25463321,1.07651336,1.41468564,0.00772962,0.27002964,0.04151548,1.31773303
-5.66383192,3.20817177,1.06772007,1.38553860,0.00724529,0.27145606,0.04260551,1.30807711
-5.65782891,3.15962816,1.05802631,1.35610173,0.00679610,0.27259275,0.04361362,1.29678444
-5.65182591,3.10913813,1.04745287,1.32654816,0.00638381,0.27339869,0.04451761,1.28380701
-5.64582291,3.05678460,1.03600057,1.29701599,0.00600957,0.27382694,0.04529558,1.26909935
-5.63981991,3.00261303,1.02365445,1.26761326,0.00567404,0.27382664,0.04592665,1.25262561
-5.63381691,2.94664805,1.01038881,1.23842377,0.00537748,0.27334549,0.04639176,1.23436626
-5.62781391,2.88890999,0.99617245,1.20951323,0.00511985,0.27233228,0.04667437,1.21432404
-5.62181091,2.82943061,0.98097412,1.18093535,0.00490092,0.27073958,0.04676109,1.19252885
-5.61580790,2.76826690,0.96476782,1.15273744,0.00472031,0.26852638,0.04664223,1.16904123
-5.60980490,2.70551233,0.94753763,1.12496522,0.00457757,0.26566051,0.04631226,1.14395434
-5.60380190,2.64130502,0.92928204,1.09766650,0.00447223,0.26212088,0.04577002,1.11739433
-5.59779890,2.57583254,0.91001748,1.07089381,0.00440377,0.25789918,0.04501892,1.08951916
-5.59179590,2.50933312,0.88978095,1.04470554,0.00437166,0.25300128,0.04406686,1.06051585
-5.58579290,2.44209346,0.86863166,1.01916601,0.00437531,0.24744799,0.04292604,1.03059638
-5.57978989,2.37444322,0.84665153,0.99434423,0.00441404,0.24127527,0.04161267,0.99999244
-5.57378689,2.30674680,0.82394468,0.97031180,0.00448702,0.23453395,0.04014643,0.96894930
-5.56778389,2.23939271,0.80063566,0.94713993,0.00459318,0.22728878,0.03854997,0.93771895
-5.56178089,2.17278129,0.77686680,0.92489608,0.00473118,0.21961697,0.03684818,0.90655306
-5.55577789,2.10731138,0.75279445,0.90364028,0.00489929,0.21160632,0.03506750,0.87569575
-5.54977489,2.04336676,0.72858448,0.88342165,0.00509535,0.20335293,0.03323516,0.84537670
-5.54377189,1.98130286,0.70440715,0.86427519,0.00531671,0.19495854,0.03137843,0.81580481
-5.53776888,1.92143466,0.68043155,0.84621923,0.00556015,0.18652779,0.02952387,0.78716259
