energy_ev,total_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,4.80969575,2.42608522,2.80995399,0.02369528,3.28502364,0.19593400,0.00028296
-5.99399700,5.03194615,2.48627988,2.94178039,0.02572809,3.43063340,0.20452419,0.00030755
-5.98799400,5.26440165,2.54574080,3.08042919,0.02784275,3.58345913,0.21318927,0.00033370
-5.98199100,5.50372944,2.60355221,3.22336477,0.03002325,3.74103711,0.22190417,0.00036120
-5.97598799,5.74619243,2.65872603,3.36781772,0.03224972,3.90063474,0.23063058,0.00038982
-5.96998499,5.98772801,2.71022119,3.51085696,0.03449852,4.05931433,0.23931530,0.00041923
-5.96398199,6.22404012,2.75696624,3.64946805,0.03674252,4.21400498,0.24788946,0.00044910
-5.95797899,6.45070310,2.79788507,3.78063543,0.03895159,4.36158109,0.25626859,0.00047902
-5.95197599,6.66327510,2.83192527,3.90142644,0.04109321,4.49894535,0.26435374,0.00050858
-5.94597299,6.85741820,2.85808874,4.00907437,0.04313335,4.62311426,0.27203374,0.00053732
-5.93996998,7.02902200,2.87546345,4.10105806,0.04503741,4.73130350,0.27918842,0.00056477
-5.93396698,7.17432659,2.88325562,4.17517554,0.04677131,4.82101055,0.28569286,0.00059049
-5.92796398,7.29004115,2.88082085,4.22960917,0.04830268,4.89009184,0.29142237,0.00061402
-5.92196098,7.37345345,2.86769313,4.26298011,0.04960199,4.93683163,0.29625814,0.00063494
-5.91595798,7.42252617,2.84361018,4.27439023,0.05064373,4.96000006,0.30009308,0.00065290
-5.90995498,7.43597594,2.80853396,4.26344988,0.05140748,4.95889791,0.30283779,0.00066757
-5.90395198,7.41333130,2.76266504,4.23029047,0.05187877,4.93338625,0.30442605,0.00067871
-5.89794897,7.35496680,2.70644991,4.17556133,0.05204988,4.88389932,0.30481985,0.00068617
-5.89194597,7.26211087,2.64058049,4.10041087,0.05192028,4.81143980,0.30401332,0.00068988
-5.88594297,7.13682642,2.56598542,4.00645256,0.05149691,4.71755628,0.30203559,0.00068987
-5.87993997,6.98196394,2.48381315,3.89571687,0.05079410,4.60430316,0.29895219,0.00068625
