energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.34856924,0.01001336,0.09969537,0.00426524,0.00000000,0.58036316,0.00000000,0.59288325,0.55474958
-5.99399700,1.41341446,0.01049544,0.10816499,0.00452109,0.00000000,0.60534178,0.00000000,0.63771886,0.57989940
-5.98799400,1.48092939,0.01102119,0.11720133,0.00481641,0.00000000,0.63302956,0.00000000,0.68564390,0.60439258
-5.98199100,1.55024675,0.01158887,0.12676592,0.00514871,0.00000000,0.66304006,0.00000000,0.73626423,0.62786175
-5.97598799,1.62047621,0.01219680,0.13681199,0.00551485,0.00000000,0.69494972,0.00000000,0.78912375,0.64996215
-5.96998499,1.69072539,0.01284335,0.14728462,0.00591113,0.00000000,0.72830742,0.00000000,0.84371079,0.67038134
-5.96398199,1.76011884,0.01352692,0.15812093,0.00633331,0.00000000,0.76264362,0.00000000,0.89946567,0.68884741
-5.95797899,1.82781448,0.01424586,0.16925037,0.00677667,0.00000000,0.79747906,0.00000000,0.95578933,0.70513520
-5.95197599,1.89301711,0.01499834,0.18059505,0.00723610,0.00000000,0.83233277,0.00000000,1.01205282,0.71907048
-5.94597299,1.95498887,0.01578220,0.19207010,0.00770618,0.00000000,0.86672938,0.00000000,1.06760765,0.73053192
-5.93996998,2.01305657,0.01659474,0.20358424,0.00818120,0.00000000,0.90020564,0.00000000,1.12179664,0.73945085
-5.93396698,2.06661605,0.01743256,0.21504035,0.00865532,0.00000000,0.93231620,0.00000000,1.17396512,0.74580894
-5.92796398,2.11513383,0.01829133,0.22633618,0.00912262,0.00000000,0.96263847,0.00000000,1.22347223,0.74963404
-5.92196098,2.15814645,0.01916560,0.23736524,0.00957718,0.00000000,0.99077696,0.00000000,1.26970202,0.75099447
-5.91595798,2.19525793,0.02004871,0.24801782,0.01001317,0.00000000,1.01636669,0.00000000,1.31207396,0.74999207
-5.90995498,2.22613595,0.02093264,0.25818210,0.01042495,0.00000000,1.03907617,0.00000000,1.35005283,0.74675456
-5.90395198,2.25050719,0.02180800,0.26774550,0.01080715,0.00000000,1.05860966,0.00000000,1.38315749,0.74142754
-5.89794897,2.26815249,0.02266408,0.27659618,0.01115474,0.00000000,1.07470907,0.00000000,1.41096850,0.73416658
-5.89194597,2.27890230,0.02348894,0.28462459,0.01146309,0.00000000,1.08715540,0.00000000,1.43313434,0.72512989
-5.88594297,2.28263283,0.02426966,0.29172533,0.01172806,0.00000000,1.09576988,0.00000000,1.44937626,0.71447179
-5.87993997,2.27926330,0.02499256,0.29779893,0.01194605,0.00000000,1.10041488,0.00000000,1.45949154,0.70233744
-5.87393697,2.26875457,0.02564361,0.30275389,0.01211403,0.00000000,1.10099461,0.00000000,1.46335543,0.68885888
-5.86793397,2.25110915,0.02620880,0.30650867,0.01222961,0.00000000,1.09745577,0.00000000,1.46092165,0.67415263
-5.86193097,2.22637281,0.02667458,0.30899371,0.01229108,0.00000000,1.08978804,0.00000000,1.45222165,0.65831882
-5.85592796,2.19463741,0.02702837,0.31015338,0.01229741,0.00000000,1.07802451,0.00000000,1.43736287,0.64144179
-5.84992496,2.15604493,0.02725899,0.30994787,0.01224831,0.00000000,1.06224201,0.00000000,1.41652598,0.62359202
-5.84392196,2.11079219,0.02735713,0.30835478,0.01214421,0.00000000,1.04256133,0.00000000,1.38996141,0.60482919
-5.83791896,2.05913594,0.02731569,0.30537062,0.01198632,0.00000000,1.01914716,0.00000000,1.35798524,0.58520609
-5.83191596,2.00139778,0.02713018,0.30101179,0.01177659,0.00000000,0.99220784,0.00000000,1.32097456,0.56477308
-5.82591296,1.93796841,0.02679891,0.29531536,0.01151772,0.00000000,0.96199462,0.00000000,1.27936246,0.54358275
-5.81990995,1.86931081,0.02632314,0.28833928,0.01121317,0.00000000,0.92880046,0.00000000,1.23363258,0.52169450
-5.81390695,1.79596176,0.02570711,0.28016212,0.01086712,0.00000000,0.89295832,0.00000000,1.18431342,0.49917872
