energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.88886899,0.04040096,0.22418656,0.26511275,1.36646750,4.74856588,2.14425142,0.00000000
-5.99399700,6.69573140,0.04147578,0.20800326,0.25513465,1.31160912,4.61293823,2.09620680,0.00000000
-5.98799400,6.50476128,0.04253732,0.19328629,0.24513227,1.25979578,4.47638930,2.04873465,0.00000000
-5.98199100,6.31925114,0.04358403,0.18013054,0.23519549,1.21163593,4.34124720,2.00279065,0.00000000
-5.97598799,6.14249093,0.04461548,0.16859948,0.22540534,1.16767223,4.20987459,1.95933910,0.00000000
-5.96998499,5.97771516,0.04563246,0.15872677,0.21583354,1.12838133,4.08462675,1.91933837,0.00000000
-5.96398199,5.82804747,0.04663712,0.15051843,0.20654224,1.09417411,3.96780867,1.88372432,0.00000000
-5.95797899,5.69644393,0.04763295,0.14395515,0.19758400,1.06539613,3.86163272,1.85339184,0.00000000
-5.95197599,5.58563666,0.04862463,0.13899477,0.18900192,1.04232763,3.76817790,1.82917524,0.00000000
-5.94597299,5.49807954,0.04961776,0.13557487,0.18082989,1.02518332,3.68935237,1.81182786,0.00000000
-5.93996998,5.43589781,0.05061857,0.13361529,0.17309296,1.01411146,3.62686023,1.80200178,0.00000000
-5.93396698,5.40084358,0.05163338,0.13302063,0.16580776,1.00919267,3.58217373,1.80022851,0.00000000
-5.92796398,5.39425884,0.05266811,0.13368273,0.15898300,1.01043841,3.55651162,1.80690152,0.00000000
-5.92196098,5.41704742,0.05372768,0.13548303,0.15262002,1.01778959,3.55082418,1.82226135,0.00000000
-5.91595798,5.46965716,0.05481545,0.13829500,0.14671338,1.03111559,3.56578496,1.84638437,0.00000000
-5.90995498,5.55207273,0.05593260,0.14198645,0.14125151,1.05021411,3.60178904,1.87917553,0.00000000
-5.90395198,5.66381946,0.05707772,0.14642188,0.13621747,1.07481212,3.65895724,1.92036587,0.00000000
-5.89794897,5.80397768,0.05824640,0.15146487,0.13158966,1.10456835,3.73714530,1.96951496,0.00000000
-5.89194597,5.97120697,0.05943098,0.15698035,0.12734271,1.13907748,3.83595697,2.02601838,0.00000000
-5.88594297,6.16377888,0.06062054,0.16283696,0.12344833,1.17787611,3.95475970,2.08912013,0.00000000
-5.87993997,6.37961679,0.06180097,0.16890926,0.11987626,1.22045067,4.09270167,2.15792963,0.00000000
-5.87393697,6.61634091,0.06295530,0.17507987,0.11659514,1.26624687,4.24872877,2.23144270,0.00000000
-5.86793397,6.87131672,0.06406420,0.18124139,0.11357349,1.31468078,4.42160064,2.30856588,0.00000000
-5.86193097,7.14170487,0.06510662,0.18729810,0.11078051,1.36515083,4.60990481,2.38814314,0.00000000
-5.85592796,7.42451096,0.06606057,0.19316737,0.10818690,1.41705060,4.81206850,2.46898418,0.00000000
-5.84992496,7.71663367,0.06690399,0.19878062,0.10576545,1.46978160,5.02636815,2.54989319,0.00000000
-5.84392196,8.01491020,0.06761571,0.20408398,0.10349163,1.52276576,5.25093686,2.62969723,0.00000000
-5.83791896,8.31615835,0.06817638,0.20903837,0.10134387,1.57545693,5.48377063,2.70727321,0.00000000
-5.83191596,8.61721492,0.06856930,0.21361917,0.09930374,1.62735105,5.72273440,2.78157273,0.00000000
-5.82591296,8.91497055,0.06878130,0.21781540,0.09735590,1.67799451,5.96556938,2.85164408,0.00000000
-5.81990995,9.20640142,0.06880331,0.22162851,0.09548793,1.72699042,6.20990290,2.91665080,0.00000000
-5.81390695,9.48859854,0.06863089,0.22507065,0.09368996,1.77400269,6.45326256,2.97588652,0.00000000
-5.80790395,9.75879530,0.06826451,0.22816279,0.09195421,1.81875780,6.69309562,3.02878571,0.00000000
-5.80190095,10.01439419,0.06770959,0.23093248,0.09027438,1.86104442,6.92679487,3.07493052,0.00000000
-5.79589795,10.25299315,0.06697638,0.23341154,0.08864512,1.90071098,7.15173139,3.11405345,0.00000000
-5.78989495,10.47241210,0.06607957,0.23563372,0.08706140,1.93766157,7.36529421,3.14603644,0.00000000
-5.78389195,10.67071953,0.06503777,0.23763240,0.08551796,1.97185055,7.56493624,3.17090630,0.00000000
-5.77788894,10.84625894,0.06387277,0.23943854,0.08400890,2.00327620,7.74822527,3.18882705,0.00000000
-5.77188594,10.99767423,0.06260871,0.24107883,0.08252734,2.03197385,7.91289819,3.20008947,0.00000000
-5.76588294,11.12393290,0.06127116,0.24257421,0.08106524,2.05800890,8.05691614,3.20509828,0.00000000
-5.75987994,11.22434573,0.05988611,0.24393878,0.07961339,2.08147003,8.17851799,3.20435721,0.00000000
-5.75387694,11.29858107,0.05847906,0.24517910,0.07816152,2.10246292,8.27626926,3.19845256,0.00000000
-5.74787394,11.34667224,0.05707406,0.24629395,0.07669864,2.12110448,8.34910371,3.18803532,0.00000000
-5.74187094,11.36901640,0.05569293,0.24727443,0.07521334,2.13751793,8.39635502,3.17380236,0.00000000
-5.73586793,11.36636351,0.05435451,0.24810453,0.07369435,2.15182842,8.41777636,3.15647690,0.00000000
-5.72986493,11.33979462,0.05307414,0.24876188,0.07213104,2.16415935,8.41354635,3.13678860,0.00000000
-5.72386193,11.29068915,0.05186326,0.24921889,0.07051392,2.17462907,8.38426043,3.11545359,0.00000000
-5.71785893,11.22068144,0.05072921,0.24944397,0.06883518,2.18334783,8.33090766,3.09315468,0.00000000
-5.71185593,11.13160766,0.04967520,0.24940290,0.06708911,2.19041483,8.25483384,3.07052229,0.00000000
-5.70585293,11.02544478,0.04870042,0.24906026,0.06527238,2.19591514,8.15769220,3.04811635,0.00000000
-5.69984992,10.90424382,0.04780038,0.24838074,0.06338430,2.19991646,8.04138435,3.02640969,0.00000000
-5.69384692,10.77006034,0.04696730,0.24733051,0.06142683,2.20246559,7.90799393,3.00577342,0.00000000
-5.68784392,10.62488513,0.04619060,0.24587834,0.05940454,2.20358474,7.75971650,2.98646471,0.00000000
-5.68184092,10.47057854,0.04545758,0.24399660,0.05732437,2.20326780,7.59878887,2.96861756,0.00000000
-5.67583792,10.30881163,0.04475397,0.24166214,0.05519530,2.20147668,7.42742133,2.95223698,0.00000000
-5.66983492,10.14101711,0.04406467,0.23885685,0.05302796,2.19813829,7.24773587,2.93719697,0.00000000
-5.66383192,9.96835256,0.04337432,0.23556821,0.05083411,2.19314212,7.06171309,2.92324261,0.00000000
-5.65782891,9.79167799,0.04266794,0.23178952,0.04862613,2.18633917,6.87114997,2.90999652,0.00000000
-5.65182591,9.61154871,0.04193149,0.22752005,0.04641653,2.17754231,6.67762977,2.89696958,0.00000000
-5.64582291,9.42822393,0.04115228,0.22276501,0.04421744,2.16652848,6.48250503,2.88357602,0.00000000
-5.63981991,9.24169058,0.04031939,0.21753548,0.04204017,2.15304298,6.28689317,2.86915225,0.00000000
-5.63381691,9.05170099,0.03942396,0.21184813,0.03989489,2.13680587,6.09168432,2.85297924,0.00000000
-5.62781391,8.85782224,0.03845935,0.20572499,0.03779038,2.11752053,5.89755957,2.83430754,0.00000000
-5.62181091,8.65949450,0.03742130,0.19919307,0.03573387,2.09488421,5.70501792,2.81238423,0.00000000
-5.61580790,8.45609511,0.03630787,0.19228398,0.03373096,2.06860012,5.51440945,2.78648073,0.00000000
-5.60980490,8.24700488,0.03511945,0.18503349,0.03178573,2.03839085,5.32597217,2.75592044,0.00000000
-5.60380190,8.03167291,0.03385860,0.17748108,0.02990080,2.00401226,5.13986998,2.72010517,0.00000000
-5.59779890,7.80967657,0.03252987,0.16966947,0.02807757,1.96526736,4.95622926,2.67853909,0.00000000
-5.59179590,7.58077338,0.03113961,0.16164408,0.02631642,1.92201942,4.77517170,2.63084935,0.00000000
-5.58579290,7.34494205,0.02969568,0.15345254,0.02461701,1.87420359,4.59684166,2.57680231,0.00000000
-5.57978989,7.10241074,0.02820721,0.14514406,0.02297851,1.82183632,4.42142663,2.51631479,0.00000000
-5.57378689,6.85367115,0.02668430,0.13676889,0.02139985,1.76502211,4.24916977,2.44945971,0.00000000
-5.56778389,6.59947800,0.02513774,0.12837773,0.01987998,1.70395705,4.08037445,2.37646598,0.00000000
-5.56178089,6.34083420,0.02357873,0.12002102,0.01841800,1.63892890,3.91540088,2.29771260,0.00000000
-5.55577789,6.07896304,0.02201864,0.11174838,0.01701333,1.57031368,3.75465559,2.21371729,0.00000000
-5.54977489,5.81526894,0.02046871,0.10360795,0.01566576,1.49856879,3.59857508,2.12512024,0.00000000
-5.54377189,5.55128971,0.01893986,0.09564576,0.01437548,1.42422301,3.44760513,2.03266382,0.00000000
-5.53776888,5.28864284,0.01744249,0.08790515,0.01314307,1.34786383,3.30217759,1.93716914,0.00000000
-5.53176588,5.02896934,0.01598626,0.08042622,0.01196943,1.27012279,3.16268664,1.83951075,0.00000000
