energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,5.61748835,0.94325973,1.18147360,0.01677128,0.58914648,1.69035608,1.72422488,0.03470182,1.93173806
-5.99399700,5.69091019,0.94021902,1.21942645,0.01724770,0.60140831,1.71553303,1.74378747,0.03438581,1.93985500
-5.98799400,5.76555597,0.93680278,1.25935462,0.01777679,0.61397197,1.73896156,1.76289962,0.03407888,1.94712948
-5.98199100,5.84017643,0.93286472,1.30077782,0.01834845,0.62667809,1.76054655,1.78127921,0.03377879,1.95327279
-5.97598799,5.91393617,0.92831411,1.34330148,0.01895362,0.63942343,1.78033026,1.79877744,0.03348576,1.95812742
-5.96998499,5.98642699,0.92311845,1.38663107,0.01958455,0.65215834,1.79848811,1.81537344,0.03320237,1.96166960
-5.96398199,6.05766602,0.91730411,1.43058320,0.02023489,0.66488202,1.81531950,1.83116376,0.03293341,1.96400741
-5.95797899,6.12807927,0.91095519,1.47509307,0.02089988,0.67763580,1.83123387,1.84634777,0.03268564,1.96537432
-5.95197599,6.19847170,0.90421041,1.52021815,0.02157637,0.69049493,1.84673267,1.86120953,0.03246752,1.96611866
-5.94597299,6.26998495,0.89725837,1.56613771,0.02226282,0.70355928,1.86238802,1.87609716,0.03228893,1.96668930
-5.93996998,6.34404449,0.89033110,1.61314832,0.02295927,0.71694339,1.87881892,1.89140062,0.03216083,1.96761811
-5.93396698,6.42229801,0.88369617,1.66165506,0.02366718,0.73076647,1.89666596,1.90752895,0.03209487,1.96949961
-5.92796398,6.50654692,0.87764764,1.71215865,0.02438933,0.74514282,1.91656548,1.92488781,0.03210304,1.97296857
-5.92196098,6.59867301,0.87249584,1.76523870,0.02512954,0.76017298,1.93912436,1.94385832,0.03219727,1.97867605
-5.91595798,6.70056245,0.86855656,1.82153312,0.02589247,0.77593611,1.96489613,1.96477788,0.03238908,1.98726478
-5.90995498,6.81402893,0.86613974,1.88171434,0.02668330,0.79248382,1.99435938,1.98792359,0.03268912,1.99934432
-5.90395198,6.94073809,0.86553808,1.94646259,0.02750741,0.80983567,2.02789912,2.01349875,0.03310683,2.01546697
-5.89794897,7.08213490,0.86701598,2.01643696,0.02837004,0.82797631,2.06579171,2.04162266,0.03365010,2.03610491
-5.89194597,7.23937591,0.87079896,2.09224491,0.02927595,0.84685435,2.10819355,2.07232387,0.03432488,2.06162936
-5.88594297,7.41326770,0.87706421,2.17441110,0.03022903,0.86638286,2.15513383,2.10553679,0.03513489,2.09229225
-5.87993997,7.60421340,0.88593231,2.26334653,0.03123197,0.88644112,2.20651133,2.14110142,0.03608135,2.12821106
-5.87393697,7.81216829,0.89746055,2.35931894,0.03228593,0.90687761,2.26209502,2.17876592,0.03716272,2.16935727
-5.86793397,8.03660604,0.91163805,2.46242586,0.03339024,0.92751380,2.32152829,2.21819170,0.03837458,2.21554875
-5.86193097,8.27649674,0.92838291,2.57257130,0.03454210,0.94814858,2.38433637,2.25896050,0.03970942,2.26644641
-5.85592796,8.53029780,0.94754142,2.68944742,0.03573644,0.96856288,2.44993644,2.30058311,0.04115665,2.32155547
-5.84992496,8.79595873,0.96888949,2.81252234,0.03696571,0.98852453,2.51765022,2.34250939,0.04270260,2.38023114
-5.84392196,9.07094075,0.99213623,2.94103519,0.03821988,1.00779292,2.58671834,2.38413931,0.04433059,2.44168904
-5.83791896,9.35225164,1.01692965,3.07399919,0.03948642,1.02612359,2.65631636,2.42483464,0.04602115,2.50502001
-5.83191596,9.63649631,1.04286428,3.21021350,0.04075042,1.04327253,2.72557201,2.46393137,0.04775223,2.56920924
-5.82591296,9.91994287,1.06949070,3.34828408,0.04199482,1.05900040,2.79358347,2.50075260,0.04949961,2.63315922
-5.81990995,10.19860358,1.09632651,3.48665347,0.04320068,1.07307654,2.85943853,2.53462200,0.05123733,2.69571617
-5.81390695,10.46832945,1.12286865,3.62363901,0.04434764,1.08528307,2.92223452,2.56487773,0.05293821,2.75569928
-5.80790395,10.72491656,1.14860663,3.75747849,0.04541434,1.09541909,2.98109876,2.59088698,0.05457447,2.81193201
-5.80190095,10.96422149,1.17303645,3.88638176,0.04637906,1.10330504,3.03520962,2.61206079,0.05611840,2.86327466
-5.79589795,11.18228237,1.19567458,4.00858645,0.04722025,1.10878737,3.08381768,2.62786937,0.05754314,2.90865714
-5.78989495,11.37544167,1.21607187,4.12241561,0.04791724,1.11174338,3.12626689,2.63785729,0.05882336,2.94711099
-5.78389195,11.54046602,1.23382671,4.22633465,0.04845091,1.11208632,3.16201508,2.64165845,0.05993613,2.97779942
-5.77788894,11.67465807,1.24859712,4.31900506,0.04880428,1.10977034,3.19065334,2.63901019,0.06086157,3.00004425
-5.77188594,11.77595544,1.26011132,4.39933211,0.04896318,1.10479529,3.21192345,2.62976590,0.06158362,3.01334872
-5.76588294,11.84301146,1.26817630,4.46650415,0.04891670,1.09721085,3.22573241,2.61390566,0.06209064,3.01741495
-5.75987994,11.87525345,1.27268410,4.52002118,0.04865771,1.08711985,3.23216334,2.59154381,0.06237588,3.01215526
-5.75387694,11.87291443,1.27361540,4.55971107,0.04818311,1.07468014,3.23148142,2.56293313,0.06243787,2.99769667
-5.74787394,11.83703551,1.27104021,4.58573211,0.04749404,1.06010491,3.22413440,2.52846474,0.06228057,2.97437795
-5.74187094,11.76943749,1.26511558,4.59856155,0.04659590,1.04366092,3.21074656,2.48866325,0.06191338,2.94273933
-5.73586793,11.67266142,1.25608024,4.59897029,0.04549824,1.02566461,3.19210577,2.44417703,0.06135096,2.90350474
-5.72986493,11.54987976,1.24424634,4.58798479,0.04421452,1.00647579,3.16914347,2.39576329,0.06061275,2.85755744
-5.72386193,11.40478118,1.22998853,4.56683794,0.04276169,0.98648907,3.14290761,2.34426844,0.05972243,2.80590961
-5.71785893,11.24143360,1.21373088,4.53691127,0.04115970,0.96612314,3.11452925,2.29060405,0.05870708,2.74966737
-5.71185593,11.06413153,1.19593194,4.49967146,0.03943089,0.94580815,3.08518385,2.23571933,0.05759631,2.68999249
-5.70585293,10.87723470,1.17706894,4.45660438,0.03759934,0.92597184,3.05604865,2.18057125,0.05642111,2.62806268
-5.69984992,10.68500565,1.15762148,4.40915025,0.03569014,0.90702483,3.02825802,2.12609342,0.05521285,2.56503212
-5.69384692,10.49145450,1.13805579,4.35864331,0.03372870,0.88934593,3.00285888,2.07316541,0.05400202,2.50199414
-5.68784392,10.30019858,1.11881015,4.30625924,0.03174008,0.87326809,2.98076862,2.02258385,0.05281724,2.43994783
-5.68184092,10.11434420,1.10028229,4.25297320,0.02974831,0.85906586,2.96273758,1.97503686,0.05168415,2.37977016
-5.67583792,9.93639681,1.08281934,4.19953082,0.02777588,0.84694507,2.94931874,1.93108322,0.05062457,2.32219488
-5.66983492,9.76820408,1.06671092,4.14643357,0.02584327,0.83703533,2.94084629,1.89113749,0.04965579,2.26779926
-5.66383192,9.61093503,1.05218561,4.09393928,0.02396857,0.82938590,2.93742477,1.85546182,0.04879009,2.21699907
-5.65782891,9.46509605,1.03941102,4.04207778,0.02216726,0.82396538,2.93892993,1.82416517,0.04803445,2.17005199
-5.65182591,9.33058269,1.02849725,3.99068056,0.02045207,0.82066510,2.94502146,1.79720991,0.04739060,2.12706897
-5.64582291,9.20676423,1.01950359,3.93942290,0.01883298,0.81930642,2.95516761,1.77442562,0.04685522,2.08803275
-5.63981991,9.09259590,1.01244772,3.88787569,0.01731726,0.81965147,2.96868042,1.75552933,0.04642044,2.05282221
-5.63381691,8.98675218,1.00731696,3.83556430,0.01590968,0.82141687,2.98476003,1.74015105,0.04607451,2.02124094
-5.62781391,8.88777339,1.00408051,3.78203086,0.01461273,0.82428972,3.00254558,1.72786327,0.04580268,1.99304827
-5.62181091,8.79421691,1.00270186,3.72689648,0.01342689,0.82794512,3.02117016,1.71821271,0.04558809,1.96799063
-5.61580790,8.70480408,1.00315039,3.66991981,0.01235094,0.83206404,3.03981642,1.71075247,0.04541289,1.94583138
-5.60980490,8.61855432,1.00541127,3.61104869,0.01138233,0.83635090,3.05776971,1.70507271,0.04525920,1.92637714
-5.60380190,8.53489837,1.00949273,3.55046174,0.01051747,0.84054952,3.07446557,1.70082820,0.04511016,1.90949889
-5.59779890,8.45376405,1.01543021,3.48859776,0.00975204,0.84445694,3.08952864,1.69776091,0.04495076,1.89514675
-5.59179590,8.37562961,1.02328687,3.42617098,0.00908128,0.84793398,3.10280047,1.69571658,0.04476864,1.88335717
-5.58579290,8.30154120,1.03315019,3.36417133,0.00850025,0.85091226,3.11435453,1.69465412,0.04455461,1.87425242
-5.57978989,8.23309375,1.04512499,3.30384955,0.00800399,0.85339714,3.12449725,1.69464733,0.04430304,1.86803220
-5.57378689,8.17237600,1.05932298,3.24668775,0.00758771,0.85546652,3.13375497,1.69587904,0.04401200,1.86495803
-5.56778389,8.12188298,1.07584959,3.19435683,0.00724686,0.85726559,3.14284734,1.69862783,0.04368319,1.86533146
-5.56178089,8.08440072,1.09478898,3.14866266,0.00697728,0.85899798,3.15264867,1.70324834,0.04332169,1.86946740
-5.55577789,8.06286988,1.11618809,3.11148376,0.00677516,0.86091366,3.16413938,1.71014628,0.04293558,1.87766453
-5.54977489,8.06023564,1.14004100,3.08470327,0.00663707,0.86329455,3.17835049,1.71974973,0.04253530,1.89017441
