energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.00389357,0.27499458,0.34144703,0.76715926,0.16147332,0.00304091,0.23472588,0.19519172,0.00000000
-5.99399700,0.99981965,0.27384972,0.32720220,0.78038664,0.16648019,0.00267945,0.23830535,0.19769627,0.00000000
-5.98799400,0.99699707,0.27250896,0.31492066,0.79097794,0.17166192,0.00236187,0.24124396,0.19994822,0.00000000
-5.98199100,0.99475808,0.27076429,0.30426446,0.79851467,0.17696071,0.00208789,0.24342335,0.20184491,0.00000000
-5.97598799,0.99252350,0.26844292,0.29492094,0.80266793,0.18232876,0.00185684,0.24475000,0.20330553,0.00000000
-5.96998499,0.98981550,0.26541147,0.28660924,0.80320784,0.18772828,0.00166777,0.24515818,0.20427312,0.00000000
-5.96398199,0.98626531,0.26157863,0.27908500,0.80000887,0.19313068,0.00151961,0.24461170,0.20471568,0.00000000
-5.95797899,0.98161555,0.25689625,0.27214315,0.79305089,0.19851517,0.00141129,0.24310429,0.20462630,0.00000000
-5.95197599,0.97571746,0.25135886,0.26561882,0.78241596,0.20386672,0.00134175,0.24065884,0.20402218,0.00000000
-5.94597299,0.96852354,0.24500171,0.25938657,0.76828116,0.20917372,0.00131008,0.23732531,0.20294286,0.00000000
-5.93996998,0.96007613,0.23789737,0.25335807,0.75090793,0.21442532,0.00131551,0.23317777,0.20144748,0.00000000
-5.93396698,0.95049313,0.23015123,0.24747855,0.73062857,0.21960888,0.00135742,0.22831048,0.19961146,0.00000000
-5.92796398,0.93995153,0.22189603,0.24172232,0.70783067,0.22470758,0.00143531,0.22283353,0.19752270,0.00000000
-5.92196098,0.92867008,0.21328577,0.23608773,0.68294042,0.22969845,0.00154878,0.21686801,0.19527742,0.00000000
-5.91595798,0.91689210,0.20448919,0.23059185,0.65640552,0.23455105,0.00169742,0.21054128,0.19297603,0.00000000
-5.90995498,0.90486925,0.19568322,0.22526518,0.62867873,0.23922690,0.00188075,0.20398221,0.19071903,0.00000000
-5.90395198,0.89284733,0.18704655,0.22014671,0.60020256,0.24367961,0.00209814,0.19731703,0.18860323,0.00000000
-5.89794897,0.88105443,0.17875364,0.21527948,0.57139610,0.24785608,0.00234865,0.19066553,0.18671842,0.00000000
-5.89194597,0.86969212,0.17096929,0.21070681,0.54264411,0.25169832,0.00263098,0.18413809,0.18514461,0.00000000
-5.88594297,0.85892962,0.16384394,0.20646938,0.51428889,0.25514610,0.00294333,0.17783331,0.18394977,0.00000000
-5.87993997,0.84890104,0.15750977,0.20260298,0.48662503,0.25814018,0.00328335,0.17183655,0.18318839,0.00000000
-5.87393697,0.83970539,0.15207774,0.19913714,0.45989690,0.26062586,0.00364801,0.16621901,0.18290052,0.00000000
-5.86793397,0.83140890,0.14763539,0.19609441,0.43429880,0.26255675,0.00403364,0.16103760,0.18311145,0.00000000
-5.86193097,0.82404926,0.14424560,0.19349022,0.40997737,0.26389848,0.00443585,0.15633522,0.18383197,0.00000000
-5.85592796,0.81764107,0.14194604,0.19133321,0.38703589,0.26463209,0.00484954,0.15214155,0.18505905,0.00000000
-5.84992496,0.81218199,0.14074943,0.18962595,0.36553987,0.26475699,0.00526900,0.14847407,0.18677686,0.00000000
-5.84392196,0.80765908,0.14064438,0.18836576,0.34552369,0.26429317,0.00568795,0.14533919,0.18895816,0.00000000
-5.83791896,0.80405481,0.14159685,0.18754571,0.32699756,0.26328280,0.00609968,0.14273358,0.19156587,0.00000000
-5.83191596,0.80135253,0.14355208,0.18715566,0.30995446,0.26179084,0.00649717,0.14064530,0.19455484,0.00000000
-5.82591296,0.79954106,0.14643694,0.18718324,0.29437678,0.25990491,0.00687332,0.13905497,0.19787370,0.00000000
-5.81990995,0.79861846,0.15016276,0.18761479,0.28024223,0.25773430,0.00722106,0.13793682,0.20146687,0.00000000
-5.81390695,0.79859500,0.15462837,0.18843633,0.26752896,0.25540835,0.00753363,0.13725955,0.20527662,0.00000000
-5.80790395,0.79949536,0.15972356,0.18963442,0.25621959,0.25307413,0.00780475,0.13698725,0.20924522,0.00000000
-5.80190095,0.80136042,0.16533276,0.19119717,0.24630437,0.25089376,0.00802883,0.13708018,0.21331718,0.00000000
-5.79589795,0.80424867,0.17133891,0.19311522,0.23778315,0.24904135,0.00820115,0.13749563,0.21744149,0.00000000
-5.78989495,0.80823758,0.17762754,0.19538286,0.23066656,0.24769980,0.00831802,0.13818877,0.22157392,0.00000000
-5.78389195,0.81342482,0.18409093,0.19799927,0.22497622,0.24705750,0.00837690,0.13911367,0.22567936,0.00000000
-5.77788894,0.81992965,0.19063221,0.20096976,0.22074423,0.24730502,0.00837651,0.14022438,0.22973394,0.00000000
-5.77188594,0.82789412,0.19716938,0.20430709,0.21801195,0.24863189,0.00831685,0.14147612,0.23372719,0.00000000
-5.76588294,0.83748409,0.20363906,0.20803278,0.21682825,0.25122338,0.00819922,0.14282659,0.23766370,0.00000000
-5.75987994,0.84888970,0.20999983,0.21217816,0.21724719,0.25525727,0.00802615,0.14423726,0.24156464,0.00000000
-5.75387694,0.86232497,0.21623495,0.21678520,0.21932525,0.26090066,0.00780134,0.14567467,0.24546859,0.00000000
-5.74787394,0.87802620,0.22235443,0.22190694,0.22311819,0.26830662,0.00752952,0.14711161,0.24943185,0.00000000
-5.74187094,0.89624870,0.22839616,0.22760725,0.22867744,0.27761068,0.00721628,0.14852806,0.25352797,0.00000000
-5.73586793,0.91726167,0.23442602,0.23396004,0.23604629,0.28892717,0.00686790,0.14991188,0.25784649,0.00000000
-5.72986493,0.94134086,0.24053689,0.24104760,0.24525571,0.30234529,0.00649113,0.15125913,0.26249077,0.00000000
-5.72386193,0.96875908,0.24684651,0.24895815,0.25632010,0.31792508,0.00609303,0.15257401,0.26757494,0.00000000
-5.71785893,0.99977456,0.25349415,0.25778257,0.26923290,0.33569328,0.00568071,0.15386823,0.27322001,0.00000000
-5.71185593,1.03461741,0.26063608,0.26761032,0.28396239,0.35563926,0.00526115,0.15516014,0.27954920,0.00000000
-5.70585293,1.07347475,0.26844013,0.27852471,0.30044778,0.37771126,0.00484106,0.15647324,0.28668261,0.00000000
-5.69984992,1.11647498,0.27707926,0.29059773,0.31859576,0.40181303,0.00442669,0.15783450,0.29473148,0.00000000
