energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,5.24551263,0.38903697,0.02864130,1.52252602,4.87059719,0.00411059,0.07689618
-5.99399700,5.35683401,0.40469823,0.02917776,1.54271414,4.97030384,0.00412785,0.07944651
-5.98799400,5.45992744,0.41989593,0.02963852,1.56079066,5.06264122,0.00412675,0.08186109
-5.98199100,5.55363424,0.43449986,0.03001875,1.57655713,5.14652525,0.00410763,0.08412110
-5.97598799,5.63678964,0.44837705,0.03031424,1.58980985,5.22085809,0.00407109,0.08620867
-5.96998499,5.70824312,0.46139322,0.03052139,1.60034280,5.28454897,0.00401799,0.08810701
-5.96398199,5.76688014,0.47341444,0.03063729,1.60795093,5.33653655,0.00394939,0.08980055
-5.95797899,5.81164473,0.48430911,0.03065973,1.61243370,5.37581188,0.00386654,0.09127499
-5.95197599,5.84156244,0.49395005,0.03058723,1.61359877,5.40144185,0.00377078,0.09251747
-5.94597299,5.85576314,0.50221687,0.03041910,1.61126600,5.41259212,0.00366356,0.09351654
-5.93996998,5.85350306,0.50899828,0.03015542,1.60527155,5.40854917,0.00354635,0.09426233
-5.93396698,5.83418547,0.51419449,0.02979708,1.59547226,5.38874079,0.00342063,0.09474654
-5.92796398,5.79737940,0.51771947,0.02934579,1.58175002,5.35275425,0.00328786,0.09496254
-5.92196098,5.74283570,0.51950303,0.02880410,1.56401628,5.30035185,0.00314942,0.09490544
-5.91595798,5.67049996,0.51949268,0.02817540,1.54221637,5.23148295,0.00300664,0.09457211
-5.90995498,5.58052170,0.51765507,0.02746392,1.51633366,5.14629236,0.00286075,0.09396130
-5.90395198,5.47325939,0.51397714,0.02667468,1.48639325,5.04512439,0.00271289,0.09307365
-5.89794897,5.34928108,0.50846674,0.02581352,1.45246511,4.92852265,0.00256411,0.09191177
-5.89194597,5.20936030,0.50115295,0.02488698,1.41466645,4.79722525,0.00241536,0.09048029
-5.88594297,5.05446750,0.49208580,0.02390230,1.37316303,4.65215553,0.00226752,0.08878589
-5.87993997,4.88575682,0.48133571,0.02286728,1.32816951,4.49440858,0.00212137,0.08683739
-5.87393697,4.70454887,0.46899249,0.02179025,1.27994841,4.32523386,0.00197765,0.08464570
