energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.14286320,0.63932346,0.36559723,0.01419715,0.27642028,1.07665230,0.64029815,0.94012069,0.00000000
-5.99399700,2.15220023,0.64308467,0.36195789,0.01383722,0.28881751,1.08253459,0.64884318,0.93855892,0.00000000
-5.98799400,2.16372347,0.64638419,0.35799014,0.01344092,0.30194533,1.08819662,0.65876097,0.93650149,0.00000000
-5.98199100,2.17694273,0.64918249,0.35371852,0.01301809,0.31564797,1.09370276,0.66970780,0.93387866,0.00000000
-5.97598799,2.19138788,0.65146902,0.34917813,0.01257883,0.32976166,1.09913975,0.68134114,0.93065364,0.00000000
-5.96998499,2.20662468,0.65326343,0.34441412,0.01213313,0.34411817,1.10460921,0.69333168,0.92682539,0.00000000
-5.96398199,2.22226803,0.65461559,0.33948099,0.01169055,0.35854855,1.11021952,0.70537425,0.92242981,0.00000000
-5.95797899,2.23799235,0.65560425,0.33444150,0.01125988,0.37288679,1.11607748,0.71719741,0.91753929,0.00000000
-5.95197599,2.25353928,0.65633461,0.32936538,0.01084883,0.38697353,1.12228043,0.72857142,0.91226079,0.00000000
-5.94597299,2.26872255,0.65693490,0.32432808,0.01046385,0.40065953,1.12890934,0.73931432,0.90673259,0.00000000
-5.93996998,2.28343038,0.65755220,0.31940940,0.01010991,0.41380896,1.13602338,0.74929603,0.90112010,0.00000000
-5.93396698,2.29762558,0.65834761,0.31469229,0.00979043,0.42630233,1.14365615,0.75844052,0.89561083,0.00000000
-5.92796398,2.31134374,0.65949121,0.31026181,0.00950727,0.43803898,1.15181399,0.76672593,0.89040893,0.00000000
-5.92196098,2.32468976,0.66115688,0.30620425,0.00926075,0.44893910,1.16047631,0.77418292,0.88572959,0.00000000
-5.91595798,2.33783309,0.66351730,0.30260653,0.00904977,0.45894512,1.16959787,0.78089128,0.88179354,0.00000000
-5.90995498,2.35100196,0.66673934,0.29955587,0.00887201,0.46802249,1.17911300,0.78697515,0.87882189,0.00000000
-5.90395198,2.36447695,0.67097992,0.29713956,0.00872416,0.47615980,1.18894118,0.79259702,0.87703162,0.00000000
-5.89794897,2.37858391,0.67638271,0.29544501,0.00860214,0.48336819,1.19899378,0.79795093,0.87663161,0.00000000
-5.89194597,2.39368666,0.68307544,0.29455982,0.00850143,0.48968011,1.20918151,0.80325494,0.87781958,0.00000000
-5.88594297,2.41017928,0.69116809,0.29457191,0.00841736,0.49514742,1.21942187,0.80874336,0.88077970,0.00000000
-5.87993997,2.42847823,0.70075189,0.29556952,0.00834536,0.49983895,1.22964630,0.81465899,0.88568091,0.00000000
-5.87393697,2.44901405,0.71189892,0.29764108,0.00828125,0.50383760,1.23980651,0.82124542,0.89267577,0.00000000
-5.86793397,2.47222282,0.72466240,0.30087476,0.00822146,0.50723706,1.24987943,0.82873980,0.90189974,0.00000000
-5.86193097,2.49853696,0.73907723,0.30535765,0.00816319,0.51013826,1.25987052,0.83736608,0.91347054,0.00000000
-5.85592796,2.52837553,0.75516087,0.31117451,0.00810456,0.51264573,1.26981520,0.84732894,0.92748750,0.00000000
-5.84992496,2.56213377,0.77291419,0.31840600,0.00804464,0.51486400,1.27977814,0.85880831,0.94403052,0.00000000
-5.84392196,2.60017177,0.79232201,0.32712639,0.00798351,0.51689413,1.28985040,0.87195466,0.96315855,0.00000000
-5.83791896,2.64280238,0.81335342,0.33740077,0.00792212,0.51883043,1.30014454,0.88688500,0.98490735,0.00000000
-5.83191596,2.69027845,0.83596145,0.34928172,0.00786227,0.52075767,1.31078787,0.90367942,1.00928654,0.00000000
-5.82591296,2.74277934,0.86008220,0.36280571,0.00780637,0.52274858,1.32191408,0.92237841,1.03627572,0.00000000
-5.81990995,2.80039736,0.88563330,0.37798914,0.00775731,0.52486194,1.33365375,0.94298061,1.06582006,0.00000000
-5.81390695,2.86312426,0.91251187,0.39482431,0.00771817,0.52714115,1.34612418,0.96544120,1.09782521,0.00000000
-5.80790395,2.93083851,0.94059199,0.41327553,0.00769206,0.52961330,1.35941909,0.98967084,1.13215202,0.00000000
-5.80190095,3.00329389,0.96972201,0.43327554,0.00768181,0.53228880,1.37359879,1.01553513,1.16861146,0.00000000
-5.79589795,3.08011026,0.99972187,0.45472243,0.00768977,0.53516149,1.38868135,1.04285482,1.20696004,0.00000000
-5.78989495,3.16076720,1.03038090,0.47747747,0.00771763,0.53820919,1.40463546,1.07140659,1.24689627,0.00000000
-5.78389195,3.24460131,1.06145627,0.50136383,0.00776622,0.54139467,1.42137533,1.10092484,1.28805873,0.00000000
-5.77788894,3.33080792,1.09267266,0.52616664,0.00783541,0.54466699,1.43875824,1.13110429,1.33002615,0.00000000
-5.77188594,3.41844773,1.12372317,0.55163431,0.00792403,0.54796309,1.45658485,1.16160369,1.37231985,0.00000000
-5.76588294,3.50645887,1.15427212,0.57748144,0.00802984,0.55120975,1.47460258,1.19205071,1.41440893,0.00000000
-5.75987994,3.59367450,1.18395945,0.60339312,0.00814961,0.55432560,1.49251205,1.22204796,1.45571835,0.00000000
-5.75387694,3.67884569,1.21240716,0.62903073,0.00827916,0.55722345,1.50997629,1.25118021,1.49563974,0.00000000
-5.74787394,3.76066946,1.23922741,0.65403910,0.00841356,0.55981258,1.52663250,1.27902274,1.53354500,0.00000000
-5.74187094,3.83782076,1.26403224,0.67805474,0.00854724,0.56200120,1.54210576,1.30515059,1.56880203,0.00000000
-5.73586793,3.90898772,1.28644442,0.70071491,0.00867429,0.56369881,1.55602409,1.32914849,1.60079217,0.00000000
-5.72986493,3.97290848,1.30610893,0.72166723,0.00878862,0.56481856,1.56803396,1.35062121,1.62892860,0.00000000
-5.72386193,4.02840821,1.32270468,0.74057935,0.00888425,0.56527948,1.57781550,1.36920382,1.65267479,0.00000000
-5.71785893,4.07443453,1.33595545,0.75714836,0.00895553,0.56500845,1.58509645,1.38457162,1.67156220,0.00000000
