energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.22656540,-1.32227958,0.02818588,-0.03726535,0.06287996,-0.07369434,0.00819203,-0.00956761,0.00000000,-0.00000000,0.33027038,-0.40007890,0.27218805,-0.24564854,0.00432241,-0.00494266,0.63224338,-0.68983969
-5.99399700,1.21112716,-1.28412300,0.02594108,-0.03450231,0.06177893,-0.07022154,0.00789606,-0.00911901,0.00000000,-0.00000000,0.31966807,-0.38312561,0.27853484,-0.24608747,0.00429338,-0.00483905,0.62176937,-0.66907177
-5.98799400,1.20234475,-1.25181384,0.02386769,-0.03186265,0.06128192,-0.06715434,0.00764941,-0.00870952,0.00000000,-0.00000000,0.31092331,-0.36783276,0.28648053,-0.24788315,0.00428725,-0.00475559,0.61444287,-0.65121184
-5.98199100,1.19999184,-1.22572236,0.02197002,-0.02936857,0.06139906,-0.06454030,0.00745177,-0.00834366,0.00000000,-0.00000000,0.30394051,-0.35427541,0.29597940,-0.25110794,0.00430258,-0.00469282,0.61012817,-0.63642932
-5.97598799,1.20369711,-1.20605129,0.02024824,-0.02703730,0.06212918,-0.06241906,0.00730171,-0.00802469,0.00000000,-0.00000000,0.29858683,-0.34247678,0.30695215,-0.25580527,0.00433743,-0.00465069,0.60861917,-0.62480452
-5.96998499,1.21296243,-1.19284014,0.01869885,-0.02488111,0.06345990,-0.06082198,0.00719680,-0.00775454,0.00000000,-0.00000000,0.29470020,-0.33241180,0.31928759,-0.26198934,0.00438940,-0.00462858,0.60965028,-0.61633157
-5.96398199,1.22718397,-1.18597439,0.01731516,-0.02290743,0.06536781,-0.05977205,0.00713381,-0.00753394,0.00000000,-0.00000000,0.29209809,-0.32401227,0.33284504,-0.26964564,0.00445579,-0.00462532,0.61290865,-0.61092419
-5.95797899,1.24567540,-1.18519897,0.01608785,-0.02111912,0.06781895,-0.05928386,0.00710882,-0.00736242,0.00000000,-0.00000000,0.29058677,-0.31717350,0.34745735,-0.27873206,0.00453362,-0.00463924,0.61804739,-0.60842369
-5.95197599,1.26769252,-1.19013536,0.01500555,-0.01951483,0.07076942,-0.05936375,0.00711749,-0.00723847,0.00000000,-0.00000000,0.28997054,-0.31176198,0.36293455,-0.28918047,0.00461982,-0.00466829,0.62469933,-0.60860914
-5.94597299,1.29245849,-1.20030155,0.01405533,-0.01808950,0.07416624,-0.06000997,0.00715520,-0.00715970,0.00000000,-0.00000000,0.29006084,-0.30762395,0.37906809,-0.30089889,0.00471130,-0.00471009,0.63249074,-0.61120892
-5.93996998,1.31918898,-1.21513374,0.01322333,-0.01683486,0.07794840,-0.06121298,0.00721727,-0.00712294,0.00000000,-0.00000000,0.29068470,-0.30459433,0.39563554,-0.31377391,0.00480506,-0.00476207,0.64105474,-0.61591347
-5.93396698,1.34711662,-1.23400930,0.01249518,-0.01573997,0.08204817,-0.06295572,0.00729913,-0.00712444,0.00000000,-0.00000000,0.29169242,-0.30250578,0.41240578,-0.32767339,0.00489833,-0.00482154,0.65004387,-0.62238843
