energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.07821567,0.00360453,0.05774714,0.00569891,0.00000082,0.00637104,0.00433521
-5.99399700,0.06858243,0.00315804,0.05063212,0.00499540,0.00000059,0.00558577,0.00380282
-5.98799400,0.05971925,0.00274809,0.04408677,0.00434867,0.00000042,0.00486346,0.00331247
-5.98199100,0.05163900,0.00237497,0.03812028,0.00375947,0.00000030,0.00420510,0.00286506
-5.97598799,0.04433910,0.00203833,0.03273048,0.00322744,0.00000021,0.00361043,0.00246059
-5.96998499,0.03780313,0.00173722,0.02790504,0.00275129,0.00000015,0.00307806,0.00209826
-5.96398199,0.03200290,0.00147024,0.02362304,0.00232888,0.00000010,0.00260567,0.00177658
-5.95797899,0.02690063,0.00123553,0.01985646,0.00195740,0.00000007,0.00219017,0.00149352
-5.95197599,0.02245119,0.00103096,0.01657193,0.00163351,0.00000005,0.00182785,0.00124661
-5.94597299,0.01860434,0.00085417,0.01373230,0.00135353,0.00000003,0.00151463,0.00103310
-5.93996998,0.01530671,0.00070268,0.01129814,0.00111356,0.00000002,0.00124613,0.00085004
-5.93396698,0.01250369,0.00057394,0.00922912,0.00090960,0.00000001,0.00101792,0.00069441
-5.92796398,0.01014097,0.00046544,0.00748513,0.00073770,0.00000001,0.00082556,0.00056322
-5.92196098,0.00816589,0.00037476,0.00602728,0.00059401,0.00000001,0.00066476,0.00045354
-5.91595798,0.00652842,0.00029960,0.00481863,0.00047488,0.00000000,0.00053146,0.00036261
-5.90995498,0.00518192,0.00023779,0.00382476,0.00037693,0.00000000,0.00042184,0.00028782
-5.90395198,0.00408366,0.00018739,0.00301414,0.00029704,0.00000000,0.00033243,0.00022683
-5.89794897,0.00319511,0.00014661,0.00235829,0.00023240,0.00000000,0.00026010,0.00017748
-5.89194597,0.00248196,0.00011388,0.00183192,0.00018053,0.00000000,0.00020204,0.00013787
-5.88594297,0.00191417,0.00008783,0.00141283,0.00013923,0.00000000,0.00015582,0.00010633
-5.87993997,0.00146568,0.00006725,0.00108180,0.00010661,0.00000000,0.00011931,0.00008142
-5.87393697,0.00111423,0.00005112,0.00082239,0.00008104,0.00000000,0.00009070,0.00006190
-5.86793397,0.00084099,0.00003859,0.00062070,0.00006117,0.00000000,0.00006846,0.00004673
-5.86193097,0.00063022,0.00002892,0.00046512,0.00004583,0.00000000,0.00005130,0.00003503
-5.85592796,0.00046892,0.00002152,0.00034605,0.00003410,0.00000000,0.00003816,0.00002608
-5.84992496,0.00034645,0.00001591,0.00025562,0.00002518,0.00000001,0.00002819,0.00001929
-5.84392196,0.00025421,0.00001168,0.00018750,0.00001847,0.00000001,0.00002067,0.00001420
-5.83791896,0.00018531,0.00000853,0.00013658,0.00001345,0.00000002,0.00001505,0.00001041
-5.83191596,0.00013430,0.00000620,0.00009883,0.00000972,0.00000002,0.00001088,0.00000764
-5.82591296,0.00009692,0.00000451,0.00007109,0.00000697,0.00000004,0.00000781,0.00000565
-5.81990995,0.00006985,0.00000330,0.00005089,0.00000497,0.00000005,0.00000556,0.00000427
-5.81390695,0.00005059,0.00000246,0.00003636,0.00000351,0.00000008,0.00000393,0.00000339
-5.80790395,0.00003727,0.00000191,0.00002606,0.00000247,0.00000011,0.00000276,0.00000292
