energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,4.86729520,0.97733722,2.32381149,0.01670137,0.21366319,1.14791041,0.80908891,0.00676526,1.65540689
-5.99399700,4.97909564,1.00534871,2.38166500,0.01730054,0.21636774,1.19068693,0.82164913,0.00682830,1.69434702
-5.98799400,5.09321665,1.03563513,2.44196887,0.01790219,0.21978176,1.23382510,0.83297965,0.00689187,1.73258765
-5.98199100,5.20926446,1.06814280,2.50454599,0.01850002,0.22393822,1.27706421,0.84305553,0.00695566,1.76991786
-5.97598799,5.32673792,1.10275711,2.56916182,0.01908740,0.22885581,1.32012130,0.85184827,0.00701928,1.80610253
-5.96998499,5.44501460,1.13929472,2.63551828,0.01965740,0.23453700,1.36268979,0.85932376,0.00708221,1.84087961
-5.96398199,5.56334345,1.17749843,2.70325088,0.02020279,0.24096668,1.40443918,0.86544111,0.00714370,1.87395914
-5.95797899,5.68084544,1.21703536,2.77192990,0.02071608,0.24811156,1.44501620,0.87015248,0.00720282,1.90502431
-5.95197599,5.79652250,1.25749873,2.84106555,0.02118957,0.25592036,1.48404756,0.87340412,0.00725836,1.93373498
-5.94597299,5.90927526,1.29841329,2.91011719,0.02161546,0.26432465,1.52114468,0.87513841,0.00730893,1.95973372
-5.93996998,6.01792879,1.33924442,2.97850617,0.02198589,0.27324044,1.55591021,0.87529703,0.00735294,1.98265426
-5.93396698,6.12126542,1.37941068,3.04563169,0.02229316,0.28257041,1.58794634,0.87382490,0.00738870,2.00213211
-5.92796398,6.21806272,1.41829906,3.11088858,0.02252983,0.29220651,1.61686456,0.87067477,0.00741449,2.01781695
-5.92196098,6.30713463,1.45528258,3.17368596,0.02268899,0.30203296,1.64229645,0.86581208,0.00742865,2.02938613
-5.91595798,6.38737298,1.48973917,3.23346553,0.02276441,0.31192931,1.66390501,0.85921973,0.00742967,2.03655838
-5.90995498,6.45778686,1.52107091,3.28971799,0.02275078,0.32177356,1.68139576,0.85090252,0.00741629,2.03910712
-5.90395198,6.51753698,1.54872279,3.34199656,0.02264395,0.33144497,1.69452717,0.84089069,0.00738760,2.03687237
-5.89794897,6.56596277,1.57219990,3.38992641,0.02244114,0.34082660,1.70311941,0.82924250,0.00734307,2.02977028
-5.89194597,6.60260004,1.59108226,3.43320927,0.02214105,0.34980739,1.70706118,0.81604535,0.00728264,2.01779992
-5.88594297,6.62718806,1.60503645,3.47162278,0.02174408,0.35828366,1.70631388,0.80141547,0.00720672,2.00104633
-5.87993997,6.63966529,1.61382366,3.50501458,0.02125235,0.36616011,1.70091284,0.78549604,0.00711619,1.97967986
-5.87393697,6.64015408,1.61730367,3.53329151,0.02066972,0.37335026,1.69096552,0.76845371,0.00701236,1.95395140
-5.86793397,6.62893540,1.61543478,3.55640484,0.02000181,0.37977636,1.67664664,0.75047382,0.00689695,1.92418392
-5.86193097,6.60641530,1.60826986,3.57433256,0.01925581,0.38536904,1.65819060,0.73175441,0.00677194,1.89076053
-5.85592796,6.57308574,1.59594882,3.58706033,0.01844037,0.39006655,1.63588148,0.71249951,0.00663956,1.85410983
-5.84992496,6.52948252,1.57868821,3.59456261,0.01756534,0.39381401,1.61004141,0.69291197,0.00650208,1.81468942
-5.84392196,6.47614371,1.55676858,3.59678576,0.01664156,0.39656258,1.58101790,0.67318632,0.00636180,1.77296844
-5.83791896,6.41357147,1.53052055,3.59363455,0.01568049,0.39826885,1.54917091,0.65350211,0.00622084,1.72941031
-5.83191596,6.34220044,1.50031025,3.58496357,0.01469393,0.39889448,1.51486057,0.63401814,0.00608107,1.68445657
