energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,4.71125729,2.12280647,2.26501205,0.00064250,1.86220190,1.43771134,0.00000000
-5.99399700,4.98583138,2.26573723,2.44117497,0.00067626,2.01869257,1.48334780,0.00000000
-5.98799400,5.24655271,2.40336123,2.61498901,0.00071156,2.17396639,1.52167132,0.00000000
-5.98199100,5.48999010,2.53364166,2.78408916,0.00074849,2.32581933,1.55234996,0.00000000
-5.97598799,5.71295571,2.65458641,2.94604818,0.00078724,2.47195997,1.57526648,0.00000000
-5.96998499,5.91259100,2.76430173,3.09843620,0.00082817,2.61006635,1.59052424,0.00000000
-5.96398199,6.08644497,2.86104536,3.23888432,0.00087170,2.73784761,1.59844467,0.00000000
-5.95797899,6.23254151,2.94327702,3.36515002,0.00091839,2.85310826,1.59955624,0.00000000
-5.95197599,6.34943266,3.00970414,3.47518185,0.00096881,2.95381256,1.59457526,0.00000000
-5.94597299,6.43623578,3.05932085,3.56718075,0.00102359,3.03814640,1.58437907,0.00000000
-5.93996998,6.49265270,3.09143871,3.63965547,0.00108333,3.10457398,1.56997279,0.00000000
-5.93396698,6.51897006,3.10570769,3.69146946,0.00114860,3.15188685,1.55245115,0.00000000
-5.92796398,6.51604081,3.10212647,3.72187737,0.00121990,3.17924302,1.53295698,0.00000000
-5.92196098,6.48524753,3.08104179,3.73054915,0.00129757,3.18619448,1.51263826,0.00000000
-5.91595798,6.42844948,3.04313668,3.71758074,0.00138184,3.17270161,1.49260581,0.00000000
-5.90995498,6.34791539,2.98940828,3.68349073,0.00147271,3.13913397,1.47389331,0.00000000
-5.90395198,6.24624529,2.92113622,3.62920296,0.00157001,3.08625743,1.45742167,0.00000000
-5.89794897,6.12628467,2.83984295,3.55601597,0.00167330,3.01520811,1.44396905,0.00000000
-5.89194597,5.99103462,2.74724783,3.46556050,0.00178196,2.92745449,1.43414795,0.00000000
-5.88594297,5.84356192,2.64521689,3.35974689,0.00189509,2.82474929,1.42839005,0.00000000
-5.87993997,5.68691249,2.53571041,3.24070489,0.00201162,2.70907354,1.42693930,0.00000000
-5.87393697,5.52403165,2.42073025,3.11071824,0.00213026,2.58257511,1.42985323,0.00000000
-5.86793397,5.35769393,2.30226905,2.97215704,0.00224961,2.44750449,1.43701204,0.00000000
-5.86193097,5.19044460,2.18226297,2.82741051,0.00236816,2.30615047,1.44813467,0.00000000
-5.85592796,5.02455436,2.06254931,2.67882284,0.00248437,2.16077831,1.46280070,0.00000000
-5.84992496,4.86198795,1.94483032,2.52863448,0.00259674,2.01357253,1.48047673,0.00000000
-5.84392196,4.70438655,1.83064373,2.37893085,0.00270387,1.86658651,1.50054571,0.00000000
-5.83791896,4.55306334,1.72134047,2.23159994,0.00280456,1.72170007,1.52233761,0.00000000
-5.83191596,4.40901084,1.61806944,2.08829975,0.00289785,1.58058619,1.54515995,0.00000000
-5.82591296,4.27291837,1.52176917,1.95043619,0.00298315,1.44468735,1.56832674,0.00000000
-5.81990995,4.14519762,1.43316560,1.81915111,0.00306025,1.31520138,1.59118459,0.00000000
-5.81390695,4.02601411,1.35277546,1.69532033,0.00312943,1.19307644,1.61313512,0.00000000
-5.80790395,3.91532243,1.28091412,1.57956045,0.00319150,1.07901436,1.63365299,0.00000000
-5.80190095,3.81290337,1.21770731,1.47224346,0.00324782,0.97348115,1.65229923,0.00000000
-5.79589795,3.71840117,1.16310562,1.37351770,0.00330038,0.87672352,1.66872978,0.00000000
-5.78989495,3.63135939,1.11690117,1.28333365,0.00335176,0.78878990,1.68269966,0.00000000
-5.78389195,3.55125453,1.07874571,1.20147304,0.00340519,0.70955473,1.69406301,0.00000000
-5.77788894,3.47752663,1.04816969,1.12757982,0.00346448,0.63874460,1.70276985,0.00000000
-5.77188594,3.40960635,1.02460186,1.06119159,0.00353399,0.57596503,1.70886007,0.00000000
-5.76588294,3.34693854,1.00738914,1.00177023,0.00361863,0.52072695,1.71245561,0.00000000
-5.75987994,3.28900221,0.99581654,0.94873091,0.00372370,0.47247203,1.71375133,0.00000000
-5.75387694,3.23532706,0.98912708,0.90146832,0.00385486,0.43059611,1.71300526,0.00000000
