energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.87663945,0.00622709,0.42142750,0.77128281,0.31133242,2.17742977,1.12795173,0.02213937,0.89202044
-5.99399700,2.99331710,0.00646198,0.43165961,0.81450233,0.32223186,2.27117001,1.16965407,0.02198831,0.93788132
-5.98799400,3.11184578,0.00668544,0.44233914,0.85739495,0.33351375,2.36799524,1.21222011,0.02177869,0.98399473
-5.98199100,3.23023777,0.00689149,0.45326137,0.89927418,0.34497183,2.46638131,1.25490539,0.02151786,1.02963351
-5.97598799,3.34645729,0.00707477,0.46420273,0.93946419,0.35640522,2.56469902,1.29692892,0.02121343,1.07407823
-5.96998499,3.45846227,0.00723066,0.47492499,0.97731571,0.36762139,2.66124641,1.33749035,0.02087292,1.11663260
-5.96398199,3.56424977,0.00735543,0.48518043,1.01222180,0.37843925,2.75428642,1.37578917,0.02050347,1.15663917
-5.95797899,3.66190407,0.00744639,0.49471786,1.04363345,0.38869199,2.84208880,1.41104540,0.02011155,1.19349486
-5.95197599,3.74964559,0.00750193,0.50328927,1.07107413,0.39822987,2.92297525,1.44252109,0.01970281,1.22666597
-5.94597299,3.82587941,0.00752162,0.51065686,1.09415303,0.40692275,2.99536619,1.46954185,0.01928189,1.25570200
-5.93996998,3.88924124,0.00750617,0.51660029,1.11257636,0.41466235,3.05782764,1.49151750,0.01885241,1.28024796
-5.93396698,3.93863936,0.00745745,0.52092374,1.12615644,0.42136420,3.10911640,1.50796121,0.01841690,1.30005465
-5.92796398,3.97329067,0.00737843,0.52346260,1.13481799,0.42696916,3.14822182,1.51850614,0.01797694,1.31498643
-5.92196098,3.99274931,0.00727304,0.52408938,1.13860155,0.43144454,3.17440230,1.52291897,0.01753320,1.32502632
-5.91595798,3.99692658,0.00714606,0.52271871,1.13766371,0.43478467,3.18721496,1.52110970,0.01708567,1.33027796
-5.90995498,3.98610095,0.00700299,0.51931113,1.13227406,0.43701100,3.18653707,1.51313734,0.01663382,1.33096436
-5.90395198,3.96091761,0.00684983,0.51387546,1.12280896,0.43817164,3.17257800,1.49921102,0.01617683,1.32742337
-5.89794897,3.92237718,0.00669293,0.50646969,1.10974211,0.43834031,3.14588101,1.47968659,0.01571380,1.32009983
-5.89194597,3.87181353,0.00653875,0.49720032,1.09363229,0.43761482,3.10731429,1.45505862,0.01524397,1.30953456
-5.88594297,3.81086140,0.00639369,0.48622007,1.07510843,0.43611496,3.05805145,1.42594819,0.01476691,1.29635047
-5.87993997,3.74141451,0.00626385,0.47372424,1.05485251,0.43397993,2.99954164,1.39308671,0.01428268,1.28123599
-5.87393697,3.66557540,0.00615490,0.45994557,1.03358076,0.43136536,2.93347041,1.35729642,0.01379192,1.26492646
-5.86793397,3.58559860,0.00607184,0.44514801,1.01202356,0.42843986,2.86171220,1.31946826,0.01329601,1.24818368
-5.86193097,3.50382884,0.00601891,0.42961963,0.99090487,0.42538133,2.78627639,1.28053770,0.01279701,1.23177449
-5.85592796,3.42263629,0.00599940,0.41366471,0.97092147,0.42237301,2.70924837,1.24145949,0.01229770,1.21644885
-5.84992496,3.34435087,0.00601557,0.39759565,0.95272296,0.41959932,2.63272803,1.20318212,0.01180151,1.20291800
-5.84392196,3.27119784,0.00606861,0.38172464,0.93689289,0.41724168,2.55876755,1.16662273,0.01131245,1.19183370
-5.83791896,3.20523671,0.00615851,0.36635566,0.92393182,0.41547436,2.48931083,1.13264330,0.01083496,1.18376880
-5.83191596,3.14830538,0.00628413,0.35177687,0.91424274,0.41446044,2.42613666,1.10202887,0.01037380,1.17920024
-5.82591296,3.10197152,0.00644316,0.33825375,0.90811945,0.41434798,2.37080765,1.07546832,0.00993386,1.17849479
-5.81990995,3.06749258,0.00663222,0.32602312,0.90573835,0.41526665,2.32462661,1.05353827,0.00952003,1.18189821
-5.81390695,3.04578577,0.00684687,0.31528826,0.90715388,0.41732468,2.28860204,1.03669062,0.00913700,1.18952831
-5.80790395,3.03740905,0.00708179,0.30621512,0.91229803,0.42060646,2.26342375,1.02524379,0.00878916,1.20137217
-5.80190095,3.04255358,0.00733091,0.29892982,0.92098385,0.42517074,2.24944940,1.01937802,0.00848043,1.21728780
-5.79589795,3.06104786,0.00758753,0.29351728,0.93291302,0.43104959,2.24670238,1.01913469,0.00821412,1.23701029
-5.78989495,3.09237333,0.00784454,0.29002116,0.94768733,0.43824804,2.25488096,1.02441954,0.00799288,1.26016220
-5.78389195,3.13569077,0.00809463,0.28844481,0.96482360,0.44674464,2.27337812,1.03500961,0.00781861,1.28626807
-5.77788894,3.18987648,0.00833047,0.28875326,0.98377175,0.45649272,2.30131133,1.05056364,0.00769239,1.31477252
-5.77188594,3.25356687,0.00854496,0.29087611,1.00393523,0.46742242,2.33756095,1.07063541,0.00761451,1.34506118
-5.76588294,3.32520972,0.00873142,0.29471111,1.02469321,0.47944347,2.38081566,1.09468961,0.00758442,1.37648393
-5.75987994,3.40312031,0.00888381,0.30012837,1.04542361,0.49244850,2.42962318,1.12211971,0.00760080,1.40837938
-5.75387694,3.48554017,0.00899689,0.30697484,1.06552622,0.50631688,2.48244420,1.15226714,0.00766160,1.44009969
-5.74787394,3.57069652,0.00906641,0.31507921,1.08444494,0.52091892,2.53770749,1.18444121,0.00776409,1.47103484
-5.74187094,3.65686002,0.00908923,0.32425677,1.10168823,0.53612017,2.59386405,1.21793926,0.00790498,1.50063527
-5.73586793,3.74239911,0.00906340,0.33431424,1.11684717,0.55178590,2.64943819,1.25206619,0.00808048,1.52843213
-5.72986493,3.82582882,0.00898824,0.34505447,1.12961022,0.56778534,2.70307382,1.28615308,0.00828646,1.55405421
-5.72386193,3.90585280,0.00886434,0.35628083,1.13977431,0.58399576,2.75357421,1.31957417,0.00851851,1.57724105
-5.71785893,3.98139704,0.00869354,0.36780121,1.14725175,0.60030613,2.79993390,1.35176197,0.00877209,1.59785179
