energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.85176589,0.14024380,0.00000000,2.06263139,1.28883504,0.01834725,0.87423708
-5.99399700,2.89827122,0.13597787,0.00000000,2.11216687,1.31580602,0.01705760,0.89093577
-5.98799400,2.93788323,0.13194458,0.00000000,2.15524875,1.33876882,0.01590579,0.90631218
-5.98199100,2.96897727,0.12806692,0.00000000,2.19074655,1.35699171,0.01488242,0.91981945
-5.97598799,2.99014431,0.12426848,0.00000000,2.21769728,1.36985504,0.01397590,0.93097433
-5.96998499,3.00024050,0.12047713,0.00000000,2.23533792,1.37687224,0.01317315,0.93937298
-5.96398199,2.99842592,0.11662832,0.00000000,2.24313013,1.37770578,0.01246027,0.94470322
-5.95797899,2.98419075,0.11266774,0.00000000,2.24077642,1.37217720,0.01182312,0.94675265
-5.95197599,2.95736806,0.10855335,0.00000000,2.22822708,1.36027127,0.01124792,0.94541264
-5.94597299,2.91813333,0.10425671,0.00000000,2.20567818,1.34213387,0.01072174,0.94067789
-5.93996998,2.86699104,0.09976353,0.00000000,2.17356085,1.31806429,0.01023286,0.93264209
-5.93396698,2.80474992,0.09507350,0.00000000,2.13252297,1.28850231,0.00977110,0.92149006
-5.92796398,2.73248864,0.09019959,0.00000000,2.08340453,1.25401107,0.00932801,0.90748698
-5.92196098,2.65151416,0.08516662,0.00000000,2.02720825,1.21525677,0.00889701,0.89096564
-5.91595798,2.56331544,0.08000957,0.00000000,1.96506718,1.17298637,0.00847341,0.87231241
-5.90995498,2.46951507,0.07477147,0.00000000,1.89821110,1.12800440,0.00805442,0.85195301
-5.90395198,2.37182129,0.06950115,0.00000000,1.82793335,1.08115029,0.00763899,0.83033873
-5.89794897,2.27198282,0.06425098,0.00000000,1.75555976,1.03327689,0.00722772,0.80793391
-5.89194597,2.17174826,0.05907457,0.00000000,1.68242069,0.98523137,0.00682266,0.78520528
-5.88594297,2.07283149,0.05402482,0.00000000,1.60982725,0.93783897,0.00642715,0.76261335
-5.87993997,1.97688389,0.04915204,0.00000000,1.53905215,0.89188994,0.00604554,0.74060628
-5.87393697,1.88547363,0.04450251,0.00000000,1.47131525,0.84812995,0.00568302,0.71961594
-5.86793397,1.80007169,0.04011735,0.00000000,1.40777353,0.80725357,0.00534541,0.70005603
-5.86193097,1.72204382,0.03603173,0.00000000,1.34951497,0.76990078,0.00503892,0.68232183
-5.85592796,1.65264721,0.03227443,0.00000000,1.29755536,0.73665561,0.00476999,0.66679098
-5.84992496,1.59303044,0.02886772,0.00000000,1.25283700,0.70804646,0.00454511,0.65382475
-5.84392196,1.54423496,0.02582753,0.00000000,1.21622827,0.68454732,0.00437064,0.64376899
-5.83791896,1.50719664,0.02316381,0.00000000,1.18852277,0.66657904,0.00425270,0.63695436
-5.83191596,1.48274573,0.02088107,0.00000000,1.17043721,0.65451004,0.00419700,0.63369509
-5.82591296,1.47160414,0.01897899,0.00000000,1.16260711,0.64865584,0.00420875,0.63428603
-5.81990995,1.47437908,0.01745314,0.00000000,1.16557986,0.64927701,0.00429249,0.63899767
-5.81390695,1.49155268,0.01629560,0.00000000,1.17980487,0.65657532,0.00445206,0.64806909
-5.80790395,1.52346761,0.01549562,0.00000000,1.20562092,0.67068804,0.00469042,0.66169907
-5.80190095,1.57030916,0.01504012,0.00000000,1.24324124,0.69168058,0.00500959,0.68003562
-5.79589795,1.63208490,0.01491419,0.00000000,1.29273695,0.71953795,0.00541051,0.70316457
-5.78989495,1.70860296,0.01510134,0.00000000,1.35402009,0.75415553,0.00589299,0.73109777
-5.78389195,1.79945094,0.01558377,0.00000000,1.42682728,0.79532986,0.00645562,0.76376181
-5.77788894,1.90397682,0.01634244,0.00000000,1.51070540,0.84275030,0.00709566,0.80098798
-5.77188594,2.02127405,0.01735708,0.00000000,1.60500077,0.89599232,0.00780903,0.84250431
-5.76588294,2.15017243,0.01860617,0.00000000,1.70885289,0.95451328,0.00859028,0.88793048
-5.75987994,2.28923628,0.02006681,0.00000000,1.82119405,1.01765134,0.00943257,0.93677624
-5.75387694,2.43677133,0.02171462,0.00000000,1.94075553,1.08462816,0.01032776,0.98844370
-5.74787394,2.59084086,0.02352363,0.00000000,2.06608095,1.15455564,0.01126644,1.04223398
-5.74187094,2.74929171,0.02546628,0.00000000,2.19554698,1.22644714,0.01223808,1.09735800
-5.73586793,2.90978965,0.02751336,0.00000000,2.32739103,1.29923282,0.01323119,1.15295157
-5.72986493,3.06986364,0.02963414,0.00000000,2.45974546,1.37177911,0.01423352,1.20809400
