energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,2.47011686,1.59085895,1.00459837,0.15736635,0.00341147,0.00693685,0.94880002
-5.99399700,2.50091778,1.60538613,1.02354964,0.15191408,0.00343118,0.00698547,0.96987129
-5.98799400,2.53554627,1.62032578,1.04526422,0.14593353,0.00345232,0.00704614,0.99278451
-5.98199100,2.57467946,1.63620164,1.06992450,0.13953341,0.00347637,0.00712339,1.01771351
-5.97598799,2.61879417,1.65344695,1.09760480,0.13282639,0.00350469,0.00722174,1.04474926
-5.96998499,2.66813647,1.67238030,1.12826259,0.12592611,0.00353840,0.00734574,1.07388907
-5.96398199,2.72269920,1.69318576,1.16173344,0.11894421,0.00357838,0.00749982,1.10502892
-5.95797899,2.78220873,1.71589855,1.19773010,0.11198760,0.00362521,0.00768828,1.13795955
-5.95197599,2.84612189,1.74039705,1.23584590,0.10515604,0.00367913,0.00791515,1.17236672
-5.94597299,2.91363395,1.76640173,1.27556272,0.09854006,0.00374001,0.00818411,1.20783584
-5.93996998,2.98369761,1.79348152,1.31626337,0.09221934,0.00380740,0.00849842,1.24386112
-5.93396698,3.05505293,1.82106751,1.35724808,0.08626146,0.00388049,0.00886078,1.27985900
-5.92796398,3.12626727,1.84847363,1.39775483,0.08072123,0.00395818,0.00927321,1.31518564
-5.92196098,3.19578406,1.87492373,1.43698280,0.07564035,0.00403915,0.00973696,1.34915779
-5.91595798,3.26197863,1.89958396,1.47411808,0.07104759,0.00412189,0.01025235,1.38107644
-5.90995498,3.32321892,1.92159904,1.50836088,0.06695930,0.00420484,0.01081867,1.41025214
-5.90395198,3.37792866,1.94013113,1.53895305,0.06338030,0.00428643,0.01143402,1.43603118
-5.89794897,3.42465031,1.95439921,1.56520488,0.06030495,0.00436521,0.01209528,1.45782129
-5.89194597,3.46210507,1.96371739,1.58652013,0.05771856,0.00443996,0.01279793,1.47511590
-5.88594297,3.48924717,1.96753027,1.60241810,0.05559878,0.00450973,0.01353607,1.48751566
-5.87993997,3.50531013,1.96544350,1.61255198,0.05391719,0.00457401,0.01430237,1.49474640
-5.87393697,3.50984268,1.95724819,1.61672251,0.05264079,0.00463271,0.01508807,1.49667252
-5.86793397,3.50273278,1.94293769,1.61488656,0.05173354,0.00468627,0.01588309,1.49330523
-5.86193097,3.48421845,1.92271605,1.60716003,0.05115772,0.00473566,0.01667612,1.48480516
-5.85592796,3.45488500,1.89699734,1.59381521,0.05087524,0.00478237,0.01745483,1.47147919
-5.84992496,3.41564859,1.86639600,1.57527253,0.05084871,0.00482842,0.01820607,1.45377163
